,COLM,LH
2008-02-01,1.0,1.0
2008-02-04,1.0087719298245614,0.9958226654089747
2008-02-05,0.9890350877192984,0.9791133270448727
2008-02-06,0.9946393762183237,0.9892197817005794
2008-02-07,1.0136452241715401,1.0478372187036789
2008-02-08,1.0021929824561404,1.066028837083951
2008-02-11,1.0097465886939572,1.0675111171001213
2008-02-12,1.044103313840156,1.071553698962404
2008-02-13,1.0521442495126705,1.0847594663791942
2008-02-14,1.0324074074074074,1.0688586443875487
2008-02-15,1.0450779727095516,1.0747877644522303
2008-02-19,1.0346003898635479,1.0835466918205094
2008-02-20,1.0402046783625731,1.0816601536181107
2008-02-21,1.037280701754386,1.072766473521089
2008-02-22,1.0631091617933723,1.0684543862013207
2008-02-25,1.0735867446393763,1.0667026007276648
2008-02-26,1.084795321637427,1.0699366662174912
2008-02-27,1.0760233918128654,1.0629295243228676
2008-02-28,1.054337231968811,1.0623905134078966
2008-02-29,1.0070662768031189,1.0417733459102547
2008-03-03,1.0124269005847952,1.0362484840318018
2008-03-04,1.0411793372319686,1.0630642770516103
2008-03-05,1.0397173489278753,1.0688586443875487
2008-03-06,0.996588693957115,1.0603692224767551
2008-03-07,0.996588693957115,1.0452769168575664
2008-03-10,0.9995126705653022,1.040425818622827
2008-03-11,1.0402046783625731,1.0467591968737369
2008-03-12,1.0616471734892787,1.0347662040156316
2008-03-13,1.0701754385964912,1.029510847594664
2008-03-14,1.0268031189083822,1.0113192292143915
2008-03-17,1.0224171539961013,0.9942056326640616
2008-03-18,1.047027290448343,1.0125320037730765
2008-03-19,1.0514132553606237,1.0154965638054172
2008-03-20,1.0901559454191034,1.003368818218569
2008-03-24,1.0891812865497077,1.0092979382832503
2008-03-25,1.088450292397661,1.00390782913354
2008-03-26,1.084307992202729,0.9929928581053767
2008-03-27,1.0484892787524367,0.9985177199838297
2008-03-28,1.0246101364522417,0.9836949198221265
2008-03-31,1.0728557504873295,0.9928581053766341
2008-04-01,1.0967348927875245,1.005120603692225
2008-04-02,1.1271929824561404,1.0152270583479317
2008-04-03,1.1228070175438596,1.008893680097022
2008-04-04,1.1213450292397662,0.9955531599514891
2008-04-07,1.0626218323586745,0.9836949198221265
2008-04-08,1.0445906432748537,0.9836949198221265
2008-04-09,0.9995126705653022,1.011184476485649
2008-04-10,1.0394736842105263,1.0071418946233661
2008-04-11,1.013157894736842,0.9995957418137719
2008-04-14,1.0053606237816763,0.9960921708664602
2008-04-15,0.9968323586744638,0.9921843417329201
2008-04-16,1.0085282651072125,0.9971701926964022
2008-04-17,1.0138888888888888,0.9908368144454927
2008-04-18,1.0514132553606237,1.0072766473521089
2008-04-21,1.0577485380116958,1.0287023312222074
2008-04-22,1.027777777777778,1.0071418946233661
2008-04-23,1.0158382066276803,1.039347796792885
2008-04-24,1.0255847953216375,1.0005390109149712
2008-04-25,1.0453216374269005,1.0091631855545076
2008-04-28,1.0289961013645224,1.0168440910928447
2008-04-29,1.036793372319688,1.0098369491982213
2008-04-30,1.0224171539961013,1.0190001347527289
2008-05-01,1.0265594541910332,1.0264115348335805
2008-05-02,1.0311890838206628,1.0251987602748955
2008-05-05,1.0121832358674463,1.0206171674976419
2008-05-06,1.0056042884990255,1.029510847594664
2008-05-07,0.9990253411306043,1.0191348874814716
2008-05-08,1.0031676413255362,1.034900956744374
2008-05-09,1.004142300194932,1.0381350222342005
2008-05-12,1.019980506822612,1.0474329605174506
2008-05-13,1.0297270955165692,1.039347796792885
2008-05-14,1.0450779727095516,1.0413690877240265
2008-05-15,1.047514619883041,1.0251987602748955
2008-05-16,1.047027290448343,1.0231774693437543
2008-05-19,1.070662768031189,1.024390243902439
2008-05-20,1.0604288499025343,1.0250640075461528
2008-05-21,1.036793372319688,1.0198086511251854
2008-05-22,1.033382066276803,1.0285675784934645
2008-05-23,1.0216861598440545,1.0168440910928447
2008-05-27,1.0360623781676415,1.0144185419754752
2008-05-28,1.0550682261208577,1.0016170327449132
2008-05-29,1.0679824561403508,0.9920495890041775
2008-05-30,1.0677387914230019,0.9943403853928043
2008-06-02,1.0387426900584795,1.0074114000808518
2008-06-03,1.027777777777778,1.0109149710281633
2008-06-04,1.0282651072124758,1.002829807303598
2008-06-05,1.0355750487329436,1.0153618110766742
2008-06-06,1.017300194931774,0.9955531599514891
2008-06-09,1.0048732943469787,0.9994609890850291
2008-06-10,1.0146198830409356,1.0032340654898262
2008-06-11,0.9970760233918129,0.9971701926964022
2008-06-12,0.9873294346978558,0.9974396981538877
2008-06-13,0.9995126705653022,0.9938013744778332
2008-06-16,1.0175438596491229,0.9917800835466918
2008-06-17,0.9846491228070174,0.9734537124376769
2008-06-18,0.9551656920077973,0.9509500067376364
2008-06-19,0.9741715399610136,0.9633472577819701
2008-06-20,0.9517543859649124,0.9421910793693573
2008-06-23,0.9264132553606239,0.9405740466244442
2008-06-24,0.9261695906432749,0.9306023446974803
2008-06-25,0.9576023391812865,0.9455598975879262
2008-06-26,0.922514619883041,0.9465031666891255
2008-06-27,0.9093567251461988,0.9335669047298208
2008-06-30,0.89546783625731,0.9382832502358173
2008-07-01,0.9020467836257311,0.9270987737501685
2008-07-02,0.8913255360623782,0.9097156717423529
2008-07-03,0.8745126705653021,0.9125454790459507
2008-07-07,0.8715886939571151,0.9125454790459507
2008-07-08,0.9122807017543859,0.9229214391591429
2008-07-09,0.8711013645224172,0.9221129227866866
2008-07-10,0.8555068226120858,0.9284463010375962
2008-07-11,0.8330896686159843,0.9082333917261826
2008-07-14,0.8216374269005848,0.9121412208597225
