,JNJ,MDLZ
2008-02-01,1.0,1.0
2008-02-04,1.0017361111111112,1.0016995241332427
2008-02-05,0.9922664141414141,0.9840244731475186
2008-02-06,0.9951073232323232,0.9945615227736234
2008-02-07,0.9913194444444445,1.0
2008-02-08,0.9790088383838385,0.9792658055744391
2008-02-11,0.9766414141414141,0.9966009517335146
2008-02-12,0.9938446969696969,0.9938817131203262
2008-02-13,1.0007891414141414,1.0047586675730795
2008-02-14,0.9910037878787878,0.996261046906866
2008-02-15,0.992739898989899,1.0649218218898706
2008-02-19,1.0047348484848484,1.0598232494901427
2008-02-20,0.9979482323232323,1.0632222977566281
2008-02-21,0.9940025252525252,1.0482664853840924
2008-02-22,0.9971590909090909,1.066281441196465
2008-02-25,1.0077335858585859,1.0717199184228416
2008-02-26,1.0056818181818181,1.0836165873555403
2008-02-27,0.9949494949494949,1.089055064581917
2008-02-28,0.9897411616161617,1.0751189666893268
2008-02-29,0.9779040404040404,1.0594833446634941
2008-03-03,0.982165404040404,1.0605030591434397
2008-03-04,0.9886363636363636,1.0540448674371177
2008-03-05,0.9963699494949495,1.054048266485384
2008-03-06,0.9884785353535354,1.046227056424201
2008-03-07,0.9708017676767676,1.040448674371176
2008-03-10,0.9679608585858586,1.0438477226376615
2008-03-11,0.9854797979797979,1.065601631543168
2008-03-12,0.9872159090909091,1.0520054384772264
2008-03-13,0.9913194444444445,1.0292318150917743
2008-03-14,0.9887941919191919,1.015295717199184
2008-03-17,1.0107323232323233,1.015295717199184
2008-03-18,1.0307765151515151,1.0387491502379333
2008-03-19,1.023989898989899,1.0254928619986403
2008-03-20,1.0318813131313131,1.058803535010197
2008-03-24,1.0241477272727273,1.0475866757307952
2008-03-25,1.0187815656565655,1.0421481985044188
2008-03-26,1.02114898989899,1.0475866757307952
2008-03-27,1.0198863636363638,1.0516655336505778
2008-03-28,1.0129419191919193,1.0475866757307952
2008-03-31,1.0238320707070707,1.0540448674371177
2008-04-01,1.039614898989899,1.0778382053025153
2008-04-02,1.0307765151515151,1.0734194425560841
2008-04-03,1.030145202020202,1.0605030591434397
2008-04-04,1.0374053030303032,1.07205982324949
2008-04-07,1.0438762626262625,1.0737593473827327
2008-04-08,1.0467171717171717,1.0761386811692726
2008-04-09,1.046243686868687,1.070700203942896
2008-04-10,1.046875,1.053025152957172
2008-04-11,1.0416666666666667,1.0445275322909584
2008-04-14,1.0375631313131313,1.0465669612508497
2008-04-15,1.036142676767677,1.0503059143439837
2008-04-16,1.0369318181818183,1.0605030591434397
2008-04-17,1.037878787878788,1.0632222977566281
2008-04-18,1.0497159090909092,1.0690006798096532
2008-04-21,1.0467171717171717,1.065601631543168
2008-04-22,1.0572916666666665,1.0509857239972809
2008-04-23,1.0615530303030305,1.0645819170632222
2008-04-24,1.0632891414141414,1.0622025832766824
2008-04-25,1.0623421717171717,1.0401087695445275
2008-04-28,1.0625,1.0322909585316111
2008-04-29,1.0604482323232323,1.0458871515975525
2008-04-30,1.0588699494949496,1.0751189666893268
2008-05-01,1.0702335858585859,1.0859959211420802
2008-05-02,1.0773358585858588,1.089055064581917
2008-05-05,1.0716540404040404,1.0870156356220257
2008-05-06,1.0666035353535352,1.0863358259687288
2008-05-07,1.0560290404040404,1.0717199184228416
2008-05-08,1.0558712121212122,1.0805574439157035
2008-05-09,1.050347222222222,1.0652617267165192
2008-05-12,1.0528724747474747,1.0659415363698164
2008-05-13,1.0481376262626263,1.0584636301835486
2008-05-14,1.0544507575757576,1.0778382053025153
2008-05-15,1.05239898989899,1.085316111488783
2008-05-16,1.05239898989899,1.1050305914343983
2008-05-19,1.0516098484848484,1.1152277362338545
2008-05-20,1.044034090909091,1.106730115567641
2008-05-21,1.0374053030303032,1.0995921142080218
2008-05-22,1.032354797979798,1.1019714479945615
2008-05-23,1.0246212121212122,1.0873555404486743
2008-05-27,1.0282512626262628,1.097212780421482
2008-05-28,1.023989898989899,1.1029911624745072
2008-05-29,1.0482954545454546,1.115567641060503
2008-05-30,1.0533459595959596,1.1040108769544525
2008-06-02,1.0497159090909092,1.0921142080217539
2008-06-03,1.0536616161616164,1.0893949694085654
2008-06-04,1.050347222222222,1.083956492182189
2008-06-05,1.0568181818181817,1.0897348742352142
2008-06-06,1.037878787878788,1.0611828687967368
2008-06-09,1.03582702020202,1.0666213460231135
2008-06-10,1.035669191919192,1.0618626784500338
2008-06-11,1.0290404040404042,1.046227056424201
2008-06-12,1.0367739898989898,1.0469068660774983
2008-06-13,1.0459280303030303,1.053704962610469
2008-06-16,1.0391414141414141,1.0288919102651257
2008-06-17,1.0351957070707072,1.0305914343983684
2008-06-18,1.0170454545454546,1.0197144799456153
2008-06-19,1.0198863636363638,1.0074779061862678
2008-06-20,1.01104797979798,0.9928619986403807
2008-06-23,1.0146780303030305,0.995581237253569
2008-06-24,1.0214646464646464,0.9935418082936778
2008-06-25,1.0303030303030303,0.9942216179469748
2008-06-26,1.0142045454545456,0.9799456152277362
2008-06-27,1.003314393939394,0.9649898028552005
2008-06-30,1.0154671717171717,0.9670292318150917
2008-07-01,1.0209911616161615,0.965329707681849
2008-07-02,1.02020202020202,0.9762066621346022
2008-07-03,1.027777777777778,0.9792658055744391
2008-07-07,1.0298295454545454,0.9755268524813051
2008-07-08,1.0449810606060606,0.9853840924541127
2008-07-09,1.044507575757576,0.9857239972807613
2008-07-10,1.0565025252525253,0.9840244731475186
2008-07-11,1.0457702020202022,0.9833446634942216
2008-07-14,1.0481376262626263,0.9949014276002719
2008-07-15,1.0684974747474747,1.0
