,JNJ,MDLZ
2008-08-07,1.1150568181818183,1.0859959211420802
2008-08-08,1.1292613636363635,1.114887831407206
2008-08-11,1.1309974747474747,1.1152277362338545
2008-08-12,1.1316287878787878,1.110469068660775
2008-08-13,1.1237373737373737,1.1169272603670972
2008-08-14,1.1235795454545454,1.111148878314072
2008-08-15,1.1257891414141414,1.1203263086335826
2008-08-18,1.1220012626262628,1.110469068660775
2008-08-19,1.1229482323232325,1.1101291638341262
2008-08-20,1.1218434343434343,1.114887831407206
2008-08-21,1.125,1.110469068660775
2008-08-22,1.127209595959596,1.107409925220938
2008-08-25,1.1174242424242424,1.0951733514615907
2008-08-26,1.1160037878787878,1.0900747790618626
2008-08-27,1.123895202020202,1.0904146838885111
2008-08-28,1.1270517676767677,1.0904146838885111
2008-08-29,1.111584595959596,1.0710401087695445
2008-09-02,1.1321022727272727,1.0774983004758667
2008-09-03,1.1286300505050506,1.0747790618626785
2008-09-04,1.1119002525252526,1.0785180149558122
2008-09-05,1.1153724747474747,1.1108089734874234
2008-09-08,1.1398358585858586,1.1278042148198504
2008-09-09,1.1259469696969697,1.1203263086335826
2008-09-10,1.1242108585858586,1.1145479265805573
2008-09-11,1.1231060606060606,1.1373215499660094
2008-09-12,1.1141098484848486,1.133242692046227
2008-09-15,1.0986426767676767,1.1264445955132563
2008-09-16,1.1016414141414141,1.1400407885791977
2008-09-17,1.097064393939394,1.1097892590074778
2008-09-18,1.1194760101010102,1.1468388851121687
2008-09-19,1.1046401515151514,1.1886471787899386
2008-09-22,1.0797032828282829,1.1247450713800136
2008-09-23,1.0755997474747476,1.1077498300475868
2008-09-24,1.0762310606060606,1.1080897348742351
2008-09-25,1.0946969696969697,1.122025832766825
2008-09-26,1.0953282828282829,1.1193065941536369
2008-09-29,1.0558712121212122,1.0829367777022434
2008-09-30,1.0934343434343434,1.1131883072739632
2008-10-01,1.0699179292929295,1.136981645139361
2008-10-02,1.0699179292929295,1.1400407885791977
2008-10-03,1.0441919191919191,1.124405166553365
2008-10-06,1.0179924242424243,1.0785180149558122
2008-10-07,0.9862689393939394,1.044867437117607
2008-10-08,0.9842171717171717,1.0186947654656695
2008-10-09,0.9087752525252525,0.9415363698164513
2008-10-10,0.8814709595959597,0.9262406526172671
2008-10-13,0.9892676767676768,0.9629503738953092
2008-10-14,1.0101010101010102,0.9486743711760707
2008-10-15,0.9554924242424242,0.8963290278721958
2008-10-16,1.002209595959596,0.9347382732834806
2008-10-17,0.9887941919191919,0.9728076138681169
2008-10-20,1.0170454545454546,1.005778382053025
2008-10-21,1.0047348484848484,0.9935418082936778
2008-10-22,0.9693813131313131,0.9578518014955811
2008-10-23,0.9856376262626263,0.9656696125084976
2008-10-24,0.9594381313131313,0.9211420802175391
2008-10-27,0.9493371212121212,0.9150237933378654
2008-10-28,1.0130997474747474,0.9816451393609789
2008-10-29,0.9711174242424243,0.9677090414683888
2008-10-30,0.9559659090909091,0.9840244731475186
2008-10-31,0.968118686868687,0.991842284160435
2008-11-03,0.9652777777777777,0.996261046906866
2008-11-04,0.9767992424242424,1.0370496261046906
2008-11-05,0.9446022727272727,0.9935418082936778
2008-11-06,0.9141414141414141,0.9524133242692046
2008-11-07,0.9504419191919192,0.9683888511216858
2008-11-10,0.9471275252525252,0.9585316111488782
2008-11-11,0.9398674242424242,0.9530931339225016
2008-11-12,0.9141414141414141,0.9194425560842964
2008-11-13,0.992739898989899,0.9554724677090414
2008-11-14,0.9477588383838383,0.9326988443235894
2008-11-17,0.9354482323232324,0.9119646498980284
2008-11-18,0.9610164141414141,0.9218218898708361
2008-11-19,0.9172979797979798,0.8834126444595513
2008-11-20,0.8808396464646465,0.845343303874915
2008-11-21,0.9209280303030304,0.9027872195785179
2008-11-24,0.9329229797979798,0.9163834126444595
2008-11-25,0.9264520202020202,0.9133242692046227
2008-11-26,0.9196654040404041,0.916723317471108
2008-11-28,0.9245580808080808,0.924881033310673
2008-12-01,0.8732638888888888,0.8687967369136641
2008-12-02,0.8969381313131313,0.8888511216859278
2008-12-03,0.9046717171717172,0.9051665533650577
2008-12-04,0.8866792929292929,0.8874915023793337
2008-12-05,0.9190340909090908,0.9398368456832086
2008-12-08,0.9275568181818182,0.9408565601631542
2008-12-09,0.9124053030303031,0.916043507817811
2008-12-10,0.9122474747474747,0.9133242692046227
2008-12-11,0.9193497474747475,0.9112848402447313
2008-12-12,0.9035669191919192,0.9163834126444595
2008-12-15,0.9124053030303031,0.9089055064581916
2008-12-16,0.9406565656565656,0.9282800815771582
2008-12-17,0.9277146464646465,0.9184228416043507
2008-12-18,0.9310290404040404,0.9085656016315431
2008-12-19,0.9286616161616162,0.9065261726716519
2008-12-22,0.9300820707070707,0.9129843643779741
2008-12-23,0.9261363636363636,0.8929299796057103
2008-12-24,0.9242424242424243,0.8997280761386811
2008-12-26,0.9242424242424243,0.9055064581917063
2008-12-29,0.9177714646464646,0.9014276002719238
2008-12-30,0.9338699494949495,0.9041468388851122
2008-12-31,0.9442866161616161,0.9126444595513257
