"","X1","ISLE","AKRX","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,1.07758620689655,0.96969696969697,NA,0.913419913419913,0.272727272727273,0.970470896596375,0.101450638571801
"3",2009-01-06,1.10057471264368,0.954545454545454,"AKRX",0.718614718614719,0.350649350649351,0.831523357906835,0.205226724919713
"4",2009-01-07,1.11781609195402,0.931818181818182,"AKRX",0.662337662337662,0.307359307359307,0.796294062009087,0.187385928281141
"5",2009-01-08,1.17528735632184,0.973484848484848,"AKRX",0.857142857142857,0.826839826839827,0.769552399334981,0.679335715668709
"6",2009-01-09,1.13218390804598,0.863636363636364,"AKRX",0.25974025974026,0.051948051948052,0.615757811620631,0.0423560909155054
"7",2009-01-12,1.0316091954023,0.837121212121212,"AKRX",0.0606060606060606,0.264069264069264,0.0514430098180414,0.602069679844822
"8",2009-01-13,1,0.840909090909091,"AKRX",0.316017316017316,0.632034632034632,0.206782289648611,0.764177874683961
"9",2009-01-14,0.864942528735632,0.814393939393939,"AKRX",0.0216450216450216,0.255411255411255,0.0127994443865884,0.694672846309934
"10",2009-01-15,0.873563218390805,0.840909090909091,"AKRX",0.619047619047619,0.774891774891775,0.45747452134086,0.786763753091873
"11",2009-01-16,0.887931034482759,0.833333333333333,"AKRX",0.683982683982684,0.458874458874459,0.754496128979708,0.331462096054611
"12",2009-01-20,0.816091954022989,0.818181818181818,NA,0.0692640692640693,0.350649350649351,0.045260341008952,0.676324960291143
"13",2009-01-21,0.793103448275862,0.852272727272727,NA,0.341991341991342,0.805194805194805,0.167013908746663,0.902645121056324
"14",2009-01-22,0.804597701149425,0.799242424242424,NA,0.649350649350649,0.138528138528139,0.845689849527633,0.0612790617748107
"15",2009-01-23,0.804597701149425,0.795454545454545,NA,0.571428571428571,0.506493506493506,0.58943146422557,0.461498073260007
"16",2009-01-26,0.816091954022989,0.814393939393939,NA,0.645021645021645,0.735930735930736,0.525273775154434,0.72039269717766
"17",2009-01-27,0.830459770114943,0.859848484848485,NA,0.688311688311688,0.883116883116883,0.431519130921748,0.893806959573446
"18",2009-01-28,0.908045977011494,0.984848484848485,NA,0.917748917748918,0.978354978354978,0.560311823482575,0.952224528577124
"19",2009-01-29,0.870689655172414,0.912878787878788,NA,0.229437229437229,0.0952380952380952,0.489390602030279,0.109735698182288
"20",2009-01-30,0.813218390804598,0.84469696969697,NA,0.0995670995670996,0.0909090909090909,0.248724479350751,0.213165054682509
"21",2009-02-02,0.89080459770115,0.886363636363636,NA,0.922077922077922,0.861471861471861,0.862780429714448,0.636311094321734
"22",2009-02-03,0.85632183908046,0.890151515151515,NA,0.246753246753247,0.632034632034632,0.143559836099122,0.793595131797368
"23",2009-02-04,0.830459770114943,0.859848484848485,NA,0.32034632034632,0.238095238095238,0.449249651789029,0.265581700495651
"24",2009-02-05,0.836206896551724,0.852272727272727,NA,0.597402597402597,0.463203463203463,0.649153912236491,0.389508118658725
"25",2009-02-06,0.867816091954023,0.829545454545454,NA,0.800865800865801,0.29004329004329,0.908141344075184,0.133095917127351
"26",2009-02-09,0.85632183908046,0.90530303030303,NA,0.445887445887446,0.943722943722944,0.172757943778239,0.979105721553318
"27",2009-02-10,0.833333333333333,0.893939393939394,NA,0.354978354978355,0.376623376623377,0.389434849146902,0.434091664765065
"28",2009-02-11,0.876436781609195,0.871212121212121,NA,0.861471861471861,0.303030303030303,0.943074010645347,0.126511185600928
"29",2009-02-12,0.896551724137931,0.871212121212121,NA,0.735930735930736,0.584415584415584,0.755030971544487,0.445522913462132
"30",2009-02-13,0.919540229885058,0.867424242424242,NA,0.753246753246753,0.515151515151515,0.807618095212603,0.350333106759323
"31",2009-02-17,0.988505747126437,0.776515151515151,"AKRX",0.913419913419913,0.0562770562770563,0.968374338614738,0.0189231149813075
"32",2009-02-18,1.00287356321839,0.784090909090909,"AKRX",0.649350649350649,0.662337662337662,0.588880466617965,0.616140904199392
"33",2009-02-19,0.974137931034483,0.738636363636364,"AKRX",0.333333333333333,0.147186147186147,0.558626471469995,0.135937760965697
"34",2009-02-20,0.948275862068966,0.757575757575758,"AKRX",0.354978354978355,0.748917748917749,0.197175929607348,0.856303136391842
"35",2009-02-23,0.876436781609195,0.75,"AKRX",0.0735930735930736,0.454545454545455,0.0370657843276181,0.754527142647512
"36",2009-02-24,0.948275862068966,0.810606060606061,"AKRX",0.913419913419913,0.930735930735931,0.739515483723196,0.821339204664551
"37",2009-02-25,0.867816091954023,0.738636363636364,"AKRX",0.0606060606060606,0.0779220779220779,0.168854860093211,0.25800605329651
"38",2009-02-26,0.905172413793103,0.53030303030303,"AKRX",0.831168831168831,0,0.86790716045972,1e-10
"39",2009-02-27,0.827586206896552,0.53030303030303,"AKRX",0.0606060606060606,0.584415584415584,0.0219949747453254,0.839961368677574
"40",2009-03-02,0.862068965517241,0.454545454545455,"AKRX",0.822510822510823,0.025974025974026,0.933933757153798,0.00687873778994778
"41",2009-03-03,0.755747126436782,0.446969696969697,"AKRX",0.025974025974026,0.350649350649351,0.0115280290997426,0.75003841529294
"42",2009-03-04,0.985632183908046,0.492424242424242,"AKRX",1,0.956709956709957,0.9999999999,0.134632461049016
"43",2009-03-05,0.899425287356322,0.477272727272727,"AKRX",0.0606060606060606,0.264069264069264,0.0514430098180414,0.602069679844822
"44",2009-03-06,0.919540229885058,0.579545454545454,"AKRX",0.731601731601732,0.987012987012987,0.262877638101679,0.994044796901068
