"","X1","PLL","DHR","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,0.9719723183391,0.984602076124568,NA,0.12987012987013,0.220779220779221,0.157618267377956,0.562584645161066
"3",2009-01-06,0.977854671280277,0.999134948096886,NA,0.627705627705628,0.800865800865801,0.314465705227478,0.855459347899782
"4",2009-01-07,0.941522491349481,0.972318339100346,NA,0.0952380952380952,0.12987012987013,0.206917521969799,0.430820617782141
"5",2009-01-08,0.958131487889273,0.960899653979239,NA,0.796536796536797,0.281385281385281,0.954777979633388,0.0629540139847037
"6",2009-01-09,0.953287197231834,0.944982698961938,NA,0.385281385281385,0.212121212121212,0.68538172639888,0.153351679138922
"7",2009-01-12,0.929065743944637,0.944290657439446,NA,0.151515151515152,0.480519480519481,0.0548400073775356,0.8409531185729
"8",2009-01-13,0.924913494809689,0.917128027681661,NA,0.406926406926407,0.108225108225108,0.828710617866816,0.0399296930952693
"9",2009-01-14,0.904844290657439,0.915397923875433,NA,0.194805194805195,0.463203463203463,0.0934926654796943,0.792340084809094
"10",2009-01-15,0.930795847750865,0.936505190311419,NA,0.891774891774892,0.883116883116883,0.715844256112904,0.65891167201239
"11",2009-01-16,0.94083044982699,0.933044982698962,NA,0.696969696969697,0.424242424242424,0.855756637150806,0.1873431494314
"12",2009-01-20,0.889965397923875,0.892214532871972,NA,0.051948051948052,0.0476190476190476,0.309024257535519,0.252495314548199
"13",2009-01-21,0.905190311418685,0.903460207612457,NA,0.783549783549784,0.761904761904762,0.675028415025777,0.588102800795068
"14",2009-01-22,0.907612456747405,0.895155709342561,NA,0.523809523809524,0.32034632034632,0.742448428552018,0.194967806041832
"15",2009-01-23,0.910726643598616,0.88840830449827,NA,0.545454545454545,0.346320346320346,0.745161186025055,0.210848655604481
"16",2009-01-26,0.916955017301038,0.970934256055363,NA,0.632034632034632,0.995670995670996,0.0789894060600541,0.999721585268269
"17",2009-01-27,0.935294117647059,0.99083044982699,NA,0.835497835497836,0.87012987012987,0.574999268025783,0.758917436079696
"18",2009-01-28,0.975086505190311,0.99878892733564,NA,0.935064935064935,0.683982683982684,0.975344006520261,0.179677222334145
"19",2009-01-29,0.929411764705882,0.980795847750865,NA,0.0649350649350649,0.212121212121212,0.0487637937107565,0.721081125708092
"20",2009-01-30,0.902076124567474,0.967647058823529,NA,0.125541125541126,0.255411255411255,0.117294941133207,0.638047428159476
"21",2009-02-02,0.902076124567474,0.96159169550173,NA,0.484848484848485,0.367965367965368,0.63751729630532,0.295513646818958
"22",2009-02-03,0.917647058823529,0.971626297577855,NA,0.787878787878788,0.722943722943723,0.74172219596144,0.496852352059877
"23",2009-02-04,0.92318339100346,0.97681660899654,NA,0.627705627705628,0.636363636363636,0.550381066023903,0.578018908978061
"24",2009-02-05,0.940138408304498,1.00294117647059,NA,0.796536796536797,0.909090909090909,0.3673432094895,0.903931566009569
"25",2009-02-06,0.973702422145329,1.01280276816609,NA,0.922077922077922,0.70995670995671,0.960478184521492,0.221509829032009
"26",2009-02-09,0.985813148788927,1.00207612456747,NA,0.722943722943723,0.303030303030303,0.918964848630431,0.0880532737971829
"27",2009-02-10,0.931487889273356,0.966955017301038,NA,0.051948051948052,0.0865800865800866,0.144100138785977,0.471093738258515
"28",2009-02-11,0.944636678200692,0.975432525951557,NA,0.761904761904762,0.696969696969697,0.723873829169063,0.49157029626548
"29",2009-02-12,0.935640138408305,0.975086505190311,NA,0.333333333333333,0.489177489177489,0.239802097154382,0.683538188533526
"30",2009-02-13,0.946712802768166,0.975432525951557,NA,0.705627705627706,0.523809523809524,0.802756403578789,0.291789104851369
"31",2009-02-17,0.916955017301038,0.934602076124568,NA,0.125541125541126,0.051948051948052,0.606028721998979,0.0799481578876401
"32",2009-02-18,0.897231833910035,0.932352941176471,NA,0.194805194805195,0.458874458874459,0.0951323883213243,0.788369563920607
"33",2009-02-19,0.893079584775087,0.920415224913495,NA,0.402597402597403,0.268398268398268,0.634774283432882,0.221397623682597
"34",2009-02-20,0.874740484429066,0.907266435986159,NA,0.203463203463203,0.233766233766234,0.302852893212587,0.427062426851519
"35",2009-02-23,0.835640138408305,0.888062283737024,NA,0.0692640692640693,0.168831168831169,0.0809065120072893,0.634116640834895
"36",2009-02-24,0.868512110726644,0.909861591695502,NA,0.930735930735931,0.891774891774892,0.836542168430493,0.536091595041662
"37",2009-02-25,0.85363321799308,0.898442906574395,NA,0.238095238095238,0.272727272727273,0.317755626329022,0.447391943029516
"38",2009-02-26,0.828719723183391,0.890138408304498,NA,0.125541125541126,0.32034632034632,0.0795662124009164,0.72956731546388
"39",2009-02-27,0.822491349480969,0.878200692041523,NA,0.346320346320346,0.255411255411255,0.560470092204199,0.256680182693607
"40",2009-03-02,0.76643598615917,0.845155709342561,NA,0.0346320346320346,0.0779220779220779,0.0872019063363816,0.55648095505372
"41",2009-03-03,0.772664359861592,0.860034602076125,NA,0.649350649350649,0.835497835497836,0.293348482653289,0.887780657653222
"42",2009-03-04,0.80484429065744,0.899134948096886,NA,0.935064935064935,0.956709956709957,0.577736019890693,0.834810753673611
"43",2009-03-05,0.763321799307959,0.859861591695502,NA,0.0562770562770563,0.0476190476190476,0.337652045535331,0.229084097978388
"44",2009-03-06,0.751557093425606,0.853114186851211,"PLL",0.255411255411255,0.337662337662338,0.266523280704797,0.544947336942179
"45",2009-03-09,0.733910034602076,0.830968858131488,"PLL",0.168831168831169,0.12987012987013,0.437028207915733,0.232898976369755
