"","X1","MBRG","DX","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,1,0.979020979020979,NA,0.584415584415584,0.0909090909090909,0.679008890715429,0.069869531033236
"3",2009-01-06,1.0349750178444,0.992447552447552,NA,0.904761904761905,0.865800865800866,0.879312253842601,0.826511511758229
"4",2009-01-07,1.01713062098501,0.993006993006993,NA,0.246753246753247,0.597402597402597,0.213952718073198,0.637557246471157
"5",2009-01-08,1.01641684511064,0.977622377622378,NA,0.432900432900433,0.177489177489178,0.496191493215504,0.163725522927586
"6",2009-01-09,1.03711634546752,0.956643356643357,NA,0.831168831168831,0.0909090909090909,0.879541710205016,0.0604610764295507
"7",2009-01-12,1.04853675945753,0.960839160839161,NA,0.744588744588745,0.722943722943723,0.713038447649798,0.68628841873066
"8",2009-01-13,1.06423982869379,1.0027972027972,NA,0.787878787878788,0.965367965367965,0.716774861984802,0.958076668287785
"9",2009-01-14,0.992862241256246,0.986013986013986,NA,0.025974025974026,0.151515151515152,0.0313360584553142,0.330825503554942
"10",2009-01-15,0.989293361884368,0.986013986013986,NA,0.372294372294372,0.597402597402597,0.339286955422388,0.610684955682841
"11",2009-01-16,0.999286224125625,0.981818181818182,NA,0.735930735930736,0.393939393939394,0.746653883653983,0.341909010163911
"12",2009-01-20,0.981441827266238,0.979020979020979,NA,0.242424242424242,0.445887445887446,0.228402955464273,0.487048927584552
"13",2009-01-21,0.969307637401856,0.981818181818182,NA,0.277056277056277,0.692640692640693,0.232921644411631,0.723054696862139
"14",2009-01-22,0.750178443968594,0.981818181818182,"MBRG",0,0.597402597402597,1e-10,0.97792234772759
"15",2009-01-23,0.745182012847966,0.981818181818182,"MBRG",0.333333333333333,0.597402597402597,0.299845636431957,0.618306073035826
"16",2009-01-26,0.731620271234832,0.98041958041958,"MBRG",0.233766233766234,0.506493506493506,0.211568027702393,0.551192015482625
"17",2009-01-27,0.750892219842969,0.981818181818182,"MBRG",0.852813852813853,0.640692640692641,0.840591104224082,0.578704804827984
"18",2009-01-28,0.756602426837973,0.977622377622378,"MBRG",0.696969696969697,0.393939393939394,0.70764027858503,0.347287006448853
"19",2009-01-29,0.769450392576731,0.972027972027972,"MBRG",0.805194805194805,0.341991341991342,0.821080441035625,0.28180743883664
"20",2009-01-30,0.785146324054247,0.988811188811189,"MBRG",0.831168831168831,0.883116883116883,0.788457730820998,0.856990791595546
"21",2009-02-02,0.763740185581727,0.981818181818182,"MBRG",0.177489177489178,0.307359307359307,0.182290600971726,0.364276550426154
"22",2009-02-03,0.731620271234832,1.0013986013986,"MBRG",0.0952380952380952,0.887445887445887,0.0614831076919063,0.920979063814058
"23",2009-02-04,0.856531049250535,0.983216783216783,"MBRG",1,0.134199134199134,0.9999999999,0.0654017057015067
"24",2009-02-05,0.856531049250535,0.979160839160839,"MBRG",0.584415584415584,0.393939393939394,0.593359137040842,0.363282784592555
"25",2009-02-06,0.917209136331192,0.979020979020979,"MBRG",0.96969696969697,0.536796536796537,0.969678326837177,0.438602834596858
"26",2009-02-09,0.912919343326196,0.98041958041958,"MBRG",0.350649350649351,0.640692640692641,0.311462368019162,0.658450630775468
"27",2009-02-10,0.856531049250535,0.983216783216783,"MBRG",0.025974025974026,0.692640692640693,0.0158338098736396,0.808115532913186
"28",2009-02-11,0.856531049250535,0.979020979020979,"MBRG",0.584415584415584,0.393939393939394,0.593359137040842,0.363282784592555
"29",2009-02-12,0.820842255531763,0.983216783216783,"MBRG",0.0952380952380952,0.722943722943723,0.0678711853561991,0.793358114080214
"30",2009-02-13,0.820842255531763,0.981818181818182,"MBRG",0.584415584415584,0.506493506493506,0.573850124706588,0.479797923305546
"31",2009-02-17,0.856531049250535,0.988811188811189,"MBRG",0.943722943722944,0.774891774891775,0.933012104130688,0.708793101386911
"32",2009-02-18,0.792291220556745,0.99020979020979,"MBRG",0.0173160173160173,0.640692640692641,0.010340875909907,0.783875842766631
"33",2009-02-19,0.785153461812991,0.99020979020979,"MBRG",0.311688311688312,0.597402597402597,0.278125377691151,0.622781069655812
"34",2009-02-20,0.785153461812991,0.989370629370629,"MBRG",0.584415584415584,0.536796536796537,0.568965233850505,0.51148725295406
"35",2009-02-23,0.79271948608137,0.977622377622378,"MBRG",0.731601731601732,0.229437229437229,0.768522204837228,0.184274563069499
"36",2009-02-24,0.802997858672377,1,"MBRG",0.753246753246753,0.909090909090909,0.692479882593669,0.894171241634289
"37",2009-02-25,0.785153461812991,1.00559440559441,"MBRG",0.199134199134199,0.74025974025974,0.15600492572912,0.782152629581444
"38",2009-02-26,0.785153461812991,0.979020979020979,"MBRG",0.584415584415584,0.0562770562770563,0.700558731071646,0.0406333177258679
"39",2009-02-27,0.82441113490364,0.881118881118881,"MBRG",0.952380952380952,0,0.997758974872543,1e-10
"40",2009-03-02,0.820842255531763,0.956643356643357,"MBRG",0.350649350649351,1,0.207666788976761,0.9999999999
"41",2009-03-03,0.820842255531763,0.977622377622378,"MBRG",0.584415584415584,0.9004329004329,0.508664964348907,0.89583537056906
"42",2009-03-04,0.785153461812991,0.962237762237762,"MBRG",0.0865800865800866,0.168831168831169,0.107200567375972,0.257808195263532
"43",2009-03-05,0.80728051391863,0.945454545454545,"MBRG",0.865800865800866,0.147186147186147,0.897576800989292,0.102805982181512
"44",2009-03-06,0.80728051391863,0.965034965034965,"MBRG",0.584415584415584,0.896103896103896,0.509635350281118,0.89126508893995
