"","X1","OEH","CCO","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,1.02389486260454,1.00746268656716,NA,0.796536796536797,0.696969696969697,0.775198161568048,0.55092411655863
"3",2009-01-06,1.11589008363202,1.13582089552239,NA,0.956709956709957,0.974025974025974,0.738891886232594,0.889293546937046
"4",2009-01-07,1.07885304659498,1.01940298507463,NA,0.242424242424242,0.025974025974026,0.652238352184507,0.0172672509581124
"5",2009-01-08,1.10274790919952,0.962686567164179,"CCO",0.779220779220779,0.103896103896104,0.911191163037128,0.0383477189688794
"6",2009-01-09,1.04301075268817,0.858208955223881,"CCO",0.173160173160173,0.025974025974026,0.575453418114793,0.0253939188053684
"7",2009-01-12,0.977299880525687,0.78955223880597,"CCO",0.138528138528139,0.051948051948052,0.421910161066566,0.0813216309263359
"8",2009-01-13,0.951015531660693,0.767164179104478,"CCO",0.294372294372294,0.220779220779221,0.420550129294075,0.254770332002546
"9",2009-01-14,0.841099163679809,0.723880597014925,"CCO",0.038961038961039,0.0909090909090909,0.0867642731384057,0.359716202997154
"10",2009-01-15,0.843488649940263,0.758208955223881,"CCO",0.593073593073593,0.883116883116883,0.340326309211641,0.919544665338599
"11",2009-01-16,0.855436081242533,0.785074626865672,"CCO",0.70995670995671,0.865800865800866,0.493611295988159,0.864209694931887
"12",2009-01-20,0.776583034647551,0.7,"CCO",0.0606060606060606,0.025974025974026,0.331738619461655,0.0801793963555094
"13",2009-01-21,0.817204301075269,0.76865671641791,"CCO",0.904761904761905,0.961038961038961,0.628879802414402,0.917150819049045
"14",2009-01-22,0.802867383512545,0.695522388059701,"CCO",0.363636363636364,0.0346320346320346,0.725081693076408,0.016522625593963
"15",2009-01-23,0.789725209080048,0.77910447761194,"CCO",0.380952380952381,0.974025974025974,0.144790413569885,0.992808848439104
"16",2009-01-26,0.812425328554361,0.802985074626866,"CCO",0.826839826839827,0.852813852813853,0.692245879073005,0.766924187030735
"17",2009-01-27,0.830346475507766,0.811940298507463,"CCO",0.779220779220779,0.714285714285714,0.739515337733588,0.591921843804636
"18",2009-01-28,0.830346475507766,0.846268656716418,NA,0.558441558441558,0.878787878787879,0.311837300189971,0.922124352468469
"19",2009-01-29,0.776583034647551,0.808955223880597,NA,0.138528138528139,0.12987012987013,0.265807907019412,0.238132252032904
"20",2009-01-30,0.755077658303465,0.773134328358209,NA,0.281385281385281,0.12987012987013,0.500141822336808,0.133728800062785
"21",2009-02-02,0.73715651135006,0.711940298507463,NA,0.316017316017316,0.051948051948052,0.657286619955818,0.0337821905726777
"22",2009-02-03,0.744324970131422,0.747761194029851,NA,0.658008658008658,0.887445887445887,0.403154423810221,0.908893849342045
"23",2009-02-04,0.734767025089606,0.722388059701492,NA,0.415584415584416,0.19047619047619,0.60409682806705,0.156017489659181
"24",2009-02-05,0.728793309438471,0.734328358208955,NA,0.454545454545455,0.774891774891775,0.283289627179957,0.848882046793632
"25",2009-02-06,0.74910394265233,0.788059701492537,NA,0.826839826839827,0.943722943722944,0.527787408698184,0.928202870225436
"26",2009-02-09,0.740740740740741,0.761194029850746,NA,0.428571428571429,0.186147186147186,0.622134273049798,0.146699181106358
"27",2009-02-10,0.683393070489845,0.691044776119403,NA,0.108225108225108,0.0346320346320346,0.421649286531751,0.0627574982855732
"28",2009-02-11,0.681003584229391,0.673134328358209,NA,0.497835497835498,0.233766233766234,0.663409774525259,0.174834463975144
"29",2009-02-12,0.620071684587814,0.641791044776119,NA,0.0649350649350649,0.116883116883117,0.125629377414919,0.33875260713996
"30",2009-02-13,0.602150537634409,0.634328358208955,NA,0.281385281385281,0.376623376623377,0.287914075828007,0.483275224559497
"31",2009-02-17,0.567502986857826,0.577611940298507,NA,0.147186147186147,0.0346320346320346,0.499197143272576,0.0450210674452529
"32",2009-02-18,0.524492234169654,0.595522388059701,NA,0.108225108225108,0.852813852813853,0.0397647239215696,0.943364196739407
"33",2009-02-19,0.485065710872162,0.444776119402985,NA,0.108225108225108,0.00865800865800866,0.598854586283753,0.00983292550469132
"34",2009-02-20,0.456391875746714,0.485074626865672,NA,0.142857142857143,0.961038961038961,0.060666846250938,0.987309161700652
"35",2009-02-23,0.434886499402628,0.473134328358209,NA,0.186147186147186,0.238095238095238,0.242386670262724,0.370658763540989
"36",2009-02-24,0.500597371565114,0.517910447761194,NA,0.982683982683983,0.961038961038961,0.921902520274476,0.696215388872295
"37",2009-02-25,0.477897252090801,0.5,NA,0.19047619047619,0.186147186147186,0.294299835342292,0.282892229860506
"38",2009-02-26,0.461170848267623,0.477611940298507,NA,0.225108225108225,0.121212121212121,0.430007158150662,0.149738879332023
"39",2009-02-27,0.473118279569892,0.485074626865672,NA,0.805194805194805,0.766233766233766,0.740845842723566,0.64490987294731
"40",2009-03-02,0.39426523297491,0.401492537313433,NA,0.012987012987013,0.00865800865800866,0.210996059736715,0.106889724005251
"41",2009-03-03,0.376344086021505,0.37910447761194,NA,0.19047619047619,0.103896103896104,0.400737601258016,0.143145273917129
"42",2009-03-04,0.403823178016726,0.38955223880597,NA,0.939393939393939,0.835497835497836,0.916718622018425,0.554230821108279
"43",2009-03-05,0.38231780167264,0.380597014925373,NA,0.173160173160173,0.246753246753247,0.216186154949617,0.397922479026769
"44",2009-03-06,0.338112305854241,0.376119402985075,NA,0.038961038961039,0.376623376623377,0.0187612017616318,0.726573054820736
"45",2009-03-09,0.359617682198327,0.376119402985075,NA,0.930735930735931,0.567099567099567,0.963768613340533,0.271586602406486
