,HT,AIN
2008-02-01,1.0,1.0
2008-02-04,1.0099667774086378,0.9971687429218573
2008-02-05,0.9955703211517166,0.9708380520951302
2008-02-06,1.0188261351052048,0.9900906002265005
2008-02-07,1.017718715393134,1.0008493771234428
2008-02-08,0.9867109634551496,1.0118912797281994
2008-02-11,0.983388704318937,1.0201019252548131
2008-02-12,1.0033222591362128,1.0028312570781428
2008-02-13,1.0442967884828351,1.0184031710079275
2008-02-14,1.0132890365448506,0.9934881087202719
2008-02-15,1.008859357696567,0.9742355605889014
2008-02-19,1.0221483942414176,0.9878255945639864
2008-02-20,1.0310077519379846,1.0045300113250282
2008-02-21,1.0044296788482836,0.9776330690826728
2008-02-22,1.0055370985603544,0.9983012457531143
2008-02-25,1.0210409745293467,0.9909399773499433
2008-02-26,0.9988925802879292,1.013590033975085
2008-02-27,1.0121816168327797,0.9951868629671574
2008-02-28,1.026578073089701,0.9844280860702153
2008-02-29,0.9944629014396458,0.9719705549263873
2008-03-03,1.0011074197120708,0.9532842582106456
2008-03-04,0.9944629014396458,0.9714043035107588
2008-03-05,0.9856035437430787,0.9787655719139298
2008-03-06,0.9678848283499447,0.9524348810872028
2008-03-07,0.9700996677740864,0.9572480181200453
2008-03-10,0.9623477297895903,0.9314835787089467
2008-03-11,0.9955703211517166,0.963193657984145
2008-03-12,0.982281284606866,0.9586636466591166
2008-03-13,0.9889258028792913,0.9827293318233296
2008-03-14,0.9778516057585825,0.954983012457531
2008-03-17,0.991140642303433,0.950736126840317
2008-03-18,0.9944629014396458,1.003114382785957
2008-03-19,0.982281284606866,0.9895243488108721
2008-03-20,0.9966777408637875,1.0178369195922992
2008-03-24,1.035437430786268,1.0506795016987542
2008-03-25,1.0299003322259137,1.0574745186862968
2008-03-26,1.0221483942414176,1.0532276330690828
2008-03-27,0.9977851605758583,1.0158550396375992
2008-03-28,0.9756367663344409,1.0158550396375992
2008-03-31,1.0,1.0232163080407701
2008-04-01,1.0132890365448506,1.062004530011325
2008-04-02,1.0332225913621262,1.0469988674971686
2008-04-03,1.0409745293466224,1.0237825594563985
2008-04-04,1.035437430786268,1.024065685164213
2008-04-07,1.0420819490586932,1.0127406568516422
2008-04-08,1.0332225913621262,1.010475651189128
2008-04-09,1.0077519379844961,0.9954699886749716
2008-04-10,1.0221483942414176,1.0155719139297847
2008-04-11,1.0011074197120708,0.9685730464326161
2008-04-14,1.017718715393134,0.9606455266138165
2008-04-15,1.0287929125138426,0.982163080407701
2008-04-16,1.0686600221483944,1.034541336353341
2008-04-17,1.0575858250276857,1.0294450736126841
2008-04-18,1.0575858250276857,1.0356738391845979
2008-04-21,1.0409745293466224,1.0266138165345413
2008-04-22,1.0143964562569214,1.0019818799547
2008-04-23,1.0398671096345515,0.9923556058890146
2008-04-24,1.0586932447397566,1.0212344280860701
2008-04-25,1.0553709856035438,1.0342582106455267
2008-04-28,1.0753045404208197,1.0447338618346544
2008-04-29,1.0764119601328905,1.0382219705549265
2008-04-30,1.054263565891473,1.0277463193657983
2008-05-01,1.0764119601328905,1.0407701019252547
2008-05-02,1.047619047619048,1.044167610419026
2008-05-05,1.1495016611295683,1.0096262740656852
2008-05-06,1.1295681063122924,0.9985843714609287
2008-05-07,1.0941306755260245,0.9626274065685164
2008-05-08,1.1007751937984496,0.9510192525481315
2008-05-09,1.0775193798449614,0.9603624009060023
2008-05-12,1.1107419712070874,0.9898074745186863
2008-05-13,1.0852713178294575,0.9866930917327293
2008-05-14,1.0830564784053156,0.9849943374858436
2008-05-15,1.0852713178294575,0.9810305775764439
2008-05-16,1.0841638981173864,0.9787655719139298
2008-05-19,1.0852713178294575,0.9699886749716874
2008-05-20,1.062015503875969,0.9561155152887884
2008-05-21,1.0642303433001108,0.9546998867497168
2008-05-22,1.0775193798449614,0.9637599093997735
2008-05-23,1.0908084163898117,0.9464892412231031
2008-05-27,1.0908084163898117,0.953850509626274
2008-05-28,1.0830564784053156,0.9530011325028311
2008-05-29,1.0730897009966778,0.983295583238958
2008-05-30,1.0531561461794021,0.9798980747451869
2008-06-02,0.9933554817275749,0.9595130237825594
2008-06-03,0.9977851605758583,0.9603624009060023
2008-06-04,1.0033222591362128,0.9830124575311437
2008-06-05,1.0132890365448506,1.0050962627406568
2008-06-06,0.9922480620155041,0.9629105322763306
2008-06-09,1.002214839424142,0.9555492638731596
2008-06-10,0.9988925802879292,0.9532842582106456
2008-06-11,0.991140642303433,0.9218573046432617
2008-06-12,0.9933554817275749,0.9176104190260475
2008-06-13,0.9966777408637875,0.9178935447338619
2008-06-16,0.9988925802879292,0.9181766704416761
2008-06-17,0.9844961240310078,0.912797281993205
2008-06-18,0.9158361018826136,0.9034541336353341
2008-06-19,0.930232558139535,0.9312004530011325
2008-06-20,0.9114064230343302,0.9176104190260475
2008-06-23,0.8936877076411961,0.8972253680634202
2008-06-24,0.8903654485049833,0.8751415628539071
2008-06-25,0.8870431893687708,0.8847678369195923
2008-06-26,0.8449612403100776,0.8482446206115516
2008-06-27,0.8117386489479513,0.8219139297848245
2008-06-30,0.8361018826135106,0.8210645526613817
2008-07-01,0.7829457364341086,0.8304077010192525
2008-07-02,0.7818383167220376,0.8091732729331823
2008-07-03,0.7486157253599114,0.8196489241223103
2008-07-07,0.7452934662236989,0.8040770101925254
2008-07-08,0.8693244739756368,0.8241789354473386
2008-07-09,0.7375415282392027,0.8057757644394111
2008-07-10,0.7486157253599114,0.8086070215175537
2008-07-11,0.707641196013289,0.7873725934314836
2008-07-14,0.6866002214839425,0.7763306908267271
