"","X1","HHS","TILE","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,1.01071975497703,0.995959595959596,NA,0.705627705627706,0.484848484848485,0.75948136406371,0.33712254443486
"3",2009-01-06,1.09035222052067,1.0040404040404,NA,0.982683982683983,0.619047619047619,0.995273551527188,0.118251788359102
"4",2009-01-07,1.104134762634,0.953535353535353,"TILE",0.714285714285714,0.116883116883117,0.927686308211199,0.028238004868686
"5",2009-01-08,1.09954058192956,0.95959595959596,"TILE",0.541125541125541,0.606060606060606,0.474898709449943,0.603161546073402
"6",2009-01-09,1.13169984686064,0.870707070707071,"TILE",0.874458874458874,0.038961038961039,0.992178438741431,0.00213462920826732
"7",2009-01-12,1.13476263399694,0.85050505050505,"TILE",0.614718614718615,0.285714285714286,0.764772510449587,0.170629240112149
"8",2009-01-13,1.1531393568147,0.846464646464646,"TILE",0.766233766233766,0.476190476190476,0.831028483619356,0.285906493536947
"9",2009-01-14,1.09800918836141,0.8,"TILE",0.0692640692640693,0.103896103896104,0.173063239752684,0.361826406270712
"10",2009-01-15,1.17457886676876,0.838383838383838,"TILE",0.978354978354978,0.917748917748918,0.95544920388026,0.449111399620292
"11",2009-01-16,1.16845329249617,0.826262626262626,"TILE",0.515151515151515,0.385281385281385,0.586624771165665,0.332537425672016
"12",2009-01-20,1.14088820826953,0.749494949494949,"TILE",0.229437229437229,0.038961038961039,0.733924673723191,0.0289859729335907
"13",2009-01-21,1.18683001531394,0.757575757575758,"TILE",0.917748917748918,0.645021645021645,0.945258845741638,0.295896835132755
"14",2009-01-22,1.11179173047473,0.757575757575758,"TILE",0.038961038961039,0.545454545454545,0.00702466235095807,0.928480442690704
"15",2009-01-23,1.13169984686064,0.83030303030303,"TILE",0.774891774891775,0.982683982683983,0.205508718290731,0.991283463836595
"16",2009-01-26,1.14854517611026,0.834343434343434,"TILE",0.757575757575758,0.601731601731602,0.768412268113038,0.441593670810346
"17",2009-01-27,1.14395099540582,0.846464646464646,"TILE",0.545454545454545,0.666666666666667,0.439176312248325,0.679921684119559
"18",2009-01-28,1.20367534456355,0.901010101010101,"TILE",0.948051948051948,0.961038961038961,0.707745933221656,0.832377922285252
"19",2009-01-29,1.11026033690658,0.878787878787879,"TILE",0.025974025974026,0.268398268398268,0.0117591100792751,0.830333128750118
"20",2009-01-30,0.964777947932619,0.824242424242424,"TILE",0,0.0909090909090909,1e-10,0.999999903800548
"21",2009-02-02,0.995405819295559,0.826262626262626,"TILE",0.883116883116883,0.58008658008658,0.922827381729465,0.284860455532821
"22",2009-02-03,0.964777947932619,0.822222222222222,"TILE",0.164502164502165,0.476190476190476,0.0997496316774292,0.729367739233078
"23",2009-02-04,0.924961715160796,0.824242424242424,"TILE",0.0995670995670996,0.58008658008658,0.0320002643267484,0.874559056039205
"24",2009-02-05,0.946401225114854,0.828282828282828,"TILE",0.83982683982684,0.601731601731602,0.870712145752307,0.359981782819294
"25",2009-02-06,0.989280245022971,0.836363636363636,"TILE",0.935064935064935,0.636363636363636,0.962570644735894,0.254161737401828
"26",2009-02-09,0.978560490045942,0.824242424242424,"TILE",0.393939393939394,0.385281385281385,0.429377305702546,0.411541251961501
"27",2009-02-10,0.937212863705972,0.775757575757576,"TILE",0.0995670995670996,0.0909090909090909,0.285933051000983,0.242304533427349
"28",2009-02-11,0.937212863705972,0.775757575757576,"TILE",0.584415584415584,0.545454545454545,0.571859910690696,0.494935052880604
"29",2009-02-12,0.946401225114854,0.725252525252525,"TILE",0.688311688311688,0.0822510822510823,0.936336948783483,0.0164771785146044
"30",2009-02-13,0.950995405819296,0.703030303030303,"TILE",0.636363636363636,0.207792207792208,0.83110230319916,0.0953315927308677
"31",2009-02-17,0.915773353751914,0.6,"TILE",0.142857142857143,0.00865800865800866,0.849182782515609,0.00522563929343819
"32",2009-02-18,0.915773353751914,0.563636363636364,"TILE",0.584415584415584,0.0909090909090909,0.885068989732989,0.0270133342189723
"33",2009-02-19,0.860643185298622,0.575757575757576,"TILE",0.0432900432900433,0.727272727272727,0.00463171092867619,0.96959897950726
"34",2009-02-20,0.843797856049004,0.55959595959596,"TILE",0.268398268398268,0.225108225108225,0.395870346753786,0.286009188584665
"35",2009-02-23,0.831546707503828,0.535353535353535,"TILE",0.333333333333333,0.134199134199134,0.614815588556441,0.114928861697567
"36",2009-02-24,0.886676875957121,0.549494949494949,"TILE",0.974025974025974,0.792207792207792,0.982221835814945,0.27174026599073
"37",2009-02-25,0.81010719754977,0.547474747474747,"TILE",0.0216450216450216,0.493506493506494,0.00300907559464428,0.943169294407751
"38",2009-02-26,0.813169984686064,0.414141414141414,"TILE",0.619047619047619,0,0.999999994486045,1e-10
"39",2009-02-27,0.859111791730475,0.45050505050505,"TILE",0.948051948051948,0.974025974025974,0.609408665999046,0.897231014892394
"40",2009-03-02,0.796324655436447,0.444444444444444,"TILE",0.0303030303030303,0.38961038961039,0.00824737767892659,0.88629709641519
"41",2009-03-03,0.773353751914242,0.458585858585859,"TILE",0.177489177489178,0.844155844155844,0.0379011914897604,0.962070796246257
"42",2009-03-04,0.774885145482389,0.456565656565657,"TILE",0.597402597402597,0.476190476190476,0.631503555962527,0.396538582563642
"43",2009-03-05,0.719754977029097,0.412121212121212,"TILE",0.0303030303030303,0.0346320346320346,0.205632010863934,0.262004326655973
"44",2009-03-06,0.712098009188361,0.4,"TILE",0.406926406926407,0.220779220779221,0.59161121887186,0.188513316986923
