,HNT,CVO
2008-02-01,1.0,1.0
2008-02-04,0.9818691992229658,0.9666666666666666
2008-02-05,0.991797971077056,0.9285714285714285
2008-02-06,1.0010792143319664,0.9357142857142857
2008-02-07,0.9773364990287071,0.9494047619047619
2008-02-08,0.9844593136196849,0.9488095238095238
2008-02-11,0.9859702136844377,0.944047619047619
2008-02-12,0.9892078566803367,0.9648809523809524
2008-02-13,0.9997841571336068,0.9732142857142858
2008-02-14,0.9818691992229658,0.9375
2008-02-15,1.0325922728253831,0.9130952380952381
2008-02-19,1.0384200302180013,0.9261904761904762
2008-02-20,1.041441830347507,0.9678571428571429
2008-02-21,1.0271962011655515,0.919047619047619
2008-02-22,1.012950571983596,0.9035714285714285
2008-02-25,1.014461472048349,0.9464285714285714
2008-02-26,1.012950571983596,0.944642857142857
2008-02-27,1.0034534858622923,0.9595238095238096
2008-02-28,0.9874811137491907,0.888095238095238
2008-02-29,0.9484135549320095,0.8952380952380952
2008-03-03,0.9425857975393914,0.8619047619047618
2008-03-04,0.9330887114180876,0.844642857142857
2008-03-05,0.9408590546082453,0.8279761904761904
2008-03-06,0.9076192531836823,0.7827380952380952
2008-03-07,0.9108568961795813,0.7726190476190476
2008-03-10,0.9289876969566156,0.75
2008-03-11,0.7463846319879128,0.8065476190476191
2008-03-12,0.7761709475501836,0.7988095238095237
2008-03-13,0.765162961364127,0.8125
2008-03-14,0.7450895747895533,0.6863095238095237
2008-03-17,0.6984675156486079,0.65
2008-03-18,0.669328728685517,0.6749999999999999
2008-03-19,0.6643643427584719,0.65
2008-03-20,0.6652277142240449,0.65
2008-03-24,0.6930714439887762,0.6642857142857143
2008-03-25,0.6902654867256638,0.6720238095238095
2008-03-26,0.6876753723289445,0.65
2008-03-27,0.694582344053529,0.6041666666666666
2008-03-28,0.6583207424994604,0.618452380952381
2008-03-31,0.6647960284912584,0.6226190476190476
2008-04-01,0.6885387437945176,0.6773809523809524
2008-04-02,0.6794733434060005,0.6744047619047618
2008-04-03,0.6639326570256854,0.6827380952380953
2008-04-04,0.6399740988560328,0.681547619047619
2008-04-07,0.6496870278437298,0.6767857142857142
2008-04-08,0.6501187135765163,0.6696428571428571
2008-04-09,0.6302611698683359,0.6601190476190476
2008-04-10,0.6350097129289878,0.6529761904761905
2008-04-11,0.6261601554068639,0.6059523809523809
2008-04-14,0.6218432980789985,0.5988095238095238
2008-04-15,0.639326570256853,0.5916666666666666
2008-04-16,0.6272393697388301,0.5982142857142857
2008-04-17,0.625512626807684,0.5863095238095237
2008-04-18,0.6224908266781783,0.593452380952381
2008-04-21,0.6127778976904814,0.5839285714285715
2008-04-22,0.5804014677314915,0.5607142857142857
2008-04-23,0.6205482408806389,0.5624999999999999
2008-04-24,0.6157996978199871,0.5720238095238095
2008-04-25,0.6319879127994821,0.5696428571428571
2008-04-28,0.6399740988560328,0.6107142857142857
2008-04-29,0.6414849989207857,0.6101190476190476
2008-04-30,0.6322037556658753,0.6113095238095237
2008-05-01,0.6209799266134255,0.6291666666666667
2008-05-02,0.6233541981437514,0.6333333333333333
2008-05-05,0.6332829699978416,0.6136904761904762
2008-05-06,0.6227066695445717,0.6142857142857143
2008-05-07,0.6166630692855601,0.6327380952380952
2008-05-08,0.6065184545650767,0.6684523809523809
2008-05-09,0.6060867688322901,0.6464285714285714
2008-05-12,0.5950787826462336,0.6648809523809524
2008-05-13,0.5955104683790201,0.6749999999999999
2008-05-14,0.5892510252536154,0.669047619047619
2008-05-15,0.581696524929851,0.6928571428571428
2008-05-16,0.588171810921649,0.6720238095238095
2008-05-19,0.5918411396503346,0.6630952380952381
2008-05-20,0.6330671271314483,0.6482142857142857
2008-05-21,0.6486078135117634,0.6267857142857142
2008-05-22,0.6924239153895964,0.650595238095238
2008-05-23,0.6632851284265056,0.6607142857142857
2008-05-27,0.662853442693719,0.6916666666666665
2008-05-28,0.6578890567666739,0.6809523809523809
2008-05-29,0.6835743578674726,0.7071428571428572
2008-05-30,0.6691128858191236,0.6952380952380952
2008-06-02,0.6520612993740558,0.7178571428571429
2008-06-03,0.6544355709043816,0.7351190476190476
2008-06-04,0.645801856248651,0.756547619047619
2008-06-05,0.6565939995683143,0.7749999999999999
2008-06-06,0.6384631987912799,0.750595238095238
2008-06-09,0.6341463414634146,0.736904761904762
2008-06-10,0.6304770127347291,0.7345238095238095
2008-06-11,0.6270235268724369,0.694047619047619
2008-06-12,0.6186056550830995,0.7136904761904762
2008-06-13,0.6283185840707964,0.7208333333333332
2008-06-16,0.6216274552126052,0.7178571428571429
2008-06-17,0.6242175696093245,0.7017857142857142
2008-06-18,0.6162313835527736,0.6726190476190477
2008-06-19,0.5769479818691993,0.6791666666666667
2008-06-20,0.5698251672782214,0.6464285714285714
2008-06-23,0.5663716814159292,0.6458333333333333
2008-06-24,0.5620548240880638,0.6208333333333332
2008-06-25,0.5590330239585581,0.6547619047619048
2008-06-26,0.5385279516511979,0.6160714285714285
2008-06-27,0.535290308655299,0.6017857142857143
2008-06-30,0.5193179365421973,0.581547619047619
2008-07-01,0.5361536801208721,0.5464285714285714
2008-07-02,0.5534211094323332,0.5416666666666666
2008-07-03,0.4867256637168142,0.5357142857142857
2008-07-07,0.48564644938484786,0.5101190476190476
2008-07-08,0.5050723073602418,0.49464285714285716
2008-07-09,0.5089574789553205,0.5267857142857142
2008-07-10,0.49751780703647747,0.5053571428571428
2008-07-11,0.494711849773365,0.5089285714285714
2008-07-14,0.4834880207209152,0.48690476190476184
2008-07-15,0.4845672350528815,0.48988095238095236
