"","X1","DK","TSO","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,1.06739526411658,1.04205946337926,NA,0.904761904761905,0.787878787878788,0.885737995749809,0.440012411481251
"3",2009-01-06,1.09289617486339,1.06598984771574,NA,0.714285714285714,0.67965367965368,0.654262840063605,0.557424730525802
"4",2009-01-07,1.10746812386157,1.01450326323423,NA,0.675324675324675,0.194805194805195,0.897103082631058,0.0639580766105611
"5",2009-01-08,1.15846994535519,1.08194343727339,NA,0.831168831168831,0.878787878787879,0.590158795811003,0.788937661129611
"6",2009-01-09,1.05828779599271,1.06744017403916,NA,0.0649350649350649,0.411255411255411,0.0243871197345238,0.825940127956546
"7",2009-01-12,1.04189435336976,1.04568527918782,NA,0.402597402597403,0.359307359307359,0.492086752502428,0.380494560224956
"8",2009-01-13,1.11475409836066,1.06816533720087,NA,0.904761904761905,0.666666666666667,0.939150726628943,0.275330555127127
"9",2009-01-14,1.09289617486339,0.998549673676577,NA,0.367965367965368,0.116883116883117,0.728964763308853,0.0730143345219616
"10",2009-01-15,1.19307832422587,1.04641044234953,"TSO",0.939393939393939,0.813852813852814,0.931200596135713,0.390652854299681
"11",2009-01-16,1.16029143897996,1.15373459028281,"TSO",0.324675324675325,0.965367965367965,0.0641844834099031,0.994517831778034
"12",2009-01-20,1.15664845173042,1.0891950688905,"TSO",0.532467532467532,0.16017316017316,0.826210274818286,0.0691233049603534
"13",2009-01-21,1.34972677595628,1.11240029006526,"TSO",0.982683982683983,0.666666666666667,0.995601699268021,0.14175548630376
"14",2009-01-22,1.20947176684882,1.06961566352429,"TSO",0.0432900432900433,0.242424242424242,0.0279220255967327,0.736526832135374
"15",2009-01-23,1.23132969034608,1.12327773749094,"TSO",0.692640692640693,0.818181818181818,0.441155399295201,0.812034660078377
"16",2009-01-26,1.31147540983607,1.19071791153009,"TSO",0.9004329004329,0.861471861471861,0.798329124982482,0.611782747840153
"17",2009-01-27,1.32786885245902,1.1595358955765,"TSO",0.670995670995671,0.32034632034632,0.848220461178415,0.148474753858552
"18",2009-01-28,1.35336976320583,1.2291515591008,"TSO",0.696969696969697,0.861471861471861,0.380918279540141,0.873944854390464
"19",2009-01-29,1.30054644808743,1.23857868020305,"TSO",0.246753246753247,0.588744588744589,0.119939236915872,0.817438122728698
"20",2009-01-30,1.26593806921676,1.24945612762872,"TSO",0.324675324675325,0.588744588744589,0.192788878058733,0.769487796866845
"21",2009-02-02,1.3224043715847,1.18129079042785,"TSO",0.826839826839827,0.173160173160173,0.961325895516888,0.038674104483112
"22",2009-02-03,1.33515482695811,1.24800580130529,"TSO",0.649350649350649,0.844155844155844,0.342790143365164,0.875883640484465
"23",2009-02-04,1.34061930783242,1.28426395939086,"TSO",0.606060606060606,0.735930735930736,0.416845922126015,0.755508542865383
"24",2009-02-05,1.35336976320583,1.2422044960116,"TSO",0.649350649350649,0.264069264069264,0.855902058877613,0.113098817163223
"25",2009-02-06,1.40437158469945,1.28426395939086,"TSO",0.796536796536797,0.770562770562771,0.696272930599569,0.610592461717664
"26",2009-02-09,1.44990892531876,1.34010152284264,"TSO",0.766233766233766,0.787878787878788,0.614899827515444,0.685207252820818
"27",2009-02-10,1.43533697632058,1.27338651196519,"TSO",0.458874458874459,0.186147186147186,0.744203329677654,0.111772376108409
"28",2009-02-11,1.38433515482696,1.28208846990573,"TSO",0.272727272727273,0.584415584415584,0.144150519437689,0.798381946700754
"29",2009-02-12,1.46265938069217,1.38578680203046,"TSO",0.883116883116883,0.917748917748918,0.622015577517045,0.810734689433211
"30",2009-02-13,1.54280510018215,1.3437273386512,"TSO",0.874458874458874,0.285714285714286,0.969797200572314,0.0696933313721872
"31",2009-02-17,1.3752276867031,1.2741116751269,"TSO",0.0432900432900433,0.181818181818182,0.0423825341715494,0.661580717579142
"32",2009-02-18,1.2695810564663,1.21537345902828,"TSO",0.0779220779220779,0.207792207792208,0.0867640708179869,0.596162700454684
"33",2009-02-19,1.24954462659381,1.17476432197244,"TSO",0.402597402597403,0.264069264069264,0.595559472253411,0.237850859777291
"34",2009-02-20,1.15482695810565,1.02465554749819,"TSO",0.0779220779220779,0.0303030303030303,0.488480913590077,0.0798892913307898
"35",2009-02-23,1.0856102003643,1.03263234227701,"TSO",0.125541125541126,0.588744588744589,0.0400723563724707,0.878274338401715
"36",2009-02-24,1.16939890710383,1.07976794778825,"TSO",0.922077922077922,0.792207792207792,0.913235929182013,0.403837299545316
"37",2009-02-25,1.19672131147541,1.10079767947788,"TSO",0.714285714285714,0.658008658008658,0.676336596951405,0.521963947398699
"38",2009-02-26,1.26047358834244,1.1145757795504,"TSO",0.874458874458874,0.623376623376623,0.920858802793018,0.273404887313082
"39",2009-02-27,1.23861566484517,1.070340826686,"TSO",0.38961038961039,0.238095238095238,0.606762943436841,0.210752288715463
"40",2009-03-02,1.09107468123862,0.968092820884699,"TSO",0.0303030303030303,0.0735930735930736,0.0860169002699423,0.471842065330448
"41",2009-03-03,1.08014571948998,0.971718636693256,"TSO",0.458874458874459,0.554112554112554,0.387341840556621,0.619444771512038
"42",2009-03-04,1.16757741347905,1,"TSO",0.926406926406926,0.735930735930736,0.943265498370156,0.312520026003206
"43",2009-03-05,1.09653916211293,0.912255257432922,"TSO",0.125541125541126,0.0909090909090909,0.376947671711059,0.199236755314162
"44",2009-03-06,1.22040072859745,0.886874546773024,"TSO",0.956709956709957,0.303030303030303,0.992787834207352,0.060919599510709
