,PFG,M
2008-02-01,1.0,1.0
2008-02-04,0.9771279202744649,0.9657142857142856
2008-02-05,0.8675053095899363,0.8964285714285715
2008-02-06,0.8815553014213364,0.8550000000000001
2008-02-07,0.9083483090998203,0.8967857142857143
2008-02-08,0.8987093612154876,0.8642857142857142
2008-02-11,0.8871099493546806,0.8953571428571429
2008-02-12,0.909165169090018,0.8853571428571428
2008-02-13,0.9361215487665413,0.8724999999999999
2008-02-14,0.9201110929586669,0.8607142857142858
2008-02-15,0.9277895768665251,0.9064285714285714
2008-02-19,0.9300767848390785,0.875357142857143
2008-02-20,0.9304035288351576,0.8903571428571428
2008-02-21,0.961607580460709,0.8803571428571428
2008-02-22,0.9531122365626532,0.8792857142857143
2008-02-25,0.9782715242607417,0.8842857142857143
2008-02-26,0.9818657082176115,0.9471428571428572
2008-02-27,0.9848064041823231,0.9482142857142858
2008-02-28,0.9410227087077275,0.9117857142857143
2008-02-29,0.9023035451723574,0.8814285714285715
2008-03-03,0.8918477372978272,0.8832142857142857
2008-03-04,0.8851494853782061,0.9
2008-03-05,0.8879268093448783,0.9028571428571429
2008-03-06,0.8500245057997059,0.8414285714285714
2008-03-07,0.8443064858683221,0.8360714285714286
2008-03-10,0.8250285900996569,0.8307142857142857
2008-03-11,0.8568861297173664,0.8610714285714286
2008-03-12,0.8516582257801013,0.8285714285714285
2008-03-13,0.8452867178565594,0.8307142857142857
2008-03-14,0.8029733703643195,0.8046428571428572
2008-03-17,0.7934977944780265,0.7692857142857142
2008-03-18,0.8541088057506944,0.8092857142857143
2008-03-19,0.8675053095899363,0.8296428571428571
2008-03-20,0.9062244731253063,0.8875000000000001
2008-03-24,0.9192942329684692,0.9403571428571428
2008-03-25,0.9263192288841693,0.9114285714285714
2008-03-26,0.8936448292762621,0.8632142857142858
2008-03-27,0.8993628492076458,0.8342857142857143
2008-03-28,0.8929913412841038,0.7846428571428571
2008-03-31,0.9103087730762947,0.8235714285714285
2008-04-01,0.9586668844959974,0.8810714285714286
2008-04-02,0.9522953765724554,0.8803571428571428
2008-04-03,0.9423296846920438,0.8735714285714286
2008-04-04,0.9356314327724229,0.8542857142857143
2008-04-07,0.9333442247998693,0.8528571428571429
2008-04-08,0.9214180689429832,0.8635714285714285
2008-04-09,0.9031204051625551,0.8289285714285715
2008-04-10,0.8990361052115667,0.8439285714285714
2008-04-11,0.8693024015683711,0.8257142857142857
2008-04-14,0.852475085770299,0.8135714285714286
2008-04-15,0.857376245711485,0.8207142857142857
2008-04-16,0.8792680934487829,0.8014285714285715
2008-04-17,0.8782878614605456,0.8103571428571429
2008-04-18,0.898219245221369,0.8471428571428571
2008-04-21,0.8805750694330992,0.8575
2008-04-22,0.868322169580134,0.8332142857142857
2008-04-23,0.8526384577683385,0.8285714285714285
2008-04-24,0.875020421499755,0.87
2008-04-25,0.8831890214017317,0.9132142857142858
2008-04-28,0.8903773893154713,0.9103571428571428
2008-04-29,0.8925012252899853,0.9232142857142858
2008-04-30,0.8766541414801502,0.9032142857142856
2008-05-01,0.9176605129880738,0.9392857142857143
2008-05-02,0.9462506126449927,0.9392857142857143
2008-05-05,0.934161084790067,0.8960714285714285
2008-05-06,0.9230517889233785,0.9064285714285714
2008-05-07,0.8892337853291945,0.8832142857142857
2008-05-08,0.8655448456134618,0.8525
2008-05-09,0.8751837934977945,0.8289285714285715
2008-05-12,0.9068779611174644,0.8560714285714285
2008-05-13,0.8903773893154713,0.8592857142857142
2008-05-14,0.9013233131841203,0.8903571428571428
2008-05-15,0.915863421009639,0.9042857142857142
2008-05-16,0.9112890050645319,0.9007142857142857
2008-05-19,0.9217448129390623,0.8864285714285715
2008-05-20,0.8903773893154713,0.8771428571428571
2008-05-21,0.8588465936938409,0.8278571428571428
2008-05-22,0.8768175134781898,0.8289285714285715
2008-05-23,0.8532919457604966,0.8032142857142857
2008-05-27,0.8693024015683711,0.8164285714285714
2008-05-28,0.8675053095899363,0.8332142857142857
2008-05-29,0.8835157653978107,0.8596428571428572
2008-05-30,0.8802483254370201,0.8453571428571429
2008-06-02,0.8552524097369711,0.8150000000000001
2008-06-03,0.8451233458585198,0.8164285714285714
2008-06-04,0.8421826498938081,0.8014285714285715
2008-06-05,0.8536186897565757,0.8332142857142857
2008-06-06,0.8036268583564776,0.7946428571428571
2008-06-09,0.8078745303055057,0.7699999999999999
2008-06-10,0.8134291782388499,0.7839285714285714
2008-06-11,0.7890867505309589,0.745
2008-06-12,0.8129390622447312,0.7610714285714285
2008-06-13,0.82747917007025,0.7914285714285715
2008-06-16,0.823231498121222,0.7982142857142858
2008-06-17,0.8034634863584381,0.7875
2008-06-18,0.7908838425093938,0.7507142857142857
2008-06-19,0.820780918150629,0.775
2008-06-20,0.7885966345368405,0.7467857142857143
2008-06-23,0.7423623590916516,0.7189285714285714
2008-06-24,0.7457931710504819,0.6928571428571428
2008-06-25,0.7675216467897402,0.715
2008-06-26,0.7091978434896258,0.6957142857142857
2008-06-27,0.6946577356641073,0.6975
2008-06-30,0.6856722757719327,0.6935714285714286
2008-07-01,0.669335075967979,0.6910714285714287
2008-07-02,0.6770135598758372,0.6725
2008-07-03,0.6701519359581768,0.6607142857142857
2008-07-07,0.6515275281816697,0.6635714285714285
2008-07-08,0.682404835811142,0.6742857142857143
2008-07-09,0.6462996242444046,0.6442857142857142
2008-07-10,0.6307792844306486,0.5853571428571429
2008-07-11,0.6103577846757066,0.5564285714285714
2008-07-14,0.5971246528345041,0.5814285714285715
2008-07-15,0.5796438490442738,0.5682142857142857
2008-07-16,0.6152589446168926,0.6221428571428572
2008-07-17,0.6413984643032183,0.6578571428571429
2008-07-18,0.6482600882208789,0.6460714285714285
2008-07-21,0.6268583564776997,0.6328571428571428
2008-07-22,0.6686815879758209,0.6625
2008-07-23,0.6931873876817514,0.6839285714285713
2008-07-24,0.6727658879268094,0.6539285714285714
2008-07-25,0.6739094919130861,0.6453571428571429
2008-07-28,0.6477699722267602,0.6289285714285714
2008-07-29,0.6863257637640908,0.6635714285714285
2008-07-30,0.6987420356150956,0.6764285714285715
2008-07-31,0.6944943636660676,0.6717857142857142
2008-08-01,0.6858356477699722,0.6489285714285715
2008-08-04,0.7008658715896096,0.6389285714285714
2008-08-05,0.7750367586995589,0.6960714285714286
2008-08-06,0.7686652507760169,0.7028571428571428
2008-08-07,0.734520503185754,0.6757142857142858
2008-08-08,0.7513478189838262,0.7403571428571428
