,KMX,MWW
2008-02-01,1.0,1.0
2008-02-04,0.9839130434782608,0.9755197853789402
2008-02-05,0.8869565217391304,0.9248826291079811
2008-02-06,0.8830434782608695,0.9124748490945674
2008-02-07,0.8695652173913043,0.8900067069081153
2008-02-08,0.8652173913043477,0.892354124748491
2008-02-11,0.8600000000000001,0.9097920858484239
2008-02-12,0.838695652173913,0.8906773977196512
2008-02-13,0.838695652173913,0.937290409121395
2008-02-14,0.8195652173913044,0.9107981220657277
2008-02-15,0.8165217391304348,0.9101274312541918
2008-02-19,0.8195652173913044,0.9071093226022804
2008-02-20,0.8591304347826088,0.9423205902079141
2008-02-21,0.8404347826086955,0.908115358819584
2008-02-22,0.8439130434782609,0.9379610999329309
2008-02-25,0.8830434782608695,0.9550637156270959
2008-02-26,0.9047826086956521,0.9788732394366197
2008-02-27,0.8704347826086957,0.9761904761904762
2008-02-28,0.831304347826087,0.9312541918175721
2008-02-29,0.7982608695652174,0.891683433936955
2008-03-03,0.8208695652173913,0.8742454728370221
2008-03-04,0.8056521739130436,0.8628437290409121
2008-03-05,0.8117391304347826,0.9091213950368879
2008-03-06,0.8056521739130436,0.8460764587525151
2008-03-07,0.7756521739130434,0.8299798792756539
2008-03-10,0.7578260869565218,0.8028169014084507
2008-03-11,0.8052173913043478,0.8427230046948356
2008-03-12,0.8091304347826087,0.87458081824279
2008-03-13,0.8178260869565217,0.8682092555331992
2008-03-14,0.8326086956521739,0.8390342052313883
2008-03-17,0.7917391304347826,0.8078470824949698
2008-03-18,0.8913043478260869,0.8618376928236083
2008-03-19,0.8452173913043479,0.7806841046277666
2008-03-20,0.8934782608695653,0.8128772635814888
2008-03-24,0.9234782608695652,0.8809523809523809
2008-03-25,0.9321739130434783,0.8893360160965794
2008-03-26,0.8573913043478261,0.8427230046948356
2008-03-27,0.8343478260869566,0.8189134808853119
2008-03-28,0.8347826086956521,0.8189134808853119
2008-03-31,0.8443478260869566,0.8118712273641852
2008-04-01,0.8517391304347826,0.8326626425217973
2008-04-02,0.8721739130434782,0.8631790744466801
2008-04-03,0.8830434782608695,0.858148893360161
2008-04-04,0.8852173913043478,0.8765928906773978
2008-04-07,0.8534782608695651,0.8370221327967807
2008-04-08,0.8434782608695651,0.8232729711602951
2008-04-09,0.8252173913043478,0.7873910127431254
2008-04-10,0.8204347826086957,0.7739771965124077
2008-04-11,0.8091304347826087,0.7454728370221329
2008-04-14,0.8117391304347826,0.755533199195171
2008-04-15,0.821304347826087,0.7431254191817572
2008-04-16,0.8830434782608695,0.7743125419181757
2008-04-17,0.8978260869565217,0.7622401073105298
2008-04-18,0.92,0.7890677397719652
2008-04-21,0.9091304347826087,0.7867203219315896
2008-04-22,0.8765217391304347,0.7655935613682092
2008-04-23,0.8760869565217391,0.7763246143527833
2008-04-24,0.8956521739130435,0.7954393024815559
2008-04-25,0.9152173913043479,0.8132126089872569
2008-04-28,0.9195652173913043,0.8162307176391683
2008-04-29,0.9447826086956522,0.8132126089872569
2008-04-30,0.9021739130434783,0.8158953722334004
2008-05-01,0.9030434782608695,0.8571428571428571
2008-05-02,0.9265217391304347,0.8879946344735077
2008-05-05,0.9339130434782609,0.858148893360161
2008-05-06,0.9160869565217391,0.8906773977196512
2008-05-07,0.8917391304347827,0.8853118712273641
2008-05-08,0.9021739130434783,0.8913480885311871
2008-05-09,0.8934782608695653,0.8940308517773307
2008-05-12,0.8982608695652174,0.9279007377598928
2008-05-13,0.908695652173913,0.9171696847753186
2008-05-14,0.9104347826086957,0.9255533199195172
2008-05-15,0.9247826086956522,0.9416498993963782
2008-05-16,0.9213043478260871,0.9282360831656606
2008-05-19,0.9256521739130434,0.9067739771965123
2008-05-20,0.9330434782608696,0.8950368879946345
2008-05-21,0.8960869565217391,0.8685446009389671
2008-05-22,0.8708695652173913,0.8554661301140175
2008-05-23,0.8495652173913043,0.8242790073775988
2008-05-27,0.8573913043478261,0.8242790073775988
2008-05-28,0.8613043478260869,0.8091884641180416
2008-05-29,0.8621739130434782,0.8172367538564722
2008-05-30,0.8547826086956521,0.8279678068410463
2008-06-02,0.8534782608695651,0.7987927565392354
2008-06-03,0.8421739130434783,0.8115358819584172
2008-06-04,0.8365217391304347,0.8169014084507042
2008-06-05,0.831304347826087,0.8098591549295774
2008-06-06,0.8078260869565217,0.7736418511066399
2008-06-09,0.8021739130434782,0.7629107981220657
2008-06-10,0.7930434782608695,0.7625754527162977
2008-06-11,0.7730434782608696,0.7317236753856472
2008-06-12,0.7630434782608696,0.7448021462105969
2008-06-13,0.777391304347826,0.7639168343393696
2008-06-16,0.792608695652174,0.7521797451374916
2008-06-17,0.7973913043478261,0.738430583501006
2008-06-18,0.7104347826086956,0.7142857142857143
2008-06-19,0.6852173913043478,0.7327297116029511
2008-06-20,0.6747826086956522,0.7085848423876593
2008-06-23,0.6556521739130435,0.69382964453387
2008-06-24,0.6526086956521739,0.6958417169684775
2008-06-25,0.672608695652174,0.7122736418511065
2008-06-26,0.6491304347826087,0.6914822266934944
2008-06-27,0.6456521739130434,0.7035546613011402
2008-06-30,0.6169565217391304,0.6911468812877263
2008-07-01,0.6156521739130435,0.6535881958417169
2008-07-02,0.5856521739130435,0.6260898725687458
2008-07-03,0.5717391304347826,0.6173708920187794
2008-07-07,0.568695652173913,0.6173708920187794
2008-07-08,0.5917391304347825,0.6421864520456069
2008-07-09,0.5869565217391305,0.6146881287726358
2008-07-10,0.5673913043478261,0.624748490945674
2008-07-11,0.5208695652173914,0.602280348759222
2008-07-14,0.5117391304347826,0.5875251509054326
