"","X1","YUM","TWC","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,1.0271875,0.987398739873988,NA,0.857142857142857,0.311688311688312,0.941164824409546,0.0870491363798656
"3",2009-01-06,1.0253125,1.01935193519352,NA,0.467532467532468,0.9004329004329,0.170389354456154,0.938143482466124
"4",2009-01-07,0.98875,0.97029702970297,NA,0.0909090909090909,0.0476190476190476,0.479211635692604,0.123146862838451
"5",2009-01-08,0.9840625,0.951845184518452,NA,0.424242424242424,0.216450216450216,0.651825331720812,0.154737605376685
"6",2009-01-09,0.956875,0.925292529252925,NA,0.138528138528139,0.125541125541126,0.333137438495093,0.270414619486517
"7",2009-01-12,0.95375,0.884788478847885,NA,0.454545454545455,0.051948051948052,0.898419776439395,0.0119605290937336
"8",2009-01-13,0.9340625,0.871287128712871,NA,0.216450216450216,0.272727272727273,0.266335838863673,0.436264741865171
"9",2009-01-14,0.896875,0.851035103510351,NA,0.0692640692640693,0.164502164502165,0.0947739866279994,0.575943561056444
"10",2009-01-15,0.9234375,0.87038703870387,NA,0.865800865800866,0.844155844155844,0.743223730261406,0.685004036574803
"11",2009-01-16,0.9346875,0.844734473447345,NA,0.731601731601732,0.116883116883117,0.944064567740962,0.0207059157048327
"12",2009-01-20,0.895625,0.7997299729973,NA,0.051948051948052,0.038961038961039,0.352980438858895,0.191958760679784
"13",2009-01-21,0.91,0.836633663366337,NA,0.787878787878788,0.943722943722944,0.489760925008852,0.912651167804068
"14",2009-01-22,0.9275,0.804230423042304,"TWC",0.805194805194805,0.0692640692640693,0.97730848929375,0.00653985384260536
"15",2009-01-23,0.90875,0.820882088208821,"TWC",0.216450216450216,0.831168831168831,0.0472226367782089,0.949772348233474
"16",2009-01-26,0.894375,0.830783078307831,"TWC",0.25974025974026,0.718614718614719,0.0919560740659983,0.87548691006635
"17",2009-01-27,0.91,0.84023402340234,"TWC",0.800865800865801,0.714285714285714,0.726509191580587,0.530478654390262
"18",2009-01-28,0.944375,0.878937893789379,"TWC",0.909090909090909,0.943722943722944,0.732698613658767,0.854581697974215
"19",2009-01-29,0.9234375,0.86948694869487,"TWC",0.203463203463203,0.350649350649351,0.180566774339822,0.575796393802653
"20",2009-01-30,0.894375,0.838433843384338,"TWC",0.0995670995670996,0.0822510822510823,0.344437415577055,0.229867379661818
"21",2009-02-02,0.8615625,0.832133213321332,"TWC",0.0822510822510823,0.385281385281385,0.0347802544271705,0.810919950184391
"22",2009-02-03,0.8834375,0.825832583258326,"TWC",0.848484848484849,0.380952380952381,0.91958843547998,0.132741299718522
"23",2009-02-04,0.878125,0.853735373537354,"TWC",0.402597402597403,0.9004329004329,0.124926874181995,0.949587232570994
"24",2009-02-05,0.9153125,0.844734473447345,"TWC",0.922077922077922,0.354978354978355,0.968398332286459,0.0887117449324067
"25",2009-02-06,0.94,0.862286228622862,"TWC",0.857142857142857,0.831168831168831,0.737578713104604,0.669499693539138
"26",2009-02-09,0.9465625,0.855085508550855,"TWC",0.601731601731602,0.372294372294372,0.70155079798443,0.237591325262563
"27",2009-02-10,0.903125,0.833483348334834,"TWC",0.038961038961039,0.147186147186147,0.0445313367606002,0.682876239467049
"28",2009-02-11,0.9053125,0.814581458145815,"TWC",0.523809523809524,0.168831168831169,0.801723930123616,0.0737572324522089
"29",2009-02-12,0.92125,0.833033303330333,"TWC",0.800865800865801,0.844155844155844,0.628852940220704,0.737230693968621
"30",2009-02-13,0.910625,0.816381638163816,"TWC",0.316017316017316,0.203463203463203,0.525664308850599,0.205667811983388
"31",2009-02-17,0.8946875,0.792979297929793,"TWC",0.238095238095238,0.121212121212121,0.557291141934054,0.134853821433485
"32",2009-02-18,0.904375,0.788478847884789,"TWC",0.696969696969697,0.411255411255411,0.776546116277249,0.227878762073607
"33",2009-02-19,0.8946875,0.791629162916292,"TWC",0.329004329004329,0.562770562770563,0.210851310635117,0.693280638609884
"34",2009-02-20,0.8790625,0.792979297929793,"TWC",0.238095238095238,0.532467532467532,0.130908066437673,0.742615474560027
"35",2009-02-23,0.8578125,0.78982898289829,"TWC",0.181818181818182,0.445887445887446,0.107668075620682,0.718685030585156
"36",2009-02-24,0.878125,0.848334833483348,"TWC",0.83982683982684,0.982683982683983,0.49135084926556,0.968696110088967
"37",2009-02-25,0.8665625,0.832583258325833,"TWC",0.29004329004329,0.225108225108225,0.452109823525988,0.262953689721436
"38",2009-02-26,0.834375,0.825382538253825,"TWC",0.0779220779220779,0.372294372294372,0.0334819383490288,0.809266273250531
"39",2009-02-27,0.82125,0.820432043204321,"TWC",0.25974025974026,0.411255411255411,0.216148761800639,0.582596432310751
"40",2009-03-02,0.78,0.802430243024302,NA,0.038961038961039,0.177489177489178,0.0332855782680717,0.732339811511564
"41",2009-03-03,0.7690625,0.802430243024302,NA,0.285714285714286,0.502164502164502,0.194412527002512,0.665036312031417
"42",2009-03-04,0.8034375,0.842034203420342,NA,0.926406926406926,0.956709956709957,0.756572564236369,0.874411086165621
"43",2009-03-05,0.7703125,0.819081908190819,NA,0.0606060606060606,0.12987012987013,0.107719118959123,0.531064472467333
"44",2009-03-06,0.765625,0.812781278127813,NA,0.402597402597403,0.380952380952381,0.440428090562184,0.389981005505529
"45",2009-03-09,0.7334375,0.305580558055806,"TWC",0.051948051948052,0,0.999999379249199,1e-10
"46",2009-03-10,0.779375,0.333933393339334,"TWC",0.978354978354978,0.995670995670996,0.829880309649799,0.973460156770169
