"","X1","CIM","XL","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,1.05357142857143,0.96401028277635,NA,0.865800865800866,0.281385281385281,0.955846885061294,0.0896263306340321
"3",2009-01-06,1.07142857142857,1.04884318766067,NA,0.701298701298701,0.913419913419913,0.366143171557742,0.924293854030133
"4",2009-01-07,1.07142857142857,1.07969151670951,NA,0.567099567099567,0.753246753246753,0.387265154339146,0.785396607743554
"5",2009-01-08,1.06547619047619,1.11311053984576,NA,0.528138528138528,0.757575757575758,0.337523777786382,0.810117520050867
"6",2009-01-09,0.958333333333333,1.10539845758355,"CIM",0.0735930735930736,0.515151515151515,0.0301631273500118,0.833140218585043
"7",2009-01-12,0.907738095238095,0.953727506426735,"CIM",0.168831168831169,0.051948051948052,0.523628024662982,0.0726395975952742
"8",2009-01-13,1.02678571428571,0.966580976863753,NA,0.96969696969697,0.662337662337662,0.985019926810117,0.221565963451713
"9",2009-01-14,0.925595238095238,0.886889460154242,NA,0.0779220779220779,0.125541125541126,0.160644977738181,0.359573964537688
"10",2009-01-15,0.979166666666667,0.802056555269923,"XL",0.878787878787879,0.0865800865800866,0.972258065711654,0.0193614505761373
"11",2009-01-16,1.00892857142857,0.817480719794344,"XL",0.779220779220779,0.692640692640693,0.74241865519655,0.531458377190888
"12",2009-01-20,0.875,0.740359897172236,"XL",0.0476190476190476,0.0865800865800866,0.127775517504961,0.34582888950486
"13",2009-01-21,0.99702380952381,0.832904884318766,"XL",0.96969696969697,0.943722943722944,0.88564746553354,0.682546374618208
"14",2009-01-22,0.928571428571429,0.773778920308483,"XL",0.112554112554113,0.155844155844156,0.203451338743012,0.355251134848692
"15",2009-01-23,0.994047619047619,0.853470437017995,"XL",0.930735930735931,0.922077922077922,0.791627637950275,0.746204325929829
"16",2009-01-26,1.04166666666667,0.845758354755784,"XL",0.831168831168831,0.510822510822511,0.892982132812957,0.260904533201362
"17",2009-01-27,0.982142857142857,0.845758354755784,"XL",0.142857142857143,0.571428571428571,0.0677586316666631,0.823144372324983
"18",2009-01-28,1.03869047619048,0.97172236503856,"XL",0.878787878787879,0.956709956709957,0.544198953578929,0.917956399531416
"19",2009-01-29,1.0297619047619,0.817480719794344,"XL",0.506493506493506,0.0432900432900433,0.85439215435621,0.0147139697542132
"20",2009-01-30,0.982142857142857,0.745501285347044,"XL",0.186147186147186,0.0995670995670996,0.43896369318392,0.150348226956121
"21",2009-02-02,0.982142857142857,0.70694087403599,"XL",0.567099567099567,0.212121212121212,0.779335098676336,0.122988551976341
"22",2009-02-03,0.991071428571429,0.688946015424165,"XL",0.649350649350649,0.337662337662338,0.787387395715089,0.206389392433965
"23",2009-02-04,0.967261904761905,0.686375321336761,"XL",0.333333333333333,0.528138528138528,0.265712340184037,0.659476684169988
"24",2009-02-05,0.925595238095238,0.745501285347044,"XL",0.207792207792208,0.913419913419913,0.0526859833084971,0.978545614982167
"25",2009-02-06,0.955357142857143,0.77892030848329,"XL",0.787878787878788,0.818181818181818,0.638940822384908,0.724683374231035
"26",2009-02-09,0.952380952380952,0.87146529562982,"XL",0.54978354978355,0.939393939393939,0.19410773579539,0.9726291788648
"27",2009-02-10,0.892857142857143,0.745501285347044,"XL",0.12987012987013,0.051948051948052,0.444112469332068,0.0958500041330801
"28",2009-02-11,0.922619047619048,1.20308483290488,NA,0.787878787878788,1,0.0798256488884208,0.9999999999
"29",2009-02-12,0.928571428571429,1.11825192802057,"CIM",0.623376623376623,0.155844155844156,0.851045802137939,0.06783278978717
"30",2009-02-13,0.922619047619048,1.10796915167095,"CIM",0.523809523809524,0.506493506493506,0.527065116397101,0.490739033108526
"31",2009-02-17,0.889880952380952,0.902313624678663,"CIM",0.233766233766234,0.038961038961039,0.660877747050097,0.0337166647857278
"32",2009-02-18,0.818452380952381,0.958868894601542,"CIM",0.0952380952380952,0.861471861471861,0.0220461144682347,0.967275142759213
"33",2009-02-19,0.886904761904762,0.902313624678663,"CIM",0.930735930735931,0.203463203463203,0.983913501953501,0.0494294573769003
"34",2009-02-20,0.863095238095238,0.868894601542416,"CIM",0.316017316017316,0.281385281385281,0.421568011384139,0.34038008631384
"35",2009-02-23,0.845238095238095,0.817480719794344,NA,0.354978354978355,0.203463203463203,0.554311922847661,0.202127464053141
"36",2009-02-24,0.886904761904762,0.976863753213367,NA,0.83982683982684,0.96969696969697,0.41041722519518,0.962244480578821
"37",2009-02-25,0.883928571428572,0.910025706940874,NA,0.54978354978355,0.168831168831169,0.791365734790983,0.0914483973696154
"38",2009-02-26,0.854166666666667,0.863753213367609,NA,0.25974025974026,0.220779220779221,0.395580391058502,0.295630199661891
"39",2009-02-27,0.889880952380952,0.850899742930591,NA,0.822510822510823,0.45021645021645,0.901531369043755,0.21409126164073
"40",2009-03-02,0.836309523809524,0.832904884318766,NA,0.134199134199134,0.385281385281385,0.103469659548032,0.667521055831565
"41",2009-03-03,0.818452380952381,0.802056555269923,NA,0.354978354978355,0.281385281385281,0.477763500044404,0.310173004940409
"42",2009-03-04,0.839285714285714,0.84318766066838,NA,0.748917748917749,0.83982683982684,0.546158980940647,0.794237655970784
"43",2009-03-05,0.741071428571429,0.74293059125964,NA,0.0562770562770563,0.0735930735930736,0.176160070586452,0.275549540811835
"44",2009-03-06,0.744047619047619,0.758354755784062,NA,0.606060606060606,0.692640692640693,0.491196591139585,0.681823890141993
"45",2009-03-09,0.74702380952381,0.825192802056555,NA,0.606060606060606,0.913419913419913,0.267363024685498,0.946031559420501
