,IACI,FORM
2008-02-01,1.0,1.0
2008-02-04,0.9794364051789793,1.0107899807321774
2008-02-05,0.9348819497334349,0.8936416184971099
2008-02-06,0.8697638994668697,0.8115606936416184
2008-02-07,0.8747143945163747,0.8285163776493256
2008-02-08,0.8419649657273419,0.7888246628131022
2008-02-11,0.8362528560548362,0.7560693641618498
2008-02-12,0.8446306169078446,0.7526011560693642
2008-02-13,0.8583396801218582,0.7741811175337187
2008-02-14,0.8320639756283321,0.753757225433526
2008-02-15,0.8332063975628331,0.7445086705202313
2008-02-19,0.8252094440213252,0.7333333333333334
2008-02-20,0.8381568926123382,0.7460500963391137
2008-02-21,0.8187357197258187,0.7252408477842004
2008-02-22,0.8263518659558263,0.7263969171483623
2008-02-25,0.84006092916984,0.733718689788054
2008-02-26,0.8693830921553692,0.748747591522158
2008-02-27,0.8377760853008377,0.7456647398843932
2008-02-28,0.8175932977913175,0.7159922928709055
2008-02-29,0.7578065498857577,0.6909441233140655
2008-03-03,0.7684691546077684,0.674373795761079
2008-03-04,0.7498095963442498,0.6666666666666667
2008-03-05,0.7543792840822543,0.6582466281310212
2008-03-06,0.7429550647372429,0.63121387283237
2008-03-07,0.7437166793602438,0.6554913294797688
2008-03-10,0.723914699162224,0.6485549132947976
2008-03-11,0.7444782939832445,0.6921001926782274
2008-03-12,0.741051028179741,0.6820809248554913
2008-03-13,0.7684691546077684,0.697495183044316
2008-03-14,0.7829398324447828,0.6620423892100192
2008-03-17,0.7562833206397562,0.6685934489402698
2008-03-18,0.7882711348057881,0.6951830443159923
2008-03-19,0.7734196496572733,0.6678227360308284
2008-03-20,0.8038842345773038,0.6820809248554913
2008-03-24,0.8263518659558263,0.7071290944123315
2008-03-25,0.8076923076923077,0.7194605009633912
2008-03-26,0.8012185833968012,0.6978805394990366
2008-03-27,0.7905559786747905,0.733718689788054
2008-03-28,0.7802741812642802,0.7225433526011561
2008-03-31,0.7905559786747905,0.7360308285163777
2008-04-01,0.808073115003808,0.7753371868978806
2008-04-02,0.8145468392993145,0.7745664739884394
2008-04-03,0.829017517136329,0.838150289017341
2008-04-04,0.8153084539223152,0.810019267822736
2008-04-07,0.8183549124143182,0.7976878612716763
2008-04-08,0.8076923076923077,0.7502890173410405
2008-04-09,0.7894135567402893,0.7283236994219653
2008-04-10,0.8046458492003046,0.7707129094412332
2008-04-11,0.7844630616907845,0.7529865125240848
2008-04-14,0.7772277227722771,0.7333333333333334
2008-04-15,0.7673267326732672,0.7283236994219653
2008-04-16,0.773038842345773,0.7464354527938344
2008-04-17,0.7863670982482862,0.7360308285163777
2008-04-18,0.8107387661843106,0.7418111753371869
2008-04-21,0.7943640517897943,0.7541425818882467
2008-04-22,0.7631378522467631,0.7059730250481696
2008-04-23,0.7585681645087586,0.7194605009633912
2008-04-24,0.7692307692307692,0.7714836223506744
2008-04-25,0.7726580350342726,0.7876685934489404
2008-04-28,0.7776085300837776,0.7815028901734105
2008-04-29,0.7791317593297791,0.7734104046242775
2008-04-30,0.7924600152322924,0.7425818882466282
2008-05-01,0.8084539223153084,0.7622350674373797
2008-05-02,0.8183549124143182,0.7549132947976879
2008-05-05,0.817974105102818,0.733718689788054
2008-05-06,0.8168316831683168,0.7333333333333334
2008-05-07,0.8019801980198019,0.7317919075144508
2008-05-08,0.8073115003808072,0.7429672447013488
2008-05-09,0.8202589489718202,0.7637764932562621
2008-05-12,0.8522467631378522,0.7834296724470134
2008-05-13,0.8758568164508758,0.7826589595375723
2008-05-14,0.9036557501904037,0.8154142581888247
2008-05-15,0.9028941355674028,0.8362235067437379
2008-05-16,0.9078446306169078,0.8524084778420039
2008-05-19,0.9112718964204112,0.8605009633911368
2008-05-20,0.8987052551408987,0.8204238921001926
2008-05-21,0.8869002284843868,0.810019267822736
2008-05-22,0.8926123381568926,0.8242774566473989
2008-05-23,0.8743335872048743,0.815028901734104
2008-05-27,0.8865194211728865,0.8339113680154143
2008-05-28,0.888042650418888,0.8258188824662813
2008-05-29,0.8644325971058644,0.8373795761078998
2008-05-30,0.8587204874333587,0.8412331406551059
2008-06-02,0.8412033511043412,0.8327552986512524
2008-06-03,0.8377760853008377,0.8069364161849711
2008-06-04,0.8453922315308453,0.8123314065510597
2008-06-05,0.8530083777608529,0.8477842003853565
2008-06-06,0.8084539223153084,0.8258188824662813
2008-06-09,0.8054074638233053,0.8443159922928709
2008-06-10,0.8095963442498096,0.8123314065510597
2008-06-11,0.7787509520182787,0.7734104046242775
2008-06-12,0.7844630616907845,0.7799614643545278
2008-06-13,0.8126428027418126,0.8223506743737958
2008-06-16,0.8191165270373191,0.8077071290944123
2008-06-17,0.8092155369383092,0.7915221579961464
2008-06-18,0.806930693069307,0.7799614643545278
2008-06-19,0.8153084539223152,0.7976878612716763
2008-06-20,0.784082254379284,0.7784200385356455
2008-06-23,0.7707539984767706,0.7552986512524086
2008-06-24,0.755140898705255,0.7421965317919076
2008-06-25,0.7734196496572733,0.7433526011560694
2008-06-26,0.7444782939832445,0.7217726396917149
2008-06-27,0.7212490479817213,0.7102119460500963
2008-06-30,0.7341964965727342,0.7102119460500963
2008-07-01,0.734958111195735,0.7591522157996147
2008-07-02,0.7014470677837015,0.7202312138728324
2008-07-03,0.6884996191926884,0.7117533718689788
2008-07-07,0.6801218583396801,0.7159922928709055
2008-07-08,0.6999238385376998,0.7260115606936416
2008-07-09,0.6614623000761615,0.6890173410404624
2008-07-10,0.6789794364051789,0.6967244701348747
2008-07-11,0.6450875856816451,0.71252408477842
2008-07-14,0.670982482863671,0.6967244701348747
