,CCK,PX
2008-02-01,1.0,1.0
2008-02-04,0.9870024370430545,0.977982529615891
2008-02-05,0.9496344435418358,0.9489051094890512
2008-02-06,0.9370430544272949,0.9382553547923896
2008-02-07,0.958570268074736,0.9625463683139883
2008-02-08,0.9480097481722176,0.9514179729568029
2008-02-11,0.9695369618196588,0.9699652985521121
2008-02-12,0.9646628757108042,0.9854014598540146
2008-02-13,0.9727863525588951,0.9898288859638626
2008-02-14,0.9772542648253452,0.9785808304415461
2008-02-15,0.9809098294069861,0.9733157831757809
2008-02-19,0.9691307879772542,0.9745123848270911
2008-02-20,0.9878147847278635,0.9972478162019864
2008-02-21,0.9780666125101543,0.9775038889553668
2008-02-22,1.003655564581641,0.9867177216704559
2008-02-25,1.029650690495532,1.0051453871006344
2008-02-26,1.016246953696182,1.0038291252841929
2008-02-27,1.0178716490658,1.007897570898648
2008-02-28,1.0056864337936637,0.9900682062941247
2008-02-29,1.0117790414297319,0.9606318056718919
2008-03-03,1.0223395613322501,0.9686490367356708
2008-03-04,1.000812347684809,0.9552470982409956
2008-03-05,1.0056864337936637,0.9840851980375733
2008-03-06,0.9914703493095044,0.9888716046428145
2008-03-07,0.9906580016246953,0.9465119061864306
2008-03-10,0.9898456539398862,0.9302381237286108
2008-03-11,0.9971567831031681,0.9962905348809383
2008-03-12,0.991876523151909,0.9869570420007181
2008-03-13,1.0101543460601137,0.9974871365322485
2008-03-14,0.99553208773355,0.9898288859638626
2008-03-17,0.9638505280259951,0.9899485461289937
2008-03-18,0.9861900893582454,1.033504846236688
2008-03-19,0.9545085296506904,0.9893502453033387
2008-03-20,0.9687246141348498,0.97786286945076
2008-03-24,0.9914703493095044,1.0157951417972957
2008-03-25,1.0178716490658,1.0177097044393921
2008-03-26,1.0227457351746547,1.0110087351920547
2008-03-27,1.0048740861088545,1.0102907742012686
2008-03-28,1.0052802599512591,0.9899485461289937
2008-03-31,1.0219333874898455,1.007897570898648
2008-04-01,1.045897644191714,1.0410434366399426
2008-04-02,1.0519902518277822,1.0394878544932393
2008-04-03,1.0564581640942323,1.0563599377767143
2008-04-04,1.0771730300568643,1.0565992581069763
2008-04-07,1.0475223395613322,1.054445375134618
2008-04-08,1.042242079610073,1.055282996290535
2008-04-09,1.0178716490658,1.0503769295201628
2008-04-10,1.0040617384240453,1.0423596984563839
2008-04-11,0.9939073923639317,1.0311116429340674
2008-04-14,1.0016246953696182,1.0435563001076942
2008-04-15,1.0174654752233956,1.0439152806030874
2008-04-16,1.0507717303005686,1.0867536197199952
2008-04-17,1.116165718927701,1.07682182601412
2008-04-18,1.1506904955320876,1.1100873519205456
2008-04-21,1.1299756295694556,1.1215747277731245
2008-04-22,1.119821283509342,1.1140361373698695
2008-04-23,1.1019496344435418,1.0933349288022018
2008-04-24,1.10804224207961,1.0932152686370709
2008-04-25,1.1173842404549148,1.1422759363407922
2008-04-28,1.1051990251827781,1.1257628335527103
2008-04-29,1.0804224207961008,1.0832834749311955
2008-04-30,1.09017059301381,1.0926169678114157
2008-05-01,1.0938261575954509,1.085078377408161
2008-05-02,1.0767668562144599,1.107215507957401
2008-05-05,1.0913891145410235,1.1105659925810698
2008-05-06,1.1047928513403735,1.1213354074428623
2008-05-07,1.0869212022745736,1.0929759483068089
2008-05-08,1.1157595450852964,1.1172669618284075
2008-05-09,1.1068237205523963,1.106497546966615
2008-05-12,1.129569455727051,1.1258824937178415
2008-05-13,1.141348497156783,1.140720354194089
2008-05-14,1.1677497969130788,1.1483786047624747
2008-05-15,1.1831844029244516,1.1401220533684338
2008-05-16,1.1734362307067425,1.1372502094052892
2008-05-19,1.1632818846466286,1.1298312791671654
2008-05-20,1.1649065800162468,1.1456264209644609
2008-05-21,1.1498781478472786,1.11176259423238
2008-05-22,1.1433793663688057,1.114993418690918
2008-05-23,1.1401299756295695,1.098599976067967
2008-05-27,1.1389114541023557,1.0950101711140363
2008-05-28,1.1506904955320876,1.136771568744765
2008-05-29,1.1515028432168968,1.1352159865980616
2008-05-30,1.1718115353371243,1.1374895297355512
2008-06-02,1.1734362307067425,1.11989948546129
2008-06-03,1.1543460601137288,1.1419169558453992
2008-06-04,1.1393176279447603,1.1516094292210124
2008-06-05,1.1742485783915515,1.1869091779346657
2008-06-06,1.1470349309504466,1.1501735072394401
2008-06-09,1.1389114541023557,1.1593873399545291
2008-06-10,1.1108854589764419,1.1385664712217305
2008-06-11,1.0885458976441917,1.1292329783415103
2008-06-12,1.1133225020308692,1.149575206413785
2008-06-13,1.155970755483347,1.1677635515137013
2008-06-16,1.1372867587327375,1.1717123369630251
2008-06-17,1.1478472786352558,1.1687208328347494
2008-06-18,1.125101543460601,1.1659686490367358
2008-06-19,1.1364744110479286,1.1715926767978941
2008-06-20,1.1133225020308692,1.1634557855689842
2008-06-23,1.1076360682372055,1.1906186430537276
2008-06-24,1.1060113728675873,1.1573531171473017
2008-06-25,1.123476848090983,1.1730285987794664
2008-06-26,1.0848903330625508,1.1218140481033865
2008-06-27,1.0580828594638505,1.13270312313031
2008-06-30,1.0556458164094231,1.1276773961948068
2008-07-01,1.0751421608448415,1.1299509393322964
2008-07-02,1.0373679935012186,1.0885485221969606
2008-07-03,1.0625507717303004,1.1270790953691516
2008-07-07,1.0609260763606825,1.1187028838099797
2008-07-08,1.091795288383428,1.1082924494435804
2008-07-09,1.0751421608448415,1.0913007059949744
2008-07-10,1.0804224207961008,1.1050616249850425
2008-07-11,1.0564581640942323,1.094411870288381
2008-07-14,1.0637692932575142,1.0950101711140363
