"","X1","TAXI","VGR","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,0.989583333333333,1.00953778429934,NA,0.354978354978355,0.748917748917749,0.210046815352642,0.818523394505066
"3",2009-01-06,1.03515625,1.01027146001467,NA,0.917748917748918,0.519480519480519,0.940701104469472,0.271774427684806
"4",2009-01-07,1.0390625,0.997065297138665,NA,0.619047619047619,0.229437229437229,0.75816371655039,0.134764172605123
"5",2009-01-08,1.03645833333333,1.00513573000734,NA,0.480519480519481,0.727272727272727,0.347721618185745,0.75304566546543
"6",2009-01-09,0.958333333333333,0.98092443140132,NA,0.038961038961039,0.0909090909090909,0.0977616647292895,0.404598563446853
"7",2009-01-12,0.930989583333333,0.993396918561996,NA,0.168831168831169,0.813852813852814,0.0557425548890166,0.924824195784662
"8",2009-01-13,0.942708333333333,1.01540719002201,NA,0.753246753246753,0.909090909090909,0.543868718251734,0.893764133510851
"9",2009-01-14,0.899739583333333,1.02054292002935,"TAXI",0.0779220779220779,0.636363636363636,0.0241853076165015,0.882124334381524
"10",2009-01-15,0.911458333333333,1.01027146001467,"TAXI",0.753246753246753,0.268398268398268,0.852062420843425,0.134009068081299
"11",2009-01-16,0.899739583333333,1.01980924431401,"TAXI",0.333333333333333,0.748917748917749,0.190255564408345,0.825855760933174
"12",2009-01-20,0.83984375,0.996331621423331,"TAXI",0.0432900432900433,0.0909090909090909,0.110354697476809,0.382822173230952
"13",2009-01-21,0.923177083333333,1.03888481291269,"TAXI",0.974025974025974,0.982683982683983,0.800149409976289,0.898007555443058
"14",2009-01-22,0.87109375,1.02054292002935,"TAXI",0.0692640692640693,0.16017316017316,0.108907587193656,0.445270513930373
"15",2009-01-23,0.899739583333333,1.00880410858401,"TAXI",0.865800865800866,0.251082251082251,0.936180509741045,0.0937938307155388
"16",2009-01-26,0.919270833333333,1.01173881144534,"TAXI",0.805194805194805,0.58008658008658,0.80987658319016,0.419308206021206
"17",2009-01-27,0.963541666666667,1.03154805575935,"TAXI",0.922077922077922,0.896103896103896,0.845398973369579,0.759173901072268
"18",2009-01-28,0.967447916666667,1.03961848862803,"TAXI",0.627705627705628,0.718614718614719,0.527444579274654,0.686761381874861
"19",2009-01-29,0.912760416666667,1.0498899486427,"TAXI",0.0692640692640693,0.757575757575758,0.0149190677393681,0.93960186403334
"20",2009-01-30,0.880208333333333,1.06823184152605,"TAXI",0.121212121212121,0.87012987012987,0.0278287057460274,0.96256981947314
"21",2009-02-02,0.936197916666667,1.08584005869406,"TAXI",0.952380952380952,0.852813852813853,0.929679965805809,0.610044085690173
"22",2009-02-03,0.924479166666667,1.08730741012472,"TAXI",0.333333333333333,0.545454545454545,0.263076530121155,0.62158207363192
"23",2009-02-04,0.915364583333333,1.06309611151871,"TAXI",0.367965367965368,0.0995670995670996,0.657332364847995,0.0720423253788035
"24",2009-02-05,0.897135416666667,1.05869405722671,"TAXI",0.225108225108225,0.385281385281385,0.208001139153968,0.520110518956474
"25",2009-02-06,0.912760416666667,1.07410124724872,"TAXI",0.783549783549784,0.826839826839827,0.671339628620372,0.762708448307313
"26",2009-02-09,0.91015625,1.07043286867205,"TAXI",0.480519480519481,0.411255411255411,0.501751669012622,0.382221646474829
"27",2009-02-10,0.848958333333333,1.0520909757887,"TAXI",0.0432900432900433,0.16017316017316,0.0602467047351804,0.541494131482118
"28",2009-02-11,0.859375,1.06089508437271,"TAXI",0.74025974025974,0.727272727272727,0.670118401223345,0.645876677847859
"29",2009-02-12,0.852864583333333,1.07630227439472,"TAXI",0.38961038961039,0.826839826839827,0.211270542696802,0.879645405133582
"30",2009-02-13,0.87109375,1.05282465150404,"TAXI",0.796536796536797,0.103896103896104,0.938325335291236,0.0263022948788161
"31",2009-02-17,0.813802083333333,1.03961848862803,"TAXI",0.0432900432900433,0.246753246753247,0.0358199582337913,0.667986365664441
"32",2009-02-18,0.8125,1.02714600146735,"TAXI",0.523809523809524,0.246753246753247,0.655282029298794,0.178730860789611
"33",2009-02-19,0.765625,1.04035216434336,"TAXI",0.0649350649350649,0.813852813852814,0.0116218363682255,0.959898588009051
"34",2009-02-20,0.776041666666667,0.991195891415994,"TAXI",0.757575757575758,0.025974025974026,0.968242436712703,0.00297268443053312
"35",2009-02-23,0.67578125,0.951577402787968,"TAXI",0.00432900432900433,0.038961038961039,0.0161122740219956,0.637376573362406
"36",2009-02-24,0.708333333333333,0.961115187087307,"TAXI",0.922077922077922,0.761904761904762,0.909512247806751,0.53626080760597
"37",2009-02-25,0.6640625,0.947909024211299,"TAXI",0.051948051948052,0.207792207792208,0.0568176446545595,0.583648218943966
"38",2009-02-26,0.66015625,0.928099779897285,"TAXI",0.41991341991342,0.121212121212121,0.675479008636329,0.0819893785411363
"39",2009-02-27,0.6640625,0.910491562729274,"TAXI",0.649350649350649,0.138528138528139,0.840877211141073,0.058306113727999
"40",2009-03-02,0.713541666666667,0.851797505502568,"TAXI",0.965367965367965,0.00865800865800866,0.998858627174427,0.000218749179544042
"41",2009-03-03,0.686197916666667,0.826852531181218,"TAXI",0.103896103896104,0.0649350649350649,0.335452744516906,0.152465163743904
"42",2009-03-04,0.661458333333333,0.853264856933236,"TAXI",0.116883116883117,0.965367965367965,0.0170292685339611,0.99338069310633
"43",2009-03-05,0.610677083333333,0.851797505502568,"TAXI",0.038961038961039,0.437229437229437,0.0141248227065819,0.837661718658228
