"","X1","DVA","ABT","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,0.967413441955193,0.982823002240478,NA,0.0606060606060606,0.125541125541126,0.106127862089127,0.455028361866688
"3",2009-01-06,0.954989816700611,0.950709484690067,NA,0.233766233766234,0.038961038961039,0.723139090156057,0.0237032576837298
"4",2009-01-07,0.961710794297352,0.945481702763256,NA,0.675324675324675,0.38961038961039,0.728599972323054,0.26597915600564
"5",2009-01-08,0.967413441955193,0.955937266616878,NA,0.662337662337662,0.792207792207792,0.526429749838353,0.757677150137079
"6",2009-01-09,0.962932790224033,0.95537714712472,NA,0.341991341991342,0.489177489177489,0.285004765281314,0.548536265852041
"7",2009-01-12,0.947250509164969,0.934652725914862,NA,0.173160173160173,0.0779220779220779,0.488528083280414,0.101091215892086
"8",2009-01-13,0.956211812627291,0.934652725914862,NA,0.731601731601732,0.510822510822511,0.74078172205385,0.375854745652782
"9",2009-01-14,0.955600814663951,0.923637042569081,NA,0.480519480519481,0.233766233766234,0.62245085763314,0.166271482749443
"10",2009-01-15,0.952953156822811,0.918969380134429,NA,0.415584415584416,0.398268398268398,0.422667709939055,0.390902320078381
"11",2009-01-16,0.981059063136456,0.932038834951456,NA,0.909090909090909,0.805194805194805,0.864961468294467,0.63215738996672
"12",2009-01-20,0.95234215885947,0.918595967139657,NA,0.0649350649350649,0.177489177489178,0.0752257077560393,0.54269178150377
"13",2009-01-21,0.967413441955193,0.976848394324122,NA,0.835497835497836,0.995670995670996,0.403186448259085,0.994440279554896
"14",2009-01-22,0.971283095723014,0.989731142643764,NA,0.593073593073593,0.800865800865801,0.436227170588316,0.792494762669237
"15",2009-01-23,0.957637474541752,0.985997012696042,NA,0.216450216450216,0.437229437229437,0.161759228556243,0.592021190817737
"16",2009-01-26,0.975152749490835,1.00914861837192,NA,0.865800865800866,0.909090909090909,0.729871553978232,0.837519240230919
"17",2009-01-27,0.9989816700611,1.01549663928305,NA,0.904761904761905,0.670995670995671,0.896277949238039,0.453794839680264
"18",2009-01-28,0.979633401221996,1.02613890963406,NA,0.134199134199134,0.774891774891775,0.0408464671777754,0.916278351443974
"19",2009-01-29,0.965987780040733,1.03454070201643,NA,0.216450216450216,0.731601731601732,0.0960142774178776,0.855487917717476
"20",2009-01-30,0.957230142566191,1.03510082150859,NA,0.272727272727273,0.523809523809524,0.193795734723388,0.636718791752262
"21",2009-02-02,0.975560081466395,1.03752800597461,NA,0.87012987012987,0.584415584415584,0.874949674711716,0.38227367155271
"22",2009-02-03,0.988391038696538,1.06385362210605,NA,0.805194805194805,0.935064935064935,0.598788469178617,0.904707229757876
"23",2009-02-04,0.976985743380855,1.04387602688574,NA,0.255411255411255,0.108225108225108,0.534988634712718,0.102153041117039
"24",2009-02-05,0.980448065173116,1.05545182972367,NA,0.593073593073593,0.792207792207792,0.441107230074902,0.782190234344037
"25",2009-02-06,0.955804480651731,1.06702763256161,"DVA",0.0995670995670996,0.792207792207792,0.0242506386289714,0.937989012783791
"26",2009-02-09,0.935641547861507,1.06889469753547,"DVA",0.134199134199134,0.58008658008658,0.0578998098245822,0.801440240064951
"27",2009-02-10,0.965987780040733,1.0416355489171,"DVA",0.917748917748918,0.051948051948052,0.987903314462288,0.00602713062883375
"28",2009-02-11,1.08024439918534,1.03995519044063,NA,1,0.484848484848485,0.9999999999,0.00102757379381335
"29",2009-02-12,1.07718940936864,1.04798356982823,NA,0.406926406926407,0.705627705627706,0.273042533670924,0.752943049775874
"30",2009-02-13,1.07107942973523,1.02576549663928,NA,0.32034632034632,0.0779220779220779,0.681836984616908,0.0474550819114875
"31",2009-02-17,1.03971486761711,1.00690814040329,NA,0.0649350649350649,0.112554112554113,0.133405279126671,0.40285652059713
"32",2009-02-18,1.05315682281059,1.01194921583271,NA,0.805194805194805,0.645021645021645,0.780298538410405,0.496931999261418
"33",2009-02-19,1.04012219959267,1.01680358476475,NA,0.238095238095238,0.636363636363636,0.130721836881769,0.768923367558662
"34",2009-02-20,1.03645621181263,1.00877520537715,NA,0.38961038961039,0.337662337662338,0.43015188134165,0.330233729452342
"35",2009-02-23,1.02871690427699,0.997012696041822,NA,0.303030303030303,0.233766233766234,0.407203021995443,0.249253770654116
"36",2009-02-24,1.05621181262729,1.02203136669156,NA,0.909090909090909,0.930735930735931,0.785446000149879,0.849125942326694
"37",2009-02-25,1.03604887983707,1.00112023898432,NA,0.142857142857143,0.0995670995670996,0.361048879589833,0.175843987607102
"38",2009-02-26,1.0193482688391,0.944361463778939,NA,0.173160173160173,0.00865800865800866,0.862994443694881,0.00318546000442466
"39",2009-02-27,0.955600814663951,0.88386855862584,NA,0.025974025974026,0.00865800865800866,0.533937678183427,0.0582034186825394
"40",2009-03-02,0.942158859470468,0.878267363704257,NA,0.216450216450216,0.367965367965368,0.189504053059023,0.511127767710682
"41",2009-03-03,0.940529531568228,0.855489171023152,NA,0.445887445887446,0.051948051948052,0.830117707496738,0.0167972245639576
"42",2009-03-04,0.967617107942974,0.880881254667662,NA,0.909090909090909,0.956709956709957,0.745983436290864,0.902479585536293
"43",2009-03-05,0.935030549898167,0.859596713965646,NA,0.0606060606060606,0.0562770562770563,0.262789434965849,0.225951158981938
"44",2009-03-06,0.931160896130346,0.875466766243465,NA,0.376623376623377,0.852813852813853,0.18956017341486,0.901559853624544
"45",2009-03-09,0.9010183299389,0.870985810306199,NA,0.0606060606060606,0.398268398268398,0.0245724379848804,0.783794262961983
