"","X1","WEN","NTGR","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,0.939879759519038,0.984126984126984,NA,0.0779220779220779,0.298701298701299,0.10231189953161,0.633525827495285
"3",2009-01-06,0.985971943887776,1.0359231411863,NA,0.87012987012987,0.956709956709957,0.635679284022009,0.898283753409625
"4",2009-01-07,0.959919839679359,1.0233918128655,NA,0.268398268398268,0.337662337662338,0.344368619843159,0.508408576144545
"5",2009-01-08,0.95190380761523,1.03759398496241,NA,0.424242424242424,0.722943722943723,0.221103679001705,0.819590006842569
"6",2009-01-09,1.02404809619238,0.991645781119465,NA,0.943722943722944,0.0952380952380952,0.99256003163738,0.0117178518966563
"7",2009-01-12,1.02204408817635,0.967418546365915,NA,0.506493506493506,0.19047619047619,0.774495942278846,0.138144424758274
"8",2009-01-13,1.04008016032064,0.974937343358396,NA,0.701298701298701,0.649350649350649,0.624847010732801,0.502802243996577
"9",2009-01-14,0.981963927855711,0.91812865497076,NA,0.0995670995670996,0.0476190476190476,0.287784799797184,0.123855103080143
"10",2009-01-15,1.03206412825651,0.940685045948204,NA,0.883116883116883,0.831168831168831,0.764542430542561,0.620359679375218
"11",2009-01-16,1.10220440881764,0.953216374269006,"NTGR",0.935064935064935,0.718614718614719,0.910089387092101,0.379021501423902
"12",2009-01-20,1.11623246492986,0.906432748538012,"NTGR",0.636363636363636,0.0779220779220779,0.913468100930778,0.0298536762484781
"13",2009-01-21,1.08416833667335,0.934001670843776,"NTGR",0.255411255411255,0.874458874458874,0.0569242949371621,0.96509638377092
"14",2009-01-22,1.07815631262525,0.95906432748538,"NTGR",0.454545454545455,0.844155844155844,0.172145041661728,0.905750203860481
"15",2009-01-23,1.07414829659319,0.933166248955723,"NTGR",0.480519480519481,0.168831168831169,0.765522208996321,0.129979953857298
"16",2009-01-26,1.06012024048096,0.932330827067669,"NTGR",0.372294372294372,0.502164502164502,0.336015163891685,0.623965494876809
"17",2009-01-27,1.05410821643287,0.958228905597327,"NTGR",0.445887445887446,0.852813852813853,0.161208638782859,0.914765851136337
"18",2009-01-28,1.06813627254509,0.989139515455305,"NTGR",0.645021645021645,0.891774891774892,0.320516380551401,0.880338457982793
"19",2009-01-29,1.02404809619238,0.953216374269006,"NTGR",0.186147186147186,0.12987012987013,0.400467724964435,0.247756795932675
"20",2009-01-30,1.01002004008016,0.928989139515455,"NTGR",0.367965367965368,0.177489177489178,0.635121068192333,0.198672875203208
"21",2009-02-02,1.02605210420842,0.95906432748538,"NTGR",0.683982683982684,0.896103896103896,0.366326489768985,0.869312224080674
"22",2009-02-03,1.07615230460922,0.905597326649958,"NTGR",0.87012987012987,0.0562770562770563,0.982846300136892,0.00850019717103287
"23",2009-02-04,1.07414829659319,0.901420217209691,"NTGR",0.506493506493506,0.437229437229437,0.568822171542315,0.412979010823565
"24",2009-02-05,1.07014028056112,0.952380952380952,"NTGR",0.480519480519481,0.965367965367965,0.129486416032593,0.980739664048549
"25",2009-02-06,1.10220440881764,1.00417710944027,"NTGR",0.783549783549784,0.956709956709957,0.461347818424077,0.92511938420321
"26",2009-02-09,1.09018036072144,0.994152046783626,"NTGR",0.402597402597403,0.363636363636364,0.504827171334385,0.415235668052511
"27",2009-02-10,1.03607214428858,0.952380952380952,"NTGR",0.147186147186147,0.103896103896104,0.348082990646133,0.224397667566996
"28",2009-02-11,1.03607214428858,0.941520467836257,"NTGR",0.554112554112554,0.350649350649351,0.702723320418957,0.268625194078856
"29",2009-02-12,1.06412825651303,0.954887218045113,"NTGR",0.770562770562771,0.727272727272727,0.655911888422101,0.54917445669513
"30",2009-02-13,1.06212424849699,0.908939014202172,"NTGR",0.506493506493506,0.0779220779220779,0.841618704181419,0.0484506518625344
"31",2009-02-17,1.02004008016032,0.842105263157895,"NTGR",0.199134199134199,0.0303030303030303,0.520138938147611,0.0556945720203833
"32",2009-02-18,1.02204408817635,0.861319966583124,"NTGR",0.562770562770563,0.822510822510823,0.284122100939666,0.840666113025187
"33",2009-02-19,1.00400801603206,0.808688387635756,"NTGR",0.341991341991342,0.0476190476190476,0.713833661011718,0.0523288506029996
"34",2009-02-20,0.973947895791583,0.780284043441938,"NTGR",0.251082251082251,0.142857142857143,0.500415528408497,0.224805795927621
"35",2009-02-23,0.935871743486974,0.719298245614035,"NTGR",0.199134199134199,0.0216450216450216,0.528512093419958,0.0397381627341337
"36",2009-02-24,1.00801603206413,0.769423558897243,"NTGR",0.956709956709957,0.965367965367965,0.859240646266163,0.889313794877022
"37",2009-02-25,1.01202404809619,0.898078529657477,"NTGR",0.562770562770563,1,0.166262667544454,0.9999999999
"38",2009-02-26,0.979959919839679,0.949874686716792,"NTGR",0.246753246753247,0.965367965367965,0.0385739462519524,0.992129459713816
"39",2009-02-27,0.907815631262525,0.923141186299081,NA,0.0562770562770563,0.168831168831169,0.115094604136786,0.436331259475783
"40",2009-03-02,0.907815631262525,0.867167919799499,NA,0.554112554112554,0.0476190476190476,0.884458995859288,0.0236838009612424
"41",2009-03-03,0.833667334669339,0.865497076023392,NA,0.0476190476190476,0.484848484848485,0.0307565697291738,0.842329777916914
"42",2009-03-04,0.865731462925852,0.878028404344194,NA,0.83982683982684,0.727272727272727,0.762775822504883,0.482195705743495
"43",2009-03-05,0.807615230460922,0.847953216374269,NA,0.0562770562770563,0.151515151515152,0.122111980110548,0.400352809716524
"44",2009-03-06,0.821643286573146,0.844611528822055,NA,0.696969696969697,0.445887445887446,0.781351927416801,0.260195866836521
"45",2009-03-09,0.777555110220441,0.81453634085213,NA,0.116883116883117,0.134199134199134,0.260483843896483,0.31012555274443
"46",2009-03-10,0.807615230460922,0.904761904761905,NA,0.83982683982684,1,0.527575227557504,0.999999999787227
"47",2009-03-11,0.86372745490982,0.912280701754386,NA,0.935064935064935,0.653679653679654,0.928675760080569,0.295015278661849
"48",2009-03-12,0.969939879759519,0.934001670843776,NA,0.987012987012987,0.831168831168831,0.973297923073476,0.522035873291239
"49",2009-03-13,0.947895791583166,0.913116123642439,NA,0.298701298701299,0.212121212121212,0.506747869812718,0.296073839620039
"50",2009-03-16,0.949899799599198,0.894736842105263,NA,0.562770562770563,0.229437229437229,0.798289300083641,0.145564702835248
"51",2009-03-17,1.01202404809619,0.885547201336675,"NTGR",0.935064935064935,0.359307359307359,0.976060651792043,0.0808462328162877
"52",2009-03-18,1.07414829659319,0.890559732664996,"NTGR",0.922077922077922,0.623376623376623,0.922295506636075,0.271403483301989
"53",2009-03-19,1.0501002004008,0.895572263993317,"NTGR",0.298701298701299,0.623376623376623,0.172541871466673,0.806859813873232
"54",2009-03-20,1.01402805611222,0.880534670008354,"NTGR",0.225108225108225,0.29004329004329,0.322607180897901,0.481253830335633
"55",2009-03-23,1.08016032064128,0.968253968253968,"NTGR",0.935064935064935,0.991341991341991,0.77854048410361,0.973592935851245
"56",2009-03-24,1.02805611222445,0.906432748538012,"NTGR",0.16017316017316,0.0476190476190476,0.426764626687505,0.100522788192482
"57",2009-03-25,1.0561122244489,0.93734335839599,"NTGR",0.774891774891775,0.904761904761905,0.496606594531438,0.838661958207083
"58",2009-03-26,1.09418837675351,1.00417710944027,"NTGR",0.818181818181818,0.965367965367965,0.5169606826812,0.932195688361543
"59",2009-03-27,1.02805611222445,1.00167084377611,"NTGR",0.0779220779220779,0.484848484848485,0.0524701719507139,0.826089292326981
"60",2009-03-30,0.997995991983968,0.983291562238931,"NTGR",0.251082251082251,0.25974025974026,0.38898713749427,0.410329654004542
"61",2009-03-31,1.00801603206413,1.00668337510443,"NTGR",0.619047619047619,0.831168831168831,0.341084919691137,0.819808104309924
"62",2009-04-01,1.00200400801603,1.03007518796992,NA,0.445887445887446,0.831168831168831,0.172883101254618,0.899031135897827
"63",2009-04-02,1.0060120240481,1.07017543859649,NA,0.562770562770563,0.922077922077922,0.212454444012025,0.937553447492166
"64",2009-04-03,1.01603206412826,1.08771929824561,NA,0.619047619047619,0.744588744588745,0.420009495731799,0.709667619728726
"65",2009-04-06,1.04809619238477,1.06265664160401,NA,0.792207792207792,0.199134199134199,0.945020864126569,0.0534633222242884
"66",2009-04-07,1.01803607214429,1.0233918128655,NA,0.255411255411255,0.125541125541126,0.524138614087109,0.194227709556192
"67",2009-04-08,1.0501002004008,1.05179615705931,NA,0.792207792207792,0.852813852813853,0.576763452460564,0.736983913266199
"68",2009-04-09,1.11623246492986,1.09774436090226,NA,0.922077922077922,0.935064935064935,0.779942101421062,0.82138572246699
"69",2009-04-13,1.10220440881764,1.0593149540518,NA,0.38961038961039,0.142857142857143,0.691231654495022,0.144916337175931
"70",2009-04-14,1.06212424849699,0.998329156223893,NA,0.216450216450216,0.051948051948052,0.530299064799516,0.0900072679350587
"71",2009-04-15,1.03406813627255,0.985797827903091,NA,0.268398268398268,0.337662337662338,0.344368619843159,0.508408576144545
"72",2009-04-16,1.07615230460922,0.986633249791145,NA,0.857142857142857,0.528138528138528,0.890317182550566,0.224613015782441
"73",2009-04-17,1.14629258517034,0.96157059314954,"NTGR",0.935064935064935,0.177489177489178,0.988026713389721,0.0267623275388693
"74",2009-04-20,1.08216432865731,0.964076858813701,"NTGR",0.0995670995670996,0.562770562770563,0.0519683331677097,0.867522627101137
"75",2009-04-21,1.09218436873748,1.02255639097744,"NTGR",0.614718614718615,0.965367965367965,0.231078650582373,0.968011874390079
"76",2009-04-22,1.10220440881764,1.05012531328321,"NTGR",0.614718614718615,0.848484848484849,0.321039952084646,0.84287336181284
"77",2009-04-23,1.07414829659319,1.23725981620718,NA,0.277056277056277,1,0.0407520587529088,0.9999999999
"78",2009-04-24,1.10220440881764,1.28320802005013,"WEN",0.766233766233766,0.909090909090909,0.477733374256235,0.850408622612223
"79",2009-04-27,1.07414829659319,1.30994152046784,"WEN",0.277056277056277,0.80952380952381,0.081657262055461,0.935239691311201
"80",2009-04-28,1.06613226452906,1.31662489557226,"WEN",0.432900432900433,0.597402597402597,0.325877209777912,0.683445898869588
"81",2009-04-29,1.09619238476954,1.31578947368421,"WEN",0.774891774891775,0.502164502164502,0.824561760445884,0.258318872004908
"82",2009-04-30,1.00200400801603,1.3375104427736,"WEN",0.0476190476190476,0.744588744588745,0.0114573708227039,0.95728619506014
"83",2009-05-01,0.943887775551102,1.31161236424394,"WEN",0.0822510822510823,0.246753246753247,0.129320796559739,0.551959968159078
"84",2009-05-04,1.02404809619238,1.33082706766917,"WEN",0.956709956709957,0.731601731601732,0.937933054224723,0.378106776254398
"85",2009-05-05,1.00801603206413,1.31746031746032,"WEN",0.363636363636364,0.363636363636364,0.452324099637951,0.452324099637951
"86",2009-05-06,0.997995991983968,1.28070175438596,"WEN",0.415584415584416,0.168831168831169,0.69924131106009,0.161198246974969
"87",2009-05-07,0.905811623246493,1.23642439431913,"WEN",0.0432900432900433,0.147186147186147,0.0957431192048053,0.403123755837166
"88",2009-05-08,0.921843687374749,1.22556390977444,"WEN",0.701298701298701,0.376623376623377,0.827458128533327,0.193140186126768
"89",2009-05-11,0.905811623246493,1.20133667502089,"WEN",0.341991341991342,0.229437229437229,0.552072080312342,0.28624090519168
"90",2009-05-12,0.877755511022044,1.19131161236424,"WEN",0.246753246753247,0.376623376623377,0.282339797550856,0.582450817703825
"91",2009-05-13,0.841683366733467,1.10693400167084,"WEN",0.19047619047619,0.0346320346320346,0.499733452650318,0.0657128186816269
"92",2009-05-14,0.869739478957916,1.12447786131997,"WEN",0.805194805194805,0.74025974025974,0.698737400275608,0.536032197414452
"93",2009-05-15,0.849699398797595,1.15037593984962,"WEN",0.298701298701299,0.831168831168831,0.0852184271338459,0.940321184433386
"94",2009-05-18,0.879759519038076,1.18379281537176,"WEN",0.818181818181818,0.87012987012987,0.607584593069283,0.749101429638057
"95",2009-05-19,0.913827655310621,1.17293233082707,"WEN",0.83982683982684,0.376623376623377,0.926058291862121,0.12272227926616
