,BMY,CBZ
2008-02-01,1.0,1.0
2008-02-04,1.0029215358931554,0.9957401490947816
2008-02-05,0.9778797996661102,0.9818956336528222
2008-02-06,0.9941569282136895,0.9520766773162939
2008-02-07,0.9741235392320534,0.9542066027689031
2008-02-08,0.9628547579298831,0.9265175718849838
2008-02-11,0.9578464106844741,0.9243876464323748
2008-02-12,0.9678631051752922,0.961661341853035
2008-02-13,0.9958263772954924,0.9850905218317358
2008-02-14,0.9686978297161937,0.966986155484558
2008-02-15,0.9724540901502504,0.9552715654952076
2008-02-19,0.9666110183639399,0.9605963791267305
2008-02-20,0.9624373956594323,0.961661341853035
2008-02-21,0.9499165275459098,0.9542066027689031
2008-02-22,0.9403171953255426,0.9605963791267305
2008-02-25,0.9678631051752922,0.9637912673056444
2008-02-26,0.9753756260434057,0.9648562300319489
2008-02-27,0.9682804674457428,0.961661341853035
2008-02-28,0.9561769616026711,0.9627263045793396
2008-02-29,0.9436560934891485,0.9478168264110756
2008-03-03,0.9344741235392321,0.9424920127795526
2008-03-04,0.9240400667779632,0.9456869009584665
2008-03-05,0.9261268781302171,0.9307774227902023
2008-03-06,0.9085976627712854,0.919062832800852
2008-03-07,0.9131886477462436,0.8977635782747603
2008-03-10,0.8902337228714523,0.8732694355697549
2008-03-11,0.9069282136894825,0.8892438764643237
2008-03-12,0.8914858096828047,0.8753993610223643
2008-03-13,0.8935726210350584,0.8764643237486688
2008-03-14,0.8614357262103506,0.8551650692225771
2008-03-17,0.8539232053422371,0.8445154419595313
2008-03-18,0.8910684474123539,0.8690095846645367
2008-03-19,0.8956594323873122,0.8317358892438764
2008-03-20,0.8956594323873122,0.8285410010649628
2008-03-24,0.8877295492487479,0.8519701810436634
2008-03-25,0.9015025041736228,0.853035143769968
2008-03-26,0.8848080133555926,0.8572949946751864
2008-03-27,0.8889816360601002,0.8604898828541001
2008-03-28,0.8964941569282137,0.8572949946751864
2008-03-31,0.8889816360601002,0.8647497337593183
2008-04-01,0.9257095158597662,0.8743343982960596
2008-04-02,0.9040066777963272,0.8626198083067091
2008-04-03,0.9136060100166945,0.8615548455804046
2008-04-04,0.9261268781302171,0.8732694355697549
2008-04-07,0.9181969949916527,0.8785942492012779
2008-04-08,0.9115191986644406,0.8764643237486688
2008-04-09,0.897746243739566,0.8647497337593183
2008-04-10,0.9219532554257095,0.8753993610223643
2008-04-11,0.9056761268781301,0.853035143769968
2008-04-14,0.8994156928213689,0.853035143769968
2008-04-15,0.8952420701168614,0.8562300319488817
2008-04-16,0.9173622704507512,0.8828541001064961
2008-04-17,0.9010851419031719,0.8828541001064961
2008-04-18,0.9223706176961602,0.8935037273695421
2008-04-21,0.9115191986644406,0.8945686900958466
2008-04-22,0.8898163606010017,0.88604898828541
2008-04-23,0.8944073455759599,0.8903088391906282
2008-04-24,0.9269616026711185,0.9094781682641107
2008-04-25,0.9244574290484139,0.9041533546325878
2008-04-28,0.9248747913188647,0.9073482428115015
2008-04-29,0.9148580968280468,0.9243876464323748
2008-04-30,0.9169449081803004,0.9446219382321618
2008-05-01,0.9574290484140234,0.9233226837060702
2008-05-02,0.9745409015025042,0.9318423855165069
2008-05-05,0.9703672787979967,0.9126730564430244
2008-05-06,0.9674457429048413,0.9073482428115015
2008-05-07,0.9499165275459098,0.8988285410010649
2008-05-08,0.9511686143572621,0.8966986155484558
2008-05-09,0.906093489148581,0.9030883919062833
2008-05-12,0.9027545909849749,0.9052183173588924
2008-05-13,0.9015025041736228,0.9126730564430244
2008-05-14,0.9015025041736228,0.9041533546325878
2008-05-15,0.9169449081803004,0.8945686900958466
2008-05-16,0.9156928213689483,0.880724174653887
2008-05-19,0.9215358931552586,0.8796592119275825
2008-05-20,0.9215358931552586,0.8998935037273694
2008-05-21,0.9102671118530884,0.8988285410010649
2008-05-22,0.9161101836393989,0.8998935037273694
2008-05-23,0.9052587646076795,0.8785942492012779
2008-05-27,0.9186143572621035,0.8690095846645367
2008-05-28,0.9219532554257095,0.8849840255591054
2008-05-29,0.9382303839732888,0.9052183173588924
2008-05-30,0.9511686143572621,0.9073482428115015
2008-06-02,0.9173622704507512,0.8775292864749733
2008-06-03,0.9123539232053421,0.8913738019169327
2008-06-04,0.8998330550918197,0.8956336528221512
2008-06-05,0.904424040066778,0.9116080937167199
2008-06-06,0.8714524207011686,0.8732694355697549
2008-06-09,0.8610183639398997,0.8594249201277955
2008-06-10,0.8393155258764607,0.8636847710330138
2008-06-11,0.8318030050083473,0.8519701810436634
2008-06-12,0.8209515859766278,0.853035143769968
2008-06-13,0.8397328881469115,0.865814696485623
2008-06-16,0.8372287145242069,0.8604898828541001
2008-06-17,0.8359766277128547,0.8541001064962725
2008-06-18,0.825542570951586,0.8509052183173589
2008-06-19,0.8313856427378965,0.8679446219382322
2008-06-20,0.8167779632721202,0.8626198083067091
2008-06-23,0.8222036727879799,0.8626198083067091
2008-06-24,0.8443238731218697,0.8509052183173589
2008-06-25,0.8480801335559265,0.8519701810436634
2008-06-26,0.8209515859766278,0.8572949946751864
2008-06-27,0.847245409015025,0.8615548455804046
2008-06-30,0.8568447412353923,0.8466453674121406
2008-07-01,0.8693656093489147,0.853035143769968
2008-07-02,0.8593489148580968,0.8359957401490947
2008-07-03,0.8672787979966611,0.8338658146964856
2008-07-07,0.8597662771285476,0.8296059637912673
2008-07-08,0.9035893155258764,0.8572949946751864
2008-07-09,0.8994156928213689,0.8413205537806177
2008-07-10,0.8973288814691152,0.8509052183173589
2008-07-11,0.8814691151919867,0.8498402555910544
