"","X1","DIS","MTX","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,0.982441471571906,0.990964590964591,NA,0.186147186147186,0.337662337662338,0.157918426764601,0.623098079718996
"3",2009-01-06,1.01630434782609,1.02808302808303,NA,0.909090909090909,0.913419913419913,0.687850486746933,0.721204140054964
"4",2009-01-07,0.969063545150502,0.988034188034188,NA,0.0649350649350649,0.108225108225108,0.15537561350522,0.500290946734616
"5",2009-01-08,0.957357859531772,1.02026862026862,NA,0.285714285714286,0.904761904761905,0.0285381993987998,0.988711376336178
"6",2009-01-09,0.932692307692308,0.977533577533578,NA,0.155844155844156,0.0952380952380952,0.508905128069879,0.164924680405941
"7",2009-01-12,0.913879598662207,0.966056166056166,NA,0.168831168831169,0.311688311688312,0.150526696832479,0.616441138037554
"8",2009-01-13,0.88628762541806,0.970695970695971,NA,0.125541125541126,0.606060606060606,0.0225348449477185,0.930743051719513
"9",2009-01-14,0.869565217391304,0.947008547008547,NA,0.177489177489178,0.177489177489178,0.335660276036125,0.335660276036125
"10",2009-01-15,0.892976588628763,0.957264957264957,NA,0.887445887445887,0.74025974025974,0.899892739613983,0.358759163454407
"11",2009-01-16,0.897157190635452,0.977045177045177,NA,0.61038961038961,0.822510822510823,0.305272889746055,0.875681321897517
"12",2009-01-20,0.846153846153846,0.901831501831502,NA,0.0476190476190476,0.012987012987013,0.743806150547003,0.0377489847455984
"13",2009-01-21,0.887541806020067,0.963369963369963,NA,0.956709956709957,0.978354978354978,0.467278272331651,0.892994847225123
"14",2009-01-22,0.876672240802675,0.927716727716728,NA,0.281385281385281,0.121212121212121,0.676817192812778,0.0981281867901621
"15",2009-01-23,0.861622073578595,0.937484737484737,NA,0.194805194805195,0.735930735930736,0.0343049229956044,0.949004318674201
"16",2009-01-26,0.872073578595318,0.939438339438339,NA,0.744588744588745,0.571428571428571,0.794582894403566,0.354216920316219
"17",2009-01-27,0.888377926421405,0.948473748473749,NA,0.813852813852814,0.714285714285714,0.796470757719595,0.472973865475006
"18",2009-01-28,0.931438127090301,0.978021978021978,NA,0.956709956709957,0.896103896103896,0.918711290427316,0.397836400833765
"19",2009-01-29,0.888377926421405,0.951404151404151,NA,0.0649350649350649,0.16017316017316,0.0826845662909398,0.652842110908636
"20",2009-01-30,0.864548494983278,0.923321123321123,NA,0.147186147186147,0.151515151515152,0.315423608934007,0.337053543724664
"21",2009-02-02,0.84448160535117,0.92039072039072,NA,0.164502164502165,0.445887445887446,0.0778423259176378,0.788454831725718
"22",2009-02-03,0.862040133779264,0.93040293040293,NA,0.826839826839827,0.74025974025974,0.795573383963595,0.495040142950978
"23",2009-02-04,0.794314381270903,0.925518925518925,"DIS",0.0173160173160173,0.385281385281385,0.000790159194188506,0.980911430838844
"24",2009-02-05,0.782190635451505,0.943101343101343,"DIS",0.220779220779221,0.80952380952381,0.0315683467309151,0.968893739963367
"25",2009-02-06,0.813127090301003,0.919658119658119,"DIS",0.930735930735931,0.177489177489178,0.996735650561625,0.00708824686969479
"26",2009-02-09,0.812709030100334,0.923076923076923,"DIS",0.515151515151515,0.593073593073593,0.427223265583732,0.618387046793188
"27",2009-02-10,0.78428093645485,0.91037851037851,"DIS",0.0995670995670996,0.285714285714286,0.0659348940401661,0.738891393917559
"28",2009-02-11,0.773411371237458,0.896703296703297,"DIS",0.242424242424242,0.264069264069264,0.329485621646056,0.401175920993802
"29",2009-02-12,0.787207357859532,0.885470085470085,"DIS",0.805194805194805,0.311688311688312,0.949183264802634,0.0702403680997438
"30",2009-02-13,0.774247491638796,0.876923076923077,"DIS",0.207792207792208,0.329004329004329,0.198080558921225,0.571707768261049
"31",2009-02-17,0.745819397993311,0.848107448107448,"DIS",0.0952380952380952,0.134199134199134,0.203514216561465,0.446029787363139
"32",2009-02-18,0.737040133779264,0.826617826617827,"DIS",0.29004329004329,0.173160173160173,0.572593088245814,0.175056631652291
"33",2009-02-19,0.739548494983278,0.812454212454212,"DIS",0.584415584415584,0.233766233766234,0.837584310038417,0.0930650423066003
"34",2009-02-20,0.732859531772575,0.805128205128205,"DIS",0.359307359307359,0.337662337662338,0.43822167050754,0.378893187222653
"35",2009-02-23,0.709448160535117,0.756532356532357,"DIS",0.116883116883117,0.0346320346320346,0.734011706212667,0.0452584713214372
"36",2009-02-24,0.749163879598662,0.778266178266178,"DIS",0.96969696969697,0.887445887445887,0.962386027649975,0.27570104797081
"37",2009-02-25,0.725752508361204,0.75970695970696,"DIS",0.125541125541126,0.177489177489178,0.209447217999087,0.462591276126408
"38",2009-02-26,0.704849498327759,0.746031746031746,"DIS",0.138528138528139,0.216450216450216,0.185345268931629,0.514998342263772
"39",2009-02-27,0.701086956521739,0.730647130647131,"DIS",0.428571428571429,0.199134199134199,0.72193739263829,0.121487157589354
"40",2009-03-02,0.670986622073579,0.69010989010989,"DIS",0.0735930735930736,0.0432900432900433,0.498199832317942,0.147715260615995
"41",2009-03-03,0.683946488294314,0.675946275946276,NA,0.813852813852814,0.199134199134199,0.973944710216828,0.0244133846708457
"42",2009-03-04,0.70819397993311,0.686691086691087,NA,0.913419913419913,0.787878787878788,0.914068386295678,0.360643857845632
"43",2009-03-05,0.668478260869565,0.656410256410256,NA,0.0476190476190476,0.0865800865800866,0.133820869229909,0.526269130501012
"44",2009-03-06,0.661789297658863,0.653479853479853,NA,0.324675324675325,0.411255411255411,0.306833899015415,0.535318823620711
