"","X1","HIFS","PCG","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,0.964170548190613,0.997165678948725,NA,0.0692640692640693,0.441558441558442,0.0460204095123579,0.469989264517283
"3",2009-01-06,0.976352561805804,0.982221077041999,NA,0.865800865800866,0.199134199134199,0.879962269018062,0.199080311701405
"4",2009-01-07,0.951271945539233,0.976810100489564,NA,0.112554112554113,0.380952380952381,0.0865171687023224,0.405663301616757
"5",2009-01-08,0.953063418129703,0.978098428240144,NA,0.844155844155844,0.554112554112554,0.874841099175378,0.539673733205302
"6",2009-01-09,0.899677534933715,0.985313063643391,NA,0.038961038961039,0.696969696969697,0.0244901416665468,0.66290065852153
"7",2009-01-12,0.899677534933715,0.997423344498841,"HIFS",0.779220779220779,0.800865800865801,0.779099924348311,0.806727057061065
"8",2009-01-13,0.93156574704407,0.953877866529245,"HIFS",0.935064935064935,0.0476190476190476,0.898977137900049,0.0663506418349526
"9",2009-01-14,0.899677534933715,0.944344241174955,"HIFS",0.0692640692640693,0.29004329004329,0.0524332778935727,0.339607766685313
"10",2009-01-15,0.929057685417413,0.945890234475651,"HIFS",0.904761904761905,0.567099567099567,0.931430435247143,0.542868951102783
"11",2009-01-16,0.930490863489789,0.96882246843597,"HIFS",0.826839826839827,0.9004329004329,0.794281027357009,0.901575506846261
"12",2009-01-20,0.947689000358295,0.960061839732028,"HIFS",0.878787878787879,0.311688311688312,0.904620536038954,0.31059283366961
"13",2009-01-21,0.947689000358295,0.971656789487246,"HIFS",0.779220779220779,0.800865800865801,0.779099924348311,0.806727057061065
"14",2009-01-22,0.906126836259405,0.973202782787941,"HIFS",0.0606060606060606,0.567099567099567,0.0385236861997107,0.571485973186193
"15",2009-01-23,1.02113937656754,0.975006441638753,NA,1,0.571428571428571,0.9999999999,0.474617145074741
"16",2009-01-26,0.895736295234683,0.998454006699304,"HIFS",0.00432900432900433,0.9004329004329,0.00372326242337514,0.737520827475618
"17",2009-01-27,0.900752418487997,1.00231898995104,"HIFS",0.848484848484849,0.623376623376623,0.875543049197653,0.607387412345973
"18",2009-01-28,0.912576137585095,1.00283432105128,"HIFS",0.865800865800866,0.519480519480519,0.896725157484198,0.504088112065706
"19",2009-01-29,0.912576137585095,1.00309198660139,"HIFS",0.779220779220779,0.515151515151515,0.810129290037155,0.505338795638836
"20",2009-01-30,0.913651021139377,0.996392682298377,"HIFS",0.813852813852814,0.359307359307359,0.844345017147903,0.346611323264793
"21",2009-02-02,0.887495521318524,1.00103066220046,"HIFS",0.0909090909090909,0.640692640692641,0.065449597720811,0.638945691795275
"22",2009-02-03,0.912576137585095,1.00824529760371,"HIFS",0.9004329004329,0.688311688311688,0.921057004057076,0.655331863535217
"23",2009-02-04,0.93156574704407,1.01339860860603,"HIFS",0.891774891774892,0.645021645021645,0.916025159176557,0.617517155011665
"24",2009-02-05,0.931924041562164,1.00850296315383,"HIFS",0.805194805194805,0.393939393939394,0.836881692172519,0.380774288166674
"25",2009-02-06,1.00501612325331,1.00695696985313,"HIFS",0.978354978354978,0.480519480519481,0.989469237145161,0.466436777887148
"26",2009-02-09,0.978144034396274,0.984540066993043,"HIFS",0.108225108225108,0.125541125541126,0.121951003056212,0.148862141380982
"27",2009-02-10,1.03009673951989,0.958773511981448,NA,0.948051948051948,0.0952380952380952,0.94054014760266,0.13417140338847
"28",2009-02-11,1.03869222500896,0.964184488533883,NA,0.865800865800866,0.658008658008658,0.890071276038791,0.637521261547118
"29",2009-02-12,1.03690433536367,0.964957485184231,NA,0.229437229437229,0.528138528138528,0.198109977000063,0.539636687259165
"30",2009-02-13,0.939089931924042,0.974233444988405,NA,0.00432900432900433,0.757575757575758,0.00185056778837411,0.637161981293852
"31",2009-02-17,0.939089931924042,0.950270548827622,NA,0.779220779220779,0.108225108225108,0.771289552215997,0.0916337020777926
"32",2009-02-18,1.00071658903619,0.916258696212316,NA,0.965367965367965,0.0562770562770563,0.94687456924358,0.103019739645165
"33",2009-02-19,1.00250806162666,0.920639010564287,NA,0.83982683982684,0.640692640692641,0.865621918653928,0.626477932466182
"34",2009-02-20,1.00250806162666,0.904148415356867,"PCG",0.779220779220779,0.155844155844156,0.785377564045154,0.137956158981477
"35",2009-02-23,0.895736295234683,0.901829425405823,NA,0.00432900432900433,0.458874458874459,0.00139334835564115,0.507323121064254
"36",2009-02-24,0.93156574704407,0.94717856222623,NA,0.939393939393939,0.965367965367965,0.875037267260054,0.942477885646551
"37",2009-02-25,0.93156574704407,0.967018809585158,NA,0.779220779220779,0.9004329004329,0.744564609977212,0.910609227217195
"38",2009-02-26,0.931207452525976,0.978098428240144,NA,0.246753246753247,0.796536796536797,0.231344293642377,0.818131627539201
"39",2009-02-27,0.93156574704407,0.984797732543159,NA,0.805194805194805,0.688311688311688,0.825438267132769,0.682590381112911
"40",2009-03-02,0.8362594052311,0.97964442154084,"HIFS",0.00432900432900433,0.385281385281385,0.00146972596181078,0.476655434285132
"41",2009-03-03,0.824077391615908,0.979129090440608,"HIFS",0.151515151515152,0.493506493506494,0.119668062934742,0.507232473500697
"42",2009-03-04,0.842350412038696,0.966761144035043,"HIFS",0.891774891774892,0.229437229437229,0.909438255598089,0.236981324505381
"43",2009-03-05,0.84091723396632,0.944344241174955,"HIFS",0.229437229437229,0.112554112554113,0.258000578341784,0.101279789462747
"44",2009-03-06,0.841992117520602,0.945374903375419,"HIFS",0.813852813852814,0.536796536796537,0.84515201312416,0.525312664288184
