"","X1","SSS","LSI","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,0.954902531277277,0.954902531277277,NA,0.0995670995670996,0.0995670995670996,0.495514380625635,0.495514380625635
"3",2009-01-06,0.983706720977597,0.983706720977597,NA,0.831168831168831,0.831168831168831,0.503916925073609,0.503916925073609
"4",2009-01-07,0.953447774221705,0.953447774221705,NA,0.151515151515152,0.151515151515152,0.495815079462436,0.495815079462436
"5",2009-01-08,0.902822228687809,0.902822228687809,NA,0.0909090909090909,0.0909090909090909,0.495465939811039,0.495465939811039
"6",2009-01-09,0.826592958975851,0.826592958975851,NA,0.025974025974026,0.025974025974026,0.495116558386252,0.495116558386252
"7",2009-01-12,0.766075065464068,0.766075065464068,NA,0.0432900432900433,0.0432900432900433,0.495207418566214,0.495207418566214
"8",2009-01-13,0.792842595286587,0.792842595286587,NA,0.87012987012987,0.87012987012987,0.505221119566508,0.505221119566508
"9",2009-01-14,0.749781786441664,0.749781786441664,NA,0.0865800865800866,0.0865800865800866,0.49544189040635,0.49544189040635
"10",2009-01-15,0.770730288041897,0.770730288041897,NA,0.822510822510823,0.822510822510823,0.503667936936591,0.503667936936591
"11",2009-01-16,0.801571137620018,0.801571137620018,NA,0.891774891774892,0.891774891774892,0.506125407578242,0.506125407578242
"12",2009-01-20,0.723596159441373,0.723596159441373,NA,0.012987012987013,0.012987012987013,0.495049456588293,0.495049456588293
"13",2009-01-21,0.789642129764329,0.789642129764329,NA,0.965367965367965,0.965367965367965,0.511739512864306,0.511739512864306
"14",2009-01-22,0.766656968286296,0.766656968286296,NA,0.168831168831169,0.168831168831169,0.4959193768307,0.4959193768307
"15",2009-01-23,0.76956648239744,0.76956648239744,NA,0.584415584415584,0.584415584415584,0.49941295860227,0.49941295860227
"16",2009-01-26,0.768693628164097,0.768693628164097,NA,0.536796536796537,0.536796536796537,0.498867799834045,0.498867799834045
"17",2009-01-27,0.773930753564155,0.773930753564155,NA,0.614718614718615,0.614718614718615,0.49979308945953,0.49979308945953
"18",2009-01-28,0.831248181553681,0.831248181553681,NA,0.952380952380952,0.952380952380952,0.510176916845083,0.510176916845083
"19",2009-01-29,0.782077393075356,0.782077393075356,NA,0.0649350649350649,0.0649350649350649,0.495323311082971,0.495323311082971
"20",2009-01-30,0.756473668897294,0.756473668897294,NA,0.138528138528139,0.138528138528139,0.495738230107337,0.495738230107337
"21",2009-02-02,0.77829502473087,0.77829502473087,NA,0.826839826839827,0.826839826839827,0.503790890281898,0.503790890281898
"22",2009-02-03,0.762583648530695,0.762583648530695,NA,0.255411255411255,0.255411255411255,0.496475423640127,0.496475423640127
"23",2009-02-04,0.750072737852779,0.750072737852779,NA,0.294372294372294,0.294372294372294,0.496746874094188,0.496746874094188
"24",2009-02-05,0.7160314227524,0.7160314227524,NA,0.0995670995670996,0.0995670995670996,0.495514380625635,0.495514380625635
"25",2009-02-06,0.759965085830666,0.759965085830666,NA,0.930735930735931,0.930735930735931,0.508331957740883,0.508331957740883
"26",2009-02-09,0.755309863252837,0.755309863252837,NA,0.402597402597403,0.402597402597403,0.497586882628839,0.497586882628839
"27",2009-02-10,0.698865289496654,0.698865289496654,NA,0.038961038961039,0.038961038961039,0.495184551809,0.495184551809
"28",2009-02-11,0.693046261274367,0.693046261274367,NA,0.376623376623377,0.376623376623377,0.497372294270027,0.497372294270027
"29",2009-02-12,0.692755309863253,0.692755309863253,NA,0.545454545454545,0.545454545454545,0.498962664173762,0.498962664173762
"30",2009-02-13,0.65842304335176,0.65842304335176,NA,0.0909090909090909,0.0909090909090909,0.495465939811039,0.495465939811039
"31",2009-02-17,0.612452720395694,0.612452720395694,NA,0.0606060606060606,0.0606060606060606,0.495299921582132,0.495299921582132
"32",2009-02-18,0.622345068373582,0.622345068373582,NA,0.705627705627706,0.705627705627706,0.501141984577208,0.501141984577208
"33",2009-02-19,0.608088449228979,0.608088449228979,NA,0.225108225108225,0.225108225108225,0.496273846690842,0.496273846690842
"34",2009-02-20,0.641256910096014,0.641256910096014,NA,0.922077922077922,0.922077922077922,0.507750569633956,0.507750569633956
"35",2009-02-23,0.600523712540006,0.600523712540006,NA,0.0649350649350649,0.0649350649350649,0.495323311082971,0.495323311082971
"36",2009-02-24,0.643875472796043,0.643875472796043,NA,0.952380952380952,0.952380952380952,0.510176916845083,0.510176916845083
"37",2009-02-25,0.634855979051498,0.634855979051498,NA,0.316017316017316,0.316017316017316,0.496904164948447,0.496904164948447
"38",2009-02-26,0.611288914751237,0.611288914751237,NA,0.116883116883117,0.116883116883117,0.49561266119747,0.49561266119747
"39",2009-02-27,0.61623508874018,0.61623508874018,NA,0.636363636363636,0.636363636363636,0.500083193218533,0.500083193218533
"40",2009-03-02,0.570846668606343,0.570846668606343,NA,0.0432900432900433,0.0432900432900433,0.495207418566214,0.495207418566214
"41",2009-03-03,0.548443409950538,0.548443409950538,NA,0.108225108225108,0.108225108225108,0.495563284756202,0.495563284756202
"42",2009-03-04,0.560372417806226,0.560372417806226,NA,0.770562770562771,0.770562770562771,0.502387830738031,0.502387830738031
"43",2009-03-05,0.515565900494617,0.515565900494617,NA,0.0303030303030303,0.0303030303030303,0.495139122618899,0.495139122618899
"44",2009-03-06,0.497526913005528,0.497526913005528,NA,0.12987012987013,0.12987012987013,0.495687631772544,0.495687631772544
"45",2009-03-09,0.5010183299389,0.5010183299389,NA,0.619047619047619,0.619047619047619,0.499849797049718,0.499849797049718
