"","X1","FWRD","LSTR","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,0.958521560574949,0.969446531430002,NA,0.0952380952380952,0.138528138528139,0.185769472069545,0.474977929651144
"3",2009-01-06,0.972073921971253,0.996493864262459,NA,0.705627705627706,0.822510822510823,0.451900266571303,0.804861175184436
"4",2009-01-07,0.936755646817248,0.953668920611069,NA,0.142857142857143,0.0822510822510823,0.547419905508802,0.137936756510988
"5",2009-01-08,0.937987679671458,0.940395692461808,NA,0.541125541125541,0.311688311688312,0.724206043400225,0.190597950170924
"6",2009-01-09,0.876386036960986,0.903581267217631,NA,0.0303030303030303,0.108225108225108,0.0341949378149096,0.773712871426738
"7",2009-01-12,0.860369609856263,0.861257200100175,NA,0.298701298701299,0.0779220779220779,0.816893149858757,0.0328837056281195
"8",2009-01-13,0.859958932238193,0.861257200100175,NA,0.497835497835498,0.497835497835498,0.486837057964623,0.486837057964623
"9",2009-01-14,0.813963039014374,0.83045329326321,NA,0.0649350649350649,0.121212121212121,0.120152810774018,0.571734726889779
"10",2009-01-15,0.858316221765914,0.864012021036814,NA,0.913419913419913,0.913419913419913,0.714593166731828,0.714593166731828
"11",2009-01-16,0.816016427104723,0.853243175557225,NA,0.0779220779220779,0.346320346320346,0.025052538236122,0.853146940390362
"12",2009-01-20,0.745379876796714,0.798898071625344,NA,0.0216450216450216,0.0346320346320346,0.153273272723135,0.501956480909253
"13",2009-01-21,0.790554414784394,0.830202854996243,NA,0.922077922077922,0.9004329004329,0.779614399714711,0.640372081544253
"14",2009-01-22,0.7782340862423,0.817430503380917,NA,0.329004329004329,0.294372294372294,0.43696856212414,0.333688485580356
"15",2009-01-23,0.758521560574949,0.78412221387428,NA,0.220779220779221,0.103896103896104,0.639705880560231,0.100311972959506
"16",2009-01-26,0.783983572895277,0.783370899073378,NA,0.848484848484849,0.493506493506494,0.934213231267367,0.164803105086608
"17",2009-01-27,0.805338809034908,0.779213623841723,NA,0.822510822510823,0.454545454545455,0.923888493912119,0.156917287703628
"18",2009-01-28,0.86570841889117,0.806160781367393,NA,0.948051948051948,0.861471861471861,0.916504054875534,0.407268350661476
"19",2009-01-29,0.859548254620123,0.85549711995993,NA,0.445887445887446,0.96969696969697,0.0280889399368073,0.997536472794502
"20",2009-01-30,0.832032854209446,0.89832206361132,NA,0.155844155844156,0.952380952380952,0.00401261866104552,0.998667790744327
"21",2009-02-02,0.829979466119096,0.875281743050338,NA,0.480519480519481,0.186147186147186,0.791987727649232,0.0836941008415506
"22",2009-02-03,0.854209445585216,0.902829952416729,NA,0.835497835497836,0.852813852813853,0.645965487803974,0.716926032611262
"23",2009-02-04,0.855852156057495,0.898071625344353,NA,0.54978354978355,0.454545454545455,0.604585376333738,0.375526257531785
"24",2009-02-05,0.903901437371663,0.916353618832958,NA,0.917748917748918,0.753246753246753,0.925596756507847,0.321347030441418
"25",2009-02-06,0.939219712525667,0.948159278737791,NA,0.865800865800866,0.861471861471861,0.701335542187073,0.681692816499734
"26",2009-02-09,0.897330595482546,0.950663661407463,NA,0.0822510822510823,0.541125541125541,0.0122381624186655,0.936382503401567
"27",2009-02-10,0.804517453798768,0.903330828950664,NA,0.00432900432900433,0.0735930735930736,0.00128567834243687,0.959324328191895
"28",2009-02-11,0.781519507186858,0.882544452792387,NA,0.181818181818182,0.199134199134199,0.299071534081921,0.374711379257581
"29",2009-02-12,0.783983572895277,0.889055847733534,NA,0.567099567099567,0.614718614718615,0.483834153730718,0.600708620618497
"30",2009-02-13,0.7782340862423,0.868269471575257,NA,0.445887445887446,0.199134199134199,0.741269433290794,0.108604413140848
"31",2009-02-17,0.753593429158111,0.83671424993739,NA,0.155844155844156,0.116883116883117,0.442852571262223,0.21569094478307
"32",2009-02-18,0.743737166324435,0.826696719258703,NA,0.350649350649351,0.350649350649351,0.403745849540393,0.403745849540393
"33",2009-02-19,0.75564681724846,0.827448034059604,NA,0.731601731601732,0.515151515151515,0.804595727660265,0.299079700531302
"34",2009-02-20,0.721560574948665,0.846731780616078,"FWRD",0.0779220779220779,0.766233766233766,0.00458284804917064,0.985621674234348
"35",2009-02-23,0.696098562628337,0.820936639118457,"FWRD",0.151515151515152,0.138528138528139,0.360707588588277,0.288264441336721
"36",2009-02-24,0.716221765913758,0.848735286751816,"FWRD",0.831168831168831,0.861471861471861,0.618308283322454,0.74356215562435
"37",2009-02-25,0.674743326488706,0.823441021788129,"FWRD",0.0649350649350649,0.142857142857143,0.0897326537300457,0.635303364748067
"38",2009-02-26,0.682135523613963,0.794891059353869,"FWRD",0.666666666666667,0.125541125541126,0.948653143557871,0.019036151656896
"39",2009-02-27,0.683367556468172,0.792637114951165,"FWRD",0.54978354978355,0.476190476190476,0.584967977363626,0.407298970429773
"40",2009-03-02,0.628336755646817,0.724267468069121,"FWRD",0.025974025974026,0.00432900432900433,0.868898661272935,0.0115365058718341
"41",2009-03-03,0.60082135523614,0.722764838467318,"FWRD",0.0822510822510823,0.489177489177489,0.0148613765879242,0.918383588425502
"42",2009-03-04,0.625051334702259,0.750062609566742,"FWRD",0.878787878787879,0.887445887445887,0.678236679503211,0.722607245547074
"43",2009-03-05,0.583162217659138,0.706987227648385,"FWRD",0.0303030303030303,0.0476190476190476,0.158263399824976,0.49519495991844
"44",2009-03-06,0.592607802874743,0.696218382168795,"FWRD",0.735930735930736,0.294372294372294,0.912687645717698,0.0890611506781145
