,ADI,GGG
2008-02-01,1.0,1.0
2008-02-04,0.986254295532646,1.0028304557033683
2008-02-05,0.9501718213058419,0.9881120860458533
2008-02-06,0.9405498281786941,0.9852816303424853
2008-02-07,0.9529209621993127,0.9977356354373055
2008-02-08,0.954295532646048,0.9957543164449477
2008-02-11,0.9707903780068728,1.0039626379847155
2008-02-12,0.9714776632302405,1.0138692329465044
2008-02-13,0.9810996563573883,1.0367959241437872
2008-02-14,0.9735395189003435,1.016133597509199
2008-02-15,0.9597938144329896,1.0212284177752617
2008-02-19,0.9426116838487972,1.022643645626946
2008-02-20,0.9525773195876288,1.0365128785734503
2008-02-21,0.983848797250859,1.0175488253608833
2008-02-22,0.9687285223367698,1.0138692329465044
2008-02-25,0.9756013745704467,0.9895273138975376
2008-02-26,0.9786941580756013,1.0217945089159355
2008-02-27,0.9756013745704467,1.0155675063685254
2008-02-28,0.9604810996563573,1.0042456835550524
2008-02-29,0.925085910652921,0.982451174639117
2008-03-03,0.924742268041237,0.9881120860458533
2008-03-04,0.9388316151202749,0.9858477214831588
2008-03-05,0.9474226804123711,1.0048117746957261
2008-03-06,0.9182130584192439,0.9810359467874328
2008-03-07,0.9405498281786941,0.9685819416926126
2008-03-10,0.9347079037800686,0.9439569770733088
2008-03-11,0.9553264604810996,0.9827342202094538
2008-03-12,0.956701030927835,0.9898103594678743
2008-03-13,0.9718213058419244,1.0039626379847155
2008-03-14,0.9494845360824742,0.9776393999433909
2008-03-17,0.9597938144329896,0.9782054910840646
2008-03-18,0.979381443298969,1.0011321822813473
2008-03-19,0.9419243986254295,0.9886781771865271
2008-03-20,0.9742268041237113,0.9932069063119163
2008-03-24,1.0127147766323024,1.0243419190489669
2008-03-25,1.0140893470790378,1.0467025191055759
2008-03-26,1.0037800687285223,1.0350976507217662
2008-03-27,1.002061855670103,1.0277384658930089
2008-03-28,0.9951890034364261,1.0271723747523351
2008-03-31,1.0144329896907216,1.0263232380413247
2008-04-01,1.052233676975945,1.0588734786300593
2008-04-02,1.0432989690721648,1.0591565242003964
2008-04-03,1.0553264604810997,1.069346164732522
2008-04-04,1.0539518900343643,1.0713274837248798
2008-04-07,1.0525773195876287,1.0656665723181433
2008-04-08,1.0274914089347078,1.0696292103028588
2008-04-09,1.031615120274914,1.0619869799037647
2008-04-10,1.0845360824742267,1.0690631191621853
2008-04-11,1.042611683848797,1.0534956127936599
2008-04-14,1.0257731958762886,1.0438720634022078
2008-04-15,1.038487972508591,1.0566091140673648
2008-04-16,1.0804123711340206,1.095103311633173
2008-04-17,1.0697594501718213,1.080667987545995
2008-04-18,1.0879725085910652,1.105009906594962
2008-04-21,1.1213058419243986,1.1115199547127088
2008-04-22,1.076975945017182,1.117463911689782
2008-04-23,1.1034364261168383,1.106708180016983
2008-04-24,1.1120274914089345,1.0883102179450892
2008-04-25,1.1065292096219932,1.127370506651571
2008-04-28,1.109278350515464,1.1463345598641381
2008-04-29,1.1144329896907217,1.138409283894707
2008-04-30,1.106872852233677,1.1720917067647891
2008-05-01,1.1546391752577319,1.1842626662892728
2008-05-02,1.1450171821305841,1.1729408434757995
2008-05-05,1.1560137457044672,1.1358618737616757
2008-05-06,1.1786941580756012,1.136711010472686
2008-05-07,1.172164948453608,1.1268044155108974
2008-05-08,1.1591065292096219,1.142088876309086
2008-05-09,1.1731958762886598,1.1375601471836965
2008-05-12,1.175257731958763,1.1604868383809794
2008-05-13,1.184192439862543,1.150014152278517
2008-05-14,1.190721649484536,1.1570902915369377
2008-05-15,1.2164948453608246,1.1517124257005378
2008-05-16,1.2185567010309277,1.1386923294650437
2008-05-19,1.2268041237113403,1.1667138409283895
2008-05-20,1.1941580756013745,1.1534106991225588
2008-05-21,1.1460481099656357,1.1347296914803284
2008-05-22,1.1618556701030929,1.1355788281913388
2008-05-23,1.1618556701030929,1.1316161902066233
2008-05-27,1.1890034364261168,1.140107557316728
2008-05-28,1.179381443298969,1.1432210585904332
2008-05-29,1.1824742268041235,1.1539767902632325
2008-05-30,1.206529209621993,1.1440701953014436
2008-06-02,1.1982817869415807,1.1310500990659498
2008-06-03,1.2092783505154638,1.1180300028304557
2008-06-04,1.2326460481099655,1.1115199547127088
2008-06-05,1.2381443298969073,1.1234078686668554
2008-06-06,1.1958762886597936,1.1135012737050667
2008-06-09,1.1910652920962197,1.1200113218228136
2008-06-10,1.1670103092783506,1.1245400509482026
2008-06-11,1.1285223367697594,1.116048683838098
2008-06-12,1.136426116838488,1.1225587319558448
2008-06-13,1.1659793814432988,1.1437871497311067
2008-06-16,1.1769759450171822,1.1375601471836965
2008-06-17,1.1597938144329896,1.1395414661760543
2008-06-18,1.1268041237113402,1.1449193320124542
2008-06-19,1.160824742268041,1.1811491650155674
2008-06-20,1.1426116838487972,1.1556750636852533
2008-06-23,1.1281786941580756,1.1553920181149167
2008-06-24,1.1374570446735395,1.1211435041041609
2008-06-25,1.1487972508591064,1.1140673648457402
2008-06-26,1.099656357388316,1.082083215397679
2008-06-27,1.0893470790378006,1.0877441268044155
2008-06-30,1.0917525773195875,1.07755448627229
2008-07-01,1.0900343642611683,1.0665157090291537
2008-07-02,1.0735395189003436,1.0602887064817437
2008-07-03,1.0553264604810997,1.0585904330597227
2008-07-07,1.0625429553264605,1.0585904330597227
2008-07-08,1.0673539518900343,1.0761392584206058
2008-07-09,1.0219931271477662,1.0534956127936599
2008-07-10,1.034364261168385,1.0543447495046703
2008-07-11,1.042611683848797,1.0670818001698275
2008-07-14,1.0309278350515463,1.075573167279932
