,BRK_A,BRK_B
2008-02-01,1.0,1.0
2008-02-04,1.0007369196757554,0.995135971700199
2008-02-05,1.0058953574060427,1.004864028299801
2008-02-06,0.997789240972734,1.0037585673225735
2008-02-07,1.0014738393515106,1.0033163829316825
2008-02-08,1.0198968312453942,1.0152553614857396
2008-02-11,1.031319086219602,1.0269732478443512
2008-02-12,1.0294767870302137,1.0300685385805881
2008-02-13,1.0610169491525423,1.0541896971036924
2008-02-14,1.0537214443625644,1.0543886800795932
2008-02-15,1.0574797347089167,1.0601370771611762
2008-02-19,1.0552689756816507,1.0590316161839488
2008-02-20,1.0559322033898304,1.0557152332522661
2008-02-21,1.0398305084745763,1.0393544107892991
2008-02-22,1.0272660280029478,1.0276365244306875
2008-02-25,1.0294767870302137,1.0294052619942515
2008-02-26,1.025792188651437,1.0227724961308866
2008-02-27,1.036845983787767,1.035651116515587
2008-02-28,1.0335298452468682,1.0302896307760336
2008-02-29,1.0316875460574797,1.0334954676099934
2008-03-03,1.0058953574060427,0.996904709263763
2008-03-04,1.0103168754605747,1.011496794163166
2008-03-05,1.0243183492999264,1.019013928808313
2008-03-06,0.9985261606484893,0.9997789078045545
2008-03-07,0.9860353721444363,0.9865133760778244
2008-03-10,0.9683124539425203,0.9646252487287199
2008-03-11,0.9722918201915991,0.9728056599602034
2008-03-12,0.9646278555637435,0.9632986955560469
2008-03-13,0.9602063375092115,0.9582135750608004
2008-03-14,0.9532792925571113,0.9546760999336723
2008-03-17,0.9432571849668386,0.9385363696661508
2008-03-18,0.9498894620486367,0.9519124474906036
2008-03-19,0.9468680913780398,0.9430687596727836
2008-03-20,0.9596904937361828,0.9613088657970373
2008-03-24,0.9598378776713338,0.9597612204289189
2008-03-25,0.9521002210759028,0.9506964404156534
2008-03-26,0.9468680913780398,0.9467167808976343
2008-03-27,0.9598378776713338,0.9661728940968384
2008-03-28,0.9867354458364038,0.9843024541233695
2008-03-31,0.9830508474576272,0.988945390227725
2008-04-01,0.9793662490788504,0.9816493477780235
2008-04-02,0.9694178334561533,0.9649568870218881
2008-04-03,0.9638909358879882,0.9599823126243644
2008-04-04,0.9638909358879882,0.9659518019013928
2008-04-07,0.9762343404568902,0.9739111209374309
2008-04-08,0.9727339719970524,0.9761220428918859
2008-04-09,0.9686809137803979,0.9705947380057484
2008-04-10,0.9671333824613118,0.9681627238558479
2008-04-11,0.9602063375092115,0.9626354189697104
2008-04-14,0.9470523212969786,0.9476011496794163
2008-04-15,0.9476787030213707,0.9484855184611983
2008-04-16,0.9541267501842299,0.9551182843245634
2008-04-17,0.9472365512159174,0.9467167808976343
2008-04-18,0.9476787030213707,0.9480433340703073
2008-04-21,0.9447310243183493,0.9451691355295158
2008-04-22,0.9373618275607959,0.9376520008843687
2008-04-23,0.9373618275607959,0.9365465399071413
2008-04-24,0.9340456890198968,0.9341145257572407
2008-04-25,0.934966838614591,0.9352199867344683
2008-04-28,0.9466470154753132,0.9442847667477338
2008-04-29,0.9686809137803979,0.9690249834180853
2008-04-30,0.9863669859985261,0.985407915100597
2008-05-01,0.9867354458364038,0.9860711916869335
2008-05-02,0.9845246868091379,0.9834180853415875
2008-05-05,0.9579955784819455,0.9581030289630776
2008-05-06,0.9594694178334562,0.9606455892107009
2008-05-07,0.94620486366986,0.942405483086447
2008-05-08,0.9506263817243921,0.9462745965067433
2008-05-09,0.922623434045689,0.9239442847667477
2008-05-12,0.9049373618275608,0.9053725403493257
2008-05-13,0.9137803979366249,0.9170904267079372
2008-05-14,0.9100957995578481,0.9107892991377404
2008-05-15,0.8954310980103168,0.8987397744859607
2008-05-16,0.9019896831245394,0.9013707716117622
2008-05-19,0.9134119380987472,0.9107892991377404
2008-05-20,0.9086219602063376,0.9066990935219986
2008-05-21,0.8960943257184967,0.8976343135087331
2008-05-22,0.9071481208548269,0.9076940084015034
2008-05-23,0.9135593220338983,0.9131107671899182
2008-05-27,0.9425939572586588,0.9495909794384259
2008-05-28,0.9543109801031687,0.9590979438425824
2008-05-29,0.974207811348563,0.9730267521556489
2008-05-30,0.9922623434045689,0.9944726951138625
2008-06-02,0.975313190862196,0.9705947380057484
2008-06-03,0.9874723655121592,0.9882821136413884
2008-06-04,0.9800294767870302,0.9617510501879284
2008-06-05,0.9616801768607222,0.9628565111651559
2008-06-06,0.9535740604274134,0.9476011496794163
2008-06-09,0.9366249078850405,0.9378730930798143
2008-06-10,0.9323876197494473,0.9341145257572407
2008-06-11,0.9307295504789977,0.9330090647800132
2008-06-12,0.9336035372144437,0.9341145257572407
2008-06-13,0.9358879882092852,0.9389785540570418
2008-06-16,0.9270449521002211,0.9281450364802123
2008-06-17,0.9275607958732498,0.9301348662392217
2008-06-18,0.9240972733971997,0.9283661286756577
2008-06-19,0.9210759027266028,0.9204068096396197
2008-06-20,0.9137803979366249,0.9184169798806102
2008-06-23,0.9026529108327193,0.8987397744859607
2008-06-24,0.9042004421518055,0.9047092637629892
2008-06-25,0.899042004421518,0.8991819588768516
2008-06-26,0.8895357406042741,0.8926597391112093
2008-06-27,0.8887251289609432,0.8880168030068538
2008-06-30,0.8898305084745762,0.8870218881273491
2008-07-01,0.8850405305821666,0.8841476895865575
2008-07-02,0.8744657332350774,0.8728498783992925
2008-07-03,0.8599852616064849,0.8611541012602255
2008-07-07,0.8728076639646278,0.871302233031174
2008-07-08,0.8750921149594694,0.8770727393323016
2008-07-09,0.8798820928518791,0.8810523988503206
2008-07-10,0.8787767133382461,0.87862038470042
2008-07-11,0.8658806190125277,0.8642493919964626
