,CREE,BANC
2008-02-01,1.0,1.0
2008-02-04,1.0463333333333333,0.9816091954022989
2008-02-05,1.0373333333333334,0.9798850574712645
2008-02-06,0.9866666666666667,0.9718390804597702
2008-02-07,1.06,0.9787356321839082
2008-02-08,1.074,0.9862068965517242
2008-02-11,1.1346666666666667,1.0040229885057472
2008-02-12,1.0733333333333335,1.0040229885057472
2008-02-13,1.1183333333333332,1.014367816091954
2008-02-14,1.1073333333333333,1.0057471264367817
2008-02-15,1.0896666666666666,1.0057471264367817
2008-02-19,1.0796666666666668,0.9770114942528736
2008-02-20,1.0956666666666666,0.9770114942528736
2008-02-21,1.102,0.9844827586206897
2008-02-22,1.0783333333333334,0.9942528735632186
2008-02-25,1.093,1.0114942528735633
2008-02-26,1.1636666666666666,0.9885057471264368
2008-02-27,1.125,0.9718390804597702
2008-02-28,1.1216666666666666,0.9689655172413794
2008-02-29,1.03,0.9844827586206897
2008-03-03,0.9876666666666666,0.975287356321839
2008-03-04,0.9853333333333333,0.9770114942528736
2008-03-05,0.9603366666666666,0.9885057471264368
2008-03-06,0.9393333333333334,0.960919540229885
2008-03-07,0.9233333333333333,0.9706896551724139
2008-03-10,0.891,0.9833333333333334
2008-03-11,0.953,0.9655172413793105
2008-03-12,0.9523333333333334,0.9695402298850576
2008-03-13,0.982,0.9672413793103448
2008-03-14,0.9273333333333333,0.9517241379310345
2008-03-17,0.9116666666666667,0.9396551724137933
2008-03-18,0.9313333333333333,0.9482758620689656
2008-03-19,0.8906666666666666,0.9528735632183908
2008-03-20,0.9700000000000001,0.9379310344827587
2008-03-24,0.9843333333333334,0.9436781609195404
2008-03-25,0.965,0.9436781609195404
2008-03-26,1.0226666666666666,0.953448275862069
2008-03-27,0.9593333333333334,0.953448275862069
2008-03-28,0.9036666666666666,0.9373563218390805
2008-03-31,0.932,0.9373563218390805
2008-04-01,0.9563333333333334,0.9626436781609197
2008-04-02,0.94,0.9591954022988507
2008-04-03,0.9463333333333334,0.9591954022988507
2008-04-04,0.974,0.9649425287356322
2008-04-07,0.9466666666666667,0.9482758620689656
2008-04-08,0.9436666666666667,0.960919540229885
2008-04-09,0.9380000000000001,0.9482758620689656
2008-04-10,0.9476666666666667,0.9540229885057473
2008-04-11,0.9256666666666666,0.9620689655172414
2008-04-14,0.9109999999999999,0.9471264367816093
2008-04-15,0.9393333333333334,0.9454022988505747
2008-04-16,1.0106666666666666,0.9597701149425287
2008-04-17,1.0003333333333333,0.9454022988505747
2008-04-18,1.021,0.9597701149425287
2008-04-21,1.059,0.9511494252873565
2008-04-22,1.0353333333333332,0.9431034482758621
2008-04-23,0.8806666666666667,0.9454022988505747
2008-04-24,0.8806666666666667,0.9321839080459771
2008-04-25,0.9046666666666667,0.9419540229885058
2008-04-28,0.9126666666666666,0.9454022988505747
2008-04-29,0.9019999999999999,0.9229885057471264
2008-04-30,0.8666666666666667,0.9385057471264368
2008-05-01,0.8873333333333334,0.9454022988505747
2008-05-02,0.882,0.9454022988505747
2008-05-05,0.876,0.9137931034482759
2008-05-06,0.8626666666666666,0.9396551724137933
2008-05-07,0.8686666666666666,0.9396551724137933
2008-05-08,0.8493333333333334,0.9419540229885058
2008-05-09,0.8283333333333334,0.9522988505747128
2008-05-12,0.815,0.9522988505747128
2008-05-13,0.8170000000000001,0.953448275862069
2008-05-14,0.841,0.9235632183908047
2008-05-15,0.8653333333333334,0.9821839080459771
2008-05-16,0.863,0.9137931034482759
2008-05-19,0.85,0.9258620689655173
2008-05-20,0.8246666666666667,0.9195402298850576
2008-05-21,0.8093333333333333,0.9195402298850576
2008-05-22,0.7753333333333334,0.9057471264367817
2008-05-23,0.7873333333333333,0.9057471264367817
2008-05-27,0.8103333333333332,0.8879310344827587
2008-05-28,0.8296666666666667,0.885057471264368
2008-05-29,0.8186666666666667,0.8764367816091955
2008-05-30,0.8473333333333334,0.9178160919540231
2008-06-02,0.8423333333333333,0.9189655172413794
2008-06-03,0.8363333333333334,0.9189655172413794
2008-06-04,0.8473333333333334,0.8620689655172414
2008-06-05,0.866,0.902873563218391
2008-06-06,0.8290000000000001,0.8678160919540231
2008-06-09,0.868,0.8678160919540231
2008-06-10,0.8356666666666667,0.8678160919540231
2008-06-11,0.8343333333333334,0.8660919540229886
2008-06-12,0.8236666666666667,0.8333333333333334
2008-06-13,0.827,0.8545977011494253
2008-06-16,0.8513333333333333,0.8563218390804599
2008-06-17,0.888,0.8258620689655173
2008-06-18,0.8516666666666667,0.8045977011494253
2008-06-19,0.844,0.8045977011494253
2008-06-20,0.8353333333333333,0.8040229885057472
2008-06-23,0.8033333333333333,0.8045977011494253
2008-06-24,0.7966666666666666,0.7758620689655173
2008-06-25,0.8136666666666666,0.7758620689655173
2008-06-26,0.782,0.7465517241379311
2008-06-27,0.7893333333333333,0.7465517241379311
2008-06-30,0.7603333333333333,0.7413793103448276
2008-07-01,0.7563333333333334,0.7413793103448276
2008-07-02,0.749,0.6896551724137931
2008-07-03,0.722,0.6896551724137931
2008-07-07,0.7103333333333333,0.6896551724137931
2008-07-08,0.7140000000000001,0.6833333333333335
2008-07-09,0.7103333333333333,0.6885057471264369
2008-07-10,0.7033333333333334,0.6442528735632185
2008-07-11,0.6843333333333333,0.689080459770115
2008-07-14,0.6616666666666667,0.689080459770115
2008-07-15,0.6446666666666666,0.632183908045977
2008-07-16,0.65,0.6448275862068966
2008-07-17,0.6933333333333334,0.6701149425287357
2008-07-18,0.69,0.6666666666666667
2008-07-21,0.69,0.6896551724137931
2008-07-22,0.673,0.6752873563218391
