"","X1","PAG","HOT","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,1.03051643192488,1.02115384615385,NA,0.818181818181818,0.753246753246753,0.766297505289222,0.535315247171918
"3",2009-01-06,1.07863849765258,1.11009615384615,NA,0.917748917748918,0.965367965367965,0.485077942350376,0.918646674633533
"4",2009-01-07,1.07511737089202,1.02980769230769,NA,0.523809523809524,0.0606060606060606,0.878105144119594,0.0133746842784131
"5",2009-01-08,1.07746478873239,1.03365384615385,NA,0.619047619047619,0.597402597402597,0.58950960656113,0.529930714909789
"6",2009-01-09,1.04929577464789,1.02980769230769,NA,0.272727272727273,0.493506493506494,0.176474897918076,0.715362054244947
"7",2009-01-12,0.948356807511737,0.915865384615385,NA,0.0216450216450216,0.0216450216450216,0.239481407130205,0.239481407130205
"8",2009-01-13,0.963615023474179,0.886057692307692,NA,0.701298701298701,0.242424242424242,0.900514774368322,0.0807423514484036
"9",2009-01-14,0.869718309859155,0.811057692307692,NA,0.0216450216450216,0.0476190476190476,0.0877688386574909,0.471309414373804
"10",2009-01-15,0.862676056338028,0.809134615384615,NA,0.484848484848485,0.510822510822511,0.464349675248851,0.533257061535944
"11",2009-01-16,0.872065727699531,0.833653846153846,NA,0.675324675324675,0.813852813852814,0.407744625075107,0.83104182784439
"12",2009-01-20,0.803990610328638,0.767788461538462,NA,0.051948051948052,0.0562770562770563,0.236519735478604,0.281296091412252
"13",2009-01-21,0.879107981220657,0.826923076923077,NA,0.96969696969697,0.956709956709957,0.837661550840935,0.650130194023226
"14",2009-01-22,0.884976525821596,0.782211538461538,NA,0.636363636363636,0.121212121212121,0.898937555551565,0.0311566136481506
"15",2009-01-23,0.86150234741784,0.777403846153846,NA,0.268398268398268,0.471861471861472,0.183881865277359,0.693570451099006
"16",2009-01-26,0.906103286384977,0.785576923076923,"HOT",0.917748917748918,0.653679653679654,0.961924293149186,0.231978333865577
"17",2009-01-27,0.88849765258216,0.769230769230769,"HOT",0.350649350649351,0.316017316017316,0.458828784249006,0.358488091107509
"18",2009-01-28,0.954225352112676,0.837019230769231,"HOT",0.956709956709957,0.965367965367965,0.687396208534672,0.80683092454765
"19",2009-01-29,0.894366197183099,0.788461538461538,"HOT",0.0735930735930736,0.0952380952380952,0.20275233561218,0.355406681571172
"20",2009-01-30,0.870892018779343,0.726923076923077,"HOT",0.272727272727273,0.0562770562770563,0.751165887996154,0.0287840659141514
"21",2009-02-02,0.853286384976526,0.714903846153846,"HOT",0.346320346320346,0.367965367965368,0.390670535219474,0.451967851361659
"22",2009-02-03,0.820422535211268,0.73125,"HOT",0.16017316017316,0.770562770562771,0.0386974722781894,0.941847291794998
"23",2009-02-04,0.826291079812207,0.708653846153846,"HOT",0.640692640692641,0.246753246753247,0.862826450901363,0.0962994414863984
"24",2009-02-05,0.893192488262911,0.713942307692308,"HOT",0.961038961038961,0.623376623376623,0.990057327250689,0.159221735166975
"25",2009-02-06,0.994131455399061,0.736057692307692,"HOT",0.974025974025974,0.822510822510823,0.984792094136946,0.250231289013267
"26",2009-02-09,1.00821596244131,0.720673076923077,"HOT",0.683982683982684,0.316017316017316,0.868024514211831,0.131975485788169
"27",2009-02-10,1,0.666346153846154,"HOT",0.484848484848485,0.0562770562770563,0.866906031993656,0.0130030358806503
"28",2009-02-11,0.942488262910798,0.65625,"HOT",0.0865800865800866,0.380952380952381,0.036026274265223,0.788173694108323
"29",2009-02-12,0.87793427230047,0.639423076923077,"HOT",0.0649350649350649,0.277056277056277,0.03578210916034,0.737599506991033
"30",2009-02-13,0.852112676056338,0.607211538461539,"HOT",0.238095238095238,0.134199134199134,0.53995667149757,0.152112482674402
"31",2009-02-17,0.700704225352113,0.588942307692308,"HOT",0,0.255411255411255,1e-10,0.905678320678933
"32",2009-02-18,0.63849765258216,0.567307692307692,"HOT",0.038961038961039,0.19047619047619,0.0269163091102641,0.715429676349603
"33",2009-02-19,0.593896713615023,0.553846153846154,"HOT",0.0649350649350649,0.303030303030303,0.0312336020371556,0.760172612310115
"34",2009-02-20,0.60093896713615,0.55625,"HOT",0.675324675324675,0.597402597402597,0.681264730179154,0.465527353710307
"35",2009-02-23,0.622065727699531,0.530288461538462,"HOT",0.861471861471861,0.142857142857143,0.96895332657776,0.032233024200912
"36",2009-02-24,0.705399061032864,0.581730769230769,"HOT",0.978354978354978,0.96969696969697,0.837409984878711,0.664941789269504
"37",2009-02-25,0.726525821596244,0.549038461538461,"HOT",0.818181818181818,0.112554112554113,0.95723617388917,0.0239191078815233
"38",2009-02-26,0.679577464788732,0.549038461538461,"HOT",0.0692640692640693,0.541125541125541,0.0158410089247929,0.880167160352296
"39",2009-02-27,0.664319248826291,0.557211538461538,"HOT",0.32034632034632,0.675324675324675,0.138419382550461,0.8598948403304
"40",2009-03-02,0.633802816901408,0.4875,"HOT",0.121212121212121,0.0173160173160173,0.730131243506954,0.0140341711412065
"41",2009-03-03,0.618544600938967,0.475480769230769,"HOT",0.298701298701299,0.29004329004329,0.40030862797979,0.37376947567973
"42",2009-03-04,0.654929577464789,0.505769230769231,"HOT",0.935064935064935,0.917748917748918,0.795895500628381,0.658900719353372
"43",2009-03-05,0.616197183098592,0.472596153846154,"HOT",0.0779220779220779,0.0779220779220779,0.271594711234479,0.271594711234479
"44",2009-03-06,0.59037558685446,0.457692307692308,"HOT",0.134199134199134,0.242424242424242,0.148356978200053,0.547791025027904
