"","X1","LNDC","NWBI","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,1.01573676680973,0.975768872320597,NA,0.714285714285714,0.155844155844156,0.898998540433326,0.0602179742304447
"3",2009-01-06,1.05150214592275,0.981360671015843,NA,0.878787878787879,0.653679653679654,0.884347709702196,0.384987363291995
"4",2009-01-07,0.836909871244635,0.953867660764212,"LNDC",0,0.121212121212121,1e-10,0.954042220497051
"5",2009-01-08,0.832618025751073,0.969245107176142,"LNDC",0.424242424242424,0.779220779220779,0.233572334028577,0.857989996759776
"6",2009-01-09,0.809728183118741,0.937558247903076,"LNDC",0.216450216450216,0.0995670995670996,0.464837401490638,0.140944249279343
"7",2009-01-12,0.795422031473534,0.923578751164958,"LNDC",0.294372294372294,0.29004329004329,0.381384652922224,0.372106919278059
"8",2009-01-13,0.814020028612303,0.93569431500466,"LNDC",0.787878787878788,0.748917748917749,0.706671305365328,0.615437722304415
"9",2009-01-14,0.801144492131617,0.920316868592731,"LNDC",0.311688311688312,0.268398268398268,0.422427120231204,0.329580416135181
"10",2009-01-15,0.821173104434907,0.94408201304753,"LNDC",0.818181818181818,0.852813852813853,0.659121077334314,0.754255165400948
"11",2009-01-16,0.78826895565093,0.931966449207828,"LNDC",0.116883116883117,0.32034632034632,0.119568947921255,0.588362141980659
"12",2009-01-20,0.766809728183119,0.906337371854613,"LNDC",0.216450216450216,0.121212121212121,0.432361443701743,0.176151607499758
"13",2009-01-21,0.844062947067239,0.941752096924511,"LNDC",0.987012987012987,0.922077922077922,0.965022773477366,0.546813410836521
"14",2009-01-22,0.771101573676681,0.898881640260951,"LNDC",0.012987012987013,0.038961038961039,0.0639023078558527,0.3031900642317
"15",2009-01-23,0.779685264663805,0.908667287977633,"LNDC",0.653679653679654,0.735930735930736,0.527035626747628,0.699574329577864
"16",2009-01-26,0.841201716738197,0.900745573159366,"LNDC",0.974025974025974,0.376623376623377,0.993246930235344,0.0786616967928331
"17",2009-01-27,0.796852646638054,0.924044734389562,"LNDC",0.0649350649350649,0.852813852813853,0.0120656312279358,0.973635039865587
"18",2009-01-28,0.855507868383405,0.950139794967381,"LNDC",0.965367965367965,0.87012987012987,0.933954703511533,0.540634591486621
"19",2009-01-29,0.804005722460658,0.8928238583411,"LNDC",0.038961038961039,0.0216450216450216,0.243474882667092,0.105307147468985
"20",2009-01-30,0.786838340486409,0.864864864864865,"LNDC",0.272727272727273,0.108225108225108,0.536589815562017,0.126926310041323
"21",2009-02-02,0.805436337625179,0.894687791239515,"LNDC",0.796536796536797,0.887445887445887,0.576696540645801,0.829870538375152
"22",2009-02-03,0.854077253218884,0.876048462255359,"LNDC",0.952380952380952,0.203463203463203,0.990553045920252,0.0374240134408595
"23",2009-02-04,0.804005722460658,0.86067101584343,"LNDC",0.0476190476190476,0.25974025974026,0.0486551384224791,0.631585785474694
"24",2009-02-05,0.815450643776824,0.873718546132339,"LNDC",0.696969696969697,0.774891774891775,0.552356125583274,0.724603018932
"25",2009-02-06,0.822603719599428,0.899813606710158,"LNDC",0.623376623376623,0.874458874458874,0.354720068043348,0.889316241698961
"26",2009-02-09,0.890557939914163,0.890027958993476,NA,0.982683982683983,0.337662337662338,0.99637179444657,0.0596625319727107
"27",2009-02-10,0.844062947067239,0.833643988816403,NA,0.0649350649350649,0.0216450216450216,0.346764897305732,0.0715809389968038
"28",2009-02-11,0.825464949928469,0.849021435228332,NA,0.25974025974026,0.80952380952381,0.0975524553191814,0.924975590050165
"29",2009-02-12,0.836909871244635,0.842031686859273,NA,0.692640692640693,0.380952380952381,0.793329465468113,0.242138639480176
"30",2009-02-13,0.852646638054363,0.827120223671948,NA,0.74025974025974,0.25974025974026,0.880650217635345,0.119349782364655
"31",2009-02-17,0.792560801144492,0.784715750232992,NA,0.0303030303030303,0.0303030303030303,0.167264524420327,0.167264524420327
"32",2009-02-18,0.772532188841202,0.768872320596458,NA,0.225108225108225,0.207792207792208,0.349190459706897,0.30738470088707
"33",2009-02-19,0.776824034334764,0.746505125815471,NA,0.575757575757576,0.116883116883117,0.832059721667432,0.0581968970595688
"34",2009-02-20,0.775393419170243,0.724603914259087,NA,0.454545454545455,0.116883116883117,0.734651965441679,0.0808841567931243
"35",2009-02-23,0.752503576537911,0.69757688723206,NA,0.199134199134199,0.0735930735930736,0.483237565374698,0.10689525708668
"36",2009-02-24,0.761087267525036,0.726467847157502,NA,0.658008658008658,0.926406926406926,0.323533780149703,0.937939574525229
"37",2009-02-25,0.725321888412017,0.703634669151911,NA,0.0822510822510823,0.108225108225108,0.191029066040986,0.287562115400203
"38",2009-02-26,0.690987124463519,0.711556383970177,NA,0.0822510822510823,0.74025974025974,0.0228326156276541,0.93538946057825
"39",2009-02-27,0.680972818311874,0.707362534948742,NA,0.333333333333333,0.411255411255411,0.348972001571366,0.503512098524827
"40",2009-03-02,0.629470672389127,0.695712954333644,NA,0.0216450216450216,0.268398268398268,0.0173260018866461,0.720325107008847
"41",2009-03-03,0.599427753934192,0.67381174277726,NA,0.0779220779220779,0.108225108225108,0.181112102662833,0.295304765056536
"42",2009-03-04,0.606580829756795,0.679403541472507,NA,0.658008658008658,0.705627705627706,0.557197729362895,0.656191276473956
"43",2009-03-05,0.553648068669528,0.631407269338304,NA,0.012987012987013,0.012987012987013,0.136730164460694,0.136730164460694
"44",2009-03-06,0.636623748211731,0.632805219012116,NA,1,0.606060606060606,0.9999999999,0.0372230052807818
