"","X1","IACI","FORM","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,1.00124300807955,1.01674480910918,NA,0.558441558441558,0.696969696969697,0.423652662389757,0.725444675659783
"3",2009-01-06,1.01615910503418,1.0609511051574,NA,0.757575757575758,0.883116883116883,0.492585060988869,0.865276380284899
"4",2009-01-07,0.97513983840895,1.00669792364367,NA,0.0692640692640693,0.0952380952380952,0.175182067060079,0.30944936182918
"5",2009-01-08,0.973275326289621,0.985934360348292,NA,0.489177489177489,0.303030303030303,0.636633848214926,0.246111423782053
"6",2009-01-09,0.931013051584835,0.97052913596785,NA,0.0649350649350649,0.333333333333333,0.0398241662884573,0.707950838260867
"7",2009-01-12,0.92355500310752,0.957133288680509,NA,0.424242424242424,0.363636363636364,0.502342260012578,0.36885576932612
"8",2009-01-13,0.917961466749534,0.983255190890824,NA,0.45021645021645,0.80952380952381,0.223759468495812,0.894862104450297
"9",2009-01-14,0.922933499067744,0.959812458137977,NA,0.61038961038961,0.281385281385281,0.780495604238025,0.16649129826702
"10",2009-01-15,0.937849596022374,0.985934360348292,NA,0.774891774891775,0.80952380952381,0.629246339934039,0.727929215506149
"11",2009-01-16,0.940957116221255,1.02076356329538,NA,0.575757575757576,0.844155844155844,0.313773604505043,0.892365809953434
"12",2009-01-20,0.917961466749534,0.92297387809779,NA,0.164502164502165,0.012987012987013,0.702048515966506,0.00946306033123391
"13",2009-01-21,0.932256059664388,0.918955123911588,NA,0.766233766233766,0.471861471861472,0.848733409152078,0.270596877359996
"14",2009-01-22,0.926041019266625,0.910917615539183,NA,0.441558441558442,0.432900432900433,0.470949832852127,0.45214319169468
"15",2009-01-23,0.932256059664388,0.946416610850636,NA,0.645021645021645,0.857142857142857,0.376456148961643,0.882995234541534
"16",2009-01-26,0.925419515226849,0.979906229068989,NA,0.424242424242424,0.844155844155844,0.184860112025196,0.926750201934308
"17",2009-01-27,0.93349906774394,1.00937709310114,NA,0.666666666666667,0.826839826839827,0.440323260066436,0.83446208060876
"18",2009-01-28,0.93847110006215,1.07434695244474,"IACI",0.606060606060606,0.948051948051948,0.22617977756672,0.976601926764888
"19",2009-01-29,0.929770043505283,1.02009377093101,"IACI",0.406926406926407,0.103896103896104,0.722114824182812,0.0620781849817164
"20",2009-01-30,0.9136109384711,1.04219691895512,"IACI",0.251082251082251,0.757575757575758,0.101681992242243,0.901720198979279
"21",2009-02-02,0.926662523306402,1.06831882116544,"IACI",0.748917748917749,0.792207792207792,0.6062657528206,0.723380048889613
"22",2009-02-03,0.915475450590429,1.07233757535164,"IACI",0.380952380952381,0.54978354978355,0.305502261991053,0.654655856701771
"23",2009-02-04,0.878185208203853,1.1098459477562,"IACI",0.0692640692640693,0.844155844155844,0.0176727996209248,0.955154153447253
"24",2009-02-05,0.880671224362958,1.10180843938379,"IACI",0.575757575757576,0.441558441558442,0.645600604998244,0.364593233030121
"25",2009-02-06,0.919204474829086,1.11252511721366,"IACI",0.96969696969697,0.597402597402597,0.989481614707442,0.190764438747553
"26",2009-02-09,0.931013051584835,1.10180843938379,"IACI",0.727272727272727,0.428571428571429,0.826721521948854,0.252009087578335
"27",2009-02-10,0.901802361715351,1.04956463496316,"IACI",0.112554112554113,0.121212121212121,0.244800634514245,0.279833553304845
"28",2009-02-11,0.890615288999378,1.03616878767582,"IACI",0.367965367965368,0.367965367965368,0.419093710720907,0.419093710720907
"29",2009-02-12,0.93847110006215,1.04420629604823,"IACI",0.982683982683983,0.58008658008658,0.995420381456584,0.163020221741111
"30",2009-02-13,0.935363579863269,1.07568653717348,"IACI",0.476190476190476,0.826839826839827,0.234849921652416,0.903090014794077
"31",2009-02-17,0.91858297078931,1.02143335565975,"IACI",0.251082251082251,0.103896103896104,0.54339548175887,0.110170551120657
"32",2009-02-18,0.919825978868863,1.02344273275285,"IACI",0.558441558441558,0.532467532467532,0.555853592187305,0.499761151407874
"33",2009-02-19,0.899937849596022,0.967180174146015,"IACI",0.19047619047619,0.0822510822510823,0.489576513378893,0.108494918529214
"34",2009-02-20,0.935363579863269,0.969859343603483,"IACI",0.943722943722944,0.541125541125541,0.978114189223445,0.191940958669948
"35",2009-02-23,0.927284027346178,0.909578030810449,NA,0.411255411255411,0.0562770562770563,0.779527903505089,0.0249429013593184
"36",2009-02-24,0.959602237414543,0.961821835231078,NA,0.917748917748918,0.922077922077922,0.75155889828909,0.774449096501035
"37",2009-02-25,0.939714108141703,0.980576021433356,NA,0.194805194805195,0.722943722943723,0.0752380269952392,0.893527358402134
"38",2009-02-26,0.926041019266625,0.977896851975887,NA,0.329004329004329,0.493506493506494,0.275705988856226,0.622214712248524
"39",2009-02-27,0.927905531385954,0.968519758874749,NA,0.575757575757576,0.432900432900433,0.651562983120121,0.353507543828937
"40",2009-03-02,0.919825978868863,0.939048894842599,NA,0.411255411255411,0.203463203463203,0.626455568590996,0.165704451932752
"41",2009-03-03,0.903045369794904,0.938379102478232,NA,0.246753246753247,0.506493506493506,0.17308072716218,0.698192185750217
"42",2009-03-04,0.901802361715351,0.983924983255191,NA,0.497835497835498,0.896103896103896,0.204292879858119,0.952186659805856
"43",2009-03-05,0.885643256681168,0.940388479571333,NA,0.251082251082251,0.134199134199134,0.492815905648062,0.156693562645266
"44",2009-03-06,0.876942200124301,0.929002009377093,NA,0.402597402597403,0.380952380952381,0.457753335649018,0.409775101015217
"45",2009-03-09,0.836544437538844,0.894172806430007,NA,0.0476190476190476,0.181818181818182,0.0537554180200088,0.570293830782667
