"","X1","SWX","TEG","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,1.00197628458498,1.00474790865928,NA,0.528138528138528,0.640692640692641,0.413185685816668,0.594576449775442
"3",2009-01-06,1.00948616600791,1.00339136332806,NA,0.67965367965368,0.463203463203463,0.807370635157523,0.214991281741362
"4",2009-01-07,0.983399209486166,1.00316527243952,NA,0.116883116883117,0.489177489177489,0.0112515673110264,0.960481908707004
"5",2009-01-08,0.995652173913044,1.00406963599367,NA,0.757575757575758,0.541125541125541,0.837642451749314,0.255183931929291
"6",2009-01-09,0.974703557312253,0.994799909563645,NA,0.168831168831169,0.246753246753247,0.259628469232309,0.496056610623325
"7",2009-01-12,0.974308300395257,0.987565001130455,NA,0.458874458874459,0.281385281385281,0.734350042631554,0.134169724791427
"8",2009-01-13,0.981818181818182,0.977164820257744,NA,0.67965367965368,0.220779220779221,0.881170858241448,0.074454668581181
"9",2009-01-14,0.967588932806324,0.961564548948677,NA,0.246753246753247,0.164502164502165,0.636597897624782,0.111852681919703
"10",2009-01-15,0.979841897233201,0.964051548722587,NA,0.757575757575758,0.601731601731602,0.807076625633043,0.314092510086515
"11",2009-01-16,0.991699604743083,0.975582184037983,NA,0.757575757575758,0.800865800865801,0.608538027096968,0.619494740272294
"12",2009-01-20,0.966798418972332,0.94121636898033,NA,0.121212121212121,0.0692640692640693,0.631823374505013,0.0609084324486515
"13",2009-01-21,0.982213438735178,0.932851006104454,NA,0.80952380952381,0.246753246753247,0.929145473570931,0.0820539438682084
"14",2009-01-22,0.973913043478261,0.933529278770066,NA,0.303030303030303,0.532467532467532,0.157949813204625,0.757397753042708
"15",2009-01-23,0.976679841897233,0.926520461225413,NA,0.54978354978355,0.277056277056277,0.801975994605776,0.110838058327223
"16",2009-01-26,0.996047430830039,0.947320822970834,NA,0.844155844155844,0.909090909090909,0.598502604878256,0.768753155271065
"17",2009-01-27,1.00474308300395,0.950260004521818,NA,0.701298701298701,0.61038961038961,0.734169112115511,0.358980214908514
"18",2009-01-28,1.02252964426877,0.952294822518652,"TEG",0.826839826839827,0.58008658008658,0.882022233695932,0.265226737774613
"19",2009-01-29,1.0197628458498,0.942572914311553,"TEG",0.41991341991342,0.225108225108225,0.744585498172134,0.100020284539929
"20",2009-01-30,1.01818181818182,0.943929459642776,"TEG",0.445887445887446,0.54978354978355,0.39091993634132,0.545214698783905
"21",2009-02-02,1.01936758893281,0.938729369206421,"TEG",0.497835497835498,0.32034632034632,0.739183218358757,0.154606884918507
"22",2009-02-03,1,0.947999095636446,"TEG",0.186147186147186,0.757575757575758,0.00704054951366007,0.987348202551209
"23",2009-02-04,1.00750988142292,0.963825457834049,"TEG",0.67965367965368,0.87012987012987,0.321588465002371,0.842165117703042
"24",2009-02-05,1.02371541501976,0.985078001356545,"TEG",0.813852813852814,0.904761904761905,0.530768752037058,0.790890796067682
"25",2009-02-06,1.03636363636364,0.995478182229256,"TEG",0.757575757575758,0.774891774891775,0.646865296797751,0.568380411020303
"26",2009-02-09,1.01857707509881,0.993217273343884,"TEG",0.216450216450216,0.432900432900433,0.115314120845634,0.771239129261879
"27",2009-02-10,0.983399209486166,0.961790639837215,"TEG",0.0649350649350649,0.0822510822510823,0.321322295493957,0.333323092664284
"28",2009-02-11,0.971936758893281,0.960208003617454,"TEG",0.285714285714286,0.45021645021645,0.218694883448269,0.649686618475634
"29",2009-02-12,0.96403162055336,0.952294822518652,"TEG",0.311688311688312,0.255411255411255,0.591492389684482,0.192557433525877
"30",2009-02-13,0.956916996047431,0.95093827718743,"TEG",0.337662337662338,0.458874458874459,0.311148784083014,0.557635115557679
"31",2009-02-17,0.923715415019763,0.903459190594619,"TEG",0.0649350649350649,0.025974025974026,0.668543898996802,0.0220222190909641
"32",2009-02-18,0.899209486166008,0.890798100836536,"TEG",0.108225108225108,0.186147186147186,0.181786679608334,0.573624111531114
"33",2009-02-19,0.892094861660079,0.87361519330771,"TEG",0.316017316017316,0.151515151515152,0.724918240296524,0.0683348900733229
"34",2009-02-20,0.85296442687747,0.845353832240561,"TEG",0.051948051948052,0.0822510822510823,0.216030770264376,0.47475987378391
"35",2009-02-23,0.836758893280632,0.828849197377346,"TEG",0.186147186147186,0.151515151515152,0.552475208290451,0.155994327053282
"36",2009-02-24,0.853359683794466,0.8437711960208,"TEG",0.844155844155844,0.887445887445887,0.648352607599678,0.712427436697543
"37",2009-02-25,0.843478260869565,0.827944833823197,"TEG",0.285714285714286,0.151515151515152,0.699365101208867,0.0767028503321683
"38",2009-02-26,0.826482213438735,0.60705403572236,"TEG",0.173160173160173,0,0.756484629194838,2.94513302634414e-11
"39",2009-02-27,0.770355731225296,0.543748586931947,"TEG",0.012987012987013,0,0.709311494536246,2.94514412857438e-11
"40",2009-03-02,0.730039525691699,0.514356771422112,"TEG",0.025974025974026,0.0216450216450216,0.496458110858054,0.122719329362188
"41",2009-03-03,0.717391304347826,0.489260682794483,"TEG",0.212121212121212,0.025974025974026,0.76013450982479,0.00807545979274593
"42",2009-03-04,0.715415019762846,0.486773683020574,"TEG",0.41991341991342,0.333333333333333,0.643864702125602,0.209546078910534
"43",2009-03-05,0.68300395256917,0.451955686185847,"TEG",0.0476190476190476,0.00432900432900433,0.715956844749546,0.00144787015773262
"44",2009-03-06,0.692885375494071,0.47501695681664,"TEG",0.783549783549784,0.974025974025974,0.227161778255962,0.968414806465383
