"","X1","LAMR","LBTYA","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,1.04907539118065,0.96412037037037,NA,0.909090909090909,0.151515151515152,0.988918221853152,0.0125182468169381
"3",2009-01-06,1.17709815078236,1.04398148148148,"LBTYA",0.987012987012987,0.96969696969697,0.930069869435239,0.804134223587894
"4",2009-01-07,1.08961593172119,1.01446759259259,"LBTYA",0.0606060606060606,0.194805194805195,0.0542604975612265,0.715227758829319
"5",2009-01-08,1.0149359886202,1.13483796296296,NA,0.0649350649350649,0.991341991341991,0.00118982446863591,0.999743417695502
"6",2009-01-09,1.01706970128023,1.09953703703704,NA,0.593073593073593,0.177489177489178,0.87050886291596,0.0541341110048946
"7",2009-01-12,0.9950213371266,1.02951388888889,NA,0.264069264069264,0.0562770562770563,0.813585245610515,0.0280093733625948
"8",2009-01-13,0.963726884779516,1.02314814814815,NA,0.199134199134199,0.41991341991342,0.125870640741787,0.702423913705858
"9",2009-01-14,0.854196301564723,0.998842592592593,"LAMR",0.0216450216450216,0.220779220779221,0.00664653313743024,0.897980231001645
"10",2009-01-15,0.832859174964438,1.02314814814815,"LAMR",0.25974025974026,0.805194805194805,0.0569503172908874,0.94034015093641
"11",2009-01-16,0.839971550497866,1.03877314814815,"LAMR",0.67965367965368,0.718614718614719,0.532692188888452,0.625157286854626
"12",2009-01-20,0.745376955903272,0.902777777777778,"LAMR",0.0216450216450216,0.00432900432900433,0.754091293620833,0.0229672024999698
"13",2009-01-21,0.800142247510669,0.943865740740741,"LAMR",0.978354978354978,0.930735930735931,0.927539399525132,0.685629371357684
"14",2009-01-22,0.769559032716927,0.909722222222222,"LAMR",0.142857142857143,0.151515151515152,0.301286307885459,0.344496282780957
"15",2009-01-23,0.748221906116643,0.871527777777778,"LAMR",0.216450216450216,0.116883116883117,0.567898921401054,0.141042594898007
"16",2009-01-26,0.761024182076814,0.892939814814815,"LAMR",0.761904761904762,0.80952380952381,0.576898229171458,0.700287650091312
"17",2009-01-27,0.733285917496444,0.873263888888889,"LAMR",0.155844155844156,0.229437229437229,0.204746983470008,0.494833503600108
"18",2009-01-28,0.775960170697013,0.931134259259259,"LAMR",0.948051948051948,0.956709956709957,0.797291740301264,0.839371358941829
"19",2009-01-29,0.694167852062589,0.887152777777778,"LAMR",0.0216450216450216,0.103896103896104,0.0255812827452149,0.770205760839135
"20",2009-01-30,0.640825035561878,0.843171296296296,"LAMR",0.0562770562770563,0.103896103896104,0.130739527774974,0.517810586658406
"21",2009-02-02,0.627311522048364,0.84837962962963,"LAMR",0.272727272727273,0.623376623376623,0.113195197455902,0.821167635012006
"22",2009-02-03,0.607396870554765,0.851273148148148,"LAMR",0.199134199134199,0.575757575757576,0.0717321478189488,0.842282968645248
"23",2009-02-04,0.599573257467994,0.832175925925926,"LAMR",0.363636363636364,0.229437229437229,0.584768180884894,0.2008369712231
"24",2009-02-05,0.642958748221906,0.814814814814815,"LAMR",0.978354978354978,0.233766233766234,0.997062088945715,0.018472669599272
"25",2009-02-06,0.694167852062589,0.865162037037037,"LAMR",0.987012987012987,0.952380952380952,0.944861235580739,0.727325608793629
"26",2009-02-09,0.680654338549075,0.861689814814815,"LAMR",0.294372294372294,0.476190476190476,0.207445225124443,0.65017569832204
"27",2009-02-10,0.616642958748222,0.800925925925926,"LAMR",0.038961038961039,0.0476190476190476,0.224723335433432,0.353555686054062
"28",2009-02-11,0.610953058321479,0.796875,"LAMR",0.445887445887446,0.445887445887446,0.443771885934102,0.443771885934102
"29",2009-02-12,0.598862019914651,0.811921296296296,"LAMR",0.29004329004329,0.774891774891775,0.0792855310233943,0.915353224418656
"30",2009-02-13,0.591038406827881,0.820601851851852,"LAMR",0.363636363636364,0.67965367965368,0.168946083220961,0.807736306241311
"31",2009-02-17,0.536984352773826,0.729166666666667,"LAMR",0.038961038961039,0.0216450216450216,0.482233887719798,0.129043301596686
"32",2009-02-18,0.544807965860597,0.688078703703704,"LAMR",0.753246753246753,0.0735930735930736,0.977078278029354,0.00572785477256765
"33",2009-02-19,0.498577524893314,0.662037037037037,"LAMR",0.038961038961039,0.142857142857143,0.0420353295536439,0.727009921497755
"34",2009-02-20,0.472972972972973,0.650462962962963,"LAMR",0.0952380952380952,0.272727272727273,0.0687462012030029,0.717429523790537
"35",2009-02-23,0.445234708392603,0.627893518518518,"LAMR",0.0735930735930736,0.151515151515152,0.113620474592849,0.573660629256339
"36",2009-02-24,0.472972972972973,0.740740740740741,"LAMR",0.961038961038961,1,0.294471194376635,0.999999999651962
"37",2009-02-25,0.431009957325747,0.727430555555555,"LAMR",0.038961038961039,0.255411255411255,0.0151126398309467,0.858782163043976
"38",2009-02-26,0.45448079658606,0.71875,"LAMR",0.939393939393939,0.337662337662338,0.982799658331453,0.0558028631591226
"39",2009-02-27,0.492176386913229,0.710069444444444,"LAMR",0.987012987012987,0.329004329004329,0.997493712978762,0.0339612281627777
"40",2009-03-02,0.459459459459459,0.689814814814815,"LAMR",0.0649350649350649,0.194805194805195,0.0612881692736447,0.698477837697328
"41",2009-03-03,0.435988620199146,0.673032407407407,"LAMR",0.0952380952380952,0.216450216450216,0.100225726628783,0.631847793859014
"42",2009-03-04,0.45448079658606,0.701388888888889,"LAMR",0.896103896103896,0.913419913419913,0.719947696666864,0.781349616196724
"43",2009-03-05,0.412517780938834,0.647569444444444,"LAMR",0.038961038961039,0.0476190476190476,0.224723335433432,0.353555686054062
