,ATO,ES
2008-02-01,1.0,1.0
2008-02-04,0.9982734806629834,1.0250178699070764
2008-02-05,0.9782458563535911,0.9942816297355254
2008-02-06,0.9540745856353591,0.9835596854896355
2008-02-07,0.9482044198895028,0.9824874910650464
2008-02-08,0.9499309392265194,0.9731951393852752
2008-02-11,0.9654696132596685,0.9796283059328091
2008-02-12,0.9540745856353591,0.9892780557541101
2008-02-13,0.9499309392265194,0.9889206576125804
2008-02-14,0.9406077348066297,0.9846318799142244
2008-02-15,0.9337016574585635,0.9932094353109363
2008-02-19,0.9402624309392265,0.9810578984989278
2008-02-20,0.9547651933701656,0.9756969263759828
2008-02-21,0.9271408839779006,0.9524660471765546
2008-02-22,0.9226519337016574,0.9692637598284489
2008-02-25,0.9347375690607734,0.9492494639027876
2008-02-26,0.9368093922651933,0.9395997140814867
2008-02-27,0.923342541436464,0.9231593995711221
2008-02-28,0.9188535911602209,0.9281629735525375
2008-02-29,0.8977900552486188,0.9067190850607577
2008-03-03,0.900207182320442,0.908506075768406
2008-03-04,0.9095303867403315,0.906361686919228
2008-03-05,0.9060773480662982,0.9081486776268763
2008-03-06,0.8933011049723757,0.8881343817012152
2008-03-07,0.8901933701657458,0.8849177984274482
2008-03-10,0.8839779005524863,0.8766976411722659
2008-03-11,0.8988259668508287,0.879914224446033
2008-03-12,0.8863950276243094,0.8834882058613295
2008-03-13,0.8926104972375691,0.8881343817012152
2008-03-14,0.8943370165745855,0.8899213724088634
2008-03-17,0.8843232044198894,0.8831308077197999
2008-03-18,0.8867403314917127,0.8942101501072194
2008-03-19,0.8729281767955801,0.8774124374553253
2008-03-20,0.8708563535911602,0.8720514653323802
2008-03-24,0.8670580110497237,0.8663330950679056
2008-03-25,0.8667127071823205,0.8581129378127235
2008-03-26,0.8715469613259668,0.8602573266619014
2008-03-27,0.8736187845303868,0.8641887062187277
2008-03-28,0.8663674033149171,0.8631165117941386
2008-03-31,0.880524861878453,0.8770550393137955
2008-04-01,0.9071132596685082,0.8977841315225161
2008-04-02,0.9247237569060773,0.9013581129378126
2008-04-03,0.9226519337016574,0.9038598999285203
2008-04-04,0.9129834254143646,0.9156540385989993
2008-04-07,0.9261049723756906,0.918155825589707
2008-04-08,0.9119475138121547,0.9203002144388849
2008-04-09,0.9064226519337016,0.9206576125804147
2008-04-10,0.8995165745856354,0.9203002144388849
2008-04-11,0.8912292817679557,0.9238741958541816
2008-04-14,0.8919198895027624,0.9270907791279486
2008-04-15,0.9081491712707183,0.9331665475339528
2008-04-16,0.9347375690607734,0.9481772694781987
2008-04-17,0.9361187845303867,0.9549678341672623
2008-04-18,0.9447513812154695,0.9488920657612581
2008-04-21,0.9326657458563536,0.9324517512508935
2008-04-22,0.9257596685082872,0.9278055754110078
2008-04-23,0.9430248618784529,0.9399571122230165
2008-04-24,0.9544198895027625,0.9388849177984274
2008-04-25,0.962707182320442,0.9531808434596141
2008-04-28,0.9692679558011049,0.951036454610436
2008-04-29,0.9647790055248618,0.9417441029306648
2008-04-30,0.9558011049723757,0.9406719085060757
2008-05-01,0.970303867403315,0.9667619728377412
2008-05-02,0.9658149171270718,0.991422444603288
2008-05-05,0.9820441988950276,0.9839170836311651
2008-05-06,0.9816988950276243,0.9846318799142244
2008-05-07,0.9633977900552485,0.9778413152251608
2008-05-08,0.9547651933701656,0.9785561115082201
2008-05-09,0.9620165745856353,0.9749821300929236
2008-05-12,0.9661602209944751,0.9724803431022159
2008-05-13,0.9713397790055248,0.9756969263759828
2008-05-14,0.9854972375690607,0.9635453895639743
2008-05-15,0.9785911602209945,0.943531093638313
2008-05-16,0.9765193370165746,0.9421015010721944
2008-05-19,0.9741022099447514,0.9406719085060757
2008-05-20,0.9685773480662984,0.9360257326661902
2008-05-21,0.9675414364640883,0.9306647605432451
2008-05-22,0.950621546961326,0.9374553252323088
2008-05-23,0.9430248618784529,0.9185132237312366
2008-05-27,0.9509668508287292,0.9370979270907791
2008-05-28,0.9516574585635358,0.9263759828448892
2008-05-29,0.9461325966850828,0.9335239456754825
2008-05-30,0.9457872928176796,0.9331665475339528
2008-06-02,0.9378453038674033,0.9281629735525375
2008-06-03,0.93439226519337,0.9231593995711221
2008-06-04,0.9399171270718232,0.9367405289492495
2008-06-05,0.9464779005524862,0.9549678341672623
2008-06-06,0.93439226519337,0.9310221586847749
2008-06-09,0.9374999999999999,0.9485346676197284
2008-06-10,0.9340469613259669,0.9517512508934953
2008-06-11,0.9271408839779006,0.9471050750536097
2008-06-12,0.9167817679558011,0.9471050750536097
2008-06-13,0.9126381215469613,0.9592566118656183
2008-06-16,0.9209254143646409,0.9581844174410292
2008-06-17,0.9281767955801105,0.9621157969978557
2008-06-18,0.9433701657458563,0.9606862044317369
2008-06-19,0.9475138121546961,0.9624731951393852
2008-06-20,0.9392265193370165,0.9471050750536097
2008-06-23,0.9554558011049724,0.947819871336669
2008-06-24,0.9419889502762431,0.9410293066476053
2008-06-25,0.9475138121546961,0.9513938527519658
2008-06-26,0.9350828729281767,0.9378127233738384
2008-06-27,0.925414364640884,0.9127948534667619
2008-06-30,0.9520027624309392,0.9124374553252323
2008-07-01,0.9582182320441989,0.9228020014295926
2008-07-02,0.9575276243093922,0.9002859185132238
2008-07-03,0.9395718232044199,0.8931379556826304
2008-07-07,0.9202348066298341,0.8842030021443887
2008-07-08,0.917817679558011,0.9056468906361687
2008-07-09,0.9226519337016574,0.9206576125804147
2008-07-10,0.9247237569060773,0.911722659042173
2008-07-11,0.9212707182320442,0.91493924231594
