"","X1","UGI","WEC","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,1.01092675030352,0.990126939351199,NA,0.783549783549784,0.233766233766234,0.940623642564263,0.0650568832957906
"3",2009-01-06,0.986240388506678,0.98589562764457,NA,0.103896103896104,0.350649350649351,0.0477120340385313,0.752342194467025
"4",2009-01-07,0.98300283286119,0.991537376586742,NA,0.406926406926407,0.714285714285714,0.184656853602367,0.866990237137087
"5",2009-01-08,0.986240388506678,1.0148095909732,NA,0.588744588744589,0.939393939393939,0.166587876019963,0.985197120394614
"6",2009-01-09,0.972885471469041,1.00564174894217,NA,0.199134199134199,0.251082251082251,0.254593253598644,0.449692322660141
"7",2009-01-12,0.980574666127074,1.01128349788434,NA,0.714285714285714,0.714285714285714,0.619701783945514,0.619701783945514
"8",2009-01-13,0.978551193848644,0.994593323930419,NA,0.445887445887446,0.134199134199134,0.794255734395613,0.0524827774021286
"9",2009-01-14,0.972885471469041,0.975317348377997,NA,0.346320346320346,0.108225108225108,0.743069627125793,0.0523893963876828
"10",2009-01-15,0.972480777013355,0.984250117536436,NA,0.476190476190476,0.770562770562771,0.211940429809882,0.891588063364609
"11",2009-01-16,1.00161877782274,1.00634696755994,NA,0.943722943722944,0.939393939393939,0.753296219643514,0.705391102736784
"12",2009-01-20,0.970052610279239,0.98589562764457,NA,0.0735930735930736,0.0995670995670996,0.188726225540804,0.389114624821664
"13",2009-01-21,0.993929583164711,1.00282087447109,NA,0.922077922077922,0.891774891774892,0.816677168624995,0.597532388953266
"14",2009-01-22,0.985430999595306,1.01339915373766,NA,0.294372294372294,0.800865800865801,0.0884131868513794,0.943523209617429
"15",2009-01-23,0.984621610683934,1.03361542078044,NA,0.471861471861472,0.917748917748918,0.134066690981128,0.981568955832114
"16",2009-01-26,1.0028328611898,1.06088387400094,NA,0.87012987012987,0.948051948051948,0.411734658802017,0.930481282507107
"17",2009-01-27,1.01335491703764,1.07968970380818,NA,0.779220779220779,0.9004329004329,0.393373862867376,0.906895972535995
"18",2009-01-28,1.01659247268312,1.07075693464974,NA,0.584415584415584,0.272727272727273,0.81472995958201,0.125036298556105
"19",2009-01-29,1.03439902873331,1.06746591443347,NA,0.865800865800866,0.398268398268398,0.964406939346742,0.121158182611082
"20",2009-01-30,1.02670983407527,1.04795486600846,NA,0.307359307359307,0.108225108225108,0.705220289477714,0.0633587841702142
"21",2009-02-02,1.05139619587212,1.05923836389281,NA,0.913419913419913,0.805194805194805,0.911276183487363,0.403958556840336
"22",2009-02-03,1.05625252934035,1.06252938410907,NA,0.61038961038961,0.627705627705628,0.541884787528537,0.593134586584598
"23",2009-02-04,1.06070416835289,1.0667606958157,NA,0.601731601731602,0.658008658008658,0.489406674503556,0.655771164025392
"24",2009-02-05,1.07324969647916,1.05735778091208,NA,0.792207792207792,0.255411255411255,0.942709723807946,0.0730087813619539
"25",2009-02-06,1.08903278025091,1.05477197931359,NA,0.835497835497836,0.415584415584416,0.948556625039308,0.138545164904104
"26",2009-02-09,1.10198300283286,1.04301833568406,NA,0.792207792207792,0.212121212121212,0.944943948752503,0.0564545583885649
"27",2009-02-10,1.0720356131121,1.01598495533615,NA,0.0909090909090909,0.0606060606060606,0.418674318888807,0.159217154973009
"28",2009-02-11,1.05625252934035,1.0173953925717,NA,0.181818181818182,0.571428571428571,0.0628292201515455,0.847657050326985
"29",2009-02-12,1.06272764063132,1.00446638457922,NA,0.653679653679654,0.199134199134199,0.887273604412976,0.0614750791134279
"30",2009-02-13,1.05261027923917,1.02491772449459,NA,0.268398268398268,0.922077922077922,0.0732442110570303,0.985444119212108
"31",2009-02-17,1.02185350060704,0.996473906911142,NA,0.0865800865800866,0.0606060606060606,0.400353893249717,0.170860049585878
"32",2009-02-18,1.00445163901255,0.99083215796897,NA,0.142857142857143,0.316017316017316,0.100874010969495,0.660046190317321
"33",2009-02-19,1.01173613921489,0.993653032440057,NA,0.692640692640693,0.614718614718615,0.700957756099307,0.467726621560397
"34",2009-02-20,0.991501416430595,0.992477668077104,NA,0.134199134199134,0.484848484848485,0.0465214154251864,0.819588843489625
"35",2009-02-23,0.965196276811008,0.977668077103902,NA,0.0909090909090909,0.16017316017316,0.131991107970883,0.508166358616113
"36",2009-02-24,0.974908943747471,0.980724024447579,NA,0.774891774891775,0.627705627705628,0.820264215761493,0.380507886877905
"37",2009-02-25,0.979360582760016,0.974377056887635,NA,0.606060606060606,0.311688311688312,0.813243851788071,0.150853661601174
"38",2009-02-26,0.986240388506678,0.96262341325811,NA,0.688311688311688,0.203463203463203,0.903150129137298,0.0599388706967669
"39",2009-02-27,0.970861999190611,0.936060178655383,NA,0.155844155844156,0.0606060606060606,0.608100224542837,0.0675475160642292
"40",2009-03-02,0.94091460946985,0.907616361071932,NA,0.0735930735930736,0.051948051948052,0.390824036900426,0.170264298609383
"41",2009-03-03,0.916632942128693,0.877997179125529,NA,0.0909090909090909,0.051948051948052,0.46790586908354,0.124147591540661
"42",2009-03-04,0.936462970457305,0.890456041372826,NA,0.891774891774892,0.852813852813853,0.801174134097814,0.5834532604407
"43",2009-03-05,0.88385269121813,0.866948754113775,NA,0.025974025974026,0.0606060606060606,0.0738568547051749,0.535822249116744
"44",2009-03-06,0.881019830028329,0.88316878232252,NA,0.406926406926407,0.904761904761905,0.115021602170457,0.979062184362176
"45",2009-03-09,0.862403885066774,0.859191349318289,NA,0.116883116883117,0.0606060606060606,0.511316222962434,0.108286446889542
