"","X1","SRCL","ABT","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,0.996202050892518,0.982823002240478,NA,0.441558441558442,0.125541125541126,0.735652746850619,0.0680240519537763
"3",2009-01-06,0.973034561336878,0.950709484690067,NA,0.164502164502165,0.038961038961039,0.655743888060312,0.0438677134386785
"4",2009-01-07,0.970375996961641,0.945481702763256,NA,0.463203463203463,0.38961038961039,0.494682077310914,0.354470186816303
"5",2009-01-08,0.979680972274972,0.955937266616878,NA,0.662337662337662,0.792207792207792,0.508711283665442,0.7594103289359
"6",2009-01-09,0.955184200531713,0.95537714712472,NA,0.134199134199134,0.489177489177489,0.0656456007033688,0.763998370564266
"7",2009-01-12,0.925750094948728,0.934652725914862,NA,0.0735930735930736,0.0779220779220779,0.244263877320842,0.271928466075389
"8",2009-01-13,0.915875427269275,0.934652725914862,NA,0.311688311688312,0.510822510822511,0.236045032003025,0.610007739754667
"9",2009-01-14,0.870110140524117,0.923637042569081,NA,0.025974025974026,0.233766233766234,0.0131413904753561,0.814911924468803
"10",2009-01-15,0.920053171287505,0.918969380134429,NA,0.974025974025974,0.398268398268398,0.989473289846201,0.107430138017613
"11",2009-01-16,0.962590201291303,0.932038834951456,NA,0.961038961038961,0.805194805194805,0.953288361064012,0.496529812134303
"12",2009-01-20,0.922521838207368,0.918595967139657,NA,0.0303030303030303,0.177489177489178,0.0263263777521473,0.727488248785138
"13",2009-01-21,0.932206608431447,0.976848394324122,NA,0.675324675324675,0.995670995670996,0.187826385482699,0.997987854927715
"14",2009-01-22,0.924230915305735,0.989731142643764,NA,0.354978354978355,0.800865800865801,0.166882091936456,0.871927873960265
"15",2009-01-23,0.923851120394987,0.985997012696042,NA,0.519480519480519,0.437229437229437,0.531592732412119,0.380083730359144
"16",2009-01-26,0.931636916065325,1.00914861837192,NA,0.645021645021645,0.909090909090909,0.386388662070591,0.913646264375852
"17",2009-01-27,0.939232814280289,1.01549663928305,NA,0.645021645021645,0.670995670995671,0.557905918678714,0.605993057852535
"18",2009-01-28,0.949297379415116,1.02613890963406,NA,0.67965367965368,0.774891774891775,0.54363729463812,0.728538329672271
"19",2009-01-29,0.942650968477022,1.03454070201643,"SRCL",0.385281385281385,0.731601731601732,0.220851926081501,0.797770274383566
"20",2009-01-30,0.928978351690087,1.03510082150859,"SRCL",0.229437229437229,0.523809523809524,0.143056475855154,0.693522451325092
"21",2009-02-02,0.923281428028864,1.03752800597461,"SRCL",0.406926406926407,0.584415584415584,0.30949064140367,0.628132952491555
"22",2009-02-03,0.943220660843145,1.06385362210605,"SRCL",0.878787878787879,0.935064935064935,0.691992873538221,0.881104279082157
"23",2009-02-04,0.944360045575389,1.04387602688574,"SRCL",0.554112554112554,0.108225108225108,0.841190124416052,0.0377503830711005
"24",2009-02-05,0.966578047854159,1.05545182972367,"SRCL",0.9004329004329,0.792207792207792,0.863485228814957,0.597217581498601
"25",2009-02-06,0.911127990884922,1.06702763256161,"SRCL",0.0173160173160173,0.792207792207792,0.000664459297406338,0.98969536012043
"26",2009-02-09,0.918723889099886,1.06889469753547,"SRCL",0.645021645021645,0.58008658008658,0.605932923224106,0.488037074179839
"27",2009-02-10,0.889289783516901,1.0416355489171,"SRCL",0.0562770562770563,0.051948051948052,0.268497809152763,0.231054967174695
"28",2009-02-11,0.874667679453095,1.03995519044063,"SRCL",0.216450216450216,0.484848484848485,0.143342547366201,0.66669793684608
"29",2009-02-12,0.889099886061527,1.04798356982823,"SRCL",0.792207792207792,0.705627705627706,0.740737127984594,0.568054075429562
"30",2009-02-13,0.890049373338397,1.02576549663928,"SRCL",0.554112554112554,0.0779220779220779,0.877359889702442,0.0212478278192914
"31",2009-02-17,0.877136346372959,1.00690814040329,"SRCL",0.229437229437229,0.112554112554113,0.508247418474279,0.133038431087596
"32",2009-02-18,0.890239270793772,1.01194921583271,"SRCL",0.783549783549784,0.645021645021645,0.75496705193514,0.491486695103184
"33",2009-02-19,0.894986707178124,1.01680358476475,"SRCL",0.606060606060606,0.636363636363636,0.526006326610116,0.58128099528716
"34",2009-02-20,0.918154196733764,1.00877520537715,"SRCL",0.913419913419913,0.337662337662338,0.958199567728801,0.112159075299846
"35",2009-02-23,0.8841625522218,0.997012696041822,"SRCL",0.0476190476190476,0.233766233766234,0.0358795815402474,0.713707552051376
"36",2009-02-24,0.899354348651728,1.02203136669156,"SRCL",0.800865800865801,0.930735930735931,0.563129501547338,0.908116204305523
"37",2009-02-25,0.912267375617167,1.00112023898432,"SRCL",0.774891774891775,0.0995670995670996,0.947936379952059,0.0178734918774478
"38",2009-02-26,0.903342195214584,0.944361463778939,"SRCL",0.333333333333333,0.00865800865800866,0.951369834884608,0.000998217424293986
"39",2009-02-27,0.911127990884922,0.88386855862584,NA,0.645021645021645,0.00865800865800866,0.987085198433983,0.000284987940064423
"40",2009-03-02,0.897075579187239,0.878267363704257,NA,0.220779220779221,0.367965367965368,0.20048652939568,0.527996454917082
"41",2009-03-03,0.904671477402203,0.855489171023152,NA,0.645021645021645,0.051948051948052,0.940134819070763,0.00781876332422319
"42",2009-03-04,0.933915685529814,0.880881254667662,NA,0.930735930735931,0.956709956709957,0.757615049317075,0.884849847441139
"43",2009-03-05,0.905431067223699,0.859596713965646,NA,0.0735930735930736,0.0562770562770563,0.320963381952683,0.194004813909252
"44",2009-03-06,0.906570451955944,0.875466766243465,NA,0.554112554112554,0.852813852813853,0.333222239142581,0.868849559757948
