,SWX,TEG
2008-02-01,1.0,1.0
2008-02-04,1.0211965811965813,1.022164536741214
2008-02-05,0.9740170940170939,0.9878194888178914
2008-02-06,0.9743589743589743,0.999800319488818
2008-02-07,0.9829059829059829,0.9976038338658147
2008-02-08,0.9747008547008548,0.9866214057507987
2008-02-11,0.9702564102564102,0.9850239616613419
2008-02-12,0.9801709401709402,0.9822284345047924
2008-02-13,0.9866666666666667,0.9730431309904153
2008-02-14,0.9658119658119658,0.9656549520766773
2008-02-15,0.9569230769230769,0.9660543130990417
2008-02-19,0.9504273504273505,0.9718450479233227
2008-02-20,0.9521367521367522,0.976038338658147
2008-02-21,0.9220512820512821,0.9646565495207668
2008-02-22,0.9220512820512821,0.9752396166134186
2008-02-25,0.9158974358974359,0.9808306709265175
2008-02-26,0.9370940170940171,0.9880191693290734
2008-02-27,0.9353846153846154,0.9532747603833867
2008-02-28,0.9111111111111111,0.9486821086261981
2008-02-29,0.8748717948717949,0.917132587859425
2008-03-03,0.883076923076923,0.913538338658147
2008-03-04,0.8844444444444445,0.9121405750798722
2008-03-05,0.8851282051282051,0.9139376996805113
2008-03-06,0.8611965811965813,0.8955670926517573
2008-03-07,0.9052991452991453,0.8961661341853036
2008-03-10,0.9083760683760684,0.8983626198083068
2008-03-11,0.9295726495726496,0.917132587859425
2008-03-12,0.9100854700854701,0.9107428115015974
2008-03-13,0.9442735042735043,0.9115415335463258
2008-03-14,0.9364102564102564,0.8957667731629393
2008-03-17,0.9405128205128206,0.8985623003194888
2008-03-18,0.9497435897435897,0.9141373801916933
2008-03-19,0.9275213675213675,0.8937699680511182
2008-03-20,0.948034188034188,0.9095447284345047
2008-03-24,0.947008547008547,0.9087460063897763
2008-03-25,0.9490598290598291,0.9145367412140575
2008-03-26,0.935042735042735,0.9167332268370607
2008-03-27,0.9411965811965812,0.9191293929712461
2008-03-28,0.9357264957264958,0.9197284345047924
2008-03-31,0.9558974358974359,0.9313099041533547
2008-04-01,0.9788034188034188,0.9612619808306709
2008-04-02,0.9794871794871794,0.9612619808306709
2008-04-03,0.9716239316239317,0.9562699680511183
2008-04-04,0.9565811965811966,0.9578674121405751
2008-04-07,0.9753846153846154,0.9660543130990417
2008-04-08,0.9921367521367521,0.9674520766773164
2008-04-09,0.9740170940170939,0.959464856230032
2008-04-10,0.9822222222222222,0.9592651757188498
2008-04-11,0.9603418803418803,0.9558706070287539
2008-04-14,0.9641025641025641,0.9554712460063899
2008-04-15,0.9866666666666667,0.9600638977635783
2008-04-16,1.0246153846153845,0.9898162939297125
2008-04-17,1.0092307692307692,0.983426517571885
2008-04-18,1.0157264957264958,0.9862220447284346
2008-04-21,0.9958974358974358,0.9700479233226837
2008-04-22,0.9846153846153847,0.9590654952076678
2008-04-23,0.988034188034188,0.9660543130990417
2008-04-24,1.0017094017094017,0.9562699680511183
2008-04-25,1.012991452991453,0.9668530351437701
2008-04-28,1.0061538461538462,0.9648562300319489
2008-04-29,0.9935042735042735,0.9658546325878594
2008-04-30,0.987008547008547,0.9562699680511183
2008-05-01,1.0403418803418802,0.9672523961661341
2008-05-02,1.0444444444444445,0.9730431309904153
2008-05-05,1.0017094017094017,0.9644568690095846
2008-05-06,1.0099145299145298,0.957667731629393
2008-05-07,0.9904273504273504,0.9436900958466453
2008-05-08,1.0044444444444445,0.9680511182108625
2008-05-09,1.0157264957264958,0.9848242811501597
2008-05-12,1.0317948717948717,0.999800319488818
2008-05-13,1.0495726495726496,0.9956070287539937
2008-05-14,1.052991452991453,1.0027955271565496
2008-05-15,1.0581196581196581,1.0105830670926519
2008-05-16,1.057777777777778,1.0159744408945688
2008-05-19,1.0615384615384615,1.0243610223642172
2008-05-20,1.057094017094017,1.0207667731629393
2008-05-21,1.0618803418803417,1.018570287539936
2008-05-22,1.0646153846153847,1.0297523961661341
2008-05-23,1.0564102564102564,1.0159744408945688
2008-05-27,1.0683760683760684,1.02555910543131
2008-05-28,1.0625641025641026,1.0101837060702876
2008-05-29,1.0683760683760684,1.0267571884984026
2008-05-30,1.065982905982906,1.0253594249201279
2008-06-02,1.0629059829059828,1.0199680511182108
2008-06-03,1.0454700854700854,1.0193690095846646
2008-06-04,1.0502564102564103,1.0325479233226837
2008-06-05,1.0581196581196581,1.0455271565495208
2008-06-06,1.0331623931623932,1.0215654952076676
2008-06-09,1.0345299145299145,1.0345447284345048
2008-06-10,1.0382905982905983,1.0363418530351438
2008-06-11,1.0194871794871796,1.0285543130990416
2008-06-12,1.0290598290598292,1.0239616613418532
2008-06-13,1.0324786324786324,1.034744408945687
2008-06-16,1.0386324786324785,1.0381389776357828
2008-06-17,1.0382905982905983,1.04073482428115
2008-06-18,1.0543589743589743,1.0325479233226837
2008-06-19,1.0581196581196581,1.0387380191693292
2008-06-20,1.0430769230769232,1.0283546325878594
2008-06-23,1.051965811965812,1.0369408945686902
2008-06-24,1.0280341880341881,1.0343450479233227
2008-06-25,1.0427350427350428,1.0471246006389776
2008-06-26,1.0235897435897436,1.0151757188498403
2008-06-27,0.997948717948718,1.0011980830670928
2008-06-30,1.0164102564102564,1.0149760383386581
2008-07-01,1.0184615384615385,1.0239616613418532
2008-07-02,1.0109401709401709,1.0205670926517572
2008-07-03,1.0,1.0133785942492013
2008-07-07,0.977094017094017,1.0131789137380192
2008-07-08,0.9972649572649573,1.027755591054313
2008-07-09,1.0037606837606838,1.040335463258786
2008-07-10,1.0078632478632479,1.042332268370607
2008-07-11,1.0126495726495728,1.0427316293929711
2008-07-14,0.997948717948718,1.0379392971246006
