,CCL,ETH
2008-02-01,1.0,1.0
2008-02-04,0.9385886556498437,0.9417537195314973
2008-02-05,0.9093345243412237,0.9271921494143717
2008-02-06,0.9066547565877624,0.8996517885406775
2008-02-07,0.9124609200535954,0.9290914846470403
2008-02-08,0.9113443501563198,0.899335232668566
2008-02-11,0.9238499330058061,0.921494143716366
2008-02-12,0.9459580169718624,0.905982905982906
2008-02-13,0.952880750334971,0.9259259259259259
2008-02-14,0.9394819115676641,0.8835074390629947
2008-02-15,0.9234033050468959,0.8752769863880975
2008-02-19,0.935238945958017,0.8496359607470718
2008-02-20,0.9307726663689146,0.8793922127255461
2008-02-21,0.9126842340330504,0.874960430515986
2008-02-22,0.9345690040196516,0.8736942070275404
2008-02-25,0.9405984814649396,0.8990186767964545
2008-02-26,0.949084412684234,0.9328901551123773
2008-02-27,0.9457347029924074,0.932573599240266
2008-02-28,0.9066547565877624,0.8857233301677746
2008-02-29,0.8787405091558732,0.8622981956315289
2008-03-03,0.8814202769093344,0.8648306426084204
2008-03-04,0.894372487717731,0.8385565052231718
2008-03-05,0.8878963823135327,0.8404558404558404
2008-03-06,0.8606520768200089,0.8103830326052549
2008-03-07,0.8579723090665475,0.8170307059195948
2008-03-10,0.8445734702992407,0.8037353592909149
2008-03-11,0.8702545779365788,0.835707502374169
2008-03-12,0.858642251004913,0.8322253877809433
2008-03-13,0.8760607414024117,0.8442545109211776
2008-03-14,0.8452434122376061,0.8461538461538461
2008-03-17,0.8146493970522554,0.8205128205128206
2008-03-18,0.8570790531487271,0.8730610952833174
2008-03-19,0.8396605627512282,0.8911047799936689
2008-03-20,0.9131308619919607,0.9313073757518202
2008-03-24,0.9457347029924074,1.0123456790123457
2008-03-25,0.9403751674854846,0.9699271921494144
2008-03-26,0.9200535953550693,0.9382716049382717
2008-03-27,0.9104510942384993,0.9034504590060145
2008-03-28,0.8865564984368022,0.8607154162709719
2008-03-31,0.9039749888343009,0.8999683444127888
2008-04-01,0.9633765073693613,0.9243431465653688
2008-04-02,0.9522108083966057,0.9550490661601774
2008-04-03,0.9401518535060295,0.9781576448243114
2008-04-04,0.9303260384100044,0.9389047166824944
2008-04-07,0.9390352836087538,0.9515669515669515
2008-04-08,0.9278695846359981,0.9262424817980374
2008-04-09,0.8937025457793658,0.8923710034821146
2008-04-10,0.8990620812862885,0.8787591009813233
2008-04-11,0.8870031263957123,0.8543842988287432
2008-04-14,0.8887896382313532,0.840139284583729
2008-04-15,0.8767306833407771,0.8721114276669832
2008-04-16,0.9113443501563198,0.9018676796454573
2008-04-17,0.9245198749441714,0.8812915479582146
2008-04-18,0.9486377847253237,0.9050332383665717
2008-04-21,0.9211701652523447,0.874960430515986
2008-04-22,0.9004019651630192,0.8835074390629947
2008-04-23,0.8794104510942385,0.8559670781893004
2008-04-24,0.8876730683340777,0.9050332383665717
2008-04-25,0.8809736489504243,0.9167458056346945
2008-04-28,0.8827601607860652,0.8968027856916745
2008-04-29,0.8867798124162573,0.8892054447610003
2008-04-30,0.8970522554711925,0.8695789806900918
2008-05-01,0.9278695846359981,0.9053497942386832
2008-05-02,0.9365788298347476,0.9100981323203545
2008-05-05,0.9149173738276015,0.8907882241215574
2008-05-06,0.9055381866904867,0.8885723330167775
2008-05-07,0.8905761500669942,0.8835074390629947
2008-05-08,0.9035283608753908,0.8983855650522317
2008-05-09,0.8870031263957123,0.8850902184235517
2008-05-12,0.9093345243412237,0.9205444761000317
2008-05-13,0.8912460920053594,0.9154795821462489
2008-05-14,0.8847699866011611,0.9461855017410573
2008-05-15,0.9012952210808396,0.954099398543843
2008-05-16,0.8854399285395265,0.9183285849952517
2008-05-19,0.8932559178204555,0.9110477999366888
2008-05-20,0.8758374274229567,0.888255777144666
2008-05-21,0.8358642251004913,0.8518518518518519
2008-05-22,0.8474765520321572,0.8556505223171891
2008-05-23,0.8260384100044663,0.8486862931307375
2008-05-27,0.8503796337650736,0.8683127572016461
2008-05-28,0.8671281822242072,0.8765432098765432
2008-05-29,0.8713711478338545,0.8901551123773347
2008-05-30,0.8945958016971862,0.8876226654004431
2008-06-02,0.8771773112996873,0.8828743273187718
2008-06-03,0.8537293434569003,0.8664134219689775
2008-06-04,0.8615453327378293,0.860082304526749
2008-06-05,0.8787405091558732,0.866729977841089
2008-06-06,0.8313979455113889,0.8211459322570435
2008-06-09,0.8251451540866459,0.7996201329534663
2008-06-10,0.8367574810183117,0.8198797087685976
2008-06-11,0.8086199196069674,0.7917062361506807
2008-06-12,0.8184457347029923,0.8078505856283634
2008-06-13,0.8260384100044663,0.8290598290598291
2008-06-16,0.8088432335864225,0.8391896169673948
2008-06-17,0.7929879410451094,0.829692940804052
2008-06-18,0.7809289861545332,0.8309591642924976
2008-06-19,0.8226887003126396,0.8471035137701804
2008-06-20,0.792094685127289,0.8138651471984806
2008-06-23,0.7682000893255917,0.8027856916745806
2008-06-24,0.7699866011612326,0.8157644824311491
2008-06-25,0.7934345690040197,0.8198797087685976
2008-06-26,0.7474318892362661,0.8182969294080406
2008-06-27,0.7353729343456901,0.8088002532446977
2008-06-30,0.7360428762840554,0.7787274453941121
2008-07-01,0.7213041536400178,0.779360557138335
2008-07-02,0.719740955783832,0.739474517252295
2008-07-03,0.7121482804823582,0.7546691991136436
2008-07-07,0.7224207235372935,0.7207977207977208
2008-07-08,0.7650736936132201,0.7613168724279835
2008-07-09,0.723537293434569,0.7359924026590693
2008-07-10,0.6895935685573916,0.746122190566635
2008-07-11,0.67641804376954,0.7537195314973092
2008-07-14,0.6692719964269763,0.731244064577398
