"","X1","AEP","AEE","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,0.990882352941176,0.997948417350528,NA,0.337662337662338,0.489177489177489,0.223741154399848,0.721420596018947
"3",2009-01-06,0.973823529411765,0.976260257913248,NA,0.19047619047619,0.12987012987013,0.549284885273716,0.20513102899227
"4",2009-01-07,0.963235294117647,0.960140679953107,NA,0.29004329004329,0.164502164502165,0.680917342078805,0.149555688643096
"5",2009-01-08,0.978823529411765,0.962485345838218,NA,0.835497835497836,0.601731601731602,0.924432637006669,0.174067459285257
"6",2009-01-09,0.959117647058824,0.957209847596717,NA,0.164502164502165,0.363636363636364,0.0929306915018294,0.789012342420459
"7",2009-01-12,0.964411764705882,0.954865181711606,NA,0.653679653679654,0.480519480519481,0.794913534551871,0.245686340467421
"8",2009-01-13,0.945,0.943434935521688,NA,0.164502164502165,0.233766233766234,0.221915252711385,0.562387029383749
"9",2009-01-14,0.928529411764706,0.925849941383353,NA,0.19047619047619,0.147186147186147,0.496268856692049,0.254091112293837
"10",2009-01-15,0.934117647058824,0.931711606096131,NA,0.666666666666667,0.714285714285714,0.476493956852445,0.665234470920569
"11",2009-01-16,0.955882352941177,0.951641266119578,NA,0.896103896103896,0.909090909090909,0.606415231379674,0.71708229868435
"12",2009-01-20,0.936176470588235,0.929953106682298,NA,0.155844155844156,0.116883116883117,0.488405413382256,0.235481550624564
"13",2009-01-21,0.951176470588235,0.955451348182884,NA,0.831168831168831,0.930735930735931,0.293132749437494,0.920128306423228
"14",2009-01-22,0.936764705882353,0.9510550996483,NA,0.220779220779221,0.402597402597403,0.137620873166156,0.756634310183412
"15",2009-01-23,0.939411764705882,0.969812426729191,NA,0.562770562770563,0.891774891774892,0.0922766653020883,0.973910272004883
"16",2009-01-26,0.956176470588235,0.987983587338804,NA,0.852813852813853,0.887445887445887,0.524993304373314,0.758739620327266
"17",2009-01-27,0.947058823529412,1.00381008206331,"AEP",0.324675324675325,0.865800865800866,0.0318508811114313,0.985843800824922
"18",2009-01-28,0.934117647058824,1.02344665885111,"AEP",0.229437229437229,0.891774891774892,0.0161246897771164,0.992455623542969
"19",2009-01-29,0.961764705882353,1.01553341148886,"AEP",0.917748917748918,0.307359307359307,0.993909445340998,0.0224659949006014
"20",2009-01-30,0.922058823529412,0.974501758499414,"AEP",0.0476190476190476,0.0562770562770563,0.252335107587249,0.376120441592897
"21",2009-02-02,0.952352941176471,0.970984759671747,"AEP",0.926406926406926,0.428571428571429,0.992647208149539,0.0375152067861005
"22",2009-02-03,0.956764705882353,0.974501758499414,"AEP",0.619047619047619,0.619047619047619,0.544970805585238,0.544970805585238
"23",2009-02-04,0.966764705882353,0.983294255568582,"AEP",0.757575757575758,0.757575757575758,0.599170104349672,0.599170104349672
"24",2009-02-05,0.989117647058824,0.990914419695194,"AEP",0.896103896103896,0.753246753246753,0.916813779206025,0.254740468547203
"25",2009-02-06,0.977058823529412,0.987690504103166,"AEP",0.272727272727273,0.445887445887446,0.172339090923913,0.744333658126418
"26",2009-02-09,0.968823529411765,0.985345838218054,"AEP",0.372294372294372,0.480519480519481,0.289739775961442,0.659584592381625
"27",2009-02-10,0.937058823529412,0.964243845252052,"AEP",0.0779220779220779,0.12987012987013,0.158778896052299,0.559152337830318
"28",2009-02-11,0.931470588235294,0.947538100820633,"AEP",0.437229437229437,0.164502164502165,0.859540845800748,0.0606465736590557
"29",2009-02-12,0.924705882352941,0.946365767878077,"AEP",0.402597402597403,0.506493506493506,0.30780548217508,0.660649030054392
"30",2009-02-13,0.935588235294118,0.937866354044549,"AEP",0.770562770562771,0.294372294372294,0.966398868282791,0.0414883132686954
"31",2009-02-17,0.883823529411765,0.774912075029308,NA,0.0173160173160173,0,0.980413089148286,1e-10
"32",2009-02-18,0.876470588235294,0.779601406799531,"AEE",0.380952380952381,0.705627705627706,0.102721646813936,0.914342347343584
"33",2009-02-19,0.885588235294118,0.780187573270809,"AEE",0.757575757575758,0.571428571428571,0.854017711839045,0.238768255607007
"34",2009-02-20,0.866470588235294,0.754103165298945,"AEE",0.134199134199134,0.0692640692640693,0.615027778099849,0.121863234048544
"35",2009-02-23,0.835294117647059,0.732415005861665,"AEE",0.0606060606060606,0.0779220779220779,0.230556205391788,0.423437445292976
"36",2009-02-24,0.87,0.747069167643611,"AEE",0.965367965367965,0.891774891774892,0.949812202642897,0.270231709173141
"37",2009-02-25,0.862941176470588,0.73651817116061,"AEE",0.385281385281385,0.194805194805195,0.771259627498643,0.116434632065491
"38",2009-02-26,0.846176470588235,0.716588511137163,"AEE",0.168831168831169,0.0822510822510823,0.656927849642753,0.11049203453667
"39",2009-02-27,0.825,0.696951934349355,"AEE",0.121212121212121,0.0822510822510823,0.506462265336868,0.194391562645739
"40",2009-03-02,0.793529411764706,0.650644783118406,"AEE",0.0562770562770563,0.0216450216450216,0.644715373796271,0.0701865054545658
"41",2009-03-03,0.746176470588235,0.621043376318875,"AEE",0.0173160173160173,0.0476190476190476,0.0633316646129942,0.652298191229614
"42",2009-03-04,0.754411764705882,0.633352872215709,"AEE",0.766233766233766,0.891774891774892,0.287816241644661,0.899568862344677
"43",2009-03-05,0.731470588235294,0.6031652989449,"AEE",0.0952380952380952,0.0346320346320346,0.690223002948428,0.0637329501875831
"44",2009-03-06,0.729705882352941,0.614595545134818,"AEE",0.489177489177489,0.887445887445887,0.0660011323970206,0.980265593454641
