"","X1","WBS","STI","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,0.992063492063492,0.931818181818182,NA,0.441558441558442,0.0952380952380952,0.879217990280953,0.0655584199981092
"3",2009-01-06,1.01875901875902,0.945855614973262,"STI",0.774891774891775,0.688311688311688,0.757427940511567,0.356602950249903
"4",2009-01-07,0.997835497835498,0.891711229946524,"STI",0.346320346320346,0.12987012987013,0.755044055017655,0.151923463555372
"5",2009-01-08,0.97979797979798,0.907754010695187,"STI",0.363636363636364,0.714285714285714,0.0818522083871053,0.949626118655142
"6",2009-01-09,0.906926406926407,0.85427807486631,"STI",0.0606060606060606,0.121212121212121,0.167502166698114,0.383207539306427
"7",2009-01-12,0.821067821067821,0.791109625668449,"STI",0.0346320346320346,0.0822510822510823,0.111725588268784,0.293250815225446
"8",2009-01-13,0.805916305916306,0.804478609625668,"STI",0.363636363636364,0.705627705627706,0.0876115591848252,0.94522543424395
"9",2009-01-14,0.733766233766234,0.772727272727273,NA,0.0346320346320346,0.203463203463203,0.0693583616687357,0.604356311680255
"10",2009-01-15,0.707070707070707,0.698195187165775,NA,0.16017316017316,0.025974025974026,0.517040936392437,0.0621536042636013
"11",2009-01-16,0.592352092352092,0.66644385026738,"WBS",0.00865800865800866,0.177489177489178,0.0191944228366484,0.573750950827079
"12",2009-01-20,0.468253968253968,0.503676470588235,"WBS",0,0,4.57169190398802e-10,4.57169190398802e-10
"13",2009-01-21,0.435786435786436,0.508355614973262,"WBS",0.0692640692640693,0.632034632034632,0.0135649573792443,0.974738019400254
"14",2009-01-22,0.384559884559885,0.452874331550802,"WBS",0.0303030303030303,0.0216450216450216,0.121609528541249,0.0853814211847689
"15",2009-01-23,0.308802308802309,0.500334224598931,"WBS",0,0.961038961038961,1e-10,0.999813133110244
"16",2009-01-26,0.267676767676768,0.45120320855615,"WBS",0.0216450216450216,0.0216450216450216,0.0880503121110011,0.0880503121110011
"17",2009-01-27,0.283549783549784,0.436163101604278,"WBS",0.913419913419913,0.246753246753247,0.998130472108675,0.00525293354748603
"18",2009-01-28,0.386724386724387,0.506350267379679,"WBS",1,0.982683982683983,0.999999998842727,0.763696783521127
"19",2009-01-29,0.307359307359307,0.446189839572192,"WBS",0,0.0173160173160173,4.2780056106514e-10,0.0765982462941151
"20",2009-01-30,0.301587301587302,0.40975935828877,"WBS",0.363636363636364,0.0735930735930736,0.817349664558316,0.0735428512410701
"21",2009-02-02,0.280663780663781,0.399398395721925,"WBS",0.0692640692640693,0.298701298701299,0.0938112758475449,0.737872960038838
"22",2009-02-03,0.247474747474747,0.334893048128342,"WBS",0.0303030303030303,0.012987012987013,0.125230768276052,0.0518666980984739
"23",2009-02-04,0.248196248196248,0.33322192513369,"WBS",0.558441558441558,0.476190476190476,0.688138889100195,0.396943637831601
"24",2009-02-05,0.280663780663781,0.34725935828877,"WBS",0.987012987012987,0.822510822510823,0.984720946880104,0.127156639303947
"25",2009-02-06,0.343434343434343,0.404077540106952,"WBS",1,0.987012987012987,0.999999998747042,0.815840640649566
"26",2009-02-09,0.326839826839827,0.415775401069519,"WBS",0.112554112554113,0.779220779220779,0.00720124872417171,0.99313015958431
"27",2009-02-10,0.266955266955267,0.302807486631016,"WBS",0.00432900432900433,0,0.019628419438485,4.49680310825543e-10
"28",2009-02-11,0.290764790764791,0.336898395721925,"WBS",0.974025974025974,0.965367965367965,0.789900670931196,0.69619525710402
"29",2009-02-12,0.289321789321789,0.309157754010695,"WBS",0.467532467532468,0.0735930735930736,0.906789358723223,0.0421728907475984
"30",2009-02-13,0.277777777777778,0.29144385026738,"WBS",0.12987012987013,0.12987012987013,0.338221142020438,0.338221142020438
"31",2009-02-17,0.252525252525253,0.237633689839572,NA,0.0346320346320346,0.00432900432900433,0.146170362754594,0.0172139476887002
"32",2009-02-18,0.261183261183261,0.249331550802139,NA,0.822510822510823,0.857142857142857,0.473462095705519,0.683630285866245
"33",2009-02-19,0.240981240981241,0.223930481283422,NA,0.0606060606060606,0.0216450216450216,0.231829093045058,0.0764716162222694
"34",2009-02-20,0.227272727272727,0.245655080213904,NA,0.0822510822510823,0.956709956709957,0.000652062788496085,0.999700005626642
