,THO,AEO
2008-02-01,1.0,1.0
2008-02-04,0.9318986652138382,0.9302721088435374
2008-02-05,0.8795968400980658,0.9090136054421768
2008-02-06,0.8613456823753746,0.8767006802721089
2008-02-07,0.8648869517842549,0.9179421768707483
2008-02-08,0.8537183328793244,0.9204931972789115
2008-02-11,0.8659765731408335,0.9438775510204082
2008-02-12,0.8711522745845819,0.9328231292517007
2008-02-13,0.8537183328793244,0.9477040816326531
2008-02-14,0.8450013620266957,0.9017857142857143
2008-02-15,0.8360119858349224,0.9047619047619049
2008-02-19,0.8390084445655135,0.8915816326530612
2008-02-20,0.8365567965132117,0.9260204081632654
2008-02-21,0.8365567965132117,0.9090136054421768
2008-02-22,0.8430945246526832,0.9404761904761906
2008-02-25,0.8444565513484064,0.9676870748299321
2008-02-26,0.8428221193135386,0.9893707482993197
2008-02-27,0.8847725415418141,0.9970238095238095
2008-02-28,0.8681558158539907,0.9587585034013606
2008-02-29,0.8302914737128848,0.9085884353741497
2008-03-03,0.8256605829474257,0.8949829931972789
2008-03-04,0.8278398256605829,0.9119897959183674
2008-03-05,0.8313810950694633,0.9047619047619049
2008-03-06,0.8256605829474257,0.7465986394557823
2008-03-07,0.7861618087714519,0.7202380952380953
2008-03-10,0.7790792699536911,0.7002551020408163
2008-03-11,0.789158267502043,0.7334183673469388
2008-03-12,0.8095886679378915,0.7627551020408164
2008-03-13,0.8158539907382184,0.7351190476190476
2008-03-14,0.7976028330155271,0.7321428571428571
2008-03-17,0.8019613184418415,0.7227891156462585
2008-03-18,0.8439117406701171,0.7372448979591837
2008-03-19,0.8406428766003813,0.7172619047619048
2008-03-20,0.8163988014165077,0.7665816326530613
2008-03-24,0.8447289566875511,0.7857142857142857
2008-03-25,0.8651593571233996,0.7937925170068028
2008-03-26,0.840098065922092,0.7742346938775511
2008-03-27,0.8193952601470988,0.7627551020408164
2008-03-28,0.8144919640424951,0.7266156462585034
2008-03-31,0.8109506946336148,0.7444727891156463
2008-04-01,0.8172160174339417,0.7831632653061226
2008-04-02,0.8210296921819668,0.802295918367347
2008-04-03,0.8240261509125578,0.7908163265306123
2008-04-04,0.8229365295559793,0.7865646258503401
2008-04-07,0.7910651048760555,0.7546768707482994
2008-04-08,0.7774448379188231,0.7312925170068028
2008-04-09,0.7640969763007355,0.719812925170068
2008-04-10,0.7627349496050122,0.7066326530612246
2008-04-11,0.7581040588395532,0.6900510204081634
2008-04-14,0.7395804957777172,0.6717687074829932
2008-04-15,0.734404794333969,0.671343537414966
2008-04-16,0.7482974666303459,0.691326530612245
2008-04-17,0.7502043040043584,0.6755952380952381
2008-04-18,0.7703622991010624,0.709608843537415
2008-04-21,0.7907926995369109,0.6985544217687075
2008-04-22,0.7902478888586216,0.685374149659864
2008-04-23,0.7905202941977663,0.7121598639455783
2008-04-24,0.803868155815854,0.73171768707483
2008-04-25,0.8095886679378915,0.7636054421768708
2008-04-28,0.8101334786161808,0.766156462585034
2008-04-29,0.8319259057477526,0.7874149659863946
2008-04-30,0.8259329882865704,0.7810374149659864
2008-05-01,0.837101607191501,0.8073979591836734
2008-05-02,0.7477526559520566,0.7937925170068028
2008-05-05,0.7164260419504223,0.7738095238095238
2008-05-06,0.6951784254971397,0.7810374149659864
2008-05-07,0.6981748842277308,0.7806122448979592
2008-05-08,0.7134295832198311,0.7640306122448979
2008-05-09,0.7145192045764097,0.7623299319727891
2008-05-12,0.733587578316535,0.7920918367346939
2008-05-13,0.7556524107872513,0.7793367346938775
2008-05-14,0.7725415418142195,0.7937925170068028
2008-05-15,0.7850721874148733,0.7988945578231292
2008-05-16,0.7785344592754018,0.778061224489796
2008-05-19,0.7826205393625715,0.7495748299319728
2008-05-20,0.771451920457641,0.7568027210884354
2008-05-21,0.752928357395805,0.7351190476190476
2008-05-22,0.7409425224734404,0.7495748299319728
2008-05-23,0.7297739035685099,0.7325680272108844
2008-05-27,0.7311359302642332,0.7321428571428571
2008-05-28,0.7333151729773904,0.7912414965986394
2008-05-29,0.7202397166984473,0.8099489795918368
2008-05-30,0.734404794333969,0.7746598639455782
2008-06-02,0.7621901389267229,0.7568027210884354
2008-06-03,0.755107600108962,0.7461734693877552
2008-06-04,0.7578316535004086,0.7283163265306122
2008-06-05,0.7627349496050122,0.7346938775510204
2008-06-06,0.7237809861073277,0.7087585034013606
2008-06-09,0.7175156633070008,0.6960034013605443
2008-06-10,0.7295014982293653,0.7011054421768707
2008-06-11,0.7068918550803596,0.6781462585034014
2008-06-12,0.709615908471806,0.6781462585034014
2008-06-13,0.7175156633070008,0.7040816326530612
2008-06-16,0.7188776900027241,0.701530612244898
2008-06-17,0.7191500953418687,0.7185374149659863
2008-06-18,0.6913647507491146,0.6887755102040816
2008-06-19,0.6761100517570144,0.7151360544217688
2008-06-20,0.6564968673385999,0.685374149659864
2008-06-23,0.627077090710978,0.6755952380952381
2008-06-24,0.6161808771451921,0.6772959183673469
2008-06-25,0.620811767910651,0.6938775510204082
2008-06-26,0.6050122582402615,0.6717687074829932
2008-06-27,0.5924816126396077,0.5752551020408163
2008-06-30,0.5791337510215201,0.5795068027210885
2008-07-01,0.5715064015254699,0.5731292517006803
2008-07-02,0.5687823481340234,0.5629251700680272
2008-07-03,0.5663307000817216,0.5684523809523809
2008-07-07,0.5813129937346772,0.5705782312925171
2008-07-08,0.5971125034050667,0.5803571428571429
2008-07-09,0.5864886951784255,0.5522959183673469
2008-07-10,0.569054753473168,0.5335884353741497
2008-07-11,0.5706891855080359,0.5157312925170069
2008-07-14,0.5540724598202125,0.5276360544217688
