"","X1","SIRI","KEM","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,1.07540983606557,0.608695652173913,"KEM",0.939393939393939,0.00432900432900433,0.895047854262609,0.0025566877894339
"3",2009-01-06,1.13524590163934,0.695652173913043,"KEM",0.913419913419913,0.956709956709957,0.682286816172284,0.906096313244096
"4",2009-01-07,1.14754098360656,0.630434782608696,"KEM",0.692640692640693,0.0909090909090909,0.836868888965577,0.0378283985543122
"5",2009-01-08,1.06967213114754,0.543478260869565,"KEM",0.151515151515152,0.051948051948052,0.425252972332759,0.0661421258977862
"6",2009-01-09,1.14754098360656,0.652173913043478,"KEM",0.935064935064935,0.987012987012987,0.554861212507035,0.972912411071772
"7",2009-01-12,1.08196721311475,0.597826086956522,"KEM",0.177489177489178,0.108225108225108,0.349587832504845,0.147074768054853
"8",2009-01-13,1.08606557377049,0.597826086956522,"KEM",0.645021645021645,0.601731601731602,0.635839919295395,0.553076149464897
"9",2009-01-14,0.983606557377049,0.565217391304348,"KEM",0.0995670995670996,0.199134199134199,0.119198123686074,0.399025846786704
"10",2009-01-15,0.942622950819672,0.597826086956522,"KEM",0.238095238095238,0.887445887445887,0.124780471757223,0.950062985324256
"11",2009-01-16,0.922131147540984,0.608695652173913,"KEM",0.385281385281385,0.748917748917749,0.251361010661624,0.838082959806521
"12",2009-01-20,0.901639344262295,0.543478260869565,"KEM",0.380952380952381,0.0779220779220779,0.639131360274691,0.0451218165504937
"13",2009-01-21,0.913934426229508,0.478260869565217,"KEM",0.70995670995671,0.0649350649350649,0.845408354934034,0.0244266632837809
"14",2009-01-22,0.881147540983607,0.510869565217391,"KEM",0.268398268398268,0.909090909090909,0.142120979450563,0.96214328402933
"15",2009-01-23,0.885245901639344,0.565217391304348,"KEM",0.649350649350649,0.930735930735931,0.376423531762045,0.958799618289134
"16",2009-01-26,0.877049180327869,0.565217391304348,"KEM",0.523809523809524,0.601731601731602,0.475924117723737,0.620293659934483
"17",2009-01-27,0.909016393442623,0.543478260869565,"KEM",0.844155844155844,0.268398268398268,0.924242230298948,0.143292908131355
"18",2009-01-28,0.959016393442623,0.532608695652174,"KEM",0.909090909090909,0.380952380952381,0.960943137439764,0.204783927846037
"19",2009-01-29,0.931967213114754,0.5,"KEM",0.341991341991342,0.186147186147186,0.493169048154873,0.171362040666328
"20",2009-01-30,0.983606557377049,0.456521739130435,"KEM",0.909090909090909,0.108225108225108,0.953400337755472,0.0585920447153354
"21",2009-02-02,1.07295081967213,0.456521739130435,"KEM",0.956709956709957,0.601731601731602,0.98139686662322,0.309593571019301
"22",2009-02-03,1.14754098360656,0.489130434782609,"KEM",0.935064935064935,0.913419913419913,0.849214451173516,0.749589989845233
"23",2009-02-04,1.16803278688525,0.423913043478261,"KEM",0.744588744588745,0.0606060606060606,0.861499621974232,0.0227617113304134
"24",2009-02-05,1.35245901639344,0.395652173913043,"KEM",0.978354978354978,0.147186147186147,0.991772038448947,0.108884470597526
"25",2009-02-06,1.06393442622951,0.456521739130435,"KEM",0,0.965367965367965,1e-10,0.781288370655907
"26",2009-02-09,0.901639344262295,0.434782608695652,"KEM",0.0303030303030303,0.225108225108225,0.0199533802158222,0.58711399346075
"27",2009-02-10,0.933606557377049,0.41304347826087,"KEM",0.83982683982684,0.212121212121212,0.922370930259327,0.108874375630098
"28",2009-02-11,0.450819672131148,0.456521739130435,NA,0,0.926406926406926,1e-10,0.781183975150324
"29",2009-02-12,0.60655737704918,0.434782608695652,"KEM",1,0.225108225108225,0.9999999999,0.218946155560524
"30",2009-02-13,0.85983606557377,0.445652173913043,"KEM",1,0.783549783549784,0.9999999999,0.219152805854782
"31",2009-02-17,1.31147540983607,0.5,"KEM",1,0.943722943722944,0.9999999999,0.219313642435827
"32",2009-02-18,1.18852459016393,0.434782608695652,"KEM",0.0995670995670996,0.0606060606060606,0.294180579947548,0.122824340629242
"33",2009-02-19,1.02459016393443,0.445652173913043,"KEM",0.038961038961039,0.783549783549784,0.0137593595678163,0.872991861296106
"34",2009-02-20,1.04918032786885,0.391304347826087,"KEM",0.779220779220779,0.0649350649350649,0.878896194787036,0.0256028269265238
"35",2009-02-23,1.09016393442623,0.326086956521739,"KEM",0.857142857142857,0.025974025974026,0.897321272551875,0.010369796363323
"36",2009-02-24,1.12295081967213,0.326086956521739,"KEM",0.800865800865801,0.601731601731602,0.834086486012175,0.448930954330565
"37",2009-02-25,1.10655737704918,0.304347826086957,"KEM",0.480519480519481,0.155844155844156,0.666289376671987,0.0996918311290457
"38",2009-02-26,1.0655737704918,0.304347826086957,"KEM",0.25974025974026,0.601731601731602,0.172914178751322,0.733522047582036
"39",2009-02-27,1.31147540983607,0.293478260869565,"KEM",0.995670995670996,0.277056277056277,0.999266586686929,0.179479376830074
"40",2009-03-02,1.15573770491803,0.282608695652174,"KEM",0.0822510822510823,0.272727272727273,0.0676168842951495,0.527206764723072
"41",2009-03-03,1.09016393442623,0.239130434782609,"KEM",0.181818181818182,0.0432900432900433,0.497698092246416,0.0421704983741433
