"","X1","ADI","GGG","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,0.994916115912557,1.00684104627767,NA,0.428571428571429,0.658008658008658,0.305006585120079,0.733022499372936
"3",2009-01-06,1.04321301474326,1.04547283702213,NA,0.948051948051948,0.926406926406926,0.837807690866949,0.682514171411357
"4",2009-01-07,1.00406710726995,0.986720321931589,NA,0.103896103896104,0.0432900432900433,0.465007884341318,0.0977255445641898
"5",2009-01-08,1.00508388408744,1.00321931589537,NA,0.532467532467532,0.800865800865801,0.322048666723974,0.850556745718247
"6",2009-01-09,0.984748347737672,0.974647887323944,NA,0.203463203463203,0.134199134199134,0.414402570584873,0.196250067770355
"7",2009-01-12,0.968479918657855,0.936016096579477,NA,0.242424242424242,0.0865800865800866,0.581193626207451,0.0916359252490489
"8",2009-01-13,0.983731570920183,0.926760563380282,NA,0.792207792207792,0.316017316017316,0.903302311640139,0.130961664359609
"9",2009-01-14,0.945602440264362,0.905030181086519,NA,0.0909090909090909,0.164502164502165,0.1501799115137,0.433858058829407
"10",2009-01-15,0.971021860701576,0.931187122736418,NA,0.878787878787879,0.874458874458874,0.747469583251692,0.730292888517526
"11",2009-01-16,1.00813421453991,0.955734406438632,NA,0.917748917748918,0.857142857142857,0.858516888345578,0.601441799158995
"12",2009-01-20,0.954245043213015,0.895372233400402,NA,0.0432900432900433,0.0346320346320346,0.278684733356611,0.187382987511136
"13",2009-01-21,0.96085409252669,0.930784708249497,NA,0.645021645021645,0.930735930735931,0.26932113208628,0.958436586773606
"14",2009-01-22,0.962379257752923,0.89215291750503,NA,0.554112554112554,0.0822510822510823,0.873324120052405,0.0264193677617868
"15",2009-01-23,0.999491611591256,0.876861167002012,"GGG",0.917748917748918,0.216450216450216,0.98345561884735,0.037899595508628
"16",2009-01-26,1.00101677681749,0.895774647887324,"GGG",0.54978354978355,0.822510822510823,0.321133393254454,0.868742910711456
"17",2009-01-27,1.04422979156075,0.89215291750503,"GGG",0.943722943722944,0.437229437229437,0.982547444628509,0.110527383062609
"18",2009-01-28,1.08235892221657,0.912273641851107,"GGG",0.909090909090909,0.831168831168831,0.864366895356613,0.571550340909378
"19",2009-01-29,1.03914590747331,0.872032193158954,"GGG",0.0822510822510823,0.0692640692640693,0.289656586619759,0.213235656922459
"20",2009-01-30,1.01576004067107,0.855935613682092,"GGG",0.19047619047619,0.203463203463203,0.293964453710537,0.331070718706381
"21",2009-02-02,1.03304524656838,0.840241448692153,"GGG",0.800865800865801,0.203463203463203,0.936729577165897,0.0589101803310891
"22",2009-02-03,1.05846466700559,0.857142857142857,"GGG",0.874458874458874,0.818181818181818,0.809462703059348,0.622617861255907
"23",2009-02-04,1.06964921199797,0.874849094567404,"GGG",0.705627705627706,0.822510822510823,0.517874667060139,0.805326316862466
"24",2009-02-05,1.11743772241993,0.876458752515091,"GGG",0.943722943722944,0.558441558441558,0.976308866465956,0.17814162547109
"25",2009-02-06,1.1377732587697,0.904225352112676,"GGG",0.80952380952381,0.891774891774892,0.571835043873249,0.848974077762638
"26",2009-02-09,1.13421453990849,0.895774647887324,"GGG",0.45021645021645,0.329004329004329,0.54660342910224,0.30308781819876
"27",2009-02-10,1.06863243518048,0.856338028169014,"GGG",0.0346320346320346,0.0692640692640693,0.116737540183694,0.400854048313582
"28",2009-02-11,1.06253177427555,0.852313883299799,"GGG",0.415584415584416,0.432900432900433,0.426374521539632,0.460847761900552
"29",2009-02-12,1.07422470767666,0.837022132796781,"GGG",0.718614718614719,0.207792207792208,0.887825595582632,0.0787983690004154
"30",2009-02-13,1.08693441789527,0.845070422535211,"GGG",0.735930735930736,0.718614718614719,0.667388821823695,0.627337358722472
"31",2009-02-17,1.01677681748856,0.809255533199195,"GGG",0.0216450216450216,0.0779220779220779,0.0556374405753606,0.543508918426689
"32",2009-02-18,1.01779359430605,0.793561368209255,"GGG",0.532467532467532,0.199134199134199,0.745761956673005,0.119155905009057
"33",2009-02-19,0.986273512963904,0.764587525150905,"GGG",0.147186147186147,0.0995670995670996,0.375743711452569,0.186773644241216
"34",2009-02-20,0.981189628876462,0.734406438631791,"GGG",0.428571428571429,0.0865800865800866,0.784597175844099,0.043135195904314
"35",2009-02-23,0.932384341637011,0.696981891348089,"GGG",0.051948051948052,0.0476190476190476,0.255217468895181,0.218602920520567
"36",2009-02-24,0.954753431621759,0.720724346076459,"GGG",0.861471861471861,0.909090909090909,0.635000877263953,0.834500036153722
"37",2009-02-25,0.979156075241485,0.711871227364185,"GGG",0.874458874458874,0.268398268398268,0.961665069854547,0.0715891381233484
"38",2009-02-26,0.954245043213015,0.693762575452716,"GGG",0.173160173160173,0.142857142857143,0.343903546355499,0.24352199608995
"39",2009-02-27,0.947635993899339,0.683299798792756,"GGG",0.38961038961039,0.233766233766234,0.553645287185442,0.216474740693673
"40",2009-03-02,0.911540416878495,0.630181086519115,"GGG",0.103896103896104,0.0173160173160173,0.665571476445571,0.027429667620034
"41",2009-03-03,0.927300457549568,0.621730382293763,"GGG",0.80952380952381,0.246753246753247,0.93120890054509,0.0801657045983194
"42",2009-03-04,0.961870869344179,0.633400402414487,"GGG",0.917748917748918,0.80952380952381,0.895444978293152,0.508195572446972
"43",2009-03-05,0.954753431621759,0.603219315895372,"GGG",0.38961038961039,0.0562770562770563,0.812849564526351,0.0248433263083155
"44",2009-03-06,0.939501779359431,0.582696177062374,"GGG",0.246753246753247,0.112554112554113,0.528193151647659,0.128823288961024
