,DIS,MTX
2008-02-01,1.0,1.0
2008-02-04,1.0078277886497065,1.0016064257028112
2008-02-05,0.9807566862361383,0.9706024096385543
2008-02-06,1.0273972602739725,0.9685140562248996
2008-02-07,1.0345727332028702,0.9691566265060241
2008-02-08,1.0476190476190474,0.9855421686746988
2008-02-11,1.0414220482713634,0.9860240963855422
2008-02-12,1.0446836268754078,0.9950200803212851
2008-02-13,1.0691454664057405,1.0049799196787148
2008-02-14,1.0541422048271363,1.0011244979919678
2008-02-15,1.0596868884540118,0.9865060240963854
2008-02-19,1.0499021526418786,0.9983935742971888
2008-02-20,1.0626223091976517,1.024417670682731
2008-02-21,1.0525114155251143,1.003855421686747
2008-02-22,1.0622961513372473,1.0001606425702811
2008-02-25,1.0727332028701893,1.0258634538152611
2008-02-26,1.0727332028701893,1.028433734939759
2008-02-27,1.0795825179386824,1.0302008032128513
2008-02-28,1.0613176777560338,0.97429718875502
2008-02-29,1.0570776255707761,0.9683534136546185
2008-03-03,1.0570776255707761,0.974136546184739
2008-03-04,1.0394651011089369,0.9673895582329317
2008-03-05,1.0319634703196348,0.9752610441767069
2008-03-06,1.0192433137638617,0.9556626506024096
2008-03-07,1.0032615786040444,0.9404016064257028
2008-03-10,0.9934768427919113,0.9273895582329317
2008-03-11,1.0172863666014351,0.9686746987951806
2008-03-12,1.0244618395303327,0.9746184738955823
2008-03-13,1.0218525766470972,1.006265060240964
2008-03-14,1.0039138943248533,0.9850602409638555
2008-03-17,0.9934768427919113,0.9763855421686747
2008-03-18,1.0345727332028702,1.0236144578313253
2008-03-19,1.0189171559034573,0.9996787148594377
2008-03-20,1.04044357469015,0.9824899598393574
2008-03-24,1.0450097847358122,1.0139759036144578
2008-03-25,1.0463144161774298,1.0171887550200802
2008-03-26,1.0358773646444879,1.0138152610441766
2008-03-27,1.0234833659491194,1.0041767068273093
2008-03-28,1.0110893672537509,0.9914859437751004
2008-03-31,1.0234833659491194,1.0088353413654618
2008-04-01,1.0407697325505545,1.0221686746987952
2008-04-02,1.0293542074363993,1.0151004016064256
2008-04-03,1.028375733855186,1.0171887550200802
2008-04-04,1.0189171559034573,1.0383935742971888
2008-04-07,1.0280495759947814,1.0480321285140561
2008-04-08,1.0133724722765818,1.0428915662650602
2008-04-09,1.0061969993476843,1.0372690763052208
2008-04-10,1.022504892367906,1.0531726907630523
2008-04-11,0.9843444227005871,1.0364658634538153
2008-04-14,0.9797782126549249,1.0383935742971888
2008-04-15,0.9761904761904762,1.060722891566265
2008-04-16,0.9889106327462492,1.0893172690763053
2008-04-17,1.0039138943248533,1.0832128514056225
2008-04-18,1.0218525766470972,1.088995983935743
2008-04-21,1.0260926288323549,1.0869076305220884
2008-04-22,1.0205479452054793,1.0673092369477912
2008-04-23,1.0319634703196348,1.055421686746988
2008-04-24,1.0417482061317678,1.056706827309237
2008-04-25,1.0554468362687541,1.0626506024096387
2008-04-28,1.057729941291585,1.0803212851405624
2008-04-29,1.0684931506849313,1.0859437751004015
2008-04-30,1.057729941291585,1.0881927710843373
2008-05-01,1.086105675146771,1.0923694779116466
2008-05-02,1.0923026744944553,1.075983935742972
2008-05-05,1.0857795172863665,1.0750200803212853
2008-05-06,1.1001304631441617,1.1037751004016063
2008-05-07,1.1317677756033921,1.1036144578313254
2008-05-08,1.12720156555773,1.1066666666666667
2008-05-09,1.1187214611872145,1.1143775100401607
2008-05-12,1.1340508806262233,1.121124497991968
2008-05-13,1.1196999347684278,1.117429718875502
2008-05-14,1.1350293542074363,1.1222489959839357
2008-05-15,1.1412263535551208,1.1217670682730922
2008-05-16,1.138617090671885,1.1204819277108433
2008-05-19,1.1324200913242009,1.1172690763052209
2008-05-20,1.1118721461187215,1.117590361445783
2008-05-21,1.0978473581213306,1.1188755020080323
2008-05-22,1.0962165688193086,1.1204819277108433
2008-05-23,1.08382257012394,1.1010441767068273
2008-05-27,1.097195042400522,1.104578313253012
2008-05-28,1.1043705153294194,1.1297991967871486
2008-05-29,1.1027397260273972,1.1179116465863455
2008-05-30,1.095890410958904,1.1182329317269075
2008-06-02,1.086105675146771,1.1138955823293173
2008-06-03,1.0821917808219177,1.1148594377510042
2008-06-04,1.120352250489237,1.1273895582329319
2008-06-05,1.124918460534899,1.1617670682730923
2008-06-06,1.0766470971950424,1.11710843373494
2008-06-09,1.0821917808219177,1.1359036144578312
2008-06-10,1.1033920417482062,1.1447389558232932
2008-06-11,1.0851272015655578,1.1428112449799197
2008-06-12,1.0841487279843445,1.1484337349397589
2008-06-13,1.1066536203522506,1.1596787148594376
2008-06-16,1.0975212002609263,1.1540562248995985
2008-06-17,1.0799086757990868,1.1633734939759037
2008-06-18,1.0746901500326158,1.1553413654618474
2008-06-19,1.0727332028701893,1.1495582329317269
2008-06-20,1.0417482061317678,1.1182329317269075
2008-06-23,1.0564253098499674,1.1074698795180722
2008-06-24,1.0508806262230919,1.06570281124498
2008-06-25,1.0596868884540118,1.0793574297188755
2008-06-26,1.028375733855186,1.045301204819277
2008-06-27,1.0296803652968036,1.03855421686747
2008-06-30,1.0176125244618395,1.0215261044176707
2008-07-01,1.012720156555773,1.0382329317269074
2008-07-02,1.0016307893020222,0.9911646586345382
2008-07-03,1.0078277886497065,1.0162248995983936
2008-07-07,0.9810828440965427,1.0070682730923695
2008-07-08,0.976842791911285,1.0184738955823294
2008-07-09,0.9634703196347032,1.005301204819277
2008-07-10,0.9654272667971299,1.0151004016064256
2008-07-11,0.9523809523809523,1.026987951807229
2008-07-14,0.949119373776908,1.0107630522088353
