"","X1","CUNB","CMS","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,1.06451612903226,1.02488038277512,NA,0.982683982683983,0.887445887445887,0.982683982683983,0.887445887445887
"3",2009-01-06,1.06451612903226,1.05741626794258,NA,0.757575757575758,0.935064935064935,0.757575757575758,0.935064935064935
"4",2009-01-07,1,1.04019138755981,NA,0.0216450216450216,0.212121212121212,0.0216450216450216,0.212121212121212
"5",2009-01-08,1,1.06985645933014,NA,0.757575757575758,0.917748917748918,0.757575757575758,0.917748917748918
"6",2009-01-09,1,1.06985645933014,NA,0.757575757575758,0.536796536796537,0.757575757575758,0.536796536796537
"7",2009-01-12,1.03354838709677,1.05167464114833,NA,0.935064935064935,0.203463203463203,0.935064935064935,0.203463203463203
"8",2009-01-13,1.03354838709677,1.02870813397129,NA,0.757575757575758,0.151515151515152,0.757575757575758,0.151515151515152
"9",2009-01-14,1.03354838709677,1.03827751196172,NA,0.757575757575758,0.744588744588745,0.757575757575758,0.744588744588745
"10",2009-01-15,1.03225806451613,1.06698564593301,NA,0.32034632034632,0.913419913419913,0.32034632034632,0.913419913419913
"11",2009-01-16,1.20645161290323,1.07751196172249,"CMS",1,0.753246753246753,0.9999999999,0.753246753246753
"12",2009-01-20,1.16129032258065,1.08325358851675,"CMS",0.0692640692640693,0.653679653679654,0.0692640692640693,0.653679653679654
"13",2009-01-21,1.03225806451613,1.11291866028708,NA,0.00432900432900433,0.909090909090909,0.00432900432900433,0.909090909090909
"14",2009-01-22,1.03225806451613,1.11578947368421,NA,0.757575757575758,0.601731601731602,0.757575757575758,0.601731601731602
"15",2009-01-23,1.03225806451613,1.15023923444976,NA,0.757575757575758,0.935064935064935,0.757575757575758,0.935064935064935
"16",2009-01-26,1.01290322580645,1.15980861244019,"CUNB",0.199134199134199,0.722943722943723,0.199134199134199,0.722943722943723
"17",2009-01-27,1.00645161290323,1.13684210526316,"CUNB",0.277056277056277,0.177489177489178,0.277056277056277,0.177489177489178
"18",2009-01-28,1.00645161290323,1.1444976076555,"CUNB",0.757575757575758,0.688311688311688,0.757575757575758,0.688311688311688
"19",2009-01-29,1.00645161290323,1.13014354066986,"CUNB",0.757575757575758,0.255411255411255,0.757575757575758,0.255411255411255
"20",2009-01-30,1.00645161290323,1.1244019138756,"CUNB",0.757575757575758,0.428571428571429,0.757575757575758,0.428571428571429
"21",2009-02-02,1.03225806451613,1.1444976076555,"CUNB",0.913419913419913,0.844155844155844,0.913419913419913,0.844155844155844
"22",2009-02-03,1.03225806451613,1.13014354066986,"CUNB",0.757575757575758,0.255411255411255,0.757575757575758,0.255411255411255
"23",2009-02-04,1.03225806451613,1.10813397129187,"CUNB",0.757575757575758,0.177489177489178,0.757575757575758,0.177489177489178
"24",2009-02-05,1.03225806451613,1.13588516746411,"CUNB",0.757575757575758,0.887445887445887,0.757575757575758,0.887445887445887
"25",2009-02-06,1.03225806451613,1.15693779904306,"CUNB",0.757575757575758,0.844155844155844,0.757575757575758,0.844155844155844
"26",2009-02-09,1.03225806451613,1.14545454545455,"CUNB",0.757575757575758,0.294372294372294,0.757575757575758,0.294372294372294
"27",2009-02-10,1.03225806451613,1.10526315789474,"CUNB",0.757575757575758,0.0822510822510823,0.757575757575758,0.0822510822510823
"28",2009-02-11,1.03225806451613,1.09282296650718,"CUNB",0.757575757575758,0.285714285714286,0.757575757575758,0.285714285714286
"29",2009-02-12,1.03225806451613,1.10717703349282,"CUNB",0.757575757575758,0.787878787878788,0.757575757575758,0.787878787878788
"30",2009-02-13,1.03225806451613,1.09665071770335,"CUNB",0.757575757575758,0.311688311688312,0.757575757575758,0.311688311688312
"31",2009-02-17,1.03225806451613,1.03444976076555,"CUNB",0.757575757575758,0.0346320346320346,0.757575757575758,0.0346320346320346
"32",2009-02-18,1.03225806451613,1.02296650717703,NA,0.757575757575758,0.285714285714286,0.757575757575758,0.285714285714286
"33",2009-02-19,1.03225806451613,1.00765550239234,NA,0.757575757575758,0.225108225108225,0.757575757575758,0.225108225108225
"34",2009-02-20,1.03225806451613,0.996172248803828,NA,0.757575757575758,0.281385281385281,0.757575757575758,0.281385281385281
"35",2009-02-23,1.03225806451613,0.96555023923445,NA,0.757575757575758,0.0995670995670996,0.757575757575758,0.0995670995670996
"36",2009-02-24,1.03225806451613,1.01722488038278,NA,0.757575757575758,0.974025974025974,0.757575757575758,0.974025974025974
"37",2009-02-25,1.01935483870968,1.02870813397129,NA,0.251082251082251,0.757575757575758,0.251082251082251,0.757575757575758
"38",2009-02-26,1.01935483870968,1.05263157894737,NA,0.757575757575758,0.878787878787879,0.757575757575758,0.878787878787879
"39",2009-02-27,1.01935483870968,1.05837320574163,NA,0.757575757575758,0.653679653679654,0.757575757575758,0.653679653679654
"40",2009-03-02,1.03225806451613,1.05167464114833,NA,0.831168831168831,0.415584415584416,0.831168831168831,0.415584415584416
"41",2009-03-03,1.03225806451613,1.02679425837321,NA,0.757575757575758,0.138528138528139,0.757575757575758,0.138528138528139
"42",2009-03-04,0.987096774193548,1.04114832535885,NA,0.051948051948052,0.792207792207792,0.051948051948052,0.792207792207792
"43",2009-03-05,0.987096774193548,1.01148325358852,NA,0.757575757575758,0.112554112554113,0.757575757575758,0.112554112554113
"44",2009-03-06,0.987096774193548,1.04019138755981,NA,0.757575757575758,0.917748917748918,0.757575757575758,0.917748917748918
"45",2009-03-09,0.987096774193548,1.02105263157895,NA,0.757575757575758,0.181818181818182,0.757575757575758,0.181818181818182
