,CIM,XL
2008-02-01,1.0,1.0
2008-02-04,1.0005271481286242,0.9700689061154177
2008-02-05,0.9889298892988931,0.9474590869939707
2008-02-06,0.9920927780706379,0.9468130921619294
2008-02-07,1.0057986294148655,0.9278639104220501
2008-02-08,1.0015814443858726,0.9190353143841516
2008-02-11,0.9910384818133896,0.8548664944013782
2008-02-12,0.9810226673695309,0.845176571920758
2008-02-13,1.0015814443858726,0.8301033591731266
2008-02-14,0.992619926199262,0.8195521102497848
2008-02-15,0.9799683711122826,0.8322566752799311
2008-02-19,0.9804955192409068,0.814384151593454
2008-02-20,1.0026357406431208,0.8204134366925065
2008-02-21,0.9731154454401688,0.7945736434108527
2008-02-22,0.9752240379546653,0.7937123169681309
2008-02-25,0.9620453347390617,0.8217054263565892
2008-02-26,0.9488666315234582,0.8419465977605514
2008-02-27,0.9304164470216131,0.8742463393626185
2008-02-28,0.9103848181338956,0.8279500430663222
2008-02-29,0.8734844491302056,0.7764857881136952
2008-03-03,0.823405376910912,0.756244616709733
2008-03-04,0.8534528202424883,0.7463393626184324
2008-03-05,0.8439641539272537,0.7407407407407407
2008-03-06,0.720611491829204,0.7103789836347977
2008-03-07,0.7343173431734318,0.7015503875968992
2008-03-10,0.6736953083816553,0.669681309216193
2008-03-11,0.7032156035846073,0.726959517657192
2008-03-12,0.6879283078545072,0.7030577088716624
2008-03-13,0.6895097522403796,0.6838931955211026
2008-03-14,0.6789667896678968,0.6776485788113695
2008-03-17,0.6325777543489721,0.6283376399655469
2008-03-18,0.6678966789667897,0.7105943152454781
2008-03-19,0.6747496046389037,0.6472868217054264
2008-03-20,0.7074327886136005,0.6897071490094746
2008-03-24,0.7090142329994729,0.7095176571920759
2008-03-25,0.7000527148128625,0.7047803617571059
2008-03-26,0.6752767527675277,0.6565460809646856
2008-03-27,0.6668423827095414,0.6451335055986219
2008-03-28,0.6378492356352136,0.6352282515073213
2008-03-31,0.6483921982076964,0.6363049095607236
2008-04-01,0.6457564575645757,0.6871231696813093
2008-04-02,0.6889826041117555,0.6754952627045651
2008-04-03,0.6705324196099105,0.6664513350559862
2008-04-04,0.6758039008961518,0.6531007751937985
2008-04-07,0.6589351607801792,0.6677433247200689
2008-04-08,0.6341591987348445,0.6537467700258398
2008-04-09,0.5946230890880337,0.6533161068044789
2008-04-10,0.6078017923036373,0.6546080964685616
2008-04-11,0.6072746441750132,0.6449181739879415
2008-04-14,0.6404849762783342,0.6236003445305771
2008-04-15,0.5946230890880337,0.6391042204995694
2008-04-16,0.6062203479177649,0.6276916451335056
2008-04-17,0.6178176067474961,0.6554694229112834
2008-04-18,0.6483921982076964,0.6554694229112834
2008-04-21,0.6383763837638377,0.655254091300603
2008-04-22,0.6056931997891408,0.6468561584840655
2008-04-23,0.6225619399051134,0.6266149870801034
2008-04-24,0.6452293094359516,0.6679586563307494
2008-04-25,0.6515550869794412,0.6950904392764858
2008-04-28,0.7111228255139694,0.7198535745047373
2008-04-29,0.727464417501318,0.7510766580534023
2008-04-30,0.7311544544016869,0.7512919896640827
2008-05-01,0.7380073800738007,0.7891903531438416
2008-05-02,0.727464417501318,0.8135228251507322
2008-05-05,0.7332630469161835,0.7444013781223084
2008-05-06,0.6931997891407486,0.774978466838932
2008-05-07,0.6852925672113864,0.7286821705426357
2008-05-08,0.6958355297838693,0.7103789836347977
2008-05-09,0.7074327886136005,0.7377260981912145
2008-05-12,0.7432788613600422,0.7416020671834626
2008-05-13,0.7411702688455457,0.7334194659776055
2008-05-14,0.7469688982604112,0.75
2008-05-15,0.7411702688455457,0.7622739018087855
2008-05-16,0.7322087506589352,0.7633505598621879
2008-05-19,0.720611491829204,0.7655038759689923
2008-05-20,0.7111228255139694,0.7519379844961241
2008-05-21,0.7153400105429626,0.7209302325581395
2008-05-22,0.7179757511860833,0.7409560723514211
2008-05-23,0.7084870848708488,0.7293281653746769
2008-05-27,0.7211386399578282,0.7282515073212749
2008-05-28,0.7127042698998419,0.7099483204134367
2008-05-29,0.7369530838165526,0.7465546942291129
2008-05-30,0.7306273062730627,0.7517226528854436
2008-06-02,0.727991565629942,0.7248062015503876
2008-06-03,0.6816025303110175,0.7403100775193799
2008-06-04,0.6573537163943068,0.7222222222222222
2008-06-05,0.672641012124407,0.739879414298019
2008-06-06,0.6420664206642067,0.6957364341085273
2008-06-09,0.646810753821824,0.6875538329026701
2008-06-10,0.6362677912493411,0.7200689061154177
2008-06-11,0.6020031628887718,0.6593453919035315
2008-06-12,0.5814443858724302,0.6688199827734711
2008-06-13,0.577227200843437,0.6584840654608096
2008-06-16,0.5687928307854507,0.6595607235142119
2008-06-17,0.5851344227727991,0.6414728682170543
2008-06-18,0.5666842382709542,0.6479328165374677
2008-06-19,0.5814443858724302,0.6515934539190353
2008-06-20,0.5714285714285715,0.6106804478897502
2008-06-23,0.5529783869267264,0.5555555555555556
2008-06-24,0.5245123879810226,0.5396210163652024
2008-06-25,0.5213494992092779,0.5521102497846684
2008-06-26,0.4913020558777017,0.5325150732127477
2008-06-27,0.48392198207696363,0.5118432385874246
2008-06-30,0.4749604638903532,0.4427217915590009
2008-07-01,0.4770690564048498,0.4491817398794143
2008-07-02,0.4686346863468635,0.45090439276485794
2008-07-03,0.4528202424881392,0.42786391042205
2008-07-07,0.4343700579862942,0.3966408268733851
2008-07-08,0.4222456510279389,0.43992248062015504
2008-07-09,0.39167105956773857,0.4198966408268734
2008-07-10,0.38798102266736956,0.3774763135228252
2008-07-11,0.3863995782814971,0.3499138673557278
2008-07-14,0.3742751713231418,0.34345391903531436
