,CWT,TMP
2008-02-01,1.0,1.0
2008-02-04,1.0113154172560113,1.018801410105758
2008-02-05,0.981046676096181,1.010575793184489
2008-02-06,0.9861386138613861,1.0305522914218568
2008-02-07,1.0005657708628004,1.0575793184488838
2008-02-08,0.9864214992927863,1.0258519388954173
2008-02-11,0.9838755304101838,1.0465334900117509
2008-02-12,0.9923620933521923,1.0533490011750881
2008-02-13,1.0217821782178216,1.101057579318449
2008-02-14,0.996039603960396,1.0893066980023502
2008-02-15,0.9867043847241868,1.0688601645123383
2008-02-19,0.9881188118811881,1.0799059929494714
2008-02-20,1.0042432814710043,1.101057579318449
2008-02-21,0.9799151343705799,1.0820211515863691
2008-02-22,0.9917963224893919,1.0904817861339602
2008-02-25,1.011881188118812,1.099882491186839
2008-02-26,1.0415841584158416,1.0987074030552293
2008-02-27,1.0364922206506364,1.0963572267920094
2008-02-28,1.074115983026874,1.0763807285546416
2008-02-29,1.0642149929278641,1.035252643948296
2008-03-03,1.071004243281471,1.037602820211516
2008-03-04,1.0636492220650637,1.036427732079906
2008-03-05,1.08005657708628,1.010340775558167
2008-03-06,1.0661951909476661,1.0035252643948298
2008-03-07,1.0882602545968882,1.0310223266745007
2008-03-10,1.0715700141442717,1.0340775558166864
2008-03-11,1.117963224893918,1.1175088131609872
2008-03-12,1.1216407355021216,1.0980023501762632
2008-03-13,1.1315417256011315,1.1113983548766158
2008-03-14,1.1032531824611032,1.1057579318448885
2008-03-17,1.1103253182461104,1.1116333725029377
2008-03-18,1.1507779349363507,1.1633372502937722
2008-03-19,1.1066478076379065,1.1445358401880144
2008-03-20,1.1414427157001414,1.174853113983549
2008-03-24,1.1236209335219236,1.1880141010575793
2008-03-25,1.0995756718528995,1.1887191539365454
2008-03-26,1.1244695898161243,1.1891891891891893
2008-03-27,1.078076379066478,1.175088131609871
2008-03-28,1.0463932107496463,1.172737955346651
2008-03-31,1.079207920792079,1.156286721504113
2008-04-01,1.112871287128713,1.1769682726204467
2008-04-02,1.1154172560113154,1.1715628672150413
2008-04-03,1.1207920792079207,1.1699177438307875
2008-04-04,1.1213578500707213,1.1668625146886016
2008-04-07,1.1258840169731257,1.1708578143360753
2008-04-08,1.1278642149929277,1.1710928319623972
2008-04-09,1.1329561527581329,1.1567567567567567
2008-04-10,1.1400282885431399,1.1508813160987075
2008-04-11,1.128995756718529,1.1210340775558167
2008-04-14,1.1315417256011315,1.1163337250293772
2008-04-15,1.1476661951909477,1.1210340775558167
2008-04-16,1.160961810466761,1.2021151586368979
2008-04-17,1.145120226308345,1.1992949471210341
2008-04-18,1.1544554455445544,1.1891891891891893
2008-04-21,1.1437057991513437,1.172032902467685
2008-04-22,1.1125884016973124,1.1504112808460636
2008-04-23,1.1173974540311173,1.1316098707403055
2008-04-24,1.1168316831683167,1.137485311398355
2008-04-25,1.0885431400282883,1.173913043478261
2008-04-28,1.0984441301272982,1.1692126909518215
2008-04-29,1.08005657708628,1.1527614571092832
2008-04-30,1.0947666195190948,1.136780258519389
2008-05-01,1.0594059405940595,1.1466509988249118
2008-05-02,1.0407355021216407,1.1306698002350177
2008-05-05,1.0435643564356436,1.1057579318448885
2008-05-06,1.0345120226308344,1.1116333725029377
2008-05-07,1.0082036775106082,1.05475910693302
2008-05-08,1.002828854314003,1.037367802585194
2008-05-09,1.0424328147100423,1.0223266745005877
2008-05-12,1.0644978783592645,1.0411280846063455
2008-05-13,1.0404526166902404,1.0881316098707403
2008-05-14,1.048090523338048,1.0622796709753233
2008-05-15,1.0214992927864215,1.0622796709753233
2008-05-16,1.0172560113154172,1.0399529964747356
2008-05-19,1.020933521923621,1.0446533490011751
2008-05-20,1.0212164073550212,1.0411280846063455
2008-05-21,1.0398868458274397,1.0202115158636897
2008-05-22,1.039038189533239,1.0470035252643948
2008-05-23,1.0186704384724186,1.0235017626321974
2008-05-27,1.0336633663366337,1.0509988249118685
2008-05-28,1.0192362093352192,1.0434782608695652
2008-05-29,1.035077793493635,1.0627497062279672
2008-05-30,1.0308345120226308,1.0669800235017626
2008-06-02,1.0076379066478076,1.0763807285546416
2008-06-03,1.0096181046676096,1.12737955346651
2008-06-04,1.0328147100424327,1.1022326674500589
2008-06-05,1.0537482319660536,1.1128084606345476
2008-06-06,1.0053748231966053,1.063454759106933
2008-06-09,1.0234794908062235,1.0681551116333727
2008-06-10,1.0192362093352192,1.0916568742655701
2008-06-11,1.0101838755304102,1.0775558166862516
2008-06-12,1.0217821782178216,1.0669800235017626
2008-06-13,1.0427157001414427,1.0792009400705054
2008-06-16,1.0379066478076377,1.0975323149236194
2008-06-17,1.0336633663366337,1.0474735605170389
2008-06-18,1.0243281471004244,1.027732079905993
2008-06-19,1.0396039603960396,1.0474735605170389
2008-06-20,1.028005657708628,1.00117508813161
2008-06-23,1.0294200848656294,0.9631022326674501
2008-06-24,1.002828854314003,0.94641598119859
2008-06-25,0.9923620933521923,0.9727379553466511
2008-06-26,0.9572842998585573,0.9532314923619273
2008-06-27,0.8964639321074964,0.9224441833137486
2008-06-30,0.9270155586987271,0.874265569917744
2008-07-01,0.9374823196605374,0.8836662749706229
2008-07-02,0.8973125884016973,0.8831962397179789
2008-07-03,0.8814710042432814,0.8573443008225616
2008-07-07,0.882036775106082,0.8707403055229143
2008-07-08,0.9134370579915134,0.9144535840188014
2008-07-09,0.906930693069307,0.9029377203290248
2008-07-10,0.9267326732673267,0.9341950646298472
2008-07-11,0.949080622347949,0.9713278495887192
2008-07-14,0.9357850070721357,0.9353701527614571
2008-07-15,0.9394625176803395,0.9438307873090481
2008-07-16,0.949080622347949,1.0141010575793186
2008-07-17,0.9479490806223478,1.0688601645123383
2008-07-18,0.9346534653465346,1.0495887191539366
2008-07-21,0.9502121640735502,1.0540540540540542
2008-07-22,1.0045261669024044,1.0575793184488838
2008-07-23,0.9722772277227721,1.0575793184488838
2008-07-24,0.9612446958981611,1.0164512338425382
2008-07-25,0.9881188118811881,1.045828437132785
2008-07-28,0.9954738330975954,1.0185663924794361
2008-07-29,1.0036775106082036,1.0519388954171562
2008-07-30,1.004809052333805,1.0434782608695652
2008-07-31,1.0393210749646393,1.0037602820211518
2008-08-01,1.042998585572843,1.009870740305523
2008-08-04,1.041018387553041,0.9847238542890717
2008-08-05,1.091089108910891,0.9985898942420682
2008-08-06,1.0794908062234794,1.0343125734430083
2008-08-07,1.1012729844413012,1.0157461809635724
2008-08-08,1.084016973125884,1.0528789659224442
2008-08-11,1.1295615275813295,1.0575793184488838
2008-08-12,1.1086280056577085,1.1252643948296124
2008-08-13,1.1134370579915134,1.101057579318449
2008-08-14,1.1173974540311173,1.092361927144536
2008-08-15,1.1315417256011315,1.0775558166862516
2008-08-18,1.1306930693069306,1.0681551116333727
2008-08-19,1.1374823196605375,1.0354876615746182
2008-08-20,1.1236209335219236,1.0354876615746182
2008-08-21,1.1094766619519094,1.0054054054054056
2008-08-22,1.1332390381895332,1.0517038777908343
2008-08-25,1.1239038189533237,1.0493537015276146
2008-08-26,1.1123055162659123,1.064629847238543
2008-08-27,1.121074964639321,1.0775558166862516
2008-08-28,1.1267326732673266,1.0810810810810811
2008-08-29,1.1114568599717114,1.064159811985899
2008-09-02,1.1182461103253183,1.064629847238543
2008-09-03,1.1137199434229137,1.0810810810810811
2008-09-04,1.082885431400283,1.0787309048178613
2008-09-05,1.0625176803394625,1.0963572267920094
2008-09-08,1.0958981612446959,1.1059929494712104
2008-09-09,1.082885431400283,1.0881316098707403
2008-09-10,1.08995756718529,1.1254994124559343
2008-09-11,1.0817538896746817,1.1490011750881317
2008-09-12,1.083168316831683,1.1844888366627497
2008-09-15,1.0594059405940595,1.1036427732079908
2008-09-16,1.1213578500707213,1.1685076380728556
2008-09-17,1.0834512022630833,1.1057579318448885
2008-09-18,1.1377652050919378,1.2220916568742657
2008-09-19,1.1371994342291372,1.2808460634547592
2008-09-22,1.115134370579915,1.1332549941245593
2008-09-23,1.115983026874116,1.1445358401880144
2008-09-24,1.1086280056577085,1.1513513513513516
2008-09-25,1.1278642149929277,1.1633372502937722
2008-09-26,1.1272984441301273,1.1985898942420683
2008-09-29,1.020933521923621,1.1222091656874267
2008-09-30,1.089108910891089,1.1868390129259696
2008-10-01,1.0647807637906648,1.128084606345476
2008-10-02,1.0707213578500707,1.1445358401880144
2008-10-03,1.0458274398868457,1.1081081081081081
2008-10-06,1.029137199434229,1.0975323149236194
2008-10-07,0.962093352192362,1.0411280846063455
2008-10-08,0.9309759547383308,0.9694477085781434
2008-10-09,0.8678925035360678,0.8754406580493538
2008-10-10,0.9004243281471004,0.9518213866039954
2008-10-13,1.0082036775106082,1.0893066980023502
2008-10-14,0.9714285714285715,1.0317273795534665
2008-10-15,0.9074964639321074,1.0340775558166864
2008-10-16,0.9881188118811881,1.1175088131609872
2008-10-17,0.9391796322489392,1.0987074030552293
2008-10-20,0.9612446958981611,1.099882491186839
2008-10-21,0.9193776520509194,1.0763807285546416
2008-10-22,0.8797736916548797,1.0493537015276146
2008-10-23,0.9171145685997171,1.0787309048178613
2008-10-24,0.887128712871287,1.0599294947121034
2008-10-27,0.841018387553041,1.0669800235017626
2008-10-28,0.9173974540311174,1.1304347826086958
2008-10-29,0.9513437057991514,1.118683901292597
2008-10-30,1.031117397454031,1.1574618096357228
2008-10-31,1.0625176803394625,1.1515863689776733
2008-11-03,1.0939179632248939,1.1515863689776733
2008-11-04,1.0995756718528995,1.1692126909518215
2008-11-05,1.0806223479490806,1.135135135135135
2008-11-06,1.076096181046676,1.1410105757931845
2008-11-07,1.0964639321074963,1.156286721504113
2008-11-10,1.0925035360678923,1.173443008225617
2008-11-11,1.1074964639321074,1.145710928319624
2008-11-12,1.0579915134370579,1.109283196239718
2008-11-13,1.1142857142857143,1.1656874265569919
2008-11-14,1.0925035360678923,1.082491186839013
2008-11-17,1.1154172560113154,1.0902467685076382
2008-11-18,1.1369165487977368,1.0810810810810811
2008-11-19,1.1558698727015557,1.009400705052879
2008-11-20,1.079207920792079,0.9835487661574619
2008-11-21,1.1448373408769448,1.0763807285546416
2008-11-24,1.1538896746817537,1.1445358401880144
2008-11-25,1.1694483734087695,1.210340775558167
2008-11-26,1.19009900990099,1.3043478260869565
2008-11-28,1.2022630834512023,1.2914218566392481
2008-12-01,1.1213578500707213,1.245593419506463
2008-12-02,1.161244695898161,1.1339600470035254
2008-12-03,1.1677510608203678,1.1539365452408932
2008-12-04,1.1411598302687411,1.1421856639247945
2008-12-05,1.1697312588401698,1.1880141010575793
2008-12-08,1.1595473833097596,1.1809635722679201
2008-12-09,1.11994342291372,1.128084606345476
2008-12-10,1.1241867043847242,1.2044653349001175
2008-12-11,1.08995756718529,1.172737955346651
2008-12-12,1.1476661951909477,1.2220916568742657
2008-12-15,1.1434229137199434,1.1891891891891893
2008-12-16,1.2028288543140029,1.2688601645123385
2008-12-17,1.2127298444130126,1.2655699177438309
2008-12-18,1.2427157001414426,1.2512338425381906
2008-12-19,1.2792079207920792,1.3219741480611047
2008-12-22,1.272984441301273,1.2902467685076382
2008-12-23,1.2656294200848657,1.310458284371328
2008-12-24,1.263083451202263,1.3250293772032904
2008-12-26,1.280905233380481,1.2958871915393655
2008-12-29,1.2367751060820367,1.2925969447708578
2008-12-30,1.3004243281471004,1.3936545240893068
2008-12-31,1.3134370579915133,1.3619271445358403
