"","X1","FMBI","SNV","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,0.926110833749376,0.874390243902439,NA,0.051948051948052,0.012987012987013,0.706433500426097,0.0283434041751519
"3",2009-01-06,0.943085371942087,0.889024390243903,NA,0.705627705627706,0.688311688311688,0.624625402114062,0.561277403463137
"4",2009-01-07,0.853220169745382,0.852439024390244,NA,0.025974025974026,0.164502164502165,0.0127751804770631,0.812377993242584
"5",2009-01-08,0.808287568647029,0.84390243902439,NA,0.0952380952380952,0.411255411255411,0.028029597758384,0.855060353551486
"6",2009-01-09,0.754368447329006,0.813414634146342,NA,0.0649350649350649,0.203463203463203,0.0478861375329882,0.730324548482311
"7",2009-01-12,0.73290064902646,0.80609756097561,NA,0.25974025974026,0.415584415584416,0.189279098006812,0.678827691520892
"8",2009-01-13,0.742885671492761,0.796341463414634,NA,0.67965367965368,0.38961038961039,0.866524810307173,0.156281717221953
"9",2009-01-14,0.710933599600599,0.784146341463415,NA,0.138528138528139,0.363636363636364,0.0704442969165428,0.77358023148986
"10",2009-01-15,0.704942586120819,0.690243902439024,NA,0.458874458874459,0.0173160173160173,0.922965706356253,0.001507511927458
"11",2009-01-16,0.714927608587119,0.678048780487805,NA,0.683982683982684,0.333333333333333,0.893704434958061,0.111364124857781
"12",2009-01-20,0.612081877184224,0.55609756097561,NA,0.00865800865800866,0,0.935790298526134,1e-10
"13",2009-01-21,0.705441837244134,0.632926829268293,NA,0.987012987012987,0.991341991341991,0.589739463475592,0.845839061915648
"14",2009-01-22,0.488267598602097,0.579268292682927,NA,0,0.0476190476190476,1e-10,0.935830639801847
"15",2009-01-23,0.494258612081877,0.580487804878049,NA,0.662337662337662,0.554112554112554,0.718808018084874,0.377215502322708
"16",2009-01-26,0.477284073889166,0.548780487804878,NA,0.19047619047619,0.108225108225108,0.574252617407509,0.140024954403177
"17",2009-01-27,0.499251123315027,0.569512195121951,NA,0.87012987012987,0.805194805194805,0.813308538558837,0.479644009242369
"18",2009-01-28,0.54218671992012,0.601219512195122,NA,0.961038961038961,0.887445887445887,0.946396573955396,0.331181976812264
"19",2009-01-29,0.501747378931603,0.563414634146342,NA,0.051948051948052,0.0822510822510823,0.153579020406714,0.473148818276835
"20",2009-01-30,0.499251123315027,0.482926829268293,NA,0.515151515151515,0.00432900432900433,0.934534928476283,0.00018275119010133
"21",2009-02-02,0.485771342985522,0.439024390243902,NA,0.294372294372294,0.0432900432900433,0.854206867809854,0.0119378855741956
"22",2009-02-03,0.476784822765851,0.429268292682927,NA,0.333333333333333,0.285714285714286,0.496773140994819,0.326007501332803
"23",2009-02-04,0.483275087368947,0.408536585365854,NA,0.675324675324675,0.142857142857143,0.936935874962461,0.0260546485595754
"24",2009-02-05,0.485771342985522,0.397560975609756,NA,0.632034632034632,0.246753246753247,0.893305118891778,0.0740310120795542
"25",2009-02-06,0.556165751372941,0.509756097560976,NA,0.982683982683983,1,0.0641900651660686,0.9999999999
"26",2009-02-09,0.562156764852721,0.49390243902439,NA,0.653679653679654,0.233766233766234,0.908873311628131,0.0626916692683786
"27",2009-02-10,0.474787818272591,0.419512195121951,NA,0.00865800865800866,0.00432900432900433,0.503561790669944,0.0960228565698905
"28",2009-02-11,0.484772840738892,0.434146341463415,NA,0.735930735930736,0.792207792207792,0.50472154351836,0.73586016808766
"29",2009-02-12,0.443834248627059,0.439024390243902,NA,0.038961038961039,0.645021645021645,0.00397696716194177,0.943235880039096
"30",2009-02-13,0.431352970544184,0.404878048780488,NA,0.264069264069264,0.0649350649350649,0.796643136227096,0.0299523400171956
"31",2009-02-17,0.389915127309036,0.382926829268293,NA,0.025974025974026,0.108225108225108,0.026983234538407,0.738539721789021
"32",2009-02-18,0.373439840239641,0.378048780487805,NA,0.147186147186147,0.385281385281385,0.0711348497474884,0.78357849817963
"33",2009-02-19,0.345481777333999,0.339024390243902,NA,0.051948051948052,0.0216450216450216,0.587416170864501,0.0726007492721356
"34",2009-02-20,0.353469795307039,0.317073170731707,NA,0.753246753246753,0.0779220779220779,0.95929922144908,0.0100372064244502
"35",2009-02-23,0.337493759360959,0.317073170731707,NA,0.121212121212121,0.536796536796537,0.0277414022858188,0.896349152525444
"36",2009-02-24,0.382925611582626,0.373170731707317,NA,0.974025974025974,0.995670995670996,0.24030420592476,0.986814762672414
"37",2009-02-25,0.37044433349975,0.386585365853659,NA,0.212121212121212,0.796536796536797,0.0383140367993886,0.963420709348056
"38",2009-02-26,0.406390414378432,0.453658536585366,NA,0.965367965367965,0.995670995670996,0.203200660788092,0.992170162013365
"39",2009-02-27,0.375436844732901,0.424390243902439,NA,0.051948051948052,0.0779220779220779,0.16703288313083,0.451292366219547
"40",2009-03-02,0.355966050923615,0.374390243902439,NA,0.0995670995670996,0.0173160173160173,0.781042093264318,0.0147984554906092
"41",2009-03-03,0.346979530703944,0.357317073170732,NA,0.298701298701299,0.151515151515152,0.672963720742946,0.120224699943167
"42",2009-03-04,0.356964553170245,0.348780487804878,NA,0.792207792207792,0.281385281385281,0.956779348182238,0.059297553451039
"43",2009-03-05,0.309036445332002,0.301219512195122,NA,0.012987012987013,0.00432900432900433,0.622456711060266,0.0470527468665327
"44",2009-03-06,0.313529705441837,0.323170731707317,NA,0.683982683982684,0.930735930735931,0.171852786856605,0.975363763234242
"45",2009-03-09,0.301048427358962,0.309756097560976,NA,0.164502164502165,0.164502164502165,0.342775319903177,0.342775319903177
