,FELE,SIVB
2008-02-01,1.0,1.0
2008-02-04,1.0031112263417163,0.9854320494911196
2008-02-05,0.9592947886958776,0.9614847335861105
2008-02-06,0.9489240342234898,0.9405308321692277
2008-02-07,0.9639616282084521,0.9604869287567352
2008-02-08,0.9354420534093855,0.9654759529036121
2008-02-11,0.9235156857661394,0.9445220514867292
2008-02-12,0.9276639875550946,0.9447216124526043
2008-02-13,0.9268861809696656,0.9513071243264818
2008-02-14,0.9014778325123154,0.9365396128517262
2008-02-15,0.8960331864143117,0.9319497106365996
2008-02-19,0.8776250972258232,0.924965076830972
2008-02-20,0.860772621208193,0.949111953701856
2008-02-21,0.8545501685247602,0.9275593693873477
2008-02-22,0.8185117967332124,0.9347435641588506
2008-02-25,0.8016593207155821,0.952105368189982
2008-02-26,0.8221415607985482,0.9511075633606066
2008-02-27,0.8408089188488462,0.9391339054081023
2008-02-28,0.8345864661654134,0.924965076830972
2008-02-29,0.8550687062483795,0.9040111754140889
2008-03-03,0.8690692247861033,0.8912392735980842
2008-03-04,0.862328234379051,0.8768708840550787
2008-03-05,0.8739953331604874,0.8700858112153264
2008-03-06,0.847031371532279,0.8471363001396928
2008-03-07,0.8436608763287529,0.861305128716823
2008-03-10,0.8389940368161783,0.8555178607064458
2008-03-11,0.9045890588540316,0.8936340051885852
2008-03-12,0.8988851438942184,0.8810616643384553
2008-03-13,0.9069224786103188,0.8928357613250849
2008-03-14,0.8864402385273528,0.8740770305328277
2008-03-17,0.8841068187710657,0.8792656156455798
2008-03-18,0.9144412756028002,0.9062063460387147
2008-03-19,0.8988851438942184,0.8892436639393335
2008-03-20,0.9214415348716619,0.9167830772300938
2008-03-24,0.9598133264194971,0.9147874675713431
2008-03-25,0.949701840808919,0.9088006385950907
2008-03-26,0.942701581540057,0.896028736779086
2008-03-27,0.9141820067409904,0.8818599082019557
2008-03-28,0.8918848846253564,0.8627020554779484
2008-03-31,0.8859217008037336,0.8708840550788266
2008-04-01,0.9074410163339383,0.8571143484334465
2008-04-02,0.9147005444646098,0.8752743963280782
2008-04-03,0.9007000259268862,0.877270005986829
2008-04-04,0.8983666061705988,0.8627020554779484
2008-04-07,0.8745138708841067,0.8575134703651965
2008-04-08,0.8877365828364014,0.8541209339453203
2008-04-09,0.8708841068187712,0.8489323488325683
2008-04-10,0.8859217008037336,0.8365595689483137
2008-04-11,0.8561057816956185,0.8213929355418079
2008-04-14,0.8555872439719989,0.7936539612851727
2008-04-15,0.8739953331604874,0.7966473757732988
2008-04-16,0.9157376199118485,0.8299740570744363
2008-04-17,0.8843660876328753,0.845539812412692
2008-04-18,0.8874773139745915,0.8728796647375774
2008-04-21,0.8807363235675395,0.8553182997405707
2008-04-22,0.8724397199896292,0.8381560566753143
2008-04-23,0.860772621208193,0.8363600079824386
2008-04-24,0.8952553798288826,0.8615046896826981
2008-04-25,0.9102929738138449,0.965276391937737
2008-04-28,0.9188488462535649,0.9610856116543604
2008-04-29,1.0002592688618097,0.9730592696068648
2008-04-30,1.0038890329271455,0.971063659948114
2008-05-01,1.048742546020223,0.9984035122729994
2008-05-02,1.0414830178895516,0.9912193175014967
2008-05-05,1.0067409904070521,0.9904210736379965
2008-05-06,0.9875550946331346,0.9910197565356216
2008-05-07,0.9847031371532278,0.9996008780682499
2008-05-08,0.9958516982110448,0.9854320494911196
2008-05-09,0.9779621467461758,0.9824386350029933
2008-05-12,0.9901477832512314,1.0071841947715028
2008-05-13,1.0028519574799066,1.0041907802833765
2008-05-14,0.9859994814622765,0.9922171223308721
2008-05-15,0.9911848586984702,1.0031929754540012
2008-05-16,0.9891107078039927,1.0053881460786271
2008-05-19,1.0020741508944775,1.0031929754540012
2008-05-20,1.003370495203526,1.0027938535222511
2008-05-21,1.004407570650765,1.0063859509080024
2008-05-22,1.0207415089447756,1.0041907802833765
2008-05-23,1.0427793621986,1.0031929754540012
2008-05-27,1.0513352346383198,1.018758730792257
2008-05-28,1.0443349753694582,1.0117740969866296
2008-05-29,1.0453720508166968,1.0229495110756335
2008-05-30,1.0500388903292714,1.0227499501097586
2008-06-02,1.0497796214674617,1.0169626820993813
2008-06-03,1.052113041223749,1.0007982438635004
2008-06-04,1.0674099040705212,1.0065855118738773
2008-06-05,1.071817474721286,1.0367192177210138
2008-06-06,1.036816178376977,1.0153661943723808
2008-06-09,1.061446720248898,0.9938136100578726
2008-06-10,1.077780658542909,0.9994013171023748
2008-06-11,1.0650764843142337,0.9902215126721213
2008-06-12,1.0362976406533575,0.9832368788664938
2008-06-13,1.0816696914700543,0.978447415685492
2008-06-16,1.0811511537464351,1.0179604869287566
2008-06-17,1.0842623800881515,1.0233486330073838
2008-06-18,1.0858179932590097,1.0207543404510078
2008-06-19,1.1260046668395125,1.0173618040311314
2008-06-20,1.1330049261083746,1.0173618040311314
2008-06-23,1.1223749027741767,1.0011973657952504
2008-06-24,1.106818771065595,0.9946118539213731
2008-06-25,1.1031890070002592,0.9958092197166234
2008-06-26,1.046149857402126,1.0023947315905009
2008-06-27,1.009333679025149,0.9910197565356216
2008-06-30,1.0054446460980035,0.9600878068249851
2008-07-01,1.0046668395125746,0.9720614647774896
2008-07-02,0.9481462276380607,0.9487128317701058
2008-07-03,0.9535908737360643,0.914587906605468
2008-07-07,0.9382940108892921,0.9002195170624626
2008-07-08,0.994036816178377,0.95988824585911
2008-07-09,0.9458128078817734,0.9319497106365996
2008-07-10,0.9554057557687322,0.9449211734184794
2008-07-11,0.9481462276380607,0.9584913190979845
2008-07-14,0.9297381384495722,0.8948313709838357
