"","X1","AGII","GAS","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,1.00971731448763,0.994307400379507,NA,0.714285714285714,0.350649350649351,0.826139919450981,0.227291446738221
"3",2009-01-06,1.0394581861013,0.981340923466161,NA,0.909090909090909,0.207792207792208,0.980658639509361,0.049196428802211
"4",2009-01-07,1.01118963486455,0.985135989879823,NA,0.121212121212121,0.636363636363636,0.0603126809770634,0.851695318313785
"5",2009-01-08,1.03062426383981,1.00189753320683,NA,0.831168831168831,0.883116883116883,0.639075820319785,0.806732431739541
"6",2009-01-09,1.0067726737338,0.990828589500316,NA,0.138528138528139,0.225108225108225,0.17942828270179,0.39625703178972
"7",2009-01-12,1.00618374558304,0.98640101201771,NA,0.480519480519481,0.38961038961039,0.548906473206838,0.386493375194482
"8",2009-01-13,1.02267373380448,0.984503478810879,NA,0.80952380952381,0.458874458874459,0.882628068361317,0.267109443743642
"9",2009-01-14,0.979387514723204,0.969639468690702,NA,0.0606060606060606,0.155844155844156,0.0879759582711919,0.430872417246617
"10",2009-01-15,0.979093050647821,0.963946869070209,NA,0.493506493506494,0.346320346320346,0.588686726333179,0.327142207460248
"11",2009-01-16,0.982626619552414,0.990512333965844,NA,0.597402597402597,0.930735930735931,0.239824902942377,0.962541251706916
"12",2009-01-20,0.917255594817432,0.97438330170778,NA,0.0432900432900433,0.147186147186147,0.0605020942386548,0.476537154950353
"13",2009-01-21,0.957597173144876,0.985452245414295,NA,0.935064935064935,0.792207792207792,0.923276781029295,0.447976634524314
"14",2009-01-22,0.920789163722026,0.980392156862745,NA,0.0779220779220779,0.380952380952381,0.0559390575396045,0.682075298737535
"15",2009-01-23,0.907832744405182,0.971853257432005,NA,0.251082251082251,0.29004329004329,0.306233025215896,0.386118367270833
"16",2009-01-26,0.926089517078916,0.988931056293485,NA,0.83982683982684,0.887445887445887,0.647366405301225,0.806271423277954
"17",2009-01-27,0.928445229681979,1.00031625553447,NA,0.562770562770563,0.792207792207792,0.388505018516965,0.832185508210981
"18",2009-01-28,0.971142520612485,0.998734977862113,NA,0.939393939393939,0.471861471861472,0.97934031585341,0.141017884821082
"19",2009-01-29,0.924617196702002,0.993674889310563,NA,0.0562770562770563,0.380952380952381,0.0358436330423278,0.719705455893551
"20",2009-01-30,0.916077738515901,0.975015812776724,NA,0.307359307359307,0.12987012987013,0.524339496847561,0.131657894475654
"21",2009-02-02,0.909893992932862,0.983238456672992,NA,0.359307359307359,0.753246753246753,0.214808754741077,0.858950125570594
"22",2009-02-03,0.918433451118963,0.984819734345351,NA,0.696969696969697,0.575757575757576,0.713800850545233,0.483503270180482
"23",2009-02-04,0.884275618374558,0.993991144845035,"AGII",0.0865800865800866,0.757575757575758,0.027632229268577,0.935751473077304
"24",2009-02-05,0.869552414605418,1.03795066413662,"AGII",0.216450216450216,0.965367965367965,0.0273001861689989,0.996011582637315
"25",2009-02-06,0.880447585394582,1.05945604048071,"AGII",0.748917748917749,0.904761904761905,0.461279720441301,0.896538137736598
"26",2009-02-09,0.896643109540636,1.06989247311828,"AGII",0.818181818181818,0.766233766233766,0.75593989905809,0.624980431069794
"27",2009-02-10,0.838928150765607,1.02941176470588,"AGII",0.0432900432900433,0.0432900432900433,0.193417984594875,0.193417984594875
"28",2009-02-11,0.855712603062426,1.00600885515497,"AGII",0.835497835497836,0.112554112554113,0.962393845648395,0.0303599920975802
"29",2009-02-12,0.87396937573616,1.00600885515497,"AGII",0.848484848484849,0.528138528138528,0.901651389266265,0.295638227633
"30",2009-02-13,0.917550058892815,0.994623655913978,"AGII",0.948051948051948,0.225108225108225,0.991956074959982,0.0380880661700232
"31",2009-02-17,0.89281507656066,0.964263124604681,"AGII",0.125541125541126,0.0735930735930736,0.33485978721358,0.134834182650194
"32",2009-02-18,0.895465253239105,0.937697659709045,"AGII",0.584415584415584,0.0865800865800866,0.838253443999096,0.0421834436579185
"33",2009-02-19,0.89281507656066,0.93010752688172,"AGII",0.424242424242424,0.298701298701299,0.531421640448971,0.30079147723873
"34",2009-02-20,0.886042402826855,0.900695762175838,"AGII",0.346320346320346,0.0606060606060606,0.679162217157592,0.0431937828857496
"35",2009-02-23,0.835689045936396,0.879190385831752,"AGII",0.0432900432900433,0.108225108225108,0.08199863911057,0.396759673036173
"36",2009-02-24,0.8613074204947,0.886780518659076,"AGII",0.917748917748918,0.753246753246753,0.913179778972429,0.437709184461333
"37",2009-02-25,0.827149587750294,0.888678051865908,"AGII",0.0735930735930736,0.593073593073593,0.0330318937672951,0.8542291984178
"38",2009-02-26,0.830388692579505,0.882036685641999,"AGII",0.597402597402597,0.311688311688312,0.725005009606988,0.241511590694815
"39",2009-02-27,0.834216725559482,0.877292852624921,"AGII",0.61038961038961,0.372294372294372,0.710735253005469,0.301216720759556
"40",2009-03-02,0.832449941107185,0.841555977229602,"AGII",0.445887445887446,0.0432900432900433,0.795110551883118,0.0215384088593172
"41",2009-03-03,0.792991755005889,0.819734345351044,"AGII",0.0562770562770563,0.0952380952380952,0.126554488195935,0.314749576168977
"42",2009-03-04,0.785924617196702,0.831752055660974,"AGII",0.311688311688312,0.848484848484849,0.127172540507045,0.94127260722751
"43",2009-03-05,0.753239104829211,0.789057558507274,"AGII",0.0606060606060606,0.025974025974026,0.358444041133163,0.0804239824247432
"44",2009-03-06,0.768845700824499,0.781151170145478,"AGII",0.844155844155844,0.242424242424242,0.948247839951969,0.0888072641121508
