"","X1","BANC","CFFI","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,0.957512953367876,1.05438066465257,NA,0.0995670995670996,0.926406926406926,0.116625979848688,0.921151965486479
"3",2009-01-06,0.957512953367876,1.05498489425982,NA,0.597402597402597,0.675324675324675,0.597423669286956,0.690480058105143
"4",2009-01-07,1,1.05498489425982,NA,0.913419913419913,0.662337662337662,0.932507721187177,0.61894364052649
"5",2009-01-08,1,1.14803625377644,"BANC",0.597402597402597,0.974025974025974,0.532656840483361,0.985289929918598
"6",2009-01-09,0.981347150259067,1.14380664652568,"BANC",0.207792207792208,0.311688311688312,0.19230683676358,0.320398871918403
"7",2009-01-12,0.854922279792746,1.08761329305136,"BANC",0.00865800865800866,0.116883116883117,0.00843604260598281,0.281089258402745
"8",2009-01-13,0.946113989637306,1.08761329305136,"BANC",0.995670995670996,0.662337662337662,0.998270037110787,0.53587349955574
"9",2009-01-14,0.862176165803109,0.906344410876133,"BANC",0.0216450216450216,0.00432900432900433,0.148578756219802,0.0159724685862503
"10",2009-01-15,0.863212435233161,0.846525679758308,NA,0.61038961038961,0.0865800865800866,0.622203831370389,0.0620710728503179
"11",2009-01-16,0.84559585492228,0.966767371601208,"BANC",0.194805194805195,0.987012987012987,0.275450823844645,0.991586063612731
"12",2009-01-20,0.861139896373057,0.908761329305136,"BANC",0.826839826839827,0.0952380952380952,0.81988845457,0.0845511044137057
"13",2009-01-21,0.932642487046632,0.894259818731118,NA,0.978354978354978,0.238095238095238,0.986221131961599,0.290489345766012
"14",2009-01-22,0.851813471502591,0.906344410876133,NA,0.0216450216450216,0.761904761904762,0.0137788680384011,0.709510654233988
"15",2009-01-23,0.913989637305699,0.849546827794562,NA,0.965367965367965,0.0909090909090909,0.96131730225904,0.137250210851467
"16",2009-01-26,0.913989637305699,0.893051359516616,NA,0.597402597402597,0.917748917748918,0.558273828241317,0.93968757669361
"17",2009-01-27,0.913989637305699,0.893051359516616,NA,0.597402597402597,0.662337662337662,0.598609347517132,0.676138609995852
"18",2009-01-28,0.928497409326425,0.946042296072508,NA,0.805194805194805,0.930735930735931,0.748117624050094,0.935225514828822
"19",2009-01-29,0.798963730569948,0.863444108761329,NA,0.00865800865800866,0.0562770562770563,0.0150525737875559,0.195078412556799
"20",2009-01-30,0.836269430051813,0.906344410876133,NA,0.913419913419913,0.909090909090909,0.886140945301676,0.878468350068294
"21",2009-02-02,0.836269430051813,0.906344410876133,NA,0.597402597402597,0.662337662337662,0.598609347517132,0.676138609995852
"22",2009-02-03,0.841450777202072,0.853776435045317,NA,0.67965367965368,0.0952380952380952,0.684692781054942,0.0717466091701249
"23",2009-02-04,0.841450777202072,0.917220543806646,NA,0.597402597402597,0.952380952380952,0.54525371112106,0.969029616378453
"24",2009-02-05,0.841450777202072,0.917220543806646,NA,0.597402597402597,0.662337662337662,0.598609347517132,0.676138609995852
"25",2009-02-06,0.841450777202072,0.858006042296072,NA,0.597402597402597,0.0865800865800866,0.610952118703408,0.0618623117871328
"26",2009-02-09,0.911917098445596,0.906350453172205,NA,0.982683982683983,0.926406926406926,0.974319728703672,0.816094508082299
"27",2009-02-10,0.703626943005181,0.936555891238671,"BANC",0,0.861471861471861,1e-10,0.544349409468182
"28",2009-02-11,0.804145077720207,0.95166163141994,"BANC",0.995670995670996,0.770562770562771,0.997797970172666,0.595341954255842
"29",2009-02-12,0.924352331606218,0.936555891238671,"BANC",0.995670995670996,0.242424242424242,0.998020297527655,0.340687128910147
"30",2009-02-13,0.900518134715026,0.945619335347432,"BANC",0.168831168831169,0.718614718614719,0.143062592691283,0.734331299085499
"31",2009-02-17,0.701554404145078,0.906344410876133,"BANC",0,0.134199134199134,1e-10,0.538914102289029
"32",2009-02-18,0.701554404145078,0.821752265861027,"BANC",0.597402597402597,0.0562770562770563,0.6067223583962,0.036646649059412
"33",2009-02-19,0.701554404145078,0.81631419939577,"BANC",0.597402597402597,0.307359307359307,0.616573679918787,0.281693627517266
"34",2009-02-20,0.701554404145078,0.870090634441088,"BANC",0.597402597402597,0.943722943722944,0.549061668094207,0.962010011361482
"35",2009-02-23,0.673575129533679,0.776435045317221,"BANC",0.0995670995670996,0.0346320346320346,0.181214528355735,0.0436539845622023
"36",2009-02-24,0.626943005181347,0.777764350453172,"BANC",0.0562770562770563,0.67965367965368,0.0383577875651391,0.672716191051105
"37",2009-02-25,0.659067357512953,0.796978851963746,"BANC",0.935064935064935,0.813852813852814,0.938453528758396,0.753768347513049
"38",2009-02-26,0.605181347150259,0.786102719033233,"BANC",0.025974025974026,0.246753246753247,0.0184047772566981,0.34923961605362
"39",2009-02-27,0.648704663212435,0.706948640483384,"BANC",0.965367965367965,0.0432900432900433,0.943113103265655,0.0765461451284545
"40",2009-03-02,0.607253886010363,0.708277945619335,"BANC",0.0606060606060606,0.67965367965368,0.0419098132227109,0.674428240034985
"41",2009-03-03,0.664248704663212,0.708277945619335,"BANC",0.995670995670996,0.662337662337662,0.998270037110787,0.53587349955574
"42",2009-03-04,0.63419689119171,0.708157099697885,"BANC",0.0909090909090909,0.346320346320346,0.0709835901290194,0.38738204437477
"43",2009-03-05,0.632124352331606,0.688821752265861,"BANC",0.359307359307359,0.186147186147186,0.374600104057929,0.164521982171873
"44",2009-03-06,0.620725388601036,0.759510574018127,"BANC",0.220779220779221,0.982683982683983,0.28493870924264,0.988998931693973
