"","X1","WTFC","ZION","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,0.981836033382425,0.9732,NA,0.354978354978355,0.29004329004329,0.539455783726321,0.341351907465102
"3",2009-01-06,1.00196367206676,1.006,NA,0.714285714285714,0.792207792207792,0.448165447904084,0.761862797157125
"4",2009-01-07,0.966126656848306,0.9032,NA,0.194805194805195,0.0476190476190476,0.712018213440686,0.0566402697155155
"5",2009-01-08,0.966126656848306,0.888,NA,0.54978354978355,0.38961038961039,0.723766097541122,0.282316596114539
"6",2009-01-09,0.912616593028964,0.8712,NA,0.0909090909090909,0.363636363636364,0.0525110030661236,0.827681598524895
"7",2009-01-12,0.891016200294551,0.8328,NA,0.294372294372294,0.181818181818182,0.591908720443861,0.219375510946649
"8",2009-01-13,0.910652920962199,0.8764,NA,0.727272727272727,0.83982683982684,0.364964362686764,0.840322914837011
"9",2009-01-14,0.879725085910653,0.8396,NA,0.203463203463203,0.19047619047619,0.397838275843333,0.349104187469086
"10",2009-01-15,0.855670103092783,0.7296,"ZION",0.25974025974026,0.0346320346320346,0.838596051390929,0.0218373132920799
"11",2009-01-16,0.812960235640648,0.6596,"ZION",0.0952380952380952,0.0562770562770563,0.425891711991615,0.170814718034935
"12",2009-01-20,0.679430535100638,0.5332,"ZION",0.00432900432900433,0.00865800865800866,0.100559184744943,0.293409685511509
"13",2009-01-21,0.706431026018655,0.6024,"ZION",0.857142857142857,0.961038961038961,0.194256590167296,0.965911942594126
"14",2009-01-22,0.63573883161512,0.5548,"ZION",0.0303030303030303,0.0822510822510823,0.0945915399180534,0.510137763896303
"15",2009-01-23,0.618065783014237,0.5424,"ZION",0.25974025974026,0.329004329004329,0.319008034781614,0.535898041575785
"16",2009-01-26,0.569464899361807,0.4876,"ZION",0.038961038961039,0.051948051948052,0.197818040510528,0.320088858437762
"17",2009-01-27,0.582719685812469,0.5632,"ZION",0.727272727272727,0.978354978354978,0.038243114270083,0.997462208049646
"18",2009-01-28,0.714776632302406,0.7184,NA,1,1,0.69862533607109,0.69862533607109
"19",2009-01-29,0.665684830633284,0.6572,NA,0.0606060606060606,0.0649350649350649,0.258806810497895,0.291272897487478
"20",2009-01-30,0.656357388316151,0.5968,NA,0.41991341991342,0.0606060606060606,0.906954057506344,0.0199543036182974
"21",2009-02-02,0.667157584683358,0.5784,NA,0.692640692640693,0.268398268398268,0.935080712121228,0.0682270576595934
"22",2009-02-03,0.621011291114384,0.5244,NA,0.0606060606060606,0.0606060606060606,0.272633687495881,0.272633687495881
"23",2009-02-04,0.633284241531664,0.5136,"ZION",0.705627705627706,0.346320346320346,0.91520954736999,0.108701650236636
"24",2009-02-05,0.641629847815415,0.5184,"ZION",0.670995670995671,0.640692640692641,0.628262078832667,0.52563123110007
"25",2009-02-06,0.725576828669612,0.5736,"ZION",0.978354978354978,0.943722943722944,0.933846120788519,0.313644682429717
"26",2009-02-09,0.724104074619539,0.5936,"ZION",0.523809523809524,0.792207792207792,0.17705656527342,0.912312029480451
"27",2009-02-10,0.633284241531664,0.478,"ZION",0.0216450216450216,0.00865800865800866,0.378242909354691,0.088757349057945
"28",2009-02-11,0.666666666666667,0.5044,"ZION",0.887445887445887,0.848484848484849,0.773809420085536,0.518040920053294
"29",2009-02-12,0.665684830633284,0.4672,"ZION",0.528138528138528,0.0909090909090909,0.933167066888308,0.022096065614563
"30",2009-02-13,0.63573883161512,0.4568,"ZION",0.112554112554113,0.329004329004329,0.0889426563452465,0.75721003626559
"31",2009-02-17,0.613647520864016,0.4004,"ZION",0.203463203463203,0.038961038961039,0.756622490391124,0.039503682881833
"32",2009-02-18,0.593028964162985,0.4044,"ZION",0.203463203463203,0.645021645021645,0.0511335160234828,0.933660704330635
"33",2009-02-19,0.547373588610702,0.372,"ZION",0.038961038961039,0.0779220779220779,0.135836371201049,0.440666083297467
"34",2009-02-20,0.542955326460481,0.36,"ZION",0.476190476190476,0.25974025974026,0.756876674692308,0.179344907794434
"35",2009-02-23,0.528227785959745,0.3468,"ZION",0.25974025974026,0.225108225108225,0.458457251901873,0.34060222430262
"36",2009-02-24,0.589101620029455,0.4064,"ZION",0.96969696969697,0.987012987012987,0.358847598927111,0.919713760025742
"37",2009-02-25,0.582228767795778,0.3848,"ZION",0.45021645021645,0.138528138528139,0.848534699314731,0.0676668483580598
"38",2009-02-26,0.63573883161512,0.4364,"ZION",0.96969696969697,0.965367965367965,0.737915641368373,0.634218192963861
"39",2009-02-27,0.611683848797251,0.3748,"ZION",0.186147186147186,0.0303030303030303,0.764857674933551,0.0314798540649933
"40",2009-03-02,0.578301423662248,0.3568,"ZION",0.0909090909090909,0.16017316017316,0.17814499622986,0.503193235222915
"41",2009-03-03,0.549337260677467,0.3324,"ZION",0.0952380952380952,0.0952380952380952,0.304236581251633,0.304236581251633
"42",2009-03-04,0.545900834560628,0.3192,"ZION",0.484848484848485,0.212121212121212,0.812190127218376,0.120564949091406
"43",2009-03-05,0.486499754540992,0.2708,"ZION",0.025974025974026,0.012987012987013,0.349824370411429,0.115472072480523
"44",2009-03-06,0.493372606774669,0.2592,"ZION",0.675324675324675,0.19047619047619,0.950965004544781,0.0382097753822738
"45",2009-03-09,0.496318114874816,0.2736,"ZION",0.593073593073593,0.848484848484849,0.169087981221072,0.93653848650737
"46",2009-03-10,0.590083456062837,0.306,"ZION",1,0.961038961038961,0.9999999999,5.7232707888764e-10
"47",2009-03-11,0.576337751595484,0.3388,"ZION",0.303030303030303,0.943722943722944,0.00871469561289293,0.998327020244426
"48",2009-03-12,0.684830633284241,0.3672,"ZION",1,0.926406926406926,0.9999999999,2.70445432139222e-10
"49",2009-03-13,0.681394207167403,0.3768,"ZION",0.493506493506494,0.757575757575758,0.186735164403904,0.893547925469887
"50",2009-03-16,0.675012272950417,0.3992,"ZION",0.463203463203463,0.852813852813853,0.0801422172796044,0.969699302408289
"51",2009-03-17,0.652920962199313,0.434,"ZION",0.216450216450216,0.926406926406926,0.00590693783223641,0.998128583131095
"52",2009-03-18,0.664702994599902,0.4692,"ZION",0.696969696969697,0.917748917748918,0.144246721565689,0.966690979854542
"53",2009-03-19,0.61953853706431,0.4188,"ZION",0.0606060606060606,0.038961038961039,0.363635247219443,0.172965375641005
"54",2009-03-20,0.609720176730486,0.3968,"ZION",0.393939393939394,0.138528138528139,0.795340777882062,0.0892824166572284
"55",2009-03-23,0.728031418753068,0.4664,"ZION",1,0.987012987012987,0.9999999999,1.9525649523401e-09
"56",2009-03-24,0.646539027982327,0.418,"ZION",0.025974025974026,0.0476190476190476,0.138742817599686,0.376952515957906
"57",2009-03-25,0.606283750613647,0.4208,"ZION",0.0692640692640693,0.632034632034632,0.00793613715637508,0.973383821473858
"58",2009-03-26,0.626411389297987,0.4352,"ZION",0.800865800865801,0.792207792207792,0.649129353390745,0.607947963293296
"59",2009-03-27,0.598429062346588,0.4184,"ZION",0.112554112554113,0.225108225108225,0.157572913853471,0.593274820425491
"60",2009-03-30,0.573883161512027,0.3752,"ZION",0.151515151515152,0.0476190476190476,0.625308899359951,0.0808271847694903
"61",2009-03-31,0.603829160530191,0.3932,"ZION",0.887445887445887,0.822510822510823,0.824198104675865,0.439842885225277
"62",2009-04-01,0.624938635247914,0.4152,"ZION",0.818181818181818,0.848484848484849,0.555420350757334,0.721955718076937
"63",2009-04-02,0.654393716249386,0.4468,"ZION",0.87012987012987,0.909090909090909,0.502203082454013,0.797968611920477
"64",2009-04-03,0.670103092783505,0.45,"ZION",0.727272727272727,0.632034632034632,0.742342297519659,0.41716619397227
"65",2009-04-06,0.647029945999018,0.4396,"ZION",0.203463203463203,0.329004329004329,0.222622279069561,0.617231399859352
"66",2009-04-07,0.648011782032401,0.4104,"ZION",0.558441558441558,0.0952380952380952,0.942663804800329,0.0204211883418804
"67",2009-04-08,0.647029945999018,0.3912,"ZION",0.528138528138528,0.16017316017316,0.889118995955073,0.0594670783853569
"68",2009-04-09,0.800687285223368,0.4944,"ZION",1,1,0.69862533607109,0.69862533607109
"69",2009-04-13,0.874324987727049,0.5376,"ZION",0.96969696969697,0.926406926406926,0.924199950933713,0.32808225508929
"70",2009-04-14,0.793323514972999,0.4812,"ZION",0.0346320346320346,0.0432900432900433,0.203894528267403,0.295133264267823
"71",2009-04-15,0.837506136475209,0.5132,"ZION",0.904761904761905,0.878787878787879,0.7583759836049,0.555004306210524
"72",2009-04-16,0.864015709376534,0.548,"ZION",0.783549783549784,0.883116883116883,0.359369763398265,0.866601496034006
"73",2009-04-17,0.933235149729995,0.6008,"ZION",0.952380952380952,0.930735930735931,0.812230877313231,0.520929010938979
"74",2009-04-20,0.831124202258223,0.5172,"ZION",0.025974025974026,0.0303030303030303,0.203924425370833,0.262123592956704
"75",2009-04-21,0.897889052528228,0.4376,"ZION",0.952380952380952,0.012987012987013,0.999925142359791,2.76060837295608e-05
"76",2009-04-22,0.850760922925871,0.416,"ZION",0.0909090909090909,0.147186147186147,0.195181377214819,0.469703185613567
"77",2009-04-23,0.790378006872852,0.4296,"ZION",0.051948051948052,0.787878787878788,0.00184023587912566,0.99469942421316
"78",2009-04-24,0.812960235640648,0.4832,"ZION",0.761904761904762,0.961038961038961,0.0926181096445852,0.988288091466524
"79",2009-04-27,0.760922925871379,0.4364,"ZION",0.0649350649350649,0.051948051948052,0.323492520848782,0.221226797407262
"80",2009-04-28,0.75699558173785,0.4216,"ZION",0.493506493506494,0.238095238095238,0.797582937973359,0.142559253792637
"81",2009-04-29,0.8379970544919,0.4484,"ZION",0.96969696969697,0.87012987012987,0.975205864104252,0.16776613245022
"82",2009-04-30,0.834560628375061,0.4372,"ZION",0.497835497835498,0.307359307359307,0.736182376338466,0.221845254330943
"83",2009-05-01,0.875306823760432,0.4284,"ZION",0.878787878787879,0.346320346320346,0.988938596136458,0.0303546854585622
"84",2009-05-04,0.981345115365734,0.514,"ZION",0.974025974025974,0.987012987012987,0.414870997642463,0.893926957084778
"85",2009-05-05,0.919980363279332,0.5108,"ZION",0.0692640692640693,0.497835497835498,0.0163606647283118,0.935161886224968
"86",2009-05-06,0.973490427098674,0.644,"ZION",0.917748917748918,1,2.35921973350678e-10,0.9999999999
"87",2009-05-07,0.948453608247423,0.6408,"ZION",0.277056277056277,0.515151515151515,0.170956849657824,0.786248795525071
"88",2009-05-08,1.06823760432008,0.8144,"ZION",0.978354978354978,1,1.11089302240092e-09,0.9999999999
