,OEH,CCO
2008-02-01,1.0,1.0
2008-02-04,0.9698873083317938,1.0032560032560032
2008-02-05,0.9436541658969148,0.9780219780219781
2008-02-06,0.9205616109366339,0.9385429385429385
2008-02-07,0.9432846850175504,0.921041921041921
2008-02-08,0.9434694254572326,0.951973951973952
2008-02-11,0.9445778680953261,0.9544159544159544
2008-02-12,0.9394051357842231,0.9430199430199431
2008-02-13,0.9743210788841677,0.956043956043956
2008-02-14,1.0048032514317384,0.9365079365079365
2008-02-15,1.013670792536486,0.9637769637769638
2008-02-19,0.9806022538333641,0.9442409442409442
2008-02-20,0.9961204507666728,0.9316239316239316
2008-02-21,0.9804175133936819,0.9462759462759462
2008-02-22,1.0024016257158692,0.9344729344729344
2008-02-25,1.0088675411047479,0.9747659747659747
2008-02-26,1.0328837982634398,0.9711029711029711
2008-02-27,1.028450027711066,0.9755799755799756
2008-02-28,1.0267873637539258,0.9686609686609686
2008-02-29,1.000738961758729,0.9466829466829467
2008-03-03,0.9588028819508589,0.9536019536019535
2008-03-04,0.9828191391095511,0.9202279202279202
2008-03-05,0.9811564751524108,0.9165649165649166
2008-03-06,0.9161278403842601,0.9255189255189255
2008-03-07,0.9054128948826897,0.886039886039886
2008-03-10,0.8886015148716053,0.855921855921856
2008-03-11,0.897284315536671,0.8522588522588523
2008-03-12,0.8893404766303343,0.8498168498168498
2008-03-13,0.8828745612414557,0.8608058608058607
2008-03-14,0.866617402549418,0.833129833129833
2008-03-17,0.8025124699796785,0.8245828245828246
2008-03-18,0.8124884537225198,0.8245828245828246
2008-03-19,0.7570663218178458,0.8363858363858364
2008-03-20,0.7820062811749491,0.814000814000814
2008-03-24,0.7929059671162018,0.8266178266178266
2008-03-25,0.803620912617772,0.8217338217338218
2008-03-26,0.8145205985590246,0.8017908017908018
2008-03-27,0.7884721965638278,0.8001628001628002
2008-03-28,0.7639017180860891,0.7871387871387872
2008-03-31,0.7973397376685756,0.7737077737077738
2008-04-01,0.8191391095510807,0.8131868131868132
2008-04-02,0.8174764455939405,0.8107448107448108
2008-04-03,0.8124884537225198,0.8058608058608059
2008-04-04,0.8123037132828376,0.7989417989417988
2008-04-07,0.7932754479955662,0.8111518111518111
2008-04-08,0.793090707555884,0.8111518111518111
2008-04-09,0.7650101607241824,0.8131868131868132
2008-04-10,0.7790504341400333,0.8046398046398047
2008-04-11,0.7712913356733788,0.7781847781847783
2008-04-14,0.7566968409384814,0.7704517704517704
2008-04-15,0.7256604470718641,0.7753357753357754
2008-04-16,0.7663033438019582,0.7891737891737892
2008-04-17,0.7605763901718086,0.7936507936507936
2008-04-18,0.7893958987622389,0.7810337810337811
2008-04-21,0.7905043414003324,0.7741147741147741
2008-04-22,0.7639017180860891,0.7667887667887667
2008-04-23,0.791612784038426,0.765974765974766
2008-04-24,0.8510992056161093,0.7614977614977615
2008-04-25,0.8486975799002401,0.7708587708587709
2008-04-28,0.8712359135414741,0.7733007733007733
2008-04-29,0.8477738777018289,0.78998778998779
2008-04-30,0.8599667467208572,0.7741147741147741
2008-05-01,0.8937742471827083,0.820919820919821
2008-05-02,0.8863846295954183,0.7903947903947904
2008-05-05,0.9002401625715868,0.7903947903947904
2008-05-06,0.9006096434509514,0.792022792022792
2008-05-07,0.8767781267319416,0.7895807895807895
2008-05-08,0.8287456124145575,0.7688237688237688
2008-05-09,0.8346573064843894,0.7346357346357346
2008-05-12,0.8438943284685018,0.7716727716727717
2008-05-13,0.841862183631997,0.7761497761497762
2008-05-14,0.8647699981525956,0.8343508343508343
2008-05-15,0.8754849436541658,0.8388278388278388
2008-05-16,0.8573803805653056,0.8400488400488401
2008-05-19,0.868834287825605,0.8355718355718356
2008-05-20,0.8498060225383336,0.8282458282458283
2008-05-21,0.8392758174764455,0.8437118437118437
2008-05-22,0.8359504895621651,0.8400488400488401
2008-05-23,0.8557177166081655,0.8416768416768416
2008-05-27,0.8738222796970256,0.8453398453398453
2008-05-28,0.8721596157398854,0.8481888481888482
2008-05-29,0.8745612414557546,0.868131868131868
2008-05-30,0.8690190282652872,0.8371998371998371
2008-06-02,0.856826159246259,0.8217338217338218
2008-06-03,0.8922963236652502,0.8481888481888482
2008-06-04,0.8976537964160355,0.8457468457468458
2008-06-05,0.9030112691668206,0.8636548636548635
2008-06-06,0.8512839460557915,0.8221408221408221
2008-06-09,0.8370589322002586,0.8319088319088319
2008-06-10,0.8442638093478663,0.8046398046398047
2008-06-11,0.7851468686495473,0.7826617826617827
2008-06-12,0.7986329207463513,0.7643467643467644
2008-06-13,0.7978939589876223,0.7728937728937728
2008-06-16,0.8001108442638094,0.7761497761497762
2008-06-17,0.7903196009606502,0.7647537647537647
2008-06-18,0.7945686310733419,0.7476597476597477
2008-06-19,0.827637169776464,0.7574277574277574
2008-06-20,0.8071309809717346,0.7614977614977615
2008-06-23,0.8065767596526878,0.7501017501017501
2008-06-24,0.7949381119527065,0.752950752950753
2008-06-25,0.8159985220764825,0.7525437525437525
2008-06-26,0.809717347127286,0.743996743996744
2008-06-27,0.8108257897653797,0.7334147334147334
2008-06-30,0.8025124699796785,0.7256817256817256
2008-07-01,0.7834842046924071,0.7102157102157102
2008-07-02,0.7714760761130611,0.7126577126577127
2008-07-03,0.7875484943654166,0.6919006919006919
2008-07-07,0.7712913356733788,0.6243386243386243
2008-07-08,0.7197487530020321,0.6019536019536019
2008-07-09,0.6576759652687973,0.6031746031746031
2008-07-10,0.593016811380011,0.577940577940578
2008-07-11,0.571217439497506,0.5771265771265771
2008-07-14,0.5368557177166081,0.5331705331705332
