,FMBI,SNV
2008-02-01,1.0,1.0
2008-02-04,0.9570532915360502,0.9429206819866568
2008-02-05,0.9175548589341693,0.9318013343217199
2008-02-06,0.9094043887147336,0.9295774647887323
2008-02-07,0.9363636363636364,0.9444032616753151
2008-02-08,0.926332288401254,0.9191994069681245
2008-02-11,0.9090909090909092,0.9191994069681245
2008-02-12,0.9210031347962383,0.9132690882134915
2008-02-13,0.9278996865203762,0.9140103780578206
2008-02-14,0.8962382445141066,0.8932542624166049
2008-02-15,0.8887147335423198,0.888065233506301
2008-02-19,0.8727272727272728,0.87175685693106
2008-02-20,0.89435736677116,0.8962194217939214
2008-02-21,0.8680250783699061,0.8747220163083766
2008-02-22,0.8771159874608151,0.9043736100815418
2008-02-25,0.8968652037617555,0.9191994069681245
2008-02-26,0.8937304075235111,0.9154929577464789
2008-02-27,0.890282131661442,0.916234247590808
2008-02-28,0.8567398119122257,0.8902891030392883
2008-02-29,0.816614420062696,0.8547071905114899
2008-03-03,0.8047021943573669,0.8702742772424018
2008-03-04,0.8015673981191223,0.8510007412898444
2008-03-05,0.7915360501567399,0.83765752409192
2008-03-06,0.7761755485893418,0.8198665678280208
2008-03-07,0.7899686520376176,0.8354336545589325
2008-03-10,0.7849529780564264,0.8391401037805782
2008-03-11,0.8470219435736678,0.8984432913269087
2008-03-12,0.8250783699059562,0.8932542624166049
2008-03-13,0.845141065830721,0.9295774647887323
2008-03-14,0.8275862068965517,0.8702742772424018
2008-03-17,0.829153605015674,0.8836174944403261
2008-03-18,0.8683385579937304,0.9028910303928835
2008-03-19,0.8630094043887148,0.9132690882134915
2008-03-20,0.9347962382445142,0.9518161601186064
2008-03-24,0.94576802507837,0.9510748702742773
2008-03-25,0.9482758620689655,0.9518161601186064
2008-03-26,0.9163009404388716,0.9088213491475167
2008-03-27,0.8862068965517241,0.860637509266123
2008-03-28,0.8592476489028213,0.810229799851742
2008-03-31,0.8705329153605016,0.8198665678280208
2008-04-01,0.9078369905956114,0.8517420311341735
2008-04-02,0.9094043887147336,0.8598962194217938
2008-04-03,0.8946708463949843,0.8421052631578947
2008-04-04,0.8689655172413793,0.8087472201630838
2008-04-07,0.8680250783699061,0.8243143068939954
2008-04-08,0.8539184952978056,0.810229799851742
2008-04-09,0.8266457680250784,0.7939214232765012
2008-04-10,0.8379310344827586,0.7931801334321719
2008-04-11,0.8191222570532916,0.8020756115641215
2008-04-14,0.7965517241379311,0.7605633802816901
2008-04-15,0.8216300940438872,0.7887323943661972
2008-04-16,0.8561128526645768,0.8295033358042995
2008-04-17,0.8874608150470219,0.8413639733135656
2008-04-18,0.9012539184952979,0.8613787991104521
2008-04-21,0.8630094043887148,0.8280207561156412
2008-04-22,0.8598746081504702,0.8183839881393624
2008-04-23,0.8219435736677116,0.7909562638991846
2008-04-24,0.8369905956112853,0.8094885100074128
2008-04-25,0.8128526645768025,0.8754633061527057
2008-04-28,0.8310344827586208,0.8895478131949592
2008-04-29,0.8297805642633229,0.8954781319495922
2008-04-30,0.8003134796238245,0.8776871756856931
2008-05-01,0.8373040752351097,0.9266123054114158
2008-05-02,0.8235109717868339,0.933283914010378
2008-05-05,0.8128526645768025,0.9280948851000741
2008-05-06,0.8163009404388715,0.9518161601186064
2008-05-07,0.7934169278996865,0.9065974796145293
2008-05-08,0.7852664576802508,0.8836174944403261
2008-05-09,0.7833855799373041,0.8754633061527057
2008-05-12,0.7987460815047023,0.916234247590808
2008-05-13,0.7905956112852665,0.9229058561897702
2008-05-14,0.7852664576802508,0.9214232765011119
2008-05-15,0.7915360501567399,0.911045218680504
2008-05-16,0.787460815047022,0.9058561897702002
2008-05-19,0.7824451410658307,0.9080800593031876
2008-05-20,0.7774294670846396,0.9028910303928835
2008-05-21,0.7702194357366772,0.8932542624166049
2008-05-22,0.7686520376175549,0.9132690882134915
2008-05-23,0.7598746081504703,0.8895478131949592
2008-05-27,0.7739811912225706,0.8925129725722757
2008-05-28,0.7896551724137931,0.8487768717568569
2008-05-29,0.822884012539185,0.8636026686434396
2008-05-30,0.8181818181818182,0.8517420311341735
2008-06-02,0.8053291536050158,0.8295033358042995
2008-06-03,0.8025078369905957,0.815418828762046
2008-06-04,0.8094043887147336,0.815418828762046
2008-06-05,0.8285266457680251,0.8124536693847295
2008-06-06,0.7840125391849531,0.7842846553002224
2008-06-09,0.761755485893417,0.7449962935507783
2008-06-10,0.7673981191222571,0.7346182357301705
2008-06-11,0.7438871473354233,0.6827279466271312
2008-06-12,0.7398119122257054,0.7005189028910304
2008-06-13,0.7272727272727273,0.7071905114899926
2008-06-16,0.7407523510971787,0.7160859896219421
2008-06-17,0.7188087774294671,0.6664195700518903
2008-06-18,0.6909090909090909,0.6523350630096368
2008-06-19,0.6880877742946708,0.6656782802075611
2008-06-20,0.6818181818181819,0.6553002223869533
2008-06-23,0.6413793103448276,0.6530763528539659
2008-06-24,0.6275862068965518,0.6916234247590808
2008-06-25,0.6203761755485894,0.6856931060044478
2008-06-26,0.619435736677116,0.6716085989621943
2008-06-27,0.6025078369905956,0.6716085989621943
2008-06-30,0.5846394984326019,0.6471460340993329
2008-07-01,0.6003134796238244,0.6745737583395107
2008-07-02,0.5708463949843261,0.6975537435137139
2008-07-03,0.5479623824451411,0.6397331356560415
2008-07-07,0.5184952978056426,0.5997034840622684
2008-07-08,0.5420062695924764,0.631578947368421
2008-07-09,0.5228840125391849,0.5952557449962935
2008-07-10,0.5219435736677116,0.5952557449962935
2008-07-11,0.5216300940438872,0.6093402520385471
