"","X1","COLM","LH","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,0.971611466740885,1.0112428769444,NA,0.16017316017316,0.805194805194805,0.0702716720144619,0.909643722668871
"3",2009-01-06,0.990537155580295,0.945633759433236,NA,0.783549783549784,0.00865800865800866,0.845948261639155,0.00162199370650448
"4",2009-01-07,0.960757027553577,0.933158786385338,NA,0.151515151515152,0.199134199134199,0.204470507718674,0.346303842445449
"5",2009-01-08,0.943501252435291,0.935160942553519,NA,0.264069264069264,0.588744588744589,0.165120674545215,0.73971199380686
"6",2009-01-09,0.90509323684943,0.9371630987217,NA,0.103896103896104,0.588744588744589,0.0410119703876264,0.792277874768908
"7",2009-01-12,0.907319788477595,0.933620822424149,NA,0.541125541125541,0.38961038961039,0.624214004157369,0.325495436974838
"8",2009-01-13,0.901753409407181,0.947019867549669,NA,0.441558441558442,0.844155844155844,0.244360459203905,0.922387348429705
"9",2009-01-14,0.879209574172001,0.922839981518558,NA,0.203463203463203,0.0476190476190476,0.562246597616635,0.0372880355572732
"10",2009-01-15,0.92429724464236,0.922993993531495,NA,0.948051948051948,0.510822510822511,0.983469662117815,0.240638339669045
"11",2009-01-16,0.930976899526858,0.936393038657015,NA,0.614718614718615,0.844155844155844,0.400314424235647,0.889625373661046
"12",2009-01-20,0.866685221263568,0.901894347759125,NA,0.0216450216450216,0.0303030303030303,0.131896300147964,0.254460634150802
"13",2009-01-21,0.890898970219872,0.89958416756507,NA,0.848484848484849,0.411255411255411,0.928535911241192,0.220923938404692
"14",2009-01-22,0.896743668243807,0.894039735099338,NA,0.606060606060606,0.303030303030303,0.741350015555481,0.198518779380163
"15",2009-01-23,0.868633453938213,0.886493146465424,NA,0.151515151515152,0.25974025974026,0.158530281459024,0.444542441674205
"16",2009-01-26,0.876426384636794,0.915755428923456,NA,0.645021645021645,0.974025974025974,0.27674105702361,0.992354688006144
"17",2009-01-27,0.868076816031172,0.930232558139535,NA,0.385281385281385,0.87012987012987,0.198201533447773,0.944580924731349
"18",2009-01-28,0.930141942666296,0.939319266902818,NA,0.974025974025974,0.783549783549784,0.986506386256916,0.35833897658803
"19",2009-01-29,0.892290564987476,0.927152317880795,NA,0.103896103896104,0.199134199134199,0.122317221581261,0.425135076707445
"20",2009-01-30,0.79933203451155,0.911751116587094,"COLM",0.00865800865800866,0.155844155844156,0.00378080124310439,0.678221174069812
"21",2009-02-02,0.820762593932647,0.919451717233944,"COLM",0.83982683982684,0.74025974025974,0.828455691799356,0.566869657595526
"22",2009-02-03,0.820762593932647,0.930848606191283,"COLM",0.523809523809524,0.818181818181818,0.32748705756133,0.886635662382863
"23",2009-02-04,0.823267464514333,0.913599260742338,"COLM",0.545454545454545,0.112554112554113,0.763163687261652,0.0485060832250466
"24",2009-02-05,0.850821040912886,0.926690281841984,"COLM",0.865800865800866,0.844155844155844,0.781384092547254,0.70808979226996
"25",2009-02-06,0.871973281380462,0.951024179886031,"COLM",0.831168831168831,0.935064935064935,0.5365945785407,0.924976007642437
"26",2009-02-09,0.844141386028389,0.94748190358848,"COLM",0.151515151515152,0.38961038961039,0.104491708698507,0.608327237093389
"27",2009-02-10,0.824102421374896,0.924688125673802,"COLM",0.203463203463203,0.0606060606060606,0.527385307757497,0.0538892388026858
"28",2009-02-11,0.829112162538269,0.920221777298629,"COLM",0.601731601731602,0.346320346320346,0.718716144441122,0.245704691644903
"29",2009-02-12,0.838018369050932,0.961342984752811,"COLM",0.670995670995671,0.991341991341991,0.250885141529938,0.99842953448977
"30",2009-02-13,0.826885610910103,0.967965501309102,"COLM",0.316017316017316,0.70995670995671,0.182442228886742,0.833775124124839
"31",2009-02-17,0.820205956025605,0.957184660403511,"COLM",0.411255411255411,0.233766233766234,0.563652707062455,0.192041491500461
"32",2009-02-18,0.807403284163652,0.953796396118897,"COLM",0.29004329004329,0.393939393939394,0.274716502585584,0.496611240254147
"33",2009-02-19,0.812691344280545,0.962729092869244,"COLM",0.606060606060606,0.783549783549784,0.443692961253031,0.821892567199161
"34",2009-02-20,0.827163929863624,0.9567226243647,"COLM",0.753246753246753,0.298701298701299,0.871161924033444,0.160057734227451
"35",2009-02-23,0.798775396604509,0.932696750346527,"COLM",0.12987012987013,0.051948051948052,0.431986897131717,0.0746786141186349
"36",2009-02-24,0.8107431116059,0.94178345910981,"COLM",0.722943722943723,0.783549783549784,0.605518925158982,0.754808462177052
"37",2009-02-25,0.809351516838297,0.917449561065763,"COLM",0.489177489177489,0.0476190476190476,0.761841770147424,0.0145215682229145
"38",2009-02-26,0.764820484274979,0.88002464192207,"COLM",0.038961038961039,0.025974025974026,0.27349083196341,0.124040818965833
"39",2009-02-27,0.754801001948233,0.847220083166487,"COLM",0.316017316017316,0.0303030303030303,0.696229550865628,0.010918325088164
"40",2009-03-02,0.729195658224325,0.838441398429077,"COLM",0.12987012987013,0.251082251082251,0.131482962724577,0.462319739677112
"41",2009-03-03,0.701920400779293,0.847836131218235,"COLM",0.108225108225108,0.805194805194805,0.0436602615511801,0.904864173561702
"42",2009-03-04,0.73114389089897,0.862313260434314,"COLM",0.917748917748918,0.887445887445887,0.836936917177339,0.700573052021479
"43",2009-03-05,0.708878374617311,0.842137686739566,"COLM",0.151515151515152,0.0606060606060606,0.445413627239846,0.077316755735953
"44",2009-03-06,0.716114667408851,0.846912059140613,"COLM",0.666666666666667,0.692640692640693,0.60318580329831,0.66095984650134
