"","X1","DPZ","AMG","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,1.02988047808765,1.01289134438306,NA,0.852813852813853,0.645021645021645,0.904118640557364,0.271643576581941
"3",2009-01-06,1.14143426294821,1.07965009208103,NA,0.987012987012987,0.917748917748918,0.98339280610149,0.257285368467492
"4",2009-01-07,1.20119521912351,1.0244014732965,"AMG",0.9004329004329,0.134199134199134,0.986284942126854,0.019413261367057
"5",2009-01-08,1.24701195219124,1.07136279926335,"AMG",0.878787878787879,0.865800865800866,0.718102875550692,0.645473044013938
"6",2009-01-09,1.22111553784861,1.0384438305709,"AMG",0.307359307359307,0.255411255411255,0.484285496860269,0.308721301180282
"7",2009-01-12,1.300796812749,0.919198895027624,"AMG",0.939393939393939,0.025974025974026,0.987528718960377,0.0042145215077791
"8",2009-01-13,1.23107569721116,0.912292817679558,"AMG",0.0865800865800866,0.463203463203463,0.0239566114955185,0.875883898165587
"9",2009-01-14,1.15338645418327,0.84829650092081,"AMG",0.0562770562770563,0.0649350649350649,0.2378862138829,0.325293712150252
"10",2009-01-15,1.17529880478088,0.842081031307551,"AMG",0.766233766233766,0.463203463203463,0.894447914916249,0.179829235915595
"11",2009-01-16,1.2390438247012,0.90377532228361,"AMG",0.909090909090909,0.930735930735931,0.617509111292056,0.789849054627686
"12",2009-01-20,1.08366533864542,0.795349907918969,"AMG",0.012987012987013,0.0173160173160173,0.178429431611461,0.330161911295566
"13",2009-01-21,1.21713147410359,0.903545119705341,"AMG",0.987012987012987,0.982683982683983,0.821570568388538,0.669838088704435
"14",2009-01-22,1.19322709163347,0.832412523020258,"AMG",0.311688311688312,0.0562770562770563,0.825765476818388,0.0222158507077306
"15",2009-01-23,1.32470119521912,0.885128913443831,"AMG",0.987012987012987,0.917748917748918,0.98339280610149,0.257285368467492
"16",2009-01-26,1.39840637450199,0.878913443830571,"AMG",0.909090909090909,0.463203463203463,0.979522935990343,0.0965381450573478
"17",2009-01-27,1.41832669322709,0.906998158379374,"AMG",0.722943722943723,0.787878787878788,0.502286370206066,0.736219002196535
"18",2009-01-28,1.41235059760956,1.01289134438306,"AMG",0.484848484848485,0.974025974025974,0.0712991889007297,0.996796727090612
"19",2009-01-29,1.36852589641434,0.954189686924494,"AMG",0.194805194805195,0.103896103896104,0.564043526994667,0.137589143649046
"20",2009-01-30,1.33266932270916,0.925184162062615,"AMG",0.242424242424242,0.255411255411255,0.355218998248532,0.402444201092622
"21",2009-02-02,1.3804780876494,0.950046040515654,"AMG",0.874458874458874,0.766233766233766,0.856980437734608,0.412358218225837
"22",2009-02-03,1.40836653386454,0.973526703499079,"AMG",0.774891774891775,0.748917748917749,0.674194144670737,0.577652735390861
"23",2009-02-04,1.36852589641434,0.979051565377532,"AMG",0.212121212121212,0.597402597402597,0.0713608533596949,0.876493634318658
"24",2009-02-05,1.38844621513944,1.07504604051565,"AMG",0.722943722943723,0.965367965367965,0.156187426809122,0.988113657623053
"25",2009-02-06,1.39442231075697,1.11717311233886,"AMG",0.627705627705628,0.835497835497836,0.27530785777658,0.89211785786409
"26",2009-02-09,1.39442231075697,1.10773480662983,"AMG",0.575757575757576,0.45021645021645,0.679355814856382,0.332266445220149
"27",2009-02-10,1.31274900398406,1.02923572744015,"AMG",0.0649350649350649,0.0649350649350649,0.282852414164177,0.282852414164177
"28",2009-02-11,1.29880478087649,1.06837016574586,"AMG",0.393939393939394,0.831168831168831,0.100443471271576,0.953515402663817
"29",2009-02-12,1.29681274900398,1.07711786372007,"AMG",0.545454545454545,0.623376623376623,0.426287413702013,0.652501043228292
"30",2009-02-13,1.28486055776892,1.03015653775322,"AMG",0.415584415584416,0.194805194805195,0.736986825660592,0.12105387216684
"31",2009-02-17,1.20318725099602,0.955570902394107,"AMG",0.0562770562770563,0.0649350649350649,0.2378862138829,0.325293712150252
"32",2009-02-18,1.18326693227092,0.95902394106814,"AMG",0.337662337662338,0.575757575757576,0.186344884957444,0.780901374874562
"33",2009-02-19,1.2390438247012,0.904696132596685,"AMG",0.887445887445887,0.103896103896104,0.984055862993036,0.0145115603333092
"34",2009-02-20,1.30478087649402,0.921040515653775,"AMG",0.904761904761905,0.701298701298701,0.940545282562123,0.252823326174391
"35",2009-02-23,1.29282868525896,0.840930018416206,"AMG",0.41991341991342,0.051948051948052,0.885506152414695,0.0120951891658629
"36",2009-02-24,1.22509960159363,0.932550644567219,"AMG",0.0909090909090909,0.96969696969697,0.0163165330516962,0.995898815841144
"37",2009-02-25,1.27490039840637,0.881675874769797,"AMG",0.883116883116883,0.125541125541126,0.983448280181218,0.0179776067338295
"38",2009-02-26,1.29880478087649,0.878222836095764,"AMG",0.766233766233766,0.497835497835498,0.879923881022142,0.211146878614919
"39",2009-02-27,1.3605577689243,0.828268876611418,"AMG",0.887445887445887,0.103896103896104,0.984055862993036,0.0145115603333092
"40",2009-03-02,1.33466135458167,0.776012891344383,"AMG",0.316017316017316,0.0822510822510823,0.78659393777962,0.0417694385333144
"41",2009-03-03,1.2609561752988,0.745395948434623,"AMG",0.0822510822510823,0.212121212121212,0.0813161423033199,0.658557243064692
"42",2009-03-04,1.28286852589641,0.806860036832412,"AMG",0.753246753246753,0.952380952380952,0.206874607258594,0.97540647266604
"43",2009-03-05,1.17729083665339,0.719613259668508,"AMG",0.0432900432900433,0.0432900432900433,0.269521134554052,0.269521134554052
"44",2009-03-06,1.17131474103586,0.682780847145488,"AMG",0.471861471861472,0.134199134199134,0.844908754374488,0.0491567358140294
