"","X1","CREE","BANC","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,1.00248292985723,0.957512953367876,NA,0.58008658008658,0.0995670995670996,0.635285299252396,0.0731485881293732
"3",2009-01-06,1.10676598386096,0.957512953367876,"BANC",0.982683982683983,0.597402597402597,0.990196512957873,0.474034470713649
"4",2009-01-07,1.10614525139665,1,"BANC",0.558441558441558,0.913419913419913,0.485299859941837,0.934093609431033
"5",2009-01-08,1.10924891371819,1,"BANC",0.588744588744589,0.597402597402597,0.585507194071106,0.596493700731516
"6",2009-01-09,1.16573556797021,0.981347150259067,"BANC",0.9004329004329,0.207792207792208,0.923328388774276,0.182809777644392
"7",2009-01-12,1.1024208566108,0.854922279792746,"BANC",0.0735930735930736,0.00865800865800866,0.246385754108634,0.0138772499988639
"8",2009-01-13,1.10055865921788,0.946113989637306,"BANC",0.54978354978355,0.995670995670996,0.424321562794693,0.998254867587721
"9",2009-01-14,1.04220980757294,0.862176165803109,"BANC",0.0779220779220779,0.0216450216450216,0.196571623540393,0.0351986397709048
"10",2009-01-15,1.05400372439479,0.863212435233161,"BANC",0.67965367965368,0.61038961038961,0.684846433911332,0.596103952135686
"11",2009-01-16,1.11297330850403,0.84559585492228,"BANC",0.913419913419913,0.194805194805195,0.933485699185507,0.174516696137311
"12",2009-01-20,1.0235878336437,0.861139896373057,"BANC",0.0346320346320346,0.826839826839827,0.0251468749302245,0.82162220877627
"13",2009-01-21,1.16449410304159,0.932642487046632,"BANC",0.991341991341991,0.978354978354978,0.965536877656952,0.879864353030154
"14",2009-01-22,1.14649286157666,0.851813471502591,"BANC",0.367965367965368,0.0216450216450216,0.495404480676844,0.0133671519891067
"15",2009-01-23,1.23463687150838,0.913989637305699,"BANC",0.96969696969697,0.965367965367965,0.92150893023006,0.905968369159303
"16",2009-01-26,1.22905027932961,0.913989637305699,"BANC",0.523809523809524,0.597402597402597,0.512956861216474,0.605767184406816
"17",2009-01-27,1.25636250775916,0.913989637305699,"BANC",0.748917748917749,0.597402597402597,0.762882073797217,0.568422025388577
"18",2009-01-28,1.30353817504655,0.928497409326425,"BANC",0.848484848484849,0.805194805194805,0.833433296333309,0.76882803988632
"19",2009-01-29,1.32402234636872,0.798963730569948,"BANC",0.722943722943723,0.00865800865800866,0.718910741793079,0.00430748232814062
"20",2009-01-30,1.23711980136561,0.836269430051813,"BANC",0.0432900432900433,0.913419913419913,0.0413449134857483,0.902314259812476
"21",2009-02-02,1.21725636250776,0.836269430051813,"BANC",0.354978354978355,0.597402597402597,0.327358976757758,0.626461220277419
"22",2009-02-03,1.24270639354438,0.841450777202072,"BANC",0.735930735930736,0.67965367965368,0.735615812354557,0.661591644594768
"23",2009-02-04,1.27312228429547,0.841450777202072,"BANC",0.774891774891775,0.597402597402597,0.790944923199966,0.562804083247263
"24",2009-02-05,1.31967721911856,0.841450777202072,"BANC",0.844155844155844,0.597402597402597,0.863811143421812,0.545286806470105
"25",2009-02-06,1.35567970204842,0.841450777202072,"BANC",0.792207792207792,0.597402597402597,0.809461628549507,0.558811456804639
"26",2009-02-09,1.34140285536934,0.911917098445596,"BANC",0.411255411255411,0.982683982683983,0.354049239097875,0.991009040488143
"27",2009-02-10,1.29546865301055,0.703626943005181,"BANC",0.19047619047619,0,0.606863731234374,1e-10
"28",2009-02-11,1.29795158286778,0.804145077720207,"BANC",0.567099567099567,0.995670995670996,0.432865988795679,0.998231312694782
"29",2009-02-12,1.33519553072626,0.924352331606218,"BANC",0.796536796536797,0.995670995670996,0.569593724871443,0.9972008338244
"30",2009-02-13,1.36623215394165,0.900518134715026,"BANC",0.757575757575758,0.168831168831169,0.794156947345775,0.135857113228026
"31",2009-02-17,1.30664183736809,0.701554404145078,"BANC",0.103896103896104,0,0.604832550090108,1e-10
"32",2009-02-18,1.31843575418994,0.701554404145078,"BANC",0.658008658008658,0.597402597402597,0.662787303251306,0.585458455620738
"33",2009-02-19,1.24084419615146,0.701554404145078,"BANC",0.051948051948052,0.597402597402597,0.03355481741286,0.652790654954617
"34",2009-02-20,1.21166977032899,0.701554404145078,"BANC",0.264069264069264,0.597402597402597,0.231490631222956,0.636047129103133
"35",2009-02-23,1.15332091868405,0.673575129533679,"BANC",0.0865800865800866,0.0995670995670996,0.122284220316636,0.14722490780257
"36",2009-02-24,1.22532588454376,0.626943005181347,"BANC",0.935064935064935,0.0562770562770563,0.92947800994877,0.0590315356801704
"37",2009-02-25,1.23898199875854,0.659067357512953,"BANC",0.67965367965368,0.935064935064935,0.586741319387728,0.947090876391228
"38",2009-02-26,1.22967101179392,0.605181347150259,"BANC",0.471861471861472,0.025974025974026,0.566260703048169,0.0151334069230739
"39",2009-02-27,1.21911855990068,0.648704663212435,"BANC",0.458874458874459,0.965367965367965,0.387590783128243,0.979207616827607
"40",2009-03-02,1.12228429546865,0.607253886010363,"BANC",0.0346320346320346,0.0606060606060606,0.0652780150524708,0.138579553521548
"41",2009-03-03,1.1260086902545,0.664248704663212,"BANC",0.593073593073593,0.995670995670996,0.445928554809992,0.998187566104733
"42",2009-03-04,1.15021725636251,0.63419689119171,"BANC",0.74025974025974,0.0909090909090909,0.771760757601618,0.0669136509543234
"43",2009-03-05,1.16263190564867,0.632124352331606,"BANC",0.675324675324675,0.359307359307359,0.70874145379389,0.324594502867221
"44",2009-03-06,1.16883923029174,0.620725388601036,"BANC",0.606060606060606,0.220779220779221,0.648925676376451,0.187028098928417
