,UGI,WEC
2008-02-01,1.0,1.0
2008-02-04,1.0197944423296537,1.0150097889928213
2008-02-05,0.9942900647126,1.0017402653904721
2008-02-06,0.9821088694328132,1.0054383293452251
2008-02-07,0.9866768176627332,1.0023928649118992
2008-02-08,0.9912447658926532,1.000217533173809
2008-02-11,1.00114198705748,0.997172068740483
2008-02-12,1.0121811952797868,0.998042201435719
2008-02-13,1.017891130567187,0.9889058081357407
2008-02-14,1.0129425199847735,0.9775940830976724
2008-02-15,1.00342596117244,0.9756362845333914
2008-02-19,1.008755234107347,0.9765064172286274
2008-02-20,1.0186524552721736,0.9730258864476832
2008-02-21,1.00228397411496,0.9595388296715249
2008-02-22,1.0079939094023602,0.9754187513595824
2008-02-25,1.0129425199847735,0.9756362845333914
2008-02-26,1.0243623905595738,0.9767239504024363
2008-02-27,1.017891130567187,0.9569284315858169
2008-02-28,1.0220784164446137,0.9571459647596259
2008-02-29,0.9748762847354396,0.9488797041548835
2008-03-03,0.9878188047202131,0.9580160974548618
2008-03-04,1.00114198705748,0.9593212964977159
2008-03-05,1.0041872858774268,0.9588862301500979
2008-03-06,0.9885801294251998,0.9456167065477485
2008-03-07,0.9855348306052532,0.9440939743310854
2008-03-10,0.9805862200228398,0.9423537089406134
2008-03-11,0.9794442329653598,0.9482271046334567
2008-03-12,0.9653597259231061,0.9399608440287144
2008-03-13,0.9725923106204797,0.9397433108549055
2008-03-14,0.9600304529881994,0.9364803132477703
2008-03-17,0.939094023601066,0.9364803132477703
2008-03-18,0.9634564141606394,0.9530128344572548
2008-03-19,0.9436619718309859,0.9408309767239504
2008-03-20,0.9554625047582794,0.9467043724167936
2008-03-24,0.9413779977160259,0.9332173156406351
2008-03-25,0.9497525694708793,0.9399608440287144
2008-03-26,0.9558431671107728,0.9408309767239504
2008-03-27,0.9444232965359726,0.9547530998477268
2008-03-28,0.9421393224210126,0.9484446378072656
2008-03-31,0.9486105824133994,0.9569284315858169
2008-04-01,0.9733536353254664,0.9756362845333914
2008-04-02,0.976398934145413,0.9878181422666956
2008-04-03,0.9680243623905596,0.9758538177072004
2008-04-04,0.9634564141606394,0.9706330215357841
2008-04-07,0.9790635706128663,0.9821622797476615
2008-04-08,0.9862961553102398,0.9828148792690885
2008-04-09,0.9783022459078797,0.9843376114857516
2008-04-10,0.9695470118005329,0.9771590167500545
2008-04-11,0.9611724400456795,0.9884707417881227
2008-04-14,0.9790635706128663,0.9839025451381335
2008-04-15,0.9923867529501332,0.9932564716119208
2008-04-16,1.025885039969547,1.0152273221666304
2008-04-17,1.0209364293871337,1.0132695236023495
2008-04-18,1.030452988199467,1.0139221231237765
2008-04-21,1.0095165588123334,1.0087013269523601
2008-04-22,0.9992386752950133,0.9991298673047639
2008-04-23,1.0038066235249334,1.0091363932999782
2008-04-24,1.01027788351732,1.0126169240809224
2008-04-25,1.0076132470498667,1.0137045899499675
2008-04-28,1.0095165588123334,1.0165325212094845
2008-04-29,0.9992386752950133,1.0073961279095063
2008-04-30,0.9897221164826798,1.0324124428975419
2008-05-01,0.99086410354016,1.036545573199913
2008-05-02,0.99771602588504,1.0404611703284752
2008-05-05,0.9912447658926532,1.033282575592778
2008-05-06,0.9897221164826798,1.036110506852295
2008-05-07,0.9935287400076133,1.0191429192951926
2008-05-08,0.9935287400076133,1.0458994996737003
2008-05-09,0.9946707270650932,1.0443767674570372
2008-05-12,1.0019033117624667,1.0458994996737003
2008-05-13,1.0079939094023602,1.0474222318903632
2008-05-14,1.0068519223448802,1.0480748314117903
2008-05-15,1.0148458317472402,1.0448118338046553
2008-05-16,1.0171298058622003,1.0485098977594085
2008-05-19,1.0175104682146936,1.0541657602784424
2008-05-20,1.0110392082223068,1.0524254948879705
2008-05-21,1.0175104682146936,1.0461170328475093
2008-05-22,1.0148458317472402,1.0578638242331957
2008-05-23,1.0003806623524933,1.038720904938003
2008-05-27,1.017891130567187,1.0476397650641722
2008-05-28,1.020175104682147,1.0452469001522733
2008-05-29,1.0197944423296537,1.0495975636284534
2008-05-30,1.027027027027027,1.0450293669784643
2008-06-02,1.0137038446897602,1.041331303023711
2008-06-03,1.008755234107347,1.0358929736784859
2008-06-04,1.017891130567187,1.0406787035022842
2008-06-05,1.0266463646745336,1.0480748314117903
2008-06-06,1.0129425199847735,1.0311072438546878
2008-06-09,1.0125618576322803,1.038938438111812
2008-06-10,1.017891130567187,1.0376332390689582
2008-06-11,1.0118005329272934,1.0293669784642159
2008-06-12,1.0213170917396268,1.0274091798999347
2008-06-13,1.0300723258469737,1.0304546443332607
2008-06-16,1.0631899505138942,1.035240374157059
2008-06-17,1.0666159116863343,1.038285838590385
2008-06-18,1.0620479634564142,1.035240374157059
2008-06-19,1.0723258469737345,1.034805307809441
2008-06-20,1.0570993528740007,1.0189253861213836
2008-06-23,1.0826037304910545,1.0208831846856645
2008-06-24,1.046060144651694,1.0130519904285404
2008-06-25,1.069661210506281,1.0245812486404178
2008-06-26,1.074229158736201,0.9936915379595388
2008-06-27,1.0578606775789874,0.9782466826190994
2008-06-30,1.0928816140083746,0.9836850119643246
2008-07-01,1.0746098210886943,0.9828148792690885
2008-07-02,1.0578606775789874,0.9815096802262344
2008-07-03,1.0266463646745336,0.9823798129214705
2008-07-07,1.0194137799771603,0.9847726778333696
2008-07-08,1.0213170917396268,0.9908636067000217
2008-07-09,1.0354015987818805,1.0076136610833153
2008-07-10,1.0327369623144271,1.0054383293452251
2008-07-11,1.039208222306814,0.998912334130955
2008-07-14,1.0361629234868672,0.9771590167500545
