"","X1","DIOD","GRA","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,1.0273556231003,1.03761755485893,NA,0.813852813852814,0.844155844155844,0.630844927587587,0.744257945889713
"3",2009-01-06,1.14893617021277,1.10815047021944,NA,0.991341991341991,0.904761904761905,0.992075436115409,0.27642367547042
"4",2009-01-07,1.12310030395137,1.02037617554859,NA,0.294372294372294,0.0909090909090909,0.673199194166416,0.0644880272741464
"5",2009-01-08,1.12765957446809,1.05956112852665,NA,0.567099567099567,0.844155844155844,0.267651598312797,0.909937490015283
"6",2009-01-09,1.07750759878419,1.00626959247649,NA,0.134199134199134,0.12987012987013,0.298321431745199,0.278960406532403
"7",2009-01-12,1.08662613981763,0.990595611285267,NA,0.623376623376623,0.380952380952381,0.764529293825838,0.23761826310553
"8",2009-01-13,1.04711246200608,1.03291536050157,NA,0.173160173160173,0.861471861471861,0.045428844809296,0.964933956449865
"9",2009-01-14,0.966565349544073,0.952978056426332,NA,0.0822510822510823,0.0952380952380952,0.225524956405455,0.303460961636797
"10",2009-01-15,0.896656534954407,1.01880877742947,NA,0.0822510822510823,0.904761904761905,0.0209255121658608,0.974837539904938
"11",2009-01-16,0.972644376899696,1.05485893416928,NA,0.956709956709957,0.844155844155844,0.951216408348038,0.392699434583354
"12",2009-01-20,0.849544072948328,0.987460815047022,"DIOD",0.025974025974026,0.108225108225108,0.0370983454500643,0.602943297161566
"13",2009-01-21,0.908814589665654,1.10971786833856,"DIOD",0.943722943722944,0.952380952380952,0.717379385646828,0.797941848728873
"14",2009-01-22,0.86322188449848,1.10501567398119,"DIOD",0.121212121212121,0.467532467532468,0.0538009006875339,0.791019465001585
"15",2009-01-23,0.916413373860182,1.08777429467085,"DIOD",0.935064935064935,0.380952380952381,0.984934924297425,0.10575925826829
"16",2009-01-26,0.968085106382979,1.06739811912226,"DIOD",0.922077922077922,0.350649350649351,0.981237441442039,0.0986532694228568
"17",2009-01-27,1.03951367781155,0.998432601880878,NA,0.948051948051948,0.103896103896104,0.987371839787319,0.0305986033439624
"18",2009-01-28,1.08814589665653,1.04545454545455,NA,0.891774891774892,0.87012987012987,0.769140104387064,0.665234778923496
"19",2009-01-29,1.03039513677812,0.96551724137931,NA,0.121212121212121,0.0952380952380952,0.344532445034356,0.211064868711016
"20",2009-01-30,0.984802431610942,0.904388714733542,NA,0.134199134199134,0.108225108225108,0.346174879066109,0.223275278667893
"21",2009-02-02,1.00151975683891,0.904388714733542,NA,0.735930735930736,0.536796536796537,0.804432998527745,0.3345656479197
"22",2009-02-03,0.969604863221884,0.949843260188088,NA,0.220779220779221,0.87012987012987,0.0605815743099874,0.966819886095097
"23",2009-02-04,1.03495440729483,0.959247648902821,NA,0.939393939393939,0.645021645021645,0.974025843113856,0.224561718676487
"24",2009-02-05,1.11398176291793,1.00626959247649,NA,0.948051948051948,0.87012987012987,0.9167949808493,0.482890312456728
"25",2009-02-06,1.22948328267477,1.05799373040752,"GRA",0.982683982683983,0.87012987012987,0.985046151307136,0.301049156768982
"26",2009-02-09,1.2644376899696,1.06426332288401,"GRA",0.822510822510823,0.606060606060606,0.872974201879298,0.331068161984173
"27",2009-02-10,1.18844984802432,0.995297805642633,"GRA",0.108225108225108,0.103896103896104,0.28499683812561,0.262293772987442
"28",2009-02-11,1.17933130699088,1.04545454545455,"GRA",0.432900432900433,0.87012987012987,0.151787669155716,0.953687349028046
"29",2009-02-12,1.12158054711246,1.06269592476489,"GRA",0.121212121212121,0.722943722943723,0.0319094711185454,0.920472199533852
"30",2009-02-13,1.20820668693009,1.10815047021944,"GRA",0.948051948051948,0.861471861471861,0.923765965058819,0.462854040144873
"31",2009-02-17,1.10942249240122,1.01724137931034,"GRA",0.0822510822510823,0.0909090909090909,0.236105305150887,0.289126260705821
"32",2009-02-18,1.09574468085106,1.06583072100313,"GRA",0.385281385281385,0.87012987012987,0.127020269667832,0.958156283364961
"33",2009-02-19,1.04863221884498,1.02037617554859,"GRA",0.147186147186147,0.168831168831169,0.261693569255915,0.347132618980357
"34",2009-02-20,1.00759878419453,1.04545454545455,NA,0.164502164502165,0.800865800865801,0.0444409727724956,0.944941999582163
"35",2009-02-23,1.02887537993921,0.894984326018809,"GRA",0.774891774891775,0.038961038961039,0.938291489624816,0.00720926269224647
"36",2009-02-24,1.1322188449848,1.00313479623824,"GRA",0.982683982683983,0.952380952380952,0.935291358365915,0.523207599565336
"37",2009-02-25,1.17325227963526,0.918495297805643,"GRA",0.861471861471861,0.0865800865800866,0.963728552066807,0.0203919339920505
"38",2009-02-26,1.18996960486322,0.896551724137931,"GRA",0.696969696969697,0.294372294372294,0.870063349313869,0.126467098258373
"39",2009-02-27,1.18237082066869,0.877742946708464,"GRA",0.437229437229437,0.316017316017316,0.58136272423462,0.28224476926133
"40",2009-03-02,1.06534954407295,0.804075235109718,"GRA",0.0476190476190476,0.0865800865800866,0.123989972552226,0.410698646136381
"41",2009-03-03,0.990881458966565,0.769592476489028,"GRA",0.0952380952380952,0.164502164502165,0.149539094888808,0.453534034336869
"42",2009-03-04,1.04559270516717,0.747648902821317,"GRA",0.917748917748918,0.251082251082251,0.981437700570153,0.0677193318295522
"43",2009-03-05,1.03343465045593,0.637931034482759,"GRA",0.38961038961039,0.038961038961039,0.823574666649173,0.0115702150597157
"44",2009-03-06,1.06382978723404,0.655172413793103,"GRA",0.831168831168831,0.822510822510823,0.703930902588567,0.671656035985653
"45",2009-03-09,1.12158054711246,0.642633228840125,"GRA",0.917748917748918,0.346320346320346,0.979857546321387,0.0980623654580633
"46",2009-03-10,1.28723404255319,0.67398119122257,"GRA",0.995670995670996,0.87012987012987,0.998279299382386,0.196109700472108
"47",2009-03-11,1.40729483282675,0.653605015673981,"GRA",0.974025974025974,0.233766233766234,0.995689560466433,0.0655400472546572
"48",2009-03-12,1.54863221884498,0.772727272727273,"GRA",0.982683982683983,0.974025974025974,0.859173581423179,0.684088897135292
"49",2009-03-13,1.54711246200608,0.782131661442006,"GRA",0.523809523809524,0.675324675324675,0.372913602037835,0.73474185038947
"50",2009-03-16,1.52279635258359,0.749216300940439,"GRA",0.341991341991342,0.173160173160173,0.608876765440405,0.147518680919763
"51",2009-03-17,1.52127659574468,0.871473354231975,"GRA",0.523809523809524,0.974025974025974,0.131984232836974,0.994928412877394
"52",2009-03-18,1.64437689969605,0.924764890282132,"GRA",0.956709956709957,0.891774891774892,0.918968377771145,0.498259452060791
"53",2009-03-19,1.59726443768997,0.921630094043887,"GRA",0.238095238095238,0.476190476190476,0.158483353515465,0.703468771304825
"54",2009-03-20,1.54407294832827,0.876175548589342,"GRA",0.19047619047619,0.12987012987013,0.428523496655598,0.195234268519817
"55",2009-03-23,1.7112462006079,1.02351097178683,"GRA",0.982683982683983,0.974025974025974,0.859173581423179,0.684088897135292
"56",2009-03-24,1.66869300911854,0.959247648902821,"GRA",0.281385281385281,0.112554112554113,0.618666004471502,0.0965329874467302
"57",2009-03-25,1.63373860182371,1.03605015673981,"GRA",0.311688311688312,0.913419913419913,0.0870645591712316,0.979202404585365
"58",2009-03-26,1.71276595744681,1.08307210031348,"GRA",0.896103896103896,0.865800865800866,0.788055936671837,0.643058518822426
"59",2009-03-27,1.67325227963526,0.995297805642633,"GRA",0.294372294372294,0.0909090909090909,0.673199194166416,0.0644880272741464
"60",2009-03-30,1.59422492401216,0.963949843260188,"GRA",0.121212121212121,0.229437229437229,0.14148085712514,0.521466556842815
"61",2009-03-31,1.61246200607903,0.990595611285267,"GRA",0.662337662337662,0.826839826839827,0.397031719610032,0.85000728927796
"62",2009-04-01,1.71428571428571,1.0564263322884,"GRA",0.935064935064935,0.904761904761905,0.832151032892942,0.636730945901736
"63",2009-04-02,1.81003039513678,1.11128526645768,"GRA",0.917748917748918,0.874458874458874,0.832344351485848,0.605350112890021
"64",2009-04-03,1.79635258358663,1.11598746081505,"GRA",0.432900432900433,0.597402597402597,0.318263121897903,0.69804805280565
"65",2009-04-06,1.72492401215805,1.07836990595611,"GRA",0.164502164502165,0.225108225108225,0.225684861386994,0.432681570688019
"66",2009-04-07,1.70820668693009,1.05172413793103,"GRA",0.411255411255411,0.281385281385281,0.579521129925617,0.252672012205818
"67",2009-04-08,1.74772036474164,1.10031347962382,"GRA",0.787878787878788,0.87012987012987,0.52799611366398,0.827566327679307
"68",2009-04-09,1.86018237082067,1.20689655172414,"GRA",0.935064935064935,0.939393939393939,0.734866549502911,0.769261752107884
"69",2009-04-13,1.85714285714286,1.26489028213166,"GRA",0.519480519480519,0.87012987012987,0.206330246254348,0.942125977693584
"70",2009-04-14,1.85410334346505,1.24137931034483,"GRA",0.519480519480519,0.350649350649351,0.661619915163511,0.268976367963043
"71",2009-04-15,1.82522796352584,1.25078369905956,"GRA",0.341991341991342,0.61038961038961,0.203302492795485,0.773833290794599
"72",2009-04-16,1.96808510638298,1.26645768025078,"GRA",0.948051948051948,0.683982683982684,0.976142211119699,0.238322052529999
"73",2009-04-17,2.07750759878419,1.25391849529781,"GRA",0.917748917748918,0.424242424242424,0.97724897196574,0.127370906904874
"74",2009-04-20,1.90273556231003,1.11598746081505,"GRA",0.0735930735930736,0.0692640692640693,0.268651814334116,0.237719646032244
"75",2009-04-21,1.89817629179331,1.21630094043887,"GRA",0.515151515151515,0.930735930735931,0.160368596055186,0.978626259108463
"76",2009-04-22,2.02431610942249,1.17554858934169,"GRA",0.939393939393939,0.225108225108225,0.987474747489043,0.0603284923367461
"77",2009-04-23,2.0531914893617,1.20219435736677,"GRA",0.696969696969697,0.774891774891775,0.519885097531468,0.744542679595087
"78",2009-04-24,2.14589665653495,1.17241379310345,"GRA",0.883116883116883,0.277056277056277,0.969655081435701,0.0790106755110469
"79",2009-04-27,2.209726443769,1.1692789968652,"GRA",0.835497835497836,0.489177489177489,0.922153012706006,0.20812165546565
"80",2009-04-28,2.15501519756839,1.17868338557994,"GRA",0.281385281385281,0.614718614718615,0.143785866288048,0.810671982055472
"81",2009-04-29,2.20364741641337,1.28213166144201,"GRA",0.787878787878788,0.926406926406926,0.398193498169461,0.927284654011019
"82",2009-04-30,2.26139817629179,1.38401253918495,"GRA",0.80952380952381,0.909090909090909,0.481014386381777,0.883705491879008
"83",2009-05-01,2.23100303951368,1.45924764890282,"GRA",0.380952380952381,0.874458874458874,0.12352116186304,0.960578169093943
"84",2009-05-04,2.4209726443769,1.5705329153605,"GRA",0.956709956709957,0.904761904761905,0.903973849271872,0.537006409921267
"85",2009-05-05,2.38905775075988,1.5423197492163,"GRA",0.380952380952381,0.354978354978355,0.456908975082465,0.390263886267679
"86",2009-05-06,2.48024316109422,1.5423197492163,"GRA",0.861471861471861,0.536796536796537,0.932410359575686,0.226111897356453
"87",2009-05-07,2.20212765957447,1.50940438871473,"GRA",0.0303030303030303,0.311688311688312,0.0104445374956879,0.799057763342907
"88",2009-05-08,2.0258358662614,2.04702194357367,NA,0.0822510822510823,1,0.103028567791435,0.9999999999
"89",2009-05-11,1.98936170212766,1.95924764890282,NA,0.333333333333333,0.164502164502165,0.608799546150041,0.140613149197743
"90",2009-05-12,1.91033434650456,1.89655172413793,NA,0.164502164502165,0.229437229437229,0.221039828952999,0.440919798359092
"91",2009-05-13,1.79483282674772,1.81974921630094,NA,0.108225108225108,0.186147186147186,0.154801097473285,0.467483026791805
"92",2009-05-14,1.79483282674772,1.92633228840125,"DIOD",0.532467532467532,0.887445887445887,0.202190213053241,0.952210761538048
"93",2009-05-15,1.79787234042553,1.90752351097179,"DIOD",0.545454545454545,0.424242424242424,0.635011932077601,0.348105303728907
"94",2009-05-18,2.05775075987842,2.06583072100313,"DIOD",0.995670995670996,0.922077922077922,0.996400128521126,0.241705587845326
"95",2009-05-19,2.25835866261398,2.02978056426332,NA,0.978354978354978,0.354978354978355,0.996743504671018,0.0904973301345167
"96",2009-05-20,2.30091185410334,2.02037617554859,"GRA",0.753246753246753,0.467532467532468,0.85671694321396,0.244605531313316
"97",2009-05-21,2.22948328267477,1.98902821316614,"GRA",0.220779220779221,0.380952380952381,0.188955499299865,0.603376970716606
"98",2009-05-22,2.22036474164134,1.98275862068966,"GRA",0.489177489177489,0.480519480519481,0.501757372681058,0.480624064406571
"99",2009-05-26,2.31914893617021,2.15987460815047,"GRA",0.883116883116883,0.926406926406926,0.601213858026881,0.84332052511536
"100",2009-05-27,2.27811550151976,2.0987460815047,"GRA",0.333333333333333,0.251082251082251,0.49642331385981,0.270234538984323
"101",2009-05-28,2.28723404255319,2.10344827586207,"GRA",0.567099567099567,0.571428571428571,0.534896038802711,0.545604267158237
"102",2009-05-29,2.33586626139818,2.03448275862069,"GRA",0.774891774891775,0.229437229437229,0.928590730970776,0.072852524622254
