,CMS,GXP
2008-02-01,1.0,1.0
2008-02-04,1.0118232731798382,1.0248933143669985
2008-02-05,0.9775980087118855,1.0064011379800852
2008-02-06,0.9732420659614188,1.0081792318634424
2008-02-07,0.9794648413192284,0.97475106685633
2008-02-08,0.9769757311761045,0.9779516358463727
2008-02-11,0.9782202862476664,0.9615931721194878
2008-02-12,1.000622277535781,0.9676386913229018
2008-02-13,0.9838207840696951,0.9637268847795164
2008-02-14,0.9744866210329807,0.9576813655761024
2008-02-15,0.9769757311761045,0.9658605974395448
2008-02-19,0.9676415681393902,0.9623044096728306
2008-02-20,0.9670192906036091,0.9647937411095305
2008-02-21,0.9632856253889235,0.9491465149359887
2008-02-22,0.9607965152457996,0.9569701280227596
2008-02-25,0.9533291848164281,0.9665718349928876
2008-02-26,0.95457373988799,0.9530583214793741
2008-02-27,0.9321717485998755,0.9327880512091038
2008-02-28,0.9290603609209708,0.9246088193456614
2008-02-29,0.895457373988799,0.9043385490753911
2008-03-03,0.8886123210952084,0.8982930298719772
2008-03-04,0.8867454884878656,0.9061166429587482
2008-03-05,0.8730553827006845,0.8968705547652915
2008-03-06,0.8606098319850654,0.8801564722617354
2008-03-07,0.8562538892345986,0.8769559032716927
2008-03-10,0.8469197261978842,0.8673541963015647
2008-03-11,0.8637212196639702,0.8787339971550497
2008-03-12,0.8438083385189795,0.8766002844950213
2008-03-13,0.8444306160547604,0.8766002844950213
2008-03-14,0.8369632856253889,0.8783783783783783
2008-03-17,0.8307405102675793,0.8755334281650071
2008-03-18,0.8556316116988176,0.8865576102418208
2008-03-19,0.8481642812694462,0.8776671408250355
2008-03-20,0.8606098319850654,0.8712660028449501
2008-03-24,0.8556316116988176,0.8659317211948792
2008-03-25,0.865588052271313,0.868421052631579
2008-03-26,0.8556316116988176,0.8677098150782361
2008-03-27,0.8525202240199128,0.8698435277382646
2008-03-28,0.8375855631611699,0.8680654338549075
2008-03-31,0.8425637834474174,0.8766002844950213
2008-04-01,0.8574984443061605,0.8947368421052632
2008-04-02,0.8780336029869321,0.8901137980085349
2008-04-03,0.8817672682016179,0.8894025604551921
2008-04-04,0.8892345986309893,0.8773115220483642
2008-04-07,0.8886123210952084,0.8851351351351351
2008-04-08,0.881144990665837,0.8862019914651494
2008-04-09,0.881144990665837,0.8840682788051208
2008-04-10,0.8917237087741132,0.8865576102418208
2008-04-11,0.880522713130056,0.8808677098150782
2008-04-14,0.8730553827006845,0.8844238975817923
2008-04-15,0.8792781580584941,0.8886913229018492
2008-04-16,0.9016801493466086,0.9043385490753911
2008-04-17,0.9029247044181705,0.9046941678520626
2008-04-18,0.9066583696328563,0.9050497866287339
2008-04-21,0.8948350964530181,0.8940256045519204
2008-04-22,0.8817672682016179,0.8890469416785206
2008-04-23,0.8886123210952084,0.9000711237553342
2008-04-24,0.8892345986309893,0.8993598862019914
2008-04-25,0.89607965152458,0.9036273115220483
2008-04-28,0.9010578718108276,0.9157183499288762
2008-04-29,0.8935905413814561,0.9135846372688478
2008-04-30,0.9072806471686372,0.9118065433854907
2008-05-01,0.9222153080273802,0.9384779516358464
2008-05-02,0.940261356565028,0.9434566145092461
2008-05-05,0.9085252022401991,0.9334992887624466
2008-05-06,0.9321717485998755,0.9324324324324323
2008-05-07,0.9122588674548848,0.9238975817923186
2008-05-08,0.9122588674548848,0.9206970128022759
2008-05-09,0.9346608587429993,0.9306543385490754
2008-05-12,0.9539514623522091,0.9431009957325747
2008-05-13,0.9477286869943995,0.9374110953058321
2008-05-14,0.9477286869943995,0.9388335704125177
2008-05-15,0.9439950217797137,0.9395448079658606
2008-05-16,0.9477286869943995,0.9384779516358464
2008-05-19,0.9632856253889235,0.9423897581792319
2008-05-20,0.9601742377100186,0.9498577524893315
2008-05-21,0.9471064094586186,0.9445234708392602
2008-05-22,0.9551960174237709,0.9516358463726885
2008-05-23,0.9377722464219042,0.9324324324324323
2008-05-27,0.9433727442439328,0.9409672830725462
2008-05-28,0.9520846297448662,0.9228307254623044
2008-05-29,0.9645301804604853,0.9370554765291608
2008-05-30,0.970130678282514,0.9327880512091038
2008-06-02,0.9632856253889235,0.9238975817923186
2008-06-03,0.9657747355320473,0.9174964438122333
2008-06-04,0.9775980087118855,0.9292318634423897
2008-06-05,0.9850653391412569,0.9374110953058321
2008-06-06,0.9564405724953329,0.9153627311522048
2008-06-09,0.9688861232109521,0.926031294452347
2008-06-10,0.9744866210329807,0.9310099573257468
2008-06-11,0.9695084007467331,0.9235419630156472
2008-06-12,0.9632856253889235,0.933854907539118
2008-06-13,0.9775980087118855,0.9459459459459459
2008-06-16,0.9788425637834475,0.9434566145092461
2008-06-17,0.9807093963907902,0.9409672830725462
2008-06-18,0.9738643434971997,0.9384779516358464
2008-06-19,0.9738643434971997,0.9463015647226173
2008-06-20,0.9533291848164281,0.9441678520625889
2008-06-23,0.95457373988799,0.9484352773826459
2008-06-24,0.9377722464219042,0.9455903271692745
2008-06-25,0.9508400746733042,0.9434566145092461
2008-06-26,0.9271935283136279,0.9235419630156472
2008-06-27,0.9072806471686372,0.8982930298719772
2008-06-30,0.9271935283136279,0.89900426742532
2008-07-01,0.9278158058494088,0.9022048364153628
2008-07-02,0.9066583696328563,0.8965149359886202
2008-07-03,0.8873677660236465,0.8776671408250355
2008-07-07,0.8618543870566272,0.881578947368421
2008-07-08,0.8855009334163036,0.8986486486486486
2008-07-09,0.8879900435594275,0.914651493598862
2008-07-10,0.8855009334163036,0.9189189189189189
2008-07-11,0.8749222153080274,0.9185633001422474
