,BTU,SFY
2008-02-01,1.0,1.0
2008-02-04,0.9926298759662052,1.012785388127854
2008-02-05,0.9340284019413985,0.95662100456621
2008-02-06,0.9097609203667085,0.9253424657534247
2008-02-07,0.9485888908862125,0.954337899543379
2008-02-08,0.9685421535142908,0.9646118721461188
2008-02-11,1.0159985619270178,0.9865296803652969
2008-02-12,0.9706992629875966,0.9863013698630139
2008-02-13,1.0242674815746897,1.0182648401826484
2008-02-14,1.0258853136796693,1.0210045662100458
2008-02-15,1.0,1.0121004566210046
2008-02-19,1.0600395470070105,1.036986301369863
2008-02-20,1.0733417220923962,1.0748858447488585
2008-02-21,1.0289412187668525,1.0746575342465754
2008-02-22,1.0469171310444005,1.0874429223744293
2008-02-25,1.0733417220923962,1.1125570776255709
2008-02-26,1.0621966564803165,1.1310502283105024
2008-02-27,1.0314578464857092,1.1031963470319635
2008-02-28,1.0630954520941938,1.141095890410959
2008-02-29,1.0177961531547726,1.0897260273972602
2008-03-03,1.0244472406974654,1.1166666666666667
2008-03-04,0.9892144526334711,1.067579908675799
2008-03-05,1.0185151896458744,1.0767123287671232
2008-03-06,1.0023368685960812,1.054337899543379
2008-03-07,0.9523638324644975,1.011187214611872
2008-03-10,0.9085026065072802,1.0070776255707763
2008-03-11,0.9591946791299658,1.051826484018265
2008-03-12,0.911019234226137,1.0116438356164386
2008-03-13,0.9769908322847385,1.0589041095890412
2008-03-14,0.9412187668524177,1.0557077625570777
2008-03-17,0.8978968182635269,0.9972602739726028
2008-03-18,0.9453532266762539,1.039041095890411
2008-03-19,0.8561927017796154,0.9698630136986301
2008-03-20,0.8529570375696567,0.9703196347031964
2008-03-24,0.8792018694948768,0.9945205479452056
2008-03-25,0.9067050152795254,1.019406392694064
2008-03-26,0.9417580442207442,1.05
2008-03-27,0.9176703217688297,1.045433789954338
2008-03-28,0.9194679129965845,1.034474885844749
2008-03-31,0.9167715261549523,1.0271689497716896
2008-04-01,0.9410390077296422,1.0228310502283104
2008-04-02,0.9428365989573971,1.0399543378995433
2008-04-03,0.9920905985978787,1.038812785388128
2008-04-04,1.0258853136796693,1.0552511415525114
2008-04-07,1.0244472406974654,1.0874429223744293
2008-04-08,1.0771166636706813,1.110958904109589
2008-04-09,1.0683084666546827,1.119406392694064
2008-04-10,1.1006651087542692,1.1292237442922375
2008-04-11,1.0977889627898616,1.1178082191780823
2008-04-14,1.1154053568218587,1.1399543378995434
2008-04-15,1.1499191083947509,1.1527397260273973
2008-04-16,1.2036670861046197,1.1936073059360732
2008-04-17,1.197015998561927,1.2155251141552512
2008-04-18,1.1984540715441308,1.2401826484018266
2008-04-21,1.2372820420636346,1.2627853881278541
2008-04-22,1.2324285457486968,1.238812785388128
2008-04-23,1.182815027862664,1.2191780821917808
2008-04-24,1.1216969261190004,1.1728310502283106
2008-04-25,1.150638144885853,1.217579908675799
2008-04-28,1.1477619989214451,1.221461187214612
2008-04-29,1.0875426927916592,1.1828767123287673
2008-04-30,1.0988675175265146,1.1904109589041096
2008-05-01,1.0868236563005573,1.1486301369863015
2008-05-02,1.1216969261190004,1.149771689497717
2008-05-05,1.1470429624303433,1.21324200913242
2008-05-06,1.1829947869854396,1.2899543378995435
2008-05-07,1.1740068308466654,1.2979452054794522
2008-05-08,1.2441128887291029,1.2070776255707762
2008-05-09,1.2331475822397986,1.2700913242009133
2008-05-12,1.2367427646953082,1.2625570776255708
2008-05-13,1.31583677871652,1.3196347031963471
2008-05-14,1.276649289951465,1.299771689497717
2008-05-15,1.376775121337408,1.373744292237443
2008-05-16,1.4170411648391155,1.3636986301369862
2008-05-19,1.4073341722092396,1.3760273972602741
2008-05-20,1.4062556174725866,1.4175799086757992
2008-05-21,1.3762358439690814,1.3965753424657537
2008-05-22,1.3613158367787166,1.3668949771689498
2008-05-23,1.31583677871652,1.3273972602739728
2008-05-27,1.2928276110012582,1.2993150684931507
2008-05-28,1.341722092396189,1.3436073059360731
2008-05-29,1.294265683983462,1.2810502283105023
2008-05-30,1.3287794355563545,1.3159817351598175
2008-06-02,1.3934927197555274,1.347945205479452
2008-06-03,1.3911558511594462,1.3308219178082192
2008-06-04,1.3311163041524356,1.304566210045662
2008-06-05,1.3841452453712024,1.3881278538812785
2008-06-06,1.397447420456588,1.3920091324200914
2008-06-09,1.4632392593924142,1.4157534246575343
2008-06-10,1.4159626101024625,1.3769406392694066
2008-06-11,1.4145245371202588,1.3949771689497719
2008-06-12,1.3652705374797771,1.3513698630136988
2008-06-13,1.394751033614956,1.3484018264840183
2008-06-16,1.3895380190544668,1.3698630136986303
2008-06-17,1.4195577925579723,1.3926940639269407
2008-06-18,1.493079273773144,1.3949771689497719
2008-06-19,1.4774402300916771,1.3404109589041098
2008-06-20,1.4436455150098868,1.3878995433789956
2008-06-23,1.5236383246449758,1.4810502283105025
2008-06-24,1.5374797770986877,1.4502283105022833
2008-06-25,1.4844508358799209,1.3945205479452056
2008-06-26,1.453532266762538,1.38675799086758
2008-06-27,1.5108754269279165,1.438812785388128
2008-06-30,1.5827790760381089,1.5082191780821919
2008-07-01,1.543951105518605,1.5303652968036532
2008-07-02,1.4003235664209959,1.4678082191780824
2008-07-03,1.3952903109832824,1.4125570776255707
2008-07-07,1.3868416322128347,1.3034246575342467
2008-07-08,1.3453172748516988,1.2808219178082192
2008-07-09,1.331296063275211,1.258447488584475
2008-07-10,1.3579004134459824,1.321917808219178
2008-07-11,1.3814488585295701,1.319406392694064
2008-07-14,1.4251303253640122,1.343150684931507
2008-07-15,1.331296063275211,1.25662100456621
