,FWRD,LSTR
2008-02-01,1.0,1.0
2008-02-04,0.9726829268292683,1.0328568380627268
2008-02-05,0.9567479674796748,1.0243225944100705
2008-02-06,0.9570731707317073,1.017708555579262
2008-02-07,0.9853658536585366,1.0307232771495627
2008-02-08,0.9573983739837398,1.0049071901002775
2008-02-11,0.9726829268292683,1.0102410923831877
2008-02-12,1.0845528455284554,1.0110945167484533
2008-02-13,1.1001626016260162,0.9889054832515469
2008-02-14,1.0829268292682925,0.9810113078728397
2008-02-15,1.0660162601626018,0.9746106251333476
2008-02-19,1.0852032520325203,0.9967996586302539
2008-02-20,1.0617886178861788,0.9861318540644336
2008-02-21,1.048130081300813,0.9938126733518242
2008-02-22,1.0211382113821137,0.9859184979731173
2008-02-25,1.0491056910569105,1.0008534243652656
2008-02-26,1.0669918699186993,1.0302965649669298
2008-02-27,1.053658536585366,1.024109238318754
2008-02-28,1.014308943089431,1.0217623213142737
2008-02-29,0.9544715447154472,0.9895455515254962
2008-03-03,0.9769105691056911,1.004693834008961
2008-03-04,1.0006504065040651,1.0093876680179221
2008-03-05,1.006829268292683,1.0354171111585238
2008-03-06,1.0091056910569105,1.0168551312139962
2008-03-07,1.0445528455284552,1.0083208875613399
2008-03-10,1.0048780487804878,0.9780243225944102
2008-03-11,1.0920325203252033,1.026669511414551
2008-03-12,1.111869918699187,1.013014721570301
2008-03-13,1.1170731707317074,1.0422445060806487
2008-03-14,1.092357723577236,1.0134414337529336
2008-03-17,1.0523577235772357,1.024109238318754
2008-03-18,1.1287804878048782,1.053979091103051
2008-03-19,1.088780487804878,1.0488585449114571
2008-03-20,1.1528455284552845,1.0951568167271175
2008-03-24,1.174308943089431,1.1297205035203757
2008-03-25,1.1778861788617885,1.122039684232985
2008-03-26,1.1840650406504063,1.0925965436313207
2008-03-27,1.166829268292683,1.120972903776403
2008-03-28,1.1398373983739836,1.1235331768721997
2008-03-31,1.1525203252032519,1.1128653723063793
2008-04-01,1.1811382113821138,1.1542564540217624
2008-04-02,1.1873170731707317,1.1495626200128015
2008-04-03,1.1964227642276422,1.166204395135481
2008-04-04,1.1843902439024392,1.141028376360145
2008-04-07,1.1739837398373985,1.1531896735651803
2008-04-08,1.174959349593496,1.1444420738212078
2008-04-09,1.1034146341463416,1.0855557926178794
2008-04-10,1.1147967479674796,1.090036270535524
2008-04-11,1.0910569105691057,1.073821207595477
2008-04-14,1.0835772357723576,1.0791551098783871
2008-04-15,1.0972357723577237,1.1002773629187115
2008-04-16,1.1157723577235774,1.1414550885427779
2008-04-17,1.0747967479674796,1.0934499679965863
2008-04-18,1.08,1.1201194794111373
2008-04-21,1.080650406504065,1.0947301045444848
2008-04-22,1.1229268292682928,1.0785150416044378
2008-04-23,1.0998373983739838,1.0637934713036057
2008-04-24,1.0910569105691057,1.0925965436313207
2008-04-25,1.1073170731707316,1.0977170898229145
2008-04-28,1.0796747967479676,1.1254533816940475
2008-04-29,1.0819512195121952,1.1181992745892895
2008-04-30,1.1086178861788618,1.1085982504800513
2008-05-01,1.1593495934959348,1.1508427565606998
2008-05-02,1.1268292682926828,1.134627693620653
2008-05-05,1.112520325203252,1.1508427565606998
2008-05-06,1.1508943089430894,1.1610838489438875
2008-05-07,1.1255284552845528,1.1120119479411137
2008-05-08,1.1219512195121952,1.1207595476850865
2008-05-09,1.1164227642276423,1.1051845530189888
2008-05-12,1.118048780487805,1.119479411137188
2008-05-13,1.1281300813008128,1.1250266695114146
2008-05-14,1.1209756097560974,1.151909537017282
2008-05-15,1.1398373983739836,1.1621506294004693
2008-05-16,1.1297560975609757,1.147215703008321
2008-05-19,1.1333333333333333,1.1540430979304461
2008-05-20,1.1209756097560974,1.135267761894602
2008-05-21,1.0969105691056908,1.1032643481971411
2008-05-22,1.111869918699187,1.1096650309366332
2008-05-23,1.0917073170731708,1.0957968850010669
2008-05-27,1.1066666666666667,1.1348410497119692
2008-05-28,1.1960975609756097,1.1664177512267977
2008-05-29,1.2065040650406504,1.1883934286323876
2008-05-30,1.2048780487804878,1.1888201408150203
2008-06-02,1.206178861788618,1.1792191167057822
2008-06-03,1.2149593495934958,1.210155749946661
2008-06-04,1.2406504065040649,1.2199701301472157
2008-06-05,1.2604878048780488,1.2359718369959463
2008-06-06,1.208130081300813,1.1775122679752508
2008-06-09,1.2149593495934958,1.1935139748239811
2008-06-10,1.228617886178862,1.179859184979731
2008-06-11,1.191869918699187,1.1295071474290592
2008-06-12,1.1921951219512195,1.147215703008321
2008-06-13,1.2022764227642275,1.1753787070620867
2008-06-16,1.2214634146341463,1.1653509707702154
2008-06-17,1.2091056910569105,1.1489225517388522
2008-06-18,1.189918699186992,1.1557499466609773
2008-06-19,1.231869918699187,1.255813953488372
2008-06-20,1.2247154471544714,1.238532110091743
2008-06-23,1.2136585365853658,1.1670578195007468
2008-06-24,1.1671544715447155,1.1292937913377428
2008-06-25,1.1788617886178863,1.1715382974183912
2008-06-26,1.1486178861788618,1.1474290590996374
2008-06-27,1.1278048780487804,1.1544698101130788
2008-06-30,1.1252032520325204,1.1781523362492
2008-07-01,1.1287804878048782,1.157670151482825
2008-07-02,1.0695934959349593,1.096863665457649
2008-07-03,1.0565853658536586,1.098997226370813
2008-07-07,1.0439024390243903,1.1073181139321528
2008-07-08,1.1008130081300813,1.1653509707702154
2008-07-09,1.0604878048780488,1.1683379560486453
2008-07-10,1.0341463414634147,1.1371879667164497
2008-07-11,1.063739837398374,1.1374013228077662
2008-07-14,1.056260162601626,1.1143588649455942
2008-07-15,1.054959349593496,1.0817153829741841
2008-07-16,1.0998373983739838,1.1636441220396843
2008-07-17,1.103739837398374,1.0934499679965863
2008-07-18,1.1268292682926828,1.0987838702794965
2008-07-21,1.126178861788618,1.0751013441433754
2008-07-22,1.201951219512195,1.1278002986985278
2008-07-23,1.1626016260162602,1.0810753147002348
2008-07-24,1.141788617886179,1.0234691700448049
2008-07-25,1.1502439024390243,1.0343503307019415
2008-07-28,1.1339837398373982,1.017708555579262
2008-07-29,1.1912195121951221,1.0682739492212503
2008-07-30,1.2029268292682926,1.0693407296778323
2008-07-31,1.189918699186992,1.0791551098783871
2008-08-01,1.1609756097560977,1.062299978664391
2008-08-04,1.1460162601626016,1.0556859398335823
2008-08-05,1.1866666666666668,1.1007040751013444
2008-08-06,1.1717073170731707,1.0829955195220824
2008-08-07,1.1713821138211382,1.0648602517601877
2008-08-08,1.2273170731707317,1.1416684446340943
2008-08-11,1.2097560975609758,1.1484958395562193
2008-08-12,1.2,1.1188393428632388
2008-08-13,1.201951219512195,1.1124386601237466
2008-08-14,1.2273170731707317,1.1265201621506293
2008-08-15,1.2432520325203251,1.122679752506934
2008-08-18,1.2328455284552844,1.1039044164710903
2008-08-19,1.1886178861788617,1.0631534030296566
2008-08-20,1.1512195121951219,1.0514188180072541
2008-08-21,1.1183739837398374,1.048645188820141
2008-08-22,1.141138211382114,1.0646468956688713
2008-08-25,1.1076422764227642,1.0454448474503948
2008-08-26,1.1229268292682928,1.0232558139534884
2008-08-27,1.1255284552845528,1.0290164284190313
2008-08-28,1.170731707317073,1.0742479197781098
2008-08-29,1.1476422764227643,1.0458715596330277
2008-09-02,1.1482926829268294,1.0563260081075314
2008-09-03,1.1372357723577236,1.0704075101344144
2008-09-04,1.0917073170731708,1.0520588862812035
2008-09-05,1.0780487804878047,1.0416044378066995
2008-09-08,1.1092682926829267,1.0550458715596331
2008-09-09,1.0640650406504064,1.0134414337529336
2008-09-10,1.079349593495935,1.0526989545551526
2008-09-11,1.0689430894308942,1.060806486025176
2008-09-12,1.0689430894308942,1.0928098997226372
2008-09-15,1.047479674796748,1.1164924258587583
2008-09-16,1.0585365853658535,1.1179859184979732
2008-09-17,0.9908943089430894,1.0776616172391722
2008-09-18,0.9772357723577236,1.0815020268828675
2008-09-19,0.9941463414634146,1.057179432472797
2008-09-22,0.9648780487804879,0.9970130147215703
