,BSET,AIV
2008-02-01,1.0,1.0
2008-02-04,1.0155400155400156,0.9697714426148931
2008-02-05,0.9588189588189588,0.9154583435733596
2008-02-06,0.9222999222999223,0.901941508970263
2008-02-07,0.9588189588189588,0.9309412632096339
2008-02-08,0.9331779331779332,0.8847382649299582
2008-02-11,0.9665889665889666,0.8660604571147703
2008-02-12,0.9533799533799534,0.8970262963873188
2008-02-13,0.9665889665889666,0.9083312853280905
2008-02-14,0.9790209790209791,0.8933398869501107
2008-02-15,0.926961926961927,0.9002211845662326
2008-02-19,0.9316239316239316,0.8778569673138363
2008-02-20,0.9417249417249417,0.8901449987711969
2008-02-21,0.9075369075369075,0.8608994839026789
2008-02-22,0.9347319347319347,0.884492504300811
2008-02-25,0.9230769230769232,0.9171786679773901
2008-02-26,0.9471639471639471,0.9093143278446794
2008-02-27,0.9603729603729604,0.8953059719832883
2008-02-28,0.9261849261849262,0.8709756696977144
2008-02-29,0.9121989121989122,0.8466453674121407
2008-03-03,0.9083139083139083,0.8550012288031458
2008-03-04,0.9129759129759131,0.8513148193659377
2008-03-05,0.83993783993784,0.8577045957237651
2008-03-06,0.8236208236208237,0.8092897517817647
2008-03-07,0.8873348873348874,0.8188744163185059
2008-03-10,0.8694638694638694,0.8100270336692063
2008-03-11,0.864024864024864,0.8741705578766282
2008-03-12,0.8632478632478633,0.866797739002212
2008-03-13,0.9153069153069153,0.8830179405259277
2008-03-14,0.8912198912198913,0.8660604571147703
2008-03-17,0.916860916860917,0.8724502334725978
2008-03-18,0.9176379176379177,0.9304497419513394
2008-03-19,0.9059829059829061,0.916932907348243
2008-03-20,0.9432789432789433,0.9346276726468421
2008-03-24,0.9557109557109559,0.9584664536741214
2008-03-25,1.0062160062160062,0.956746129270091
2008-03-26,1.0279720279720281,0.9233226837060703
2008-03-27,0.9417249417249417,0.9061194396657656
2008-03-28,0.9704739704739705,0.8658146964856229
2008-03-31,0.9588189588189588,0.8800688129761614
2008-04-01,0.9922299922299923,0.9442123371835833
2008-04-02,0.9673659673659674,0.9572376505283855
2008-04-03,0.968919968919969,0.9886950110592283
2008-04-04,1.0194250194250194,0.9503563529122635
2008-04-07,0.986013986013986,0.9734578520521013
2008-04-08,1.0155400155400156,0.956746129270091
2008-04-09,0.9914529914529915,0.9176701892356846
2008-04-10,0.9456099456099457,0.9250430081101009
2008-04-11,0.91996891996892,0.9127549766527403
2008-04-14,0.8935508935508936,0.8957974932415829
2008-04-15,0.9075369075369075,0.8935856475792578
2008-04-16,0.9075369075369075,0.9228311624477759
2008-04-17,0.8865578865578866,0.9196362742688622
2008-04-18,0.9246309246309247,0.9071024821823543
2008-04-21,0.9215229215229216,0.8933398869501107
2008-04-22,0.9044289044289046,0.8862128287048416
2008-04-23,0.9153069153069153,0.8896534775129026
2008-04-24,0.9277389277389277,0.9171786679773901
2008-04-25,0.9215229215229216,0.9208650774145982
2008-04-28,0.923853923853924,0.9331531088719588
2008-04-29,0.9230769230769232,0.9230769230769232
2008-04-30,0.9277389277389277,0.9088228065863848
2008-05-01,0.9425019425019426,0.9388056033423446
2008-05-02,0.9448329448329449,0.9646104694028017
2008-05-05,0.9712509712509713,0.960432538707299
2008-05-06,0.9883449883449884,0.9776357827476039
2008-05-07,0.9782439782439782,0.9493733103956747
2008-05-08,0.9790209790209791,0.9481445072499386
2008-05-09,0.9766899766899768,0.9331531088719588
2008-05-12,0.9821289821289823,0.9714917670189237
2008-05-13,0.986013986013986,0.9788645858933399
2008-05-14,0.9642579642579643,0.975423937085279
2008-05-15,0.9557109557109559,0.9968051118210863
2008-05-16,0.9300699300699302,0.9938559842713197
2008-05-19,0.9316239316239316,0.9904153354632588
2008-05-20,0.9456099456099457,0.975423937085279
2008-05-21,0.9308469308469309,0.9481445072499386
2008-05-22,0.9401709401709402,0.9508478741705578
2008-05-23,0.9456099456099457,0.9329073482428116
2008-05-27,0.9331779331779332,0.9518309166871467
2008-05-28,0.9362859362859364,0.9675595969525682
2008-05-29,0.9370629370629372,0.9820594740722537
2008-05-30,0.9316239316239316,0.9724748095355125
2008-06-02,0.9230769230769232,0.9542885229786189
2008-06-03,0.923853923853924,0.9572376505283855
2008-06-04,0.9308469308469309,0.966085033177685
2008-06-05,0.933954933954934,0.9945932661587614
2008-06-06,0.9191919191919192,0.938068321454903
2008-06-09,0.9215229215229216,0.9002211845662326
2008-06-10,0.91996891996892,0.9039075940034407
2008-06-11,0.9129759129759131,0.8849840255591054
2008-06-12,0.9121989121989122,0.8982550995330548
2008-06-13,0.9191919191919192,0.9142295404276236
2008-06-16,0.9378399378399379,0.9338903907594004
2008-06-17,0.9246309246309247,0.904399115261735
2008-06-18,0.9254079254079255,0.8906365200294913
2008-06-19,0.9362859362859364,0.9075940034406489
2008-06-20,0.9370629370629372,0.8734332759891865
2008-06-23,0.9207459207459208,0.8525436225116736
2008-06-24,0.9184149184149185,0.8601622020152372
2008-06-25,0.9191919191919192,0.8731875153600394
2008-06-26,0.9184149184149185,0.8316539690341609
2008-06-27,0.9254079254079255,0.833128532809044
2008-06-30,0.916860916860917,0.8370607028753995
2008-07-01,0.9300699300699302,0.842467436716638
2008-07-02,0.9331779331779332,0.8193659375768003
2008-07-03,0.9207459207459208,0.8245269107888916
2008-07-07,0.9300699300699302,0.8009338903907596
2008-07-08,0.9184149184149185,0.8761366429098059
2008-07-09,0.9137529137529138,0.7972474809535512
2008-07-10,0.9013209013209014,0.8237896289014501
2008-07-11,0.9378399378399379,0.8196116982059475
2008-07-14,0.8834498834498834,0.7768493487343328
