"","X1","UTX","HUB_B","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,0.988171064604185,1.01496039894397,NA,0.307359307359307,0.774891774891775,0.0847313689815515,0.936017577447919
"3",2009-01-06,0.998726114649682,1.01378703432092,NA,0.722943722943723,0.480519480519481,0.835351142786533,0.24356637797053
"4",2009-01-07,0.973976342129208,0.992373129950132,NA,0.142857142857143,0.203463203463203,0.217322534689141,0.467949788924306
"5",2009-01-08,0.973794358507734,1.01202698738633,NA,0.528138528138528,0.826839826839827,0.200442436032335,0.915718060384693
"6",2009-01-09,0.959053685168335,0.991493106482839,NA,0.251082251082251,0.212121212121212,0.436483693424156,0.299114435857633
"7",2009-01-12,0.952866242038216,0.943971839249046,NA,0.411255411255411,0.051948051948052,0.872153119751591,0.0142746765086923
"8",2009-01-13,0.924476797088262,0.951598709298914,NA,0.112554112554113,0.662337662337662,0.0229310866992597,0.932226290514668
"9",2009-01-14,0.910464058234759,0.922264593722499,NA,0.251082251082251,0.142857142857143,0.563865244255049,0.164997853259018
"10",2009-01-15,0.904276615104641,0.94279847462599,NA,0.402597402597403,0.83982683982684,0.109230398647181,0.951960882235657
"11",2009-01-16,0.929936305732484,0.951012026987386,NA,0.904761904761905,0.670995670995671,0.94448516344423,0.240039114907552
"12",2009-01-20,0.898271155595996,0.907304194778527,NA,0.103896103896104,0.0606060606060606,0.452190654853117,0.147789135027164
"13",2009-01-21,0.896269335759782,0.919917864476386,NA,0.480519480519481,0.757575757575758,0.214846584767659,0.8709453645115
"14",2009-01-22,0.89080982711556,0.916984452918744,NA,0.424242424242424,0.45021645021645,0.433310855202773,0.505023668008764
"15",2009-01-23,0.862784349408553,0.904077442065122,NA,0.108225108225108,0.294372294372294,0.0824297568006552,0.698701937726993
"16",2009-01-26,0.885714285714286,0.914344382516867,NA,0.883116883116883,0.722943722943723,0.896946186860471,0.341450995136405
"17",2009-01-27,0.896087352138308,0.943971839249046,NA,0.748917748917749,0.909090909090909,0.324726670822611,0.920890373506244
"18",2009-01-28,0.921929026387625,0.982692871809915,NA,0.913419913419913,0.922077922077922,0.683757111315651,0.746163977294876
"19",2009-01-29,0.88589626933576,0.95130536814315,"UTX",0.0909090909090909,0.138528138528139,0.182674653864841,0.444112028423635
"20",2009-01-30,0.873339399454049,0.909357582868876,"UTX",0.255411255411255,0.0649350649350649,0.740457530409529,0.0439864132075333
"21",2009-02-02,0.865150136487716,0.899970665884424,"UTX",0.337662337662338,0.350649350649351,0.403906807565842,0.442224839810436
"22",2009-02-03,0.879162875341219,0.910824288647697,"UTX",0.787878787878788,0.74025974025974,0.712158840479388,0.546440278565019
"23",2009-02-04,0.864968152866242,0.911410970959226,"UTX",0.220779220779221,0.532467532467532,0.104127183116355,0.813360902291608
"24",2009-02-05,0.874431301182893,0.91669111176298,"UTX",0.722943722943723,0.61038961038961,0.739174705328095,0.415367652857726
"25",2009-02-06,0.892265696087352,0.939571721912584,"UTX",0.844155844155844,0.865800865800866,0.627009132530307,0.729432446652754
"26",2009-02-09,0.903002729754322,0.936344969199179,"UTX",0.748917748917749,0.445887445887446,0.878111889556744,0.189267115910357
"27",2009-02-10,0.856414922656961,0.89762393663831,"UTX",0.0432900432900433,0.0735930735930736,0.143086235133447,0.42556332814032
"28",2009-02-11,0.866606005459508,0.911117629803461,"UTX",0.748917748917749,0.774891774891775,0.58452023668172,0.675053213660027
"29",2009-02-12,0.85368516833485,0.918744499853329,"UTX",0.251082251082251,0.666666666666667,0.0838518216773451,0.893045221541194
"30",2009-02-13,0.856960873521383,0.911117629803461,"UTX",0.597402597402597,0.376623376623377,0.763609069626318,0.225784728040118
"31",2009-02-17,0.831301182893539,0.859782927544734,"UTX",0.112554112554113,0.038961038961039,0.591554984105752,0.0679991601782397
"32",2009-02-18,0.816196542311192,0.83895570548548,"UTX",0.203463203463203,0.181818181818182,0.38934680140855,0.304072266265674
"33",2009-02-19,0.813830755232029,0.807274860662951,NA,0.463203463203463,0.0909090909090909,0.862106840340646,0.0291504869311582
"34",2009-02-20,0.800545950864422,0.782634203578762,NA,0.216450216450216,0.142857142857143,0.495944112747695,0.201122390004856
"35",2009-02-23,0.770700636942675,0.77119389850396,NA,0.0995670995670996,0.29004329004329,0.073365690087308,0.709376328351815
"36",2009-02-24,0.78252957233849,0.793487826342036,NA,0.774891774891775,0.887445887445887,0.417963525190044,0.868069740549497
"37",2009-02-25,0.755595996360328,0.77471399237313,NA,0.0995670995670996,0.19047619047619,0.137723625000061,0.546098876387091
"38",2009-02-26,0.747952684258417,0.754473452625403,NA,0.329004329004329,0.164502164502165,0.650941402154007,0.140013042165288
"39",2009-02-27,0.743039126478617,0.772073921971252,NA,0.406926406926407,0.848484848484849,0.107648993347041,0.955629533763361
"40",2009-03-02,0.712829845313922,0.720445878556761,NA,0.0779220779220779,0.025974025974026,0.572750682012674,0.0622471307238203
"41",2009-03-03,0.701546860782529,0.707832208858903,NA,0.229437229437229,0.238095238095238,0.352126692499678,0.382680771193851
"42",2009-03-04,0.712647861692448,0.741273100616016,NA,0.783549783549784,0.956709956709957,0.2459792773337,0.970736605248714
"43",2009-03-05,0.690081892629663,0.687591669111176,NA,0.108225108225108,0.0216450216450216,0.693153952962966,0.028150667384318
"44",2009-03-06,0.701364877161055,0.687591669111176,NA,0.792207792207792,0.515151515151515,0.889158417722868,0.219037654607353
